"Status","Year","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Food Standards Agency","Outside London","35","35","38730","38100"
"In post","2023","Asian","Food Standards Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","London","315","305","45390","39220"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","20","15","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","105","105","50120","53510"
"In post","2023","Asian","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","London","35","35","50600","46860"
"In post","2023","Asian","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Commercial Organisation","London","50","50","73270","66270"
"In post","2023","Asian","Government Commercial Organisation","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Government Commercial Organisation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","London","55","55","44550","43160"
"In post","2023","Asian","Government Internal Audit Agency","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Legal Department","London","315","300","49960","52020"
"In post","2023","Asian","Government Legal Department","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Government Property Agency","London","10","10","[c]","[c]"
"In post","2023","Asian","Government Property Agency","Outside London","30","30","37750","33970"
"In post","2023","Asian","HM Courts and Tribunals Service","London","700","645","31300","25480"
"In post","2023","Asian","HM Courts and Tribunals Service","Outside London","980","875","25310","21780"
"In post","2023","Asian","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","London","45","45","38200","31680"
"In post","2023","Asian","HM Land Registry","Outside London","175","160","30320","28080"
"In post","2023","Asian","HM Prison and Probation Service","London","595","575","35600","33800"
"In post","2023","Asian","HM Prison and Probation Service","Outside London","1570","1455","30920","29050"
"In post","2023","Asian","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","London","1655","1570","42630","39790"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","Outside London","4585","4335","31470","28130"
"In post","2023","Asian","HM Treasury (excl. agencies)","London","220","220","44530","39050"
"In post","2023","Asian","HM Treasury (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Health and Safety Executive","London","15","15","[c]","[c]"
"In post","2023","Asian","Health and Safety Executive","Outside London","65","65","47270","42500"
"In post","2023","Asian","Home Office","London","3080","2875","36200","30410"
"In post","2023","Asian","Home Office","Outside London","1465","1335","27830","25880"
"In post","2023","Asian","Home Office","Overseas","20","20","[c]","[c]"
"In post","2023","Asian","Home Office","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","London","15","15","[c]","[c]"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Intellectual Property Office","London","5","5","[c]","[c]"
"In post","2023","Asian","Intellectual Property Office","Outside London","35","35","40120","41240"
"In post","2023","Asian","Legal Aid Agency","London","15","15","[c]","[c]"
"In post","2023","Asian","Legal Aid Agency","Outside London","65","60","24530","21780"
"In post","2023","Asian","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Maritime and Coastguard Agency","Outside London","55","55","44130","47430"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","London","245","240","43000","41190"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","Outside London","45","45","46150","41900"
"In post","2023","Asian","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Met Office","Outside London","35","35","33370","33150"
"In post","2023","Asian","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","London","350","340","40880","38680"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","Outside London","675","655","35060","31580"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","Overseas","15","15","[c]","[c]"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","London","470","460","44270","43650"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","Outside London","170","170","37800","33080"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Crime Agency","London","160","155","41430","39930"
"In post","2023","Asian","National Crime Agency","Outside London","125","120","36810","38310"
"In post","2023","Asian","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Infrastructure Commission","London","5","5","[c]","[c]"
"In post","2023","Asian","National Infrastructure Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Records of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Savings and Investments","London","20","20","[c]","[c]"
"In post","2023","Asian","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","London","5","5","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office for Budget Responsibility","London","5","5","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","London","40","40","43990","43850"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","Outside London","80","80","41200","33130"
"In post","2023","Asian","Office of Gas and Electricity Markets","London","160","160","44150","40000"
"In post","2023","Asian","Office of Gas and Electricity Markets","Outside London","35","35","34210","31760"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","Outside London","35","35","39170","36800"
"In post","2023","Asian","Office of Rail and Road","London","25","25","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Office of the Public Guardian","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Public Guardian","Outside London","470","435","23130","21780"
"In post","2023","Asian","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Scottish Charity Regulator","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectorate","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Queen Elizabeth II Centre","London","5","5","[c]","[c]"
"In post","2023","Asian","Registers of Scotland","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Revenue Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Rural Payments Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Rural Payments Agency","Outside London","55","55","25410","22150"
"In post","2023","Asian","Scottish Courts and Tribunals Service","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Scottish Fiscal Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Forestry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Government (excl. agencies)","Outside London","125","120","43190","39730"
"In post","2023","Asian","Scottish Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Housing Regulator","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Prison Service","Outside London","10","5","[c]","[c]"
"In post","2023","Asian","Scottish Public Pensions Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Serious Fraud Office","London","50","50","46290","42110"
"In post","2023","Asian","Social Security Scotland","Outside London","85","80","32210","29100"
"In post","2023","Asian","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Standards and Testing Agency","Outside London","15","10","[c]","[c]"
"In post","2023","Asian","Student Awards Agency for Scotland","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Submarine Delivery Agency","Outside London","50","50","40570","39500"
"In post","2023","Asian","Submarine Delivery Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Teaching Regulation Agency","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","The Insolvency Service","London","50","45","33640","30160"
"In post","2023","Asian","The Insolvency Service","Outside London","100","95","28140","22350"
"In post","2023","Asian","The National Archives","London","45","45","35860","34710"
"In post","2023","Asian","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Transport Scotland","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","UK Debt Management Office","London","5","5","[c]","[c]"
"In post","2023","Asian","UK Export Finance","London","95","90","49070","42000"
"In post","2023","Asian","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Health Security Agency","London","395","375","45540","40880"
"In post","2023","Asian","UK Health Security Agency","Outside London","215","200","44440","33520"
"In post","2023","Asian","UK Health Security Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Hydrographic Office","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","UK Hydrographic Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Space Agency","London","20","20","[c]","[c]"
"In post","2023","Asian","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Statistics Authority","London","30","30","44890","40260"
"In post","2023","Asian","UK Statistics Authority","Outside London","205","180","33040","31060"
"In post","2023","Asian","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Valuation Office Agency","London","120","115","39020","36030"
"In post","2023","Asian","Valuation Office Agency","Outside London","130","120","30030","26450"
"In post","2023","Asian","Vehicle Certification Agency","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Vehicle Certification Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Vehicle Certification Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Veterinary Medicines Directorate","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","London","10","10","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","Outside London","30","30","43530","40810"
"In post","2023","Asian","Welsh Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Welsh Government (excl. agencies)","Outside London","70","70","42950","39690"
"In post","2023","Asian","Welsh Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Welsh Revenue Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Active Travel England","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Active Travel England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Advisory, Conciliation and Arbitration Service","London","20","20","[c]","[c]"
"In post","2023","Black","Advisory, Conciliation and Arbitration Service","Outside London","15","15","[c]","[c]"
"In post","2023","Black","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Animal and Plant Health Agency","Outside London","20","20","[c]","[c]"
"In post","2023","Black","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Building Digital UK","London","15","15","[c]","[c]"
"In post","2023","Black","Building Digital UK","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Cabinet Office (excl. agencies)","London","190","185","42870","38860"
"In post","2023","Black","Cabinet Office (excl. agencies)","Outside London","35","30","36600","38050"
"In post","2023","Black","Cabinet Office (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2023","Black","Central Civil Service Fast Stream","London","40","40","31070","31060"
"In post","2023","Black","Central Civil Service Fast Stream","Outside London","10","10","[c]","[c]"
"In post","2023","Black","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Charity Commission","Outside London","5","5","[c]","[c]"
"In post","2023","Black","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Competition and Markets Authority","London","40","40","43260","40160"
"In post","2023","Black","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Criminal Injuries Compensation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Criminal Injuries Compensation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Crown Commercial Service","London","10","10","[c]","[c]"
"In post","2023","Black","Crown Commercial Service","Outside London","15","15","[c]","[c]"
"In post","2023","Black","Crown Office and Procurator Fiscal Service","Outside London","10","10","[c]","[c]"
"In post","2023","Black","Crown Prosecution Service","London","285","270","41110","31610"
"In post","2023","Black","Crown Prosecution Service","Outside London","120","115","39920","31490"
"In post","2023","Black","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Defence Equipment and Support","London","15","10","[c]","[c]"
"In post","2023","Black","Defence Equipment and Support","Outside London","195","195","35710","33700"
"In post","2023","Black","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Defence Science and Technology Laboratory","Outside London","30","30","[c]","[c]"
"In post","2023","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","300","300","44210","41360"
"In post","2023","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","55","55","37910","35600"
"In post","2023","Black","Department for Digital, Culture, Media and Sport (excl. agencies)","London","70","70","38110","35620"
"In post","2023","Black","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2023","Black","Department for Education (excl. agencies)","London","155","155","43520","41440"
"In post","2023","Black","Department for Education (excl. agencies)","Outside London","115","115","39570","37590"
"In post","2023","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","London","170","170","37900","33830"
"In post","2023","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","65","65","38340","37300"
"In post","2023","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for International Trade","London","145","145","42760","41550"
"In post","2023","Black","Department for International Trade","Outside London","15","15","[c]","[c]"
"In post","2023","Black","Department for International Trade","Overseas","5","5","[c]","[c]"
"In post","2023","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","London","135","135","43830","40800"
"In post","2023","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","30","30","35020","31290"
"In post","2023","Black","Department for Transport (excl. agencies)","London","160","155","44110","43320"
"In post","2023","Black","Department for Transport (excl. agencies)","Outside London","20","20","[c]","[c]"
"In post","2023","Black","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Work and Pensions (excl. agencies)","London","1985","1860","32870","32520"
"In post","2023","Black","Department for Work and Pensions (excl. agencies)","Outside London","1680","1560","28290","28120"
"In post","2023","Black","Department for Work and Pensions (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Department of Health and Social Care (excl. agencies)","London","125","120","43130","38120"
"In post","2023","Black","Department of Health and Social Care (excl. agencies)","Outside London","30","30","[c]","[c]"
"In post","2023","Black","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Driver and Vehicle Licensing Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Driver and Vehicle Licensing Agency","Outside London","30","30","24970","22500"
"In post","2023","Black","Driver and Vehicle Standards Agency","London","20","20","[c]","[c]"
"In post","2023","Black","Driver and Vehicle Standards Agency","Outside London","35","35","32970","31320"
"In post","2023","Black","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Education and Skills Funding Agency","London","5","5","[c]","[c]"
"In post","2023","Black","Education and Skills Funding Agency","Outside London","10","10","[c]","[c]"
"In post","2023","Black","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","FCDO Services","London","15","15","[c]","[c]"
"In post","2023","Black","FCDO Services","Outside London","15","15","[c]","[c]"
"In post","2023","Black","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Food Standards Agency","London","20","20","[c]","[c]"
"In post","2023","Black","Food Standards Agency","Outside London","25","25","[c]","[c]"
"In post","2023","Black","Food Standards Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Food Standards Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Foreign, Commonwealth and Development Office (excl. agencies)","London","155","155","40410","36640"
"In post","2023","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","20","20","[c]","[c]"
"In post","2023","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","50","50","45150","39020"
"In post","2023","Black","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Government Commercial Organisation","London","25","25","[c]","[c]"
"In post","2023","Black","Government Commercial Organisation","Outside London","10","10","[c]","[c]"
"In post","2023","Black","Government Commercial Organisation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Government Internal Audit Agency","London","10","10","[c]","[c]"
"In post","2023","Black","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Government Legal Department","London","185","180","43080","36050"
"In post","2023","Black","Government Legal Department","Outside London","10","10","[c]","[c]"
"In post","2023","Black","Government Property Agency","London","5","5","[c]","[c]"
"In post","2023","Black","Government Property Agency","Outside London","10","10","[c]","[c]"
"In post","2023","Black","HM Courts and Tribunals Service","London","650","620","29010","25480"
"In post","2023","Black","HM Courts and Tribunals Service","Outside London","300","275","25940","21780"
"In post","2023","Black","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","HM Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","HM Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","HM Land Registry","London","30","30","38720","38410"
"In post","2023","Black","HM Land Registry","Outside London","40","40","29850","28080"
"In post","2023","Black","HM Prison and Probation Service","London","1605","1550","34840","33800"
"In post","2023","Black","HM Prison and Probation Service","Outside London","1325","1270","30850","29050"
"In post","2023","Black","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","HM Revenue and Customs (excl. agencies)","London","970","945","40730","39450"
"In post","2023","Black","HM Revenue and Customs (excl. agencies)","Outside London","1080","1045","31400","28130"
"In post","2023","Black","HM Treasury (excl. agencies)","London","35","35","40330","32300"
"In post","2023","Black","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Health and Safety Executive","London","10","10","[c]","[c]"
"In post","2023","Black","Health and Safety Executive","Outside London","30","30","[c]","[c]"
"In post","2023","Black","Home Office","London","1445","1365","35930","30840"
"In post","2023","Black","Home Office","Outside London","375","350","28380","26130"
"In post","2023","Black","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Home Office","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Institute for Apprenticeships and Technical Education","Outside London","5","5","[c]","[c]"
"In post","2023","Black","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Intellectual Property Office","Outside London","15","15","[c]","[c]"
