"Status","Year","Disability","Ethnicity","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Black","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","AO","Female","315","275","25200","25480"
"In post","2023","Declared disabled","Black","AO","Male","125","120","25890","25030"
"In post","2023","Declared disabled","Black","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","EO","Female","570","520","30620","31030"
"In post","2023","Declared disabled","Black","EO","Male","180","170","30660","30500"
"In post","2023","Declared disabled","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","G6","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","G6","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","G7","Female","105","105","57420","55820"
"In post","2023","Declared disabled","Black","G7","Male","45","45","58570","56430"
"In post","2023","Declared disabled","Black","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","HEO","Female","220","215","36220","36180"
"In post","2023","Declared disabled","Black","HEO","Male","85","80","35900","35000"
"In post","2023","Declared disabled","Black","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","SEO","Female","135","130","44000","43480"
"In post","2023","Declared disabled","Black","SEO","Male","60","60","43440","43210"
"In post","2023","Declared disabled","Black","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Female","235","225","33050","30840"
"In post","2023","Declared disabled","Black","Unknown","Male","70","70","35060","33200"
"In post","2023","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","AA","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","AA","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","AO","Female","195","170","23530","22220"
"In post","2023","Declared disabled","Mixed","AO","Male","120","115","25440","22520"
"In post","2023","Declared disabled","Mixed","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","EO","Female","270","245","29220","28120"
"In post","2023","Declared disabled","Mixed","EO","Male","160","150","29570","28120"
"In post","2023","Declared disabled","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","G6","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","G6","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","G7","Female","90","85","56390","55370"
"In post","2023","Declared disabled","Mixed","G7","Male","65","65","57700","56340"
"In post","2023","Declared disabled","Mixed","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","HEO","Female","195","185","34550","34300"
"In post","2023","Declared disabled","Mixed","HEO","Male","95","90","35310","35000"
"In post","2023","Declared disabled","Mixed","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SEO","Female","85","80","42600","42510"
"In post","2023","Declared disabled","Mixed","SEO","Male","70","70","43010","41840"
"In post","2023","Declared disabled","Mixed","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Female","125","120","32080","30810"
"In post","2023","Declared disabled","Mixed","Unknown","Male","40","40","31480","29050"
"In post","2023","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AO","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AO","Male","35","30","24700","22400"
"In post","2023","Declared disabled","Other ethnicity","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","EO","Female","65","60","29970","29660"
"In post","2023","Declared disabled","Other ethnicity","EO","Male","45","40","29540","28300"
"In post","2023","Declared disabled","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G6","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G6","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G7","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G7","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","HEO","Female","45","45","36100","35410"
"In post","2023","Declared disabled","Other ethnicity","HEO","Male","45","40","35750","34850"
"In post","2023","Declared disabled","Other ethnicity","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SEO","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SEO","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","AA","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","AA","Male","25","20","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","AO","Female","265","225","23040","22150"
"In post","2023","Declared disabled","Undeclared","AO","Male","280","255","24510","22200"
"In post","2023","Declared disabled","Undeclared","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","EO","Female","380","335","29080","28120"
"In post","2023","Declared disabled","Undeclared","EO","Male","330","310","29310","28120"
"In post","2023","Declared disabled","Undeclared","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","G6","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","G6","Male","45","45","71010","70570"
"In post","2023","Declared disabled","Undeclared","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","G7","Female","60","60","55720","55110"
"In post","2023","Declared disabled","Undeclared","G7","Male","155","155","55330","54320"
"In post","2023","Declared disabled","Undeclared","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","HEO","Female","140","130","34850","34300"
"In post","2023","Declared disabled","Undeclared","HEO","Male","200","190","35540","34640"
"In post","2023","Declared disabled","Undeclared","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SEO","Female","90","90","42160","41550"
"In post","2023","Declared disabled","Undeclared","SEO","Male","150","145","42400","41800"
"In post","2023","Declared disabled","Undeclared","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Unknown","Female","70","65","33130","31450"
"In post","2023","Declared disabled","Undeclared","Unknown","Male","65","65","35520","38290"
"In post","2023","Declared disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA","Female","30","25","23090","22520"
"In post","2023","Declared disabled","Unknown","AA","Male","30","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AO","Female","225","190","23770","22520"
"In post","2023","Declared disabled","Unknown","AO","Male","140","130","25260","22520"
"In post","2023","Declared disabled","Unknown","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Female","220","205","29680","28130"
"In post","2023","Declared disabled","Unknown","EO","Male","175","160","31880","31180"
"In post","2023","Declared disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G7","Female","60","60","57290","55760"
"In post","2023","Declared disabled","Unknown","G7","Male","65","65","57160","56540"
"In post","2023","Declared disabled","Unknown","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","HEO","Female","120","115","35230","34850"
"In post","2023","Declared disabled","Unknown","HEO","Male","110","100","36320","35020"
"In post","2023","Declared disabled","Unknown","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO","Female","65","60","43320","42140"
"In post","2023","Declared disabled","Unknown","SEO","Male","80","75","44750","42660"
"In post","2023","Declared disabled","Unknown","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Female","45","40","33220","29120"
"In post","2023","Declared disabled","Unknown","Unknown","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","AA","Female","915","770","21690","21380"
"In post","2023","Declared disabled","White","AA","Male","900","830","21860","21380"
"In post","2023","Declared disabled","White","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","AO","Female","7385","6205","23060","22150"
"In post","2023","Declared disabled","White","AO","Male","4625","4325","24680","22500"
"In post","2023","Declared disabled","White","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","EO","Female","8590","7535","28430","28120"
"In post","2023","Declared disabled","White","EO","Male","4835","4560","29090","28120"
"In post","2023","Declared disabled","White","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","G6","Female","740","705","70340","68960"
"In post","2023","Declared disabled","White","G6","Male","610","595","71340","70540"
"In post","2023","Declared disabled","White","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","G7","Female","2255","2140","55900","55370"
"In post","2023","Declared disabled","White","G7","Male","1765","1715","56730","56180"
"In post","2023","Declared disabled","White","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","HEO","Female","4415","4145","34380","34170"
"In post","2023","Declared disabled","White","HEO","Male","3165","3060","35200","34650"
"In post","2023","Declared disabled","White","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","SCS level","Female","260","245","88910","81600"
"In post","2023","Declared disabled","White","SCS level","Male","230","225","95470","84870"
"In post","2023","Declared disabled","White","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","SEO","Female","2895","2750","42220","41740"
"In post","2023","Declared disabled","White","SEO","Male","2160","2100","43390","42510"
"In post","2023","Declared disabled","White","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Unknown","Female","2625","2430","30910","29050"
"In post","2023","Declared disabled","White","Unknown","Male","795","755","33110","29050"
"In post","2023","Declared disabled","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","AA","Female","215","180","22340","23000"
"In post","2023","Declared non-disabled","Asian","AA","Male","280","265","22810","23230"
"In post","2023","Declared non-disabled","Asian","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","AO","Female","3715","3110","23490","22520"
"In post","2023","Declared non-disabled","Asian","AO","Male","2750","2630","24180","22520"
"In post","2023","Declared non-disabled","Asian","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","EO","Female","4450","3990","29380","28200"
"In post","2023","Declared non-disabled","Asian","EO","Male","3430","3355","29190","28120"
"In post","2023","Declared non-disabled","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","G6","Female","390","375","70390","68610"
"In post","2023","Declared non-disabled","Asian","G6","Male","315","310","71990","70470"
"In post","2023","Declared non-disabled","Asian","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","G7","Female","1310","1265","57080","55860"
"In post","2023","Declared non-disabled","Asian","G7","Male","1180","1165","57850","56870"
"In post","2023","Declared non-disabled","Asian","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","HEO","Female","2455","2355","35560","35000"
"In post","2023","Declared non-disabled","Asian","HEO","Male","2145","2105","35750","35000"
"In post","2023","Declared non-disabled","Asian","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","SCS level","Female","125","120","89750","82170"
"In post","2023","Declared non-disabled","Asian","SCS level","Male","115","110","93960","89880"
"In post","2023","Declared non-disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","SEO","Female","1535","1485","42860","42840"
"In post","2023","Declared non-disabled","Asian","SEO","Male","1410","1395","43750","43000"
"In post","2023","Declared non-disabled","Asian","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","Unknown","Female","505","470","29320","27190"
"In post","2023","Declared non-disabled","Asian","Unknown","Male","275","260","30550","27640"
"In post","2023","Declared non-disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","AA","Female","175","160","24080","23500"
"In post","2023","Declared non-disabled","Black","AA","Male","195","190","24050","23500"
"In post","2023","Declared non-disabled","Black","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","AO","Female","1660","1500","24970","25480"
"In post","2023","Declared non-disabled","Black","AO","Male","1215","1185","27820","26400"
"In post","2023","Declared non-disabled","Black","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","EO","Female","2505","2355","30370","30410"
"In post","2023","Declared non-disabled","Black","EO","Male","1340","1315","30300","30000"
"In post","2023","Declared non-disabled","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","G6","Female","115","115","70160","68600"
"In post","2023","Declared non-disabled","Black","G6","Male","85","85","72000","69680"
"In post","2023","Declared non-disabled","Black","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","G7","Female","615","600","57680","56190"
"In post","2023","Declared non-disabled","Black","G7","Male","385","385","57800","56430"
"In post","2023","Declared non-disabled","Black","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","HEO","Female","1300","1275","36010","35410"
"In post","2023","Declared non-disabled","Black","HEO","Male","815","805","36170","35410"
"In post","2023","Declared non-disabled","Black","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","SCS level","Female","40","40","89340","80050"
"In post","2023","Declared non-disabled","Black","SCS level","Male","30","30","94980","84390"
"In post","2023","Declared non-disabled","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","SEO","Female","830","820","43520","43210"
"In post","2023","Declared non-disabled","Black","SEO","Male","580","575","44020","43210"
"In post","2023","Declared non-disabled","Black","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Unknown","Female","630","605","31550","29300"
"In post","2023","Declared non-disabled","Black","Unknown","Male","310","300","31800","29300"
"In post","2023","Declared non-disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","AA","Female","75","70","22610","23230"
"In post","2023","Declared non-disabled","Mixed","AA","Male","55","55","22540","23230"
"In post","2023","Declared non-disabled","Mixed","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","AO","Female","755","670","24750","22520"
"In post","2023","Declared non-disabled","Mixed","AO","Male","570","550","26540","25340"
"In post","2023","Declared non-disabled","Mixed","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","EO","Female","925","850","29150","28120"
"In post","2023","Declared non-disabled","Mixed","EO","Male","565","550","29430","28120"
"In post","2023","Declared non-disabled","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","G6","Female","155","145","70360","68080"
"In post","2023","Declared non-disabled","Mixed","G6","Male","135","135","70660","68140"
"In post","2023","Declared non-disabled","Mixed","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","G7","Female","480","460","56530","55590"
"In post","2023","Declared non-disabled","Mixed","G7","Male","390","385","56550","55780"
"In post","2023","Declared non-disabled","Mixed","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","HEO","Female","635","615","35110","34700"
"In post","2023","Declared non-disabled","Mixed","HEO","Male","470","470","35730","35000"
"In post","2023","Declared non-disabled","Mixed","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","SCS level","Female","55","50","86420","81550"
"In post","2023","Declared non-disabled","Mixed","SCS level","Male","55","55","89950","81340"
"In post","2023","Declared non-disabled","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","SEO","Female","430","415","43040","42480"
"In post","2023","Declared non-disabled","Mixed","SEO","Male","365","365","43180","42510"
"In post","2023","Declared non-disabled","Mixed","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Unknown","Female","365","345","30270","27640"
"In post","2023","Declared non-disabled","Mixed","Unknown","Male","115","115","32150","29050"
"In post","2023","Declared non-disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","AA","Female","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","AA","Male","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","AO","Female","205","180","24260","23700"
"In post","2023","Declared non-disabled","Other ethnicity","AO","Male","175","170","27070","25610"
"In post","2023","Declared non-disabled","Other ethnicity","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","EO","Female","265","245","29720","29560"
"In post","2023","Declared non-disabled","Other ethnicity","EO","Male","190","185","29780","28430"
"In post","2023","Declared non-disabled","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","G6","Female","45","45","70300","68840"
"In post","2023","Declared non-disabled","Other ethnicity","G6","Male","40","40","71440","68470"
"In post","2023","Declared non-disabled","Other ethnicity","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","G7","Female","115","115","56880","55720"
"In post","2023","Declared non-disabled","Other ethnicity","G7","Male","120","115","56670","55740"
"In post","2023","Declared non-disabled","Other ethnicity","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","HEO","Female","165","155","35490","35000"
"In post","2023","Declared non-disabled","Other ethnicity","HEO","Male","135","130","35990","35010"
"In post","2023","Declared non-disabled","Other ethnicity","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","SCS level","Male","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","SEO","Female","135","130","43770","42530"
"In post","2023","Declared non-disabled","Other ethnicity","SEO","Male","115","115","44470","42580"
"In post","2023","Declared non-disabled","Other ethnicity","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Unknown","Female","60","55","30270","27640"
"In post","2023","Declared non-disabled","Other ethnicity","Unknown","Male","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","AA","Female","65","55","21840","22180"
"In post","2023","Declared non-disabled","Undeclared","AA","Male","90","85","21450","21380"
"In post","2023","Declared non-disabled","Undeclared","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","AO","Female","950","785","23030","21780"
"In post","2023","Declared non-disabled","Undeclared","AO","Male","835","790","24770","22400"
"In post","2023","Declared non-disabled","Undeclared","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","EO","Female","1140","990","29070","28120"
"In post","2023","Declared non-disabled","Undeclared","EO","Male","1215","1140","29400","28120"
"In post","2023","Declared non-disabled","Undeclared","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","G6","Female","120","115","69970","70470"
"In post","2023","Declared non-disabled","Undeclared","G6","Male","190","180","72570","71300"
"In post","2023","Declared non-disabled","Undeclared","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","G7","Female","265","250","57600","56340"
"In post","2023","Declared non-disabled","Undeclared","G7","Male","515","500","57490","57180"
"In post","2023","Declared non-disabled","Undeclared","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","HEO","Female","475","445","35050","34670"
"In post","2023","Declared non-disabled","Undeclared","HEO","Male","700","675","35960","34920"
"In post","2023","Declared non-disabled","Undeclared","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","SCS level","Female","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","SCS level","Male","35","35","95400","84780"
"In post","2023","Declared non-disabled","Undeclared","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","SEO","Female","375","355","42830","42510"
"In post","2023","Declared non-disabled","Undeclared","SEO","Male","570","555","44160","42990"
"In post","2023","Declared non-disabled","Undeclared","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Unknown","Female","140","130","32720","31490"
"In post","2023","Declared non-disabled","Undeclared","Unknown","Male","110","105","37460","37910"
"In post","2023","Declared non-disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AA","Female","120","100","22030","22080"
"In post","2023","Declared non-disabled","Unknown","AA","Male","140","135","22150","22080"
"In post","2023","Declared non-disabled","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AO","Female","1115","905","23100","22220"
"In post","2023","Declared non-disabled","Unknown","AO","Male","725","685","25310","22520"
"In post","2023","Declared non-disabled","Unknown","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","EO","Female","1095","955","28890","28120"
"In post","2023","Declared non-disabled","Unknown","EO","Male","795","770","29570","28120"
"In post","2023","Declared non-disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","G6","Female","100","100","69780","69040"
"In post","2023","Declared non-disabled","Unknown","G6","Male","130","125","70900","69010"
"In post","2023","Declared non-disabled","Unknown","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","G7","Female","305","285","56520","56060"
"In post","2023","Declared non-disabled","Unknown","G7","Male","390","380","57420","56870"
"In post","2023","Declared non-disabled","Unknown","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","HEO","Female","480","445","35190","34500"
"In post","2023","Declared non-disabled","Unknown","HEO","Male","475","455","35390","34850"
