"Status","Year","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","AA","Undeclared","140","[c]","20210","19930"
"Leaver CS","2023","AA","Unknown","1050","[c]","21680","22080"
"Leaver CS","2023","AO","Heterosexual / straight","7420","[c]","22720","21720"
"Leaver CS","2023","AO","LGBO","635","[c]","22460","21690"
"Leaver CS","2023","AO","Undeclared","910","[c]","22990","21780"
"Leaver CS","2023","AO","Unknown","5555","[c]","22980","21780"
"Leaver CS","2023","EO","Heterosexual / straight","6245","[c]","28550","28120"
"Leaver CS","2023","EO","LGBO","515","[c]","28340","28080"
"Leaver CS","2023","EO","Undeclared","820","[c]","28640","28120"
"Leaver CS","2023","EO","Unknown","2860","[c]","28400","28120"
"Leaver CS","2023","G6","Heterosexual / straight","880","[c]","70770","68720"
"Leaver CS","2023","G6","LGBO","85","[c]","67610","66300"
"Leaver CS","2023","G6","Undeclared","135","[c]","72110","70780"
"Leaver CS","2023","G6","Unknown","445","[c]","71020","68450"
"Leaver CS","2023","G7","Heterosexual / straight","2100","[c]","56630","55150"
"Leaver CS","2023","G7","LGBO","195","[c]","55800","54660"
"Leaver CS","2023","G7","Undeclared","300","[c]","56120","55140"
"Leaver CS","2023","G7","Unknown","1045","[c]","56290","55060"
"Leaver CS","2023","HEO","Heterosexual / straight","3190","[c]","34730","34170"
"Leaver CS","2023","HEO","LGBO","295","[c]","33710","33520"
"Leaver CS","2023","HEO","Undeclared","435","[c]","35240","34260"
"Leaver CS","2023","HEO","Unknown","1735","[c]","34070","33520"
"Leaver CS","2023","SCS level","Heterosexual / straight","450","[c]","99170","91840"
"Leaver CS","2023","SCS level","LGBO","35","[c]","91990","85810"
"Leaver CS","2023","SCS level","Undeclared","45","[c]","88940","89260"
"Leaver CS","2023","SCS level","Unknown","195","[c]","103440","92900"
"Leaver CS","2023","SEO","Heterosexual / straight","2625","[c]","42760","41800"
"Leaver CS","2023","SEO","LGBO","215","[c]","41580","41090"
"Leaver CS","2023","SEO","Undeclared","440","[c]","42780","41950"
"Leaver CS","2023","SEO","Unknown","1150","[c]","42150","41480"
"Leaver CS","2023","Unknown","Heterosexual / straight","1355","[c]","40070","34820"
"Leaver CS","2023","Unknown","LGBO","135","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Undeclared","130","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","760","[c]","36540","33690"
"Leaver Dept.","2023","AA","Heterosexual / straight","100","[c]","21420","21000"
"Leaver Dept.","2023","AA","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","AA","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","AA","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2023","AO","Heterosexual / straight","1310","[c]","22280","21780"
"Leaver Dept.","2023","AO","LGBO","130","[c]","22310","21720"
"Leaver Dept.","2023","AO","Undeclared","145","[c]","22340","21780"
"Leaver Dept.","2023","AO","Unknown","960","[c]","22640","22040"
"Leaver Dept.","2023","EO","Heterosexual / straight","2330","[c]","28180","28120"
"Leaver Dept.","2023","EO","LGBO","220","[c]","27930","28120"
"Leaver Dept.","2023","EO","Undeclared","230","[c]","28270","28120"
"Leaver Dept.","2023","EO","Unknown","785","[c]","27930","27890"
"Leaver Dept.","2023","G6","Heterosexual / straight","395","[c]","67730","66530"
"Leaver Dept.","2023","G6","LGBO","35","[c]","67080","66340"
"Leaver Dept.","2023","G6","Undeclared","65","[c]","66990","66530"
"Leaver Dept.","2023","G6","Unknown","175","[c]","68180","66940"
"Leaver Dept.","2023","G7","Heterosexual / straight","1160","[c]","54890","54700"
"Leaver Dept.","2023","G7","LGBO","130","[c]","54980","54700"
"Leaver Dept.","2023","G7","Undeclared","165","[c]","55280","54700"
"Leaver Dept.","2023","G7","Unknown","465","[c]","55110","54760"
"Leaver Dept.","2023","HEO","Heterosexual / straight","1905","[c]","33920","33990"
"Leaver Dept.","2023","HEO","LGBO","215","[c]","33870","33830"
"Leaver Dept.","2023","HEO","Undeclared","250","[c]","34400","34170"
"Leaver Dept.","2023","HEO","Unknown","1315","[c]","32940","32000"
"Leaver Dept.","2023","SCS level","Heterosexual / straight","260","[c]","90740","82340"
"Leaver Dept.","2023","SCS level","LGBO","20","[c]","[c]","[c]"
"Leaver Dept.","2023","SCS level","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2023","SCS level","Unknown","75","[c]","87790","76740"
"Leaver Dept.","2023","SEO","Heterosexual / straight","1360","[c]","41290","41100"
"Leaver Dept.","2023","SEO","LGBO","155","[c]","41250","40800"
"Leaver Dept.","2023","SEO","Undeclared","185","[c]","41280","41230"
"Leaver Dept.","2023","SEO","Unknown","540","[c]","41500","41440"
"Leaver Dept.","2023","Unknown","Heterosexual / straight","120","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","35","[c]","[c]","[c]"
"New entrant CS","2023","AA","Heterosexual / straight","1760","[c]","22550","23230"
"New entrant CS","2023","AA","LGBO","210","[c]","22430","23230"
"New entrant CS","2023","AA","Undeclared","100","[c]","21900","22550"
"New entrant CS","2023","AA","Unknown","2250","[c]","22530","22180"
"New entrant CS","2023","AO","Heterosexual / straight","10330","[c]","24310","22520"
"New entrant CS","2023","AO","LGBO","1150","[c]","24160","22520"
"New entrant CS","2023","AO","Undeclared","645","[c]","23670","22500"
"New entrant CS","2023","AO","Unknown","9505","[c]","24130","22520"
"New entrant CS","2023","EO","Heterosexual / straight","4780","[c]","27920","27760"
"New entrant CS","2023","EO","LGBO","655","[c]","27450","27650"
"New entrant CS","2023","EO","Undeclared","450","[c]","27670","27420"
"New entrant CS","2023","EO","Unknown","4955","[c]","27600","26960"
"New entrant CS","2023","G6","Heterosexual / straight","415","[c]","69820","67910"
"New entrant CS","2023","G6","LGBO","30","[c]","[c]","[c]"
"New entrant CS","2023","G6","Undeclared","30","[c]","[c]","[c]"
"New entrant CS","2023","G6","Unknown","235","[c]","74120","70550"
"New entrant CS","2023","G7","Heterosexual / straight","1805","[c]","55540","54090"
"New entrant CS","2023","G7","LGBO","170","[c]","55470","54260"
"New entrant CS","2023","G7","Undeclared","195","[c]","54320","54090"
"New entrant CS","2023","G7","Unknown","735","[c]","56090","54690"
"New entrant CS","2023","HEO","Heterosexual / straight","3835","[c]","33740","33830"
"New entrant CS","2023","HEO","LGBO","525","[c]","33650","33560"
"New entrant CS","2023","HEO","Undeclared","400","[c]","33790","33830"
"New entrant CS","2023","HEO","Unknown","2635","[c]","33210","33520"
"New entrant CS","2023","SCS level","Heterosexual / straight","155","[c]","98400","91000"
"New entrant CS","2023","SCS level","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2023","SCS level","Undeclared","15","[c]","[c]","[c]"
"New entrant CS","2023","SCS level","Unknown","120","[c]","110290","99430"
"New entrant CS","2023","SEO","Heterosexual / straight","2605","[c]","41980","41190"
"New entrant CS","2023","SEO","LGBO","230","[c]","41210","40980"
"New entrant CS","2023","SEO","Undeclared","235","[c]","41700","41200"
"New entrant CS","2023","SEO","Unknown","1105","[c]","42050","41640"
"New entrant CS","2023","Unknown","Heterosexual / straight","2685","[c]","23990","23640"
"New entrant CS","2023","Unknown","LGBO","345","[c]","23010","23640"
"New entrant CS","2023","Unknown","Undeclared","125","[c]","24280","23640"
"New entrant CS","2023","Unknown","Unknown","1340","[c]","23400","23640"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
