"Status","Year","Age","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Digital, Data & Technology","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","South West (England)","Male","10","10","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","Male","5","5","[c]","[c]"
"In post","2023","16-19","Finance","South West (England)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Finance","South West (England)","Male","10","10","[c]","[c]"
"In post","2023","16-19","Finance","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","East of England","Female","10","10","[c]","[c]"
"In post","2023","16-19","Legal","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Legal","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","South East (England)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Legal","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","South West (England)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Legal","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Legal","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Yorkshire and The Humber","Female","10","10","[c]","[c]"
"In post","2023","16-19","Legal","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East Midlands (England)","Female","30","30","25320","23230"
"In post","2023","16-19","No function","East Midlands (England)","Male","35","35","25270","23230"
"In post","2023","16-19","No function","East of England","Female","30","25","[c]","[c]"
"In post","2023","16-19","No function","East of England","Male","35","30","24640","23230"
"In post","2023","16-19","No function","London","Female","35","35","27740","26920"
"In post","2023","16-19","No function","London","Male","35","35","27240","26400"
"In post","2023","16-19","No function","North East (England)","Female","30","25","[c]","[c]"
"In post","2023","16-19","No function","North East (England)","Male","25","25","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","Female","75","70","23700","22520"
"In post","2023","16-19","No function","North West (England)","Male","30","30","24280","22870"
"In post","2023","16-19","No function","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scotland","Female","25","25","[c]","[c]"
"In post","2023","16-19","No function","Scotland","Male","25","25","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","Female","65","65","24120","22880"
"In post","2023","16-19","No function","South East (England)","Male","60","60","23270","22400"
"In post","2023","16-19","No function","South West (England)","Female","35","35","23150","22520"
"In post","2023","16-19","No function","South West (England)","Male","70","70","20340","18780"
"In post","2023","16-19","No function","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Wales","Female","70","65","21420","22500"
"In post","2023","16-19","No function","Wales","Male","55","50","20820","21200"
"In post","2023","16-19","No function","West Midlands (England)","Female","30","30","23360","22500"
"In post","2023","16-19","No function","West Midlands (England)","Male","35","35","23920","23230"
"In post","2023","16-19","No function","Yorkshire and The Humber","Female","45","40","23820","23230"
"In post","2023","16-19","No function","Yorkshire and The Humber","Male","35","35","25290","23230"
"In post","2023","16-19","Project Delivery","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South West (England)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","South West (England)","Male","20","20","[c]","[c]"
"In post","2023","16-19","Project Delivery","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scotland","Male","5","5","[c]","[c]"
"In post","2023","16-19","Property","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","South East (England)","Male","15","15","[c]","[c]"
"In post","2023","16-19","Property","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","Female","30","30","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","Male","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South West (England)","Male","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Male","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Wales","Female","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Wales","Male","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","East Midlands (England)","Female","15","15","[c]","[c]"
"In post","2023","20-29","Analysis","East Midlands (England)","Male","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","East of England","Female","35","35","28280","25970"
"In post","2023","20-29","Analysis","East of England","Male","25","25","[c]","[c]"
"In post","2023","20-29","Analysis","London","Female","875","875","40180","38080"
"In post","2023","20-29","Analysis","London","Male","1050","1045","41100","39020"
"In post","2023","20-29","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","North East (England)","Female","70","65","32760","31560"
"In post","2023","20-29","Analysis","North East (England)","Male","60","60","32830","32520"
"In post","2023","20-29","Analysis","North West (England)","Female","110","110","37300","35000"
"In post","2023","20-29","Analysis","North West (England)","Male","165","165","36040","34700"
"In post","2023","20-29","Analysis","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Scotland","Female","25","25","[c]","[c]"
"In post","2023","20-29","Analysis","Scotland","Male","20","20","[c]","[c]"
"In post","2023","20-29","Analysis","South East (England)","Female","165","165","34870","31560"
"In post","2023","20-29","Analysis","South East (England)","Male","200","200","33910","31560"
"In post","2023","20-29","Analysis","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","South West (England)","Female","100","100","32470","30650"
"In post","2023","20-29","Analysis","South West (England)","Male","150","150","32450","30650"
"In post","2023","20-29","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Wales","Female","205","205","34950","31560"
"In post","2023","20-29","Analysis","Wales","Male","145","145","33060","31560"
"In post","2023","20-29","Analysis","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","West Midlands (England)","Female","35","35","33280","33480"
"In post","2023","20-29","Analysis","West Midlands (England)","Male","35","35","35840","34060"
"In post","2023","20-29","Analysis","Yorkshire and The Humber","Female","105","105","36600","34700"
"In post","2023","20-29","Analysis","Yorkshire and The Humber","Male","85","85","36120","33950"
"In post","2023","20-29","Commercial","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","East of England","Female","15","15","[c]","[c]"
"In post","2023","20-29","Commercial","East of England","Male","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","London","Female","200","200","41590","36600"
"In post","2023","20-29","Commercial","London","Male","170","170","41330","36000"
"In post","2023","20-29","Commercial","North East (England)","Female","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","North East (England)","Male","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","North West (England)","Female","70","70","35510","32230"
"In post","2023","20-29","Commercial","North West (England)","Male","55","55","35540","32180"
"In post","2023","20-29","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Overseas","Male","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Scotland","Female","35","35","32100","31290"
"In post","2023","20-29","Commercial","Scotland","Male","25","25","[c]","[c]"
"In post","2023","20-29","Commercial","South East (England)","Female","40","40","31180","29080"
"In post","2023","20-29","Commercial","South East (England)","Male","40","40","30340","28540"
"In post","2023","20-29","Commercial","South West (England)","Female","185","185","32180","31550"
"In post","2023","20-29","Commercial","South West (England)","Male","155","155","31330","31920"
"In post","2023","20-29","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Wales","Female","15","15","[c]","[c]"
"In post","2023","20-29","Commercial","Wales","Male","25","25","[c]","[c]"
"In post","2023","20-29","Commercial","West Midlands (England)","Female","20","20","[c]","[c]"
"In post","2023","20-29","Commercial","West Midlands (England)","Male","25","25","[c]","[c]"
"In post","2023","20-29","Commercial","Yorkshire and The Humber","Female","45","45","34110","31270"
"In post","2023","20-29","Commercial","Yorkshire and The Humber","Male","35","35","38330","37300"
"In post","2023","20-29","Communications","East Midlands (England)","Female","15","15","[c]","[c]"
"In post","2023","20-29","Communications","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","East of England","Female","5","5","[c]","[c]"
"In post","2023","20-29","Communications","East of England","Male","5","5","[c]","[c]"
"In post","2023","20-29","Communications","London","Female","370","370","38700","37870"
"In post","2023","20-29","Communications","London","Male","215","215","37970","36030"
"In post","2023","20-29","Communications","North East (England)","Female","15","15","[c]","[c]"
"In post","2023","20-29","Communications","North East (England)","Male","10","10","[c]","[c]"
"In post","2023","20-29","Communications","North West (England)","Female","25","25","[c]","[c]"
"In post","2023","20-29","Communications","North West (England)","Male","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Scotland","Female","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Scotland","Male","5","5","[c]","[c]"
"In post","2023","20-29","Communications","South East (England)","Female","25","25","[c]","[c]"
"In post","2023","20-29","Communications","South East (England)","Male","5","5","[c]","[c]"
"In post","2023","20-29","Communications","South West (England)","Female","30","30","32010","31100"
"In post","2023","20-29","Communications","South West (England)","Male","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Wales","Female","30","25","[c]","[c]"
"In post","2023","20-29","Communications","Wales","Male","10","10","[c]","[c]"
"In post","2023","20-29","Communications","West Midlands (England)","Female","15","15","[c]","[c]"
"In post","2023","20-29","Communications","West Midlands (England)","Male","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Yorkshire and The Humber","Female","15","15","[c]","[c]"
"In post","2023","20-29","Communications","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2023","20-29","Counter Fraud","East Midlands (England)","Female","55","55","30080","28120"
"In post","2023","20-29","Counter Fraud","East Midlands (England)","Male","55","55","31450","28130"
"In post","2023","20-29","Counter Fraud","East of England","Female","40","40","28180","28120"
"In post","2023","20-29","Counter Fraud","East of England","Male","40","40","27350","28120"
"In post","2023","20-29","Counter Fraud","London","Female","275","270","34260","32520"
"In post","2023","20-29","Counter Fraud","London","Male","235","235","34160","32530"
"In post","2023","20-29","Counter Fraud","North East (England)","Female","85","85","29530","28120"
"In post","2023","20-29","Counter Fraud","North East (England)","Male","75","75","30480","28120"
"In post","2023","20-29","Counter Fraud","North West (England)","Female","160","155","29150","28120"
"In post","2023","20-29","Counter Fraud","North West (England)","Male","125","125","30440","28120"
"In post","2023","20-29","Counter Fraud","Northern Ireland","Female","20","20","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Northern Ireland","Male","20","20","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Scotland","Female","95","95","29170","28120"
"In post","2023","20-29","Counter Fraud","Scotland","Male","70","70","28480","28120"
"In post","2023","20-29","Counter Fraud","South East (England)","Female","70","70","28360","28120"
"In post","2023","20-29","Counter Fraud","South East (England)","Male","40","40","28430","28120"
"In post","2023","20-29","Counter Fraud","South West (England)","Female","55","55","31070","28120"
"In post","2023","20-29","Counter Fraud","South West (England)","Male","30","30","31040","28120"
"In post","2023","20-29","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Wales","Female","80","80","28570","28120"
"In post","2023","20-29","Counter Fraud","Wales","Male","65","65","27250","27890"
"In post","2023","20-29","Counter Fraud","West Midlands (England)","Female","85","85","30100","28120"
"In post","2023","20-29","Counter Fraud","West Midlands (England)","Male","65","65","31710","28120"
"In post","2023","20-29","Counter Fraud","Yorkshire and The Humber","Female","70","70","29680","28120"
"In post","2023","20-29","Counter Fraud","Yorkshire and The Humber","Male","85","85","29330","28120"
"In post","2023","20-29","Debt","East Midlands (England)","Female","85","75","22540","22520"
