"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Counter Fraud","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Debt","London","AA/AO","AO","435","390","26750","26920"
"In post","2023","Debt","London","EO","EO","155","140","32710","32540"
"In post","2023","Debt","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Debt","London","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Debt","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Debt","London","SEO/HEO","HEO","25","20","40030","39790"
"In post","2023","Debt","London","SEO/HEO","SEO","10","10","47530","47840"
"In post","2023","Debt","Outside London","AA/AO","AA","30","25","21250","21250"
"In post","2023","Debt","Outside London","AA/AO","AO","5465","4875","22280","22520"
"In post","2023","Debt","Outside London","EO","EO","1215","1115","28330","28120"
"In post","2023","Debt","Outside London","G6/G7","G6","10","10","69930","71300"
"In post","2023","Debt","Outside London","G6/G7","G7","30","30","56670","56870"
"In post","2023","Debt","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Outside London","SEO/HEO","HEO","285","260","34860","34700"
"In post","2023","Debt","Outside London","SEO/HEO","SEO","80","75","42190","42510"
"In post","2023","Debt","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","London","AA/AO","AO","100","100","26190","26560"
"In post","2023","Digital, Data & Technology","London","EO","EO","570","555","30740","30160"
"In post","2023","Digital, Data & Technology","London","G6/G7","G6","570","565","72140","71520"
"In post","2023","Digital, Data & Technology","London","G6/G7","G7","1665","1630","59390","58910"
"In post","2023","Digital, Data & Technology","London","SCS level","SCS level","170","170","100540","93690"
"In post","2023","Digital, Data & Technology","London","SEO/HEO","HEO","1170","1150","36690","36180"
"In post","2023","Digital, Data & Technology","London","SEO/HEO","SEO","1310","1290","44560","43730"
"In post","2023","Digital, Data & Technology","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Outside London","AA/AO","AA","65","65","20770","21380"
"In post","2023","Digital, Data & Technology","Outside London","AA/AO","AO","715","690","22480","22220"
"In post","2023","Digital, Data & Technology","Outside London","EO","EO","3395","3235","28060","27960"
"In post","2023","Digital, Data & Technology","Outside London","G6/G7","G6","1300","1275","68000","66860"
"In post","2023","Digital, Data & Technology","Outside London","G6/G7","G7","4140","4055","54590","53720"
"In post","2023","Digital, Data & Technology","Outside London","SCS level","SCS level","220","220","93560","87880"
"In post","2023","Digital, Data & Technology","Outside London","SEO/HEO","HEO","5115","4965","34250","34170"
"In post","2023","Digital, Data & Technology","Outside London","SEO/HEO","SEO","5625","5470","41650","41480"
"In post","2023","Digital, Data & Technology","Outside London","Unknown","Unknown","95","95","36720","33580"
"In post","2023","Digital, Data & Technology","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","EO","EO","20","20","40170","36470"
"In post","2023","Digital, Data & Technology","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Overseas","SEO/HEO","HEO","30","30","39720","41230"
"In post","2023","Digital, Data & Technology","Overseas","SEO/HEO","SEO","20","20","40660","37810"
"In post","2023","Digital, Data & Technology","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","EO","EO","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","G6/G7","G7","10","10","55690","53490"
"In post","2023","Digital, Data & Technology","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Finance","London","AA/AO","AO","120","110","26240","26810"
"In post","2023","Finance","London","EO","EO","375","360","30900","31020"
"In post","2023","Finance","London","G6/G7","G6","375","370","72820","72450"
"In post","2023","Finance","London","G6/G7","G7","740","725","59280","59200"
"In post","2023","Finance","London","SCS level","SCS level","185","180","92150","84200"
"In post","2023","Finance","London","SEO/HEO","HEO","675","660","37180","37850"
"In post","2023","Finance","London","SEO/HEO","SEO","685","670","45250","44390"
"In post","2023","Finance","Outside London","AA/AO","AA","75","60","21950","22520"
"In post","2023","Finance","Outside London","AA/AO","AO","1755","1515","22680","22520"
"In post","2023","Finance","Outside London","EO","EO","1630","1540","27690","27650"
"In post","2023","Finance","Outside London","G6/G7","G6","485","475","67850","67700"
"In post","2023","Finance","Outside London","G6/G7","G7","1315","1275","54450","53960"
"In post","2023","Finance","Outside London","SCS level","SCS level","150","150","89840","80000"
"In post","2023","Finance","Outside London","SEO/HEO","HEO","2065","1975","34040","34170"
"In post","2023","Finance","Outside London","SEO/HEO","SEO","2110","2030","41600","41360"
"In post","2023","Finance","Outside London","Unknown","Unknown","60","60","53310","48840"
"In post","2023","Finance","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","EO","EO","15","15","40400","36850"
"In post","2023","Finance","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Finance","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","SEO/HEO","HEO","15","15","46170","44090"
"In post","2023","Finance","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","London","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Grants Management","London","G6/G7","G7","25","25","57710","59290"
"In post","2023","Grants Management","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","London","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Grants Management","London","SEO/HEO","SEO","15","15","43320","43210"
"In post","2023","Grants Management","Outside London","AA/AO","AO","1425","1295","22130","22150"
"In post","2023","Grants Management","Outside London","EO","EO","650","605","26090","25920"
"In post","2023","Grants Management","Outside London","G6/G7","G6","20","20","61000","61030"
"In post","2023","Grants Management","Outside London","G6/G7","G7","55","50","50230","49400"
"In post","2023","Grants Management","Outside London","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Grants Management","Outside London","SEO/HEO","HEO","270","250","30920","30640"
"In post","2023","Grants Management","Outside London","SEO/HEO","SEO","135","130","38110","37300"
"In post","2023","Human Resources","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","London","AA/AO","AO","80","80","26210","26400"
"In post","2023","Human Resources","London","EO","EO","465","450","30500","30130"
"In post","2023","Human Resources","London","G6/G7","G6","335","325","70980","70470"
"In post","2023","Human Resources","London","G6/G7","G7","690","675","58190","57910"
"In post","2023","Human Resources","London","SCS level","SCS level","160","155","90830","82540"
"In post","2023","Human Resources","London","SEO/HEO","HEO","755","735","36740","36620"
"In post","2023","Human Resources","London","SEO/HEO","SEO","570","550","44660","43760"
"In post","2023","Human Resources","London","Unknown","Unknown","10","10","41380","35030"
"In post","2023","Human Resources","Outside London","AA/AO","AA","80","70","21160","21380"
"In post","2023","Human Resources","Outside London","AA/AO","AO","1085","1000","22480","22220"
"In post","2023","Human Resources","Outside London","EO","EO","3110","2945","28290","28080"
"In post","2023","Human Resources","Outside London","G6/G7","G6","400","390","66520","66860"
"In post","2023","Human Resources","Outside London","G6/G7","G7","1305","1260","54040","53860"
"In post","2023","Human Resources","Outside London","SCS level","SCS level","105","105","87800","81700"
"In post","2023","Human Resources","Outside London","SEO/HEO","HEO","2975","2845","34150","34170"
"In post","2023","Human Resources","Outside London","SEO/HEO","SEO","1925","1845","41540","41200"
"In post","2023","Human Resources","Outside London","Unknown","Unknown","95","85","37790","38290"
"In post","2023","Human Resources","Overseas","EO","EO","15","15","35960","36720"
"In post","2023","Human Resources","Overseas","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Human Resources","Overseas","G6/G7","G7","20","20","78810","81660"
"In post","2023","Human Resources","Overseas","SEO/HEO","HEO","190","190","55070","56420"
"In post","2023","Human Resources","Overseas","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Human Resources","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","G6/G7","G7","10","10","52540","51290"
"In post","2023","Human Resources","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Human Resources","Unknown","SEO/HEO","SEO","10","5","[c]","[c]"
"In post","2023","Internal Audit","London","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Internal Audit","London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","London","G6/G7","G6","20","20","71900","67940"
"In post","2023","Internal Audit","London","G6/G7","G7","50","45","58120","56740"
"In post","2023","Internal Audit","London","SCS level","SCS level","15","15","99870","93220"
"In post","2023","Internal Audit","London","SEO/HEO","HEO","40","40","37340","35930"
"In post","2023","Internal Audit","London","SEO/HEO","SEO","60","55","48740","47950"
"In post","2023","Internal Audit","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Outside London","AA/AO","AO","15","15","24830","22330"
"In post","2023","Internal Audit","Outside London","EO","EO","30","30","28150","27470"
"In post","2023","Internal Audit","Outside London","G6/G7","G6","55","55","65230","64280"
"In post","2023","Internal Audit","Outside London","G6/G7","G7","90","85","52970","51350"
"In post","2023","Internal Audit","Outside London","SCS level","SCS level","10","10","93170","85800"
"In post","2023","Internal Audit","Outside London","SEO/HEO","HEO","105","100","34320","33990"
"In post","2023","Internal Audit","Outside London","SEO/HEO","SEO","205","190","44340","43470"
"In post","2023","Internal Audit","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","SEO/HEO","SEO","10","10","43380","43290"
"In post","2023","Legal","London","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","Legal","London","AA/AO","AO","440","415","24540","24480"
"In post","2023","Legal","London","EO","EO","830","795","29810","29660"
"In post","2023","Legal","London","G6/G7","G6","1195","1105","71570","69810"
"In post","2023","Legal","London","G6/G7","G7","1835","1720","57760","55170"
"In post","2023","Legal","London","SCS level","SCS level","375","360","90200","83660"
"In post","2023","Legal","London","SEO/HEO","HEO","390","385","37630","36200"
"In post","2023","Legal","London","SEO/HEO","SEO","210","200","42190","41190"
"In post","2023","Legal","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Outside London","AA/AO","AA","10","10","21260","21790"
"In post","2023","Legal","Outside London","AA/AO","AO","1375","1265","22900","22870"
"In post","2023","Legal","Outside London","EO","EO","1450","1345","28140","28130"
"In post","2023","Legal","Outside London","G6/G7","G6","590","560","72030","72380"
"In post","2023","Legal","Outside London","G6/G7","G7","3210","2955","56120","55990"
"In post","2023","Legal","Outside London","SCS level","SCS level","110","110","89440","85200"
"In post","2023","Legal","Outside London","SEO/HEO","HEO","775","735","34450","34850"
"In post","2023","Legal","Outside London","SEO/HEO","SEO","565","540","41000","40800"
"In post","2023","Legal","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Overseas","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Legal","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","No function","London","AA/AO","AA","1315","1205","24810","23500"
"In post","2023","No function","London","AA/AO","AO","8120","7530","28220","26400"
"In post","2023","No function","London","EO","EO","14300","13460","31580","31260"
"In post","2023","No function","London","G6/G7","G6","4475","4315","69790","67940"
"In post","2023","No function","London","G6/G7","G7","10615","10365","57770","56340"
"In post","2023","No function","London","SCS level","SCS level","2400","2305","90450","80780"
"In post","2023","No function","London","SEO/HEO","HEO","10695","10440","37070","36180"
"In post","2023","No function","London","SEO/HEO","SEO","8885","8685","44120","43210"
"In post","2023","No function","London","Unknown","Unknown","2435","2310","35190","33050"
"In post","2023","No function","Outside London","AA/AO","AA","11625","10230","21730","22080"
"In post","2023","No function","Outside London","AA/AO","AO","86315","77575","24230","22500"
"In post","2023","No function","Outside London","EO","EO","79050","72630","28610","28120"
"In post","2023","No function","Outside London","G6/G7","G6","3805","3610","71270","68690"
"In post","2023","No function","Outside London","G6/G7","G7","10490","10145","55990","54500"
"In post","2023","No function","Outside London","SCS level","SCS level","1005","960","94200","88420"
"In post","2023","No function","Outside London","SEO/HEO","HEO","33590","31985","34610","34300"
"In post","2023","No function","Outside London","SEO/HEO","SEO","18970","18185","43000","41800"
"In post","2023","No function","Outside London","Unknown","Unknown","19185","17800","29940","29050"
"In post","2023","No function","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","No function","Overseas","AA/AO","AO","40","40","30690","26740"
"In post","2023","No function","Overseas","EO","EO","105","100","34400","30990"
"In post","2023","No function","Overseas","G6/G7","G6","385","385","68290","66660"
"In post","2023","No function","Overseas","G6/G7","G7","745","740","56530","55970"
"In post","2023","No function","Overseas","SCS level","SCS level","275","275","87350","77670"
"In post","2023","No function","Overseas","SEO/HEO","HEO","675","675","36100","34950"
"In post","2023","No function","Overseas","SEO/HEO","SEO","330","330","47350","45150"
"In post","2023","No function","Overseas","Unknown","Unknown","125","125","[c]","[c]"
"In post","2023","No function","Unknown","AA/AO","AA","25","25","22890","23230"
"In post","2023","No function","Unknown","AA/AO","AO","160","150","23690","21780"
"In post","2023","No function","Unknown","EO","EO","310","280","28550","28120"
"In post","2023","No function","Unknown","G6/G7","G6","10","10","66350","65820"
"In post","2023","No function","Unknown","G6/G7","G7","40","40","59070","57180"
"In post","2023","No function","Unknown","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","No function","Unknown","SEO/HEO","HEO","95","90","39820","37330"
"In post","2023","No function","Unknown","SEO/HEO","SEO","65","60","46960","47380"
"In post","2023","No function","Unknown","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Project Delivery","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","London","AA/AO","AO","60","60","26230","26560"
"In post","2023","Project Delivery","London","EO","EO","405","390","31040","31380"
"In post","2023","Project Delivery","London","G6/G7","G6","870","835","72670","71820"
"In post","2023","Project Delivery","London","G6/G7","G7","1540","1490","59040","57620"
"In post","2023","Project Delivery","London","SCS level","SCS level","450","435","94890","86950"
"In post","2023","Project Delivery","London","SEO/HEO","HEO","1110","1085","36590","36620"
"In post","2023","Project Delivery","London","SEO/HEO","SEO","1030","1005","44660","45040"
"In post","2023","Project Delivery","Outside London","AA/AO","AA","35","35","18880","19080"
"In post","2023","Project Delivery","Outside London","AA/AO","AO","350","330","22570","22520"
"In post","2023","Project Delivery","Outside London","EO","EO","1415","1320","27410","27890"
"In post","2023","Project Delivery","Outside London","G6/G7","G6","1230","1195","68310","68260"
"In post","2023","Project Delivery","Outside London","G6/G7","G7","3415","3315","53990","54960"
"In post","2023","Project Delivery","Outside London","SCS level","SCS level","235","230","88110","80490"
"In post","2023","Project Delivery","Outside London","SEO/HEO","HEO","3775","3585","33610","34170"
"In post","2023","Project Delivery","Outside London","SEO/HEO","SEO","4525","4360","41140","41770"
"In post","2023","Project Delivery","Outside London","Unknown","Unknown","1690","1645","43120","41160"
"In post","2023","Project Delivery","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Overseas","G6/G7","G6","20","20","71300","66060"
"In post","2023","Project Delivery","Overseas","G6/G7","G7","30","30","61820","57000"
"In post","2023","Project Delivery","Overseas","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Project Delivery","Overseas","SEO/HEO","HEO","30","30","38960","35810"
"In post","2023","Project Delivery","Overseas","SEO/HEO","SEO","30","30","62950","64340"
"In post","2023","Project Delivery","Overseas","Unknown","Unknown","25","25","52350","43590"
"In post","2023","Project Delivery","Unknown","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Project Delivery","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Unknown","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Property","London","AA/AO","AA","40","40","22100","21830"
"In post","2023","Property","London","AA/AO","AO","85","75","26690","26920"
"In post","2023","Property","London","EO","EO","275","260","31180","31540"
"In post","2023","Property","London","G6/G7","G6","100","95","69670","68950"
"In post","2023","Property","London","G6/G7","G7","245","240","60010","59050"
"In post","2023","Property","London","SCS level","SCS level","40","40","95710","92780"
"In post","2023","Property","London","SEO/HEO","HEO","295","285","36570","36350"
"In post","2023","Property","London","SEO/HEO","SEO","285","275","46670","46430"
"In post","2023","Property","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Outside London","AA/AO","AA","580","555","19700","18830"
"In post","2023","Property","Outside London","AA/AO","AO","1175","1095","23430","22520"
"In post","2023","Property","Outside London","EO","EO","1325","1240","27650","27470"
"In post","2023","Property","Outside London","G6/G7","G6","275","275","65950","66140"
"In post","2023","Property","Outside London","G6/G7","G7","885","855","54940","55110"
"In post","2023","Property","Outside London","SCS level","SCS level","70","70","91550","83460"
"In post","2023","Property","Outside London","SEO/HEO","HEO","1640","1585","33830","33990"
"In post","2023","Property","Outside London","SEO/HEO","SEO","1450","1390","42580","41800"
"In post","2023","Property","Outside London","Unknown","Unknown","35","35","24170","23800"
"In post","2023","Property","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Property","Overseas","G6/G7","G7","10","10","62130","61280"
"In post","2023","Property","Overseas","SEO/HEO","HEO","25","25","42680","41310"
"In post","2023","Property","Overseas","SEO/HEO","SEO","25","25","47630","44690"
"In post","2023","Property","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Property","Unknown","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Property","Unknown","SEO/HEO","HEO","15","15","41790","40000"
"In post","2023","Property","Unknown","SEO/HEO","SEO","20","20","46210","44330"
"In post","2023","Security","London","AA/AO","AA","150","150","24270","24380"
"In post","2023","Security","London","AA/AO","AO","200","190","32560","28950"
"In post","2023","Security","London","EO","EO","255","250","32490","31340"
"In post","2023","Security","London","G6/G7","G6","135","135","71280","70100"
"In post","2023","Security","London","G6/G7","G7","300","295","58700","58970"
