"Status","Year","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Legal","EO","Heterosexual / straight","1570","1480","28660","28200"
"In post","2023","Legal","EO","LGBO","130","130","28330","28120"
"In post","2023","Legal","EO","Undeclared","115","110","29240","28410"
"In post","2023","Legal","EO","Unknown","460","425","29050","28850"
"In post","2023","Legal","G6/G7","Heterosexual / straight","4800","4480","59970","57790"
"In post","2023","Legal","G6/G7","LGBO","290","280","60670","57970"
"In post","2023","Legal","G6/G7","Undeclared","395","370","63000","62760"
"In post","2023","Legal","G6/G7","Unknown","1350","1220","62430","61730"
"In post","2023","Legal","SCS level","Heterosexual / straight","335","325","90820","85000"
"In post","2023","Legal","SCS level","LGBO","35","35","90600","85000"
"In post","2023","Legal","SCS level","Undeclared","30","30","[c]","[c]"
"In post","2023","Legal","SCS level","Unknown","85","85","88340","83230"
"In post","2023","Legal","SEO/HEO","Heterosexual / straight","1360","1305","37720","37680"
"In post","2023","Legal","SEO/HEO","LGBO","95","95","37220","36990"
"In post","2023","Legal","SEO/HEO","Undeclared","100","100","38190","37680"
"In post","2023","Legal","SEO/HEO","Unknown","385","365","38260","36780"
"In post","2023","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","No function","AA/AO","Heterosexual / straight","67995","61140","24320","22520"
"In post","2023","No function","AA/AO","LGBO","4475","4265","24950","22520"
"In post","2023","No function","AA/AO","Undeclared","8320","7275","23710","22400"
"In post","2023","No function","AA/AO","Unknown","26810","24075","24210","22520"
"In post","2023","No function","EO","Heterosexual / straight","62235","57350","29050","28120"
"In post","2023","No function","EO","LGBO","3835","3700","28960","28120"
"In post","2023","No function","EO","Undeclared","8020","7250","29070","28120"
"In post","2023","No function","EO","Unknown","19680","18175","29140","28120"
"In post","2023","No function","G6/G7","Heterosexual / straight","21425","20730","60810","58350"
"In post","2023","No function","G6/G7","LGBO","1735","1715","59540","56870"
"In post","2023","No function","G6/G7","Undeclared","2865","2765","60880","58050"
"In post","2023","No function","G6/G7","Unknown","4550","4405","60550","58520"
"In post","2023","No function","SCS level","Heterosexual / straight","2665","2560","90340","81060"
"In post","2023","No function","SCS level","LGBO","220","215","88450","79470"
"In post","2023","No function","SCS level","Undeclared","245","230","92060","84130"
"In post","2023","No function","SCS level","Unknown","565","540","96420","86570"
"In post","2023","No function","SEO/HEO","Heterosexual / straight","51900","49855","38400","37300"
"In post","2023","No function","SEO/HEO","LGBO","3660","3590","37840","36350"
"In post","2023","No function","SEO/HEO","Undeclared","6700","6390","38760","37710"
"In post","2023","No function","SEO/HEO","Unknown","11040","10620","38220","36670"
"In post","2023","No function","Unknown","Heterosexual / straight","15975","14905","30910","29050"
"In post","2023","No function","Unknown","LGBO","1260","1225","29710","26840"
"In post","2023","No function","Unknown","Undeclared","1245","1150","32850","30840"
"In post","2023","No function","Unknown","Unknown","3270","2960","28080","26840"
"In post","2023","Project Delivery","AA/AO","Heterosexual / straight","265","250","22820","22520"
"In post","2023","Project Delivery","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2023","Project Delivery","AA/AO","Undeclared","30","25","[c]","[c]"
"In post","2023","Project Delivery","AA/AO","Unknown","130","120","22960","22520"
"In post","2023","Project Delivery","EO","Heterosexual / straight","1305","1220","28160","28120"
"In post","2023","Project Delivery","EO","LGBO","80","80","27950","27980"
"In post","2023","Project Delivery","EO","Undeclared","115","110","28560","28120"
"In post","2023","Project Delivery","EO","Unknown","325","300","28470","28130"
"In post","2023","Project Delivery","G6/G7","Heterosexual / straight","5245","5075","59780","57970"
"In post","2023","Project Delivery","G6/G7","LGBO","305","305","59840","57880"
"In post","2023","Project Delivery","G6/G7","Undeclared","505","490","60210","57970"
"In post","2023","Project Delivery","G6/G7","Unknown","1055","1025","60520","57970"
"In post","2023","Project Delivery","SCS level","Heterosexual / straight","500","485","92860","86450"
"In post","2023","Project Delivery","SCS level","LGBO","35","35","87720","79870"
"In post","2023","Project Delivery","SCS level","Undeclared","70","65","96420","86250"
"In post","2023","Project Delivery","SCS level","Unknown","90","90","89690","82680"
"In post","2023","Project Delivery","SEO/HEO","Heterosexual / straight","7455","7150","38430","38790"
"In post","2023","Project Delivery","SEO/HEO","LGBO","450","440","37630","37590"
"In post","2023","Project Delivery","SEO/HEO","Undeclared","800","760","39050","39500"
"In post","2023","Project Delivery","SEO/HEO","Unknown","1800","1745","37870","38020"
"In post","2023","Project Delivery","Unknown","Heterosexual / straight","1330","1300","43830","41790"
"In post","2023","Project Delivery","Unknown","LGBO","45","45","36290","32650"
"In post","2023","Project Delivery","Unknown","Undeclared","155","145","47790","44550"
"In post","2023","Project Delivery","Unknown","Unknown","180","180","36980","33000"
"In post","2023","Property","AA/AO","Heterosexual / straight","1015","955","21910","22520"
"In post","2023","Property","AA/AO","LGBO","55","55","22400","22520"
"In post","2023","Property","AA/AO","Undeclared","120","110","21960","22520"
"In post","2023","Property","AA/AO","Unknown","685","640","23200","22520"
"In post","2023","Property","EO","Heterosexual / straight","1050","985","28130","27740"
"In post","2023","Property","EO","LGBO","50","50","28020","27190"
"In post","2023","Property","EO","Undeclared","115","100","28690","27810"
"In post","2023","Property","EO","Unknown","390","370","28590","27740"
"In post","2023","Property","G6/G7","Heterosexual / straight","1165","1135","58750","57970"
"In post","2023","Property","G6/G7","LGBO","50","45","57380","56070"
"In post","2023","Property","G6/G7","Undeclared","140","135","58550","57990"
"In post","2023","Property","G6/G7","Unknown","175","170","59770","57990"
"In post","2023","Property","SCS level","Heterosexual / straight","85","85","91130","85410"
"In post","2023","Property","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Property","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Property","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Property","SEO/HEO","Heterosexual / straight","2675","2580","38660","38050"
"In post","2023","Property","SEO/HEO","LGBO","110","105","37380","35410"
"In post","2023","Property","SEO/HEO","Undeclared","325","305","39340","38440"
"In post","2023","Property","SEO/HEO","Unknown","645","625","38460","37080"
"In post","2023","Property","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Security","AA/AO","Heterosexual / straight","3790","3685","28100","22970"
"In post","2023","Security","AA/AO","LGBO","125","125","28630","26410"
"In post","2023","Security","AA/AO","Undeclared","465","445","30820","25650"
"In post","2023","Security","AA/AO","Unknown","1115","1095","29840","27500"
"In post","2023","Security","EO","Heterosexual / straight","1015","985","32600","28220"
"In post","2023","Security","EO","LGBO","60","60","30600","27430"
"In post","2023","Security","EO","Undeclared","145","140","36560","32100"
"In post","2023","Security","EO","Unknown","250","245","30210","27650"
"In post","2023","Security","G6/G7","Heterosexual / straight","550","540","60870","58970"
"In post","2023","Security","G6/G7","LGBO","30","30","60080","58370"
"In post","2023","Security","G6/G7","Undeclared","70","70","60650","57970"
"In post","2023","Security","G6/G7","Unknown","155","155","61380","58970"
"In post","2023","Security","SCS level","Heterosexual / straight","60","60","92330","86590"
"In post","2023","Security","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Security","SCS level","Unknown","15","15","[c]","[c]"
"In post","2023","Security","SEO/HEO","Heterosexual / straight","1490","1460","39950","38470"
"In post","2023","Security","SEO/HEO","LGBO","90","90","38370","37560"
"In post","2023","Security","SEO/HEO","Undeclared","220","215","41030","39210"
"In post","2023","Security","SEO/HEO","Unknown","330","325","39230","38640"
"In post","2023","Security","Unknown","Heterosexual / straight","35","35","37510","35250"
"In post","2023","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Security","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Unknown","AA/AO","Heterosexual / straight","2255","2125","25140","25620"
"In post","2023","Unknown","AA/AO","LGBO","240","235","24080","23340"
"In post","2023","Unknown","AA/AO","Undeclared","205","190","24830","25620"
"In post","2023","Unknown","AA/AO","Unknown","2130","2005","24930","24890"
"In post","2023","Unknown","EO","Heterosexual / straight","3140","2990","30250","30440"
"In post","2023","Unknown","EO","LGBO","295","290","29680","29450"
"In post","2023","Unknown","EO","Undeclared","235","225","30190","30610"
"In post","2023","Unknown","EO","Unknown","1440","1385","30480","29450"
"In post","2023","Unknown","G6/G7","Heterosexual / straight","4375","4190","63710","63900"
"In post","2023","Unknown","G6/G7","LGBO","295","285","63250","63900"
"In post","2023","Unknown","G6/G7","Undeclared","365","345","64550","63900"
"In post","2023","Unknown","G6/G7","Unknown","1320","1260","62120","59890"
"In post","2023","Unknown","SCS level","Heterosexual / straight","395","385","90930","85080"
"In post","2023","Unknown","SCS level","LGBO","30","30","85090","83530"
"In post","2023","Unknown","SCS level","Undeclared","40","35","88390","83530"
"In post","2023","Unknown","SCS level","Unknown","120","115","91170","85200"
"In post","2023","Unknown","SEO/HEO","Heterosexual / straight","7810","7505","41060","39690"
"In post","2023","Unknown","SEO/HEO","LGBO","690","675","39360","39150"
"In post","2023","Unknown","SEO/HEO","Undeclared","695","670","41270","39690"
"In post","2023","Unknown","SEO/HEO","Unknown","3055","2955","38080","37830"
"In post","2023","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","1700","1700","41930","40000"
"Leaver CS","2023","Analysis","AA/AO","Heterosexual / straight","95","[c]","21910","21200"
"Leaver CS","2023","Analysis","AA/AO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","AA/AO","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","AA/AO","Unknown","90","[c]","21060","19680"
"Leaver CS","2023","Analysis","EO","Heterosexual / straight","45","[c]","28140","27570"
"Leaver CS","2023","Analysis","EO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","EO","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","EO","Unknown","40","[c]","27080","26250"
"Leaver CS","2023","Analysis","G6/G7","Heterosexual / straight","80","[c]","60470","56130"
"Leaver CS","2023","Analysis","G6/G7","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","G6/G7","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","G6/G7","Unknown","70","[c]","53280","49260"
"Leaver CS","2023","Analysis","SCS level","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","SEO/HEO","Heterosexual / straight","160","[c]","37190","37590"
"Leaver CS","2023","Analysis","SEO/HEO","LGBO","20","[c]","[c]","[c]"
