"Status","Year","Disability","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Finance","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Human Resources","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Legal","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","No function","Female","150","140","35080","32520"
"In post","2023","Declared disabled","Other ethnicity","No function","Male","125","115","34790","32520"
"In post","2023","Declared disabled","Other ethnicity","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Project Delivery","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Project Delivery","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Analysis","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Analysis","Male","50","45","47970","49260"
"In post","2023","Declared disabled","Undeclared","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Commercial","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Commercial","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Communications","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Counter Fraud","Female","50","45","30250","28120"
"In post","2023","Declared disabled","Undeclared","Counter Fraud","Male","45","40","33520","28120"
"In post","2023","Declared disabled","Undeclared","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Debt","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Debt","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Digital, Data & Technology","Female","30","30","39520","35150"
"In post","2023","Declared disabled","Undeclared","Digital, Data & Technology","Male","80","75","42220","39110"
"In post","2023","Declared disabled","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Finance","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Finance","Male","30","30","41630","38470"
"In post","2023","Declared disabled","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Grants Management","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Grants Management","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Human Resources","Female","35","30","38060","34300"
"In post","2023","Declared disabled","Undeclared","Human Resources","Male","35","35","38270","37420"
"In post","2023","Declared disabled","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Legal","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Legal","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","No function","Female","740","650","29910","28120"
"In post","2023","Declared disabled","Undeclared","No function","Male","760","715","31930","28120"
"In post","2023","Declared disabled","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Project Delivery","Female","35","35","42760","39890"
"In post","2023","Declared disabled","Undeclared","Project Delivery","Male","65","60","46980","43980"
"In post","2023","Declared disabled","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Property","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Property","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Security","Female","15","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Security","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Unknown","Female","30","25","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Unknown","Male","80","75","45450","49260"
"In post","2023","Declared disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Analysis","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Analysis","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Commercial","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Commercial","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Communications","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Counter Fraud","Female","30","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Counter Fraud","Male","25","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Debt","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Debt","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Digital, Data & Technology","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Digital, Data & Technology","Male","35","35","38920","35350"
"In post","2023","Declared disabled","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Finance","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Finance","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Human Resources","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Human Resources","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Legal","Female","35","35","40110","31900"
"In post","2023","Declared disabled","Unknown","Legal","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","No function","Female","520","465","31040","28120"
"In post","2023","Declared disabled","Unknown","No function","Male","390","360","34600","32000"
"In post","2023","Declared disabled","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Project Delivery","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Project Delivery","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Property","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Property","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Security","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Female","55","55","35420","30440"
"In post","2023","Declared disabled","Unknown","Unknown","Male","45","45","44610","39890"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Analysis","Female","440","405","42180","39300"
"In post","2023","Declared disabled","White","Analysis","Male","400","385","43410","39890"
"In post","2023","Declared disabled","White","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Commercial","Female","350","335","44450","40600"
"In post","2023","Declared disabled","White","Commercial","Male","265","265","51360","44200"
"In post","2023","Declared disabled","White","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Communications","Female","180","170","41600","38940"
"In post","2023","Declared disabled","White","Communications","Male","105","105","41030","38120"
"In post","2023","Declared disabled","White","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Counter Fraud","Female","1055","930","32010","28130"
"In post","2023","Declared disabled","White","Counter Fraud","Male","685","640","33200","29730"
"In post","2023","Declared disabled","White","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Debt","Female","465","395","24700","22520"
"In post","2023","Declared disabled","White","Debt","Male","260","240","24220","22520"
"In post","2023","Declared disabled","White","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Digital, Data & Technology","Female","970","920","40400","37590"
"In post","2023","Declared disabled","White","Digital, Data & Technology","Male","1165","1130","42030","38470"
"In post","2023","Declared disabled","White","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Finance","Female","630","570","37460","34170"
"In post","2023","Declared disabled","White","Finance","Male","400","380","40700","35550"
"In post","2023","Declared disabled","White","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Grants Management","Female","240","215","25980","22150"
"In post","2023","Declared disabled","White","Grants Management","Male","125","120","25600","22150"
"In post","2023","Declared disabled","White","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Human Resources","Female","1090","1015","39810","35000"
"In post","2023","Declared disabled","White","Human Resources","Male","575","560","38390","34300"
"In post","2023","Declared disabled","White","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Internal Audit","Female","45","40","45020","41660"
"In post","2023","Declared disabled","White","Internal Audit","Male","30","30","48660","45880"
"In post","2023","Declared disabled","White","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Legal","Female","660","600","44060","40410"
"In post","2023","Declared disabled","White","Legal","Male","355","340","47960","52020"
"In post","2023","Declared disabled","White","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","No function","Female","20955","18510","30520","28120"
"In post","2023","Declared disabled","White","No function","Male","12160","11490","32430","28120"
"In post","2023","Declared disabled","White","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Project Delivery","Female","1105","1035","42170","38470"
"In post","2023","Declared disabled","White","Project Delivery","Male","825","800","45090","41800"
"In post","2023","Declared disabled","White","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","Property","Female","315","295","36850","33990"
"In post","2023","Declared disabled","White","Property","Male","315","300","38500","34850"
