"Status","Year","Ethnicity","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","London","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Internal Audit","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","London","SEO/HEO","40","40","42720","43000"
"In post","2023","Asian","Internal Audit","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Internal Audit","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Outside London","SEO/HEO","30","30","39410","40180"
"In post","2023","Asian","Internal Audit","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","London","EO","5","5","[c]","[c]"
"In post","2023","Asian","International Trade","London","G6/G7","40","40","59380","56270"
"In post","2023","Asian","International Trade","London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","International Trade","London","SEO/HEO","70","70","38840","39620"
"In post","2023","Asian","International Trade","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Asian","International Trade","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Outside London","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","International Trade","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","London","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","London","EO","20","15","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","London","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","London","SEO/HEO","45","45","38270","36310"
"In post","2023","Asian","Knowledge and Information Management","Outside London","AA/AO","10","5","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Outside London","EO","15","15","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Outside London","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","London","AA/AO","10","5","[c]","[c]"
"In post","2023","Asian","Legal","London","EO","70","70","31130","32260"
"In post","2023","Asian","Legal","London","G6/G7","405","380","60680","58820"
"In post","2023","Asian","Legal","London","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Legal","London","SEO/HEO","100","95","41910","40800"
"In post","2023","Asian","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Outside London","EO","55","50","27860","27890"
"In post","2023","Asian","Legal","Outside London","G6/G7","255","240","55630","53750"
"In post","2023","Asian","Legal","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Outside London","SEO/HEO","165","155","38820","38760"
"In post","2023","Asian","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","London","EO","5","5","[c]","[c]"
"In post","2023","Asian","Medicine","London","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","Medicine","London","SCS level","25","25","[c]","[c]"
"In post","2023","Asian","Medicine","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Medicine","Outside London","AA/AO","30","30","[c]","[c]"
"In post","2023","Asian","Medicine","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Outside London","G6/G7","35","30","82490","84940"
"In post","2023","Asian","Medicine","Outside London","SCS level","30","25","[c]","[c]"
"In post","2023","Asian","Medicine","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Medicine","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","London","AA/AO","1885","1670","26440","25810"
"In post","2023","Asian","Operational Delivery","London","EO","2875","2625","31370","31670"
"In post","2023","Asian","Operational Delivery","London","G6/G7","225","220","62230","59290"
"In post","2023","Asian","Operational Delivery","London","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","Operational Delivery","London","SEO/HEO","1205","1175","39620","39150"
"In post","2023","Asian","Operational Delivery","London","Unknown","200","190","33740","33050"
"In post","2023","Asian","Operational Delivery","Outside London","AA/AO","5325","4695","22750","22220"
"In post","2023","Asian","Operational Delivery","Outside London","EO","4325","4005","28020","28120"
"In post","2023","Asian","Operational Delivery","Outside London","G6/G7","165","160","57250","55780"
"In post","2023","Asian","Operational Delivery","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Outside London","SEO/HEO","1555","1480","36810","34850"
"In post","2023","Asian","Operational Delivery","Outside London","Unknown","750","695","28410","25300"
"In post","2023","Asian","Operational Delivery","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Unknown","AA/AO","15","10","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Unknown","EO","30","30","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","London","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Operational Research","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","London","SEO/HEO","30","30","[c]","[c]"
"In post","2023","Asian","Operational Research","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Operational Research","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","Outside London","SEO/HEO","20","15","[c]","[c]"
"In post","2023","Asian","Other","London","AA/AO","45","40","25430","26400"
"In post","2023","Asian","Other","London","EO","130","125","30460","30140"
"In post","2023","Asian","Other","London","G6/G7","45","45","64550","59510"
"In post","2023","Asian","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","London","SEO/HEO","150","150","39410","37720"
"In post","2023","Asian","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Outside London","AA/AO","435","375","22080","21690"
"In post","2023","Asian","Other","Outside London","EO","105","100","28270","28120"
"In post","2023","Asian","Other","Outside London","G6/G7","25","25","[c]","[c]"
"In post","2023","Asian","Other","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Outside London","SEO/HEO","75","70","35780","34170"
"In post","2023","Asian","Other","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","London","AA/AO","35","35","26350","25610"
"In post","2023","Asian","Policy","London","EO","170","165","30210","29890"
"In post","2023","Asian","Policy","London","G6/G7","675","660","59760","57690"
"In post","2023","Asian","Policy","London","SCS level","75","75","83900","78320"
"In post","2023","Asian","Policy","London","SEO/HEO","920","905","39440","39900"
"In post","2023","Asian","Policy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Policy","Outside London","EO","55","55","26600","25920"
"In post","2023","Asian","Policy","Outside London","G6/G7","105","100","54830","52150"
"In post","2023","Asian","Policy","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Policy","Outside London","SEO/HEO","260","255","35670","37090"
"In post","2023","Asian","Policy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Overseas","EO","5","5","[c]","[c]"
"In post","2023","Asian","Policy","Overseas","G6/G7","55","55","60290","59530"
"In post","2023","Asian","Policy","Overseas","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Policy","Overseas","SEO/HEO","40","40","35300","34220"
"In post","2023","Asian","Policy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","London","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Project Delivery","London","EO","70","70","30690","30560"
"In post","2023","Asian","Project Delivery","London","G6/G7","180","180","62850","60200"
"In post","2023","Asian","Project Delivery","London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Project Delivery","London","SEO/HEO","345","340","40170","40070"
"In post","2023","Asian","Project Delivery","Outside London","AA/AO","15","15","[c]","[c]"
"In post","2023","Asian","Project Delivery","Outside London","EO","65","65","27640","28080"
"In post","2023","Asian","Project Delivery","Outside London","G6/G7","135","135","57420","56180"
"In post","2023","Asian","Project Delivery","Outside London","SCS level","5","5","[c]","[c]"
