"Status","Year","Age","Disability","Ethnicity","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Undeclared","Asian","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Asian","SEO","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Asian","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","Black","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Black","AO","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","Black","EO","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Black","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Black","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Black","HEO","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Black","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Mixed","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Mixed","AO","20","20","[c]","[c]"
"In post","2023","20-29","Undeclared","Mixed","EO","20","20","[c]","[c]"
"In post","2023","20-29","Undeclared","Mixed","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Mixed","G7","5","5","[c]","[c]"
"In post","2023","20-29","Undeclared","Mixed","HEO","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Mixed","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Other ethnicity","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Other ethnicity","AO","5","5","[c]","[c]"
"In post","2023","20-29","Undeclared","Other ethnicity","EO","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","Other ethnicity","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Other ethnicity","G7","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","Other ethnicity","HEO","20","20","[c]","[c]"
"In post","2023","20-29","Undeclared","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Other ethnicity","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Undeclared","AA","5","5","[c]","[c]"
"In post","2023","20-29","Undeclared","Undeclared","AO","110","110","26400","24350"
"In post","2023","20-29","Undeclared","Undeclared","EO","70","70","29380","28120"
"In post","2023","20-29","Undeclared","Undeclared","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Undeclared","G7","30","30","55580","55720"
"In post","2023","20-29","Undeclared","Undeclared","HEO","90","90","34060","34170"
"In post","2023","20-29","Undeclared","Undeclared","SEO","60","60","41070","41280"
"In post","2023","20-29","Undeclared","Undeclared","Unknown","20","15","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","AO","20","20","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","EO","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","G7","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","HEO","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","SEO","30","30","40360","40180"
"In post","2023","20-29","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","White","AA","45","45","22440","23230"
"In post","2023","20-29","Undeclared","White","AO","360","355","24480","22520"
"In post","2023","20-29","Undeclared","White","EO","325","320","28400","28120"
"In post","2023","20-29","Undeclared","White","G6","5","5","[c]","[c]"
"In post","2023","20-29","Undeclared","White","G7","100","100","54870","54680"
"In post","2023","20-29","Undeclared","White","HEO","315","315","33850","33830"
"In post","2023","20-29","Undeclared","White","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","White","SEO","150","150","41160","41200"
"In post","2023","20-29","Undeclared","White","Unknown","85","85","25030","24190"
"In post","2023","20-29","Unknown","Asian","AA","10","10","[c]","[c]"
"In post","2023","20-29","Unknown","Asian","AO","195","190","23650","22520"
"In post","2023","20-29","Unknown","Asian","EO","315","310","28890","28130"
"In post","2023","20-29","Unknown","Asian","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Asian","G7","60","55","54600","54690"
"In post","2023","20-29","Unknown","Asian","HEO","365","365","32970","32960"
"In post","2023","20-29","Unknown","Asian","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Asian","SEO","135","130","41700","41550"
"In post","2023","20-29","Unknown","Asian","Unknown","15","15","[c]","[c]"
"In post","2023","20-29","Unknown","Black","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Black","AO","60","60","24600","24480"
"In post","2023","20-29","Unknown","Black","EO","95","95","29320","28770"
"In post","2023","20-29","Unknown","Black","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Black","G7","15","15","[c]","[c]"
"In post","2023","20-29","Unknown","Black","HEO","105","105","33390","32960"
"In post","2023","20-29","Unknown","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Black","SEO","40","40","41710","41550"
"In post","2023","20-29","Unknown","Black","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","Mixed","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Mixed","AO","60","55","23960","22520"
"In post","2023","20-29","Unknown","Mixed","EO","105","105","29570","28720"
"In post","2023","20-29","Unknown","Mixed","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Mixed","G7","20","20","[c]","[c]"
"In post","2023","20-29","Unknown","Mixed","HEO","160","160","32570","32210"
"In post","2023","20-29","Unknown","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Mixed","SEO","50","50","41660","41550"
"In post","2023","20-29","Unknown","Mixed","Unknown","10","10","[c]","[c]"
