"Status","Year","Disability","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Unknown","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","AA/AO","Heterosexual / straight","5470","5070","27540","26400"
"In post","2023","Declared non-disabled","London","AA/AO","LGBO","240","235","28490","26400"
"In post","2023","Declared non-disabled","London","AA/AO","Undeclared","555","500","26260","25610"
"In post","2023","Declared non-disabled","London","AA/AO","Unknown","655","560","26080","25610"
"In post","2023","Declared non-disabled","London","EO","Heterosexual / straight","9515","8995","31370","31310"
"In post","2023","Declared non-disabled","London","EO","LGBO","410","400","31380","31260"
"In post","2023","Declared non-disabled","London","EO","Undeclared","930","850","31280","31020"
"In post","2023","Declared non-disabled","London","EO","Unknown","1145","1035","31930","32520"
"In post","2023","Declared non-disabled","London","G6/G7","Heterosexual / straight","15855","15325","62530","60430"
"In post","2023","Declared non-disabled","London","G6/G7","LGBO","1315","1300","61540","59290"
"In post","2023","Declared non-disabled","London","G6/G7","Undeclared","1285","1245","62830","60430"
"In post","2023","Declared non-disabled","London","G6/G7","Unknown","960","905","63260","63390"
"In post","2023","Declared non-disabled","London","SCS level","Heterosexual / straight","2530","2435","91380","82700"
"In post","2023","Declared non-disabled","London","SCS level","LGBO","200","195","89390","80500"
"In post","2023","Declared non-disabled","London","SCS level","Undeclared","150","145","91420","83750"
"In post","2023","Declared non-disabled","London","SCS level","Unknown","140","135","92980","85350"
"In post","2023","Declared non-disabled","London","SEO/HEO","Heterosexual / straight","16765","16350","40640","40260"
"In post","2023","Declared non-disabled","London","SEO/HEO","LGBO","1290","1275","39920","39790"
"In post","2023","Declared non-disabled","London","SEO/HEO","Undeclared","1470","1420","41020","41060"
"In post","2023","Declared non-disabled","London","SEO/HEO","Unknown","1070","1035","40910","39870"
"In post","2023","Declared non-disabled","London","Unknown","Heterosexual / straight","1295","1235","35710","33820"
"In post","2023","Declared non-disabled","London","Unknown","LGBO","75","75","37070","33050"
"In post","2023","Declared non-disabled","London","Unknown","Undeclared","90","80","37790","36680"
"In post","2023","Declared non-disabled","London","Unknown","Unknown","35","30","37410","34820"
"In post","2023","Declared non-disabled","Outside London","AA/AO","Heterosexual / straight","58435","53005","24100","22500"
"In post","2023","Declared non-disabled","Outside London","AA/AO","LGBO","3340","3200","24660","22520"
"In post","2023","Declared non-disabled","Outside London","AA/AO","Undeclared","5100","4445","23290","22220"
"In post","2023","Declared non-disabled","Outside London","AA/AO","Unknown","7035","5795","23400","21690"
"In post","2023","Declared non-disabled","Outside London","EO","Heterosexual / straight","52380","48445","28410","28120"
"In post","2023","Declared non-disabled","Outside London","EO","LGBO","2740","2655","28420","28120"
"In post","2023","Declared non-disabled","Outside London","EO","Undeclared","4780","4315","28430","28120"
"In post","2023","Declared non-disabled","Outside London","EO","Unknown","6490","5595","28670","28120"
"In post","2023","Declared non-disabled","Outside London","G6/G7","Heterosexual / straight","25395","24455","59570","57970"
"In post","2023","Declared non-disabled","Outside London","G6/G7","LGBO","1155","1135","58950","56870"
"In post","2023","Declared non-disabled","Outside London","G6/G7","Undeclared","1710","1635","60000","57970"
"In post","2023","Declared non-disabled","Outside London","G6/G7","Unknown","1875","1765","60520","57970"
"In post","2023","Declared non-disabled","Outside London","SCS level","Heterosexual / straight","1615","1575","91650","85000"
"In post","2023","Declared non-disabled","Outside London","SCS level","LGBO","85","80","85890","81600"
"In post","2023","Declared non-disabled","Outside London","SCS level","Undeclared","90","85","90990","82560"
"In post","2023","Declared non-disabled","Outside London","SCS level","Unknown","105","100","91710","85200"
"In post","2023","Declared non-disabled","Outside London","SEO/HEO","Heterosexual / straight","60705","58125","38000","37300"
"In post","2023","Declared non-disabled","Outside London","SEO/HEO","LGBO","3075","3015","37200","35000"
"In post","2023","Declared non-disabled","Outside London","SEO/HEO","Undeclared","4685","4435","38500","37600"
"In post","2023","Declared non-disabled","Outside London","SEO/HEO","Unknown","3955","3715","38170","37300"
"In post","2023","Declared non-disabled","Outside London","Unknown","Heterosexual / straight","11875","11125","31800","29050"
"In post","2023","Declared non-disabled","Outside London","Unknown","LGBO","700","680","29290","25300"
"In post","2023","Declared non-disabled","Outside London","Unknown","Undeclared","630","580","33780","31490"
"In post","2023","Declared non-disabled","Outside London","Unknown","Unknown","255","235","34430","38290"
"In post","2023","Declared non-disabled","Overseas","AA/AO","Heterosexual / straight","35","35","27930","26160"
"In post","2023","Declared non-disabled","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","EO","Heterosexual / straight","110","110","35180","33510"
"In post","2023","Declared non-disabled","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","G6/G7","Heterosexual / straight","455","450","62480","60080"
"In post","2023","Declared non-disabled","Overseas","G6/G7","LGBO","40","40","58720","56140"
"In post","2023","Declared non-disabled","Overseas","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","G6/G7","Unknown","70","70","60610","59100"
"In post","2023","Declared non-disabled","Overseas","SCS level","Heterosexual / straight","145","145","90280","80410"
"In post","2023","Declared non-disabled","Overseas","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","SCS level","Unknown","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","SEO/HEO","Heterosexual / straight","740","735","40920","35840"
"In post","2023","Declared non-disabled","Overseas","SEO/HEO","LGBO","45","45","38360","35810"
"In post","2023","Declared non-disabled","Overseas","SEO/HEO","Undeclared","35","35","46670","43170"
"In post","2023","Declared non-disabled","Overseas","SEO/HEO","Unknown","80","80","39090","35810"
"In post","2023","Declared non-disabled","Overseas","Unknown","Heterosexual / straight","105","105","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AA/AO","Heterosexual / straight","90","85","24090","21780"
"In post","2023","Declared non-disabled","Unknown","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","EO","Heterosexual / straight","185","170","28150","28120"
"In post","2023","Declared non-disabled","Unknown","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","EO","Unknown","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","G6/G7","Heterosexual / straight","65","65","60180","58820"
"In post","2023","Declared non-disabled","Unknown","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","Heterosexual / straight","130","125","40690","38470"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","London","AA/AO","Heterosexual / straight","370","340","27880","26400"
"In post","2023","Undeclared","London","AA/AO","LGBO","30","30","[c]","[c]"
"In post","2023","Undeclared","London","AA/AO","Undeclared","215","200","27230","26010"
"In post","2023","Undeclared","London","AA/AO","Unknown","205","175","28910","27830"
"In post","2023","Undeclared","London","EO","Heterosexual / straight","465","435","31780","31980"
"In post","2023","Undeclared","London","EO","LGBO","40","40","31430","31770"
"In post","2023","Undeclared","London","EO","Undeclared","380","360","31850","31450"
"In post","2023","Undeclared","London","EO","Unknown","155","145","33260","32520"
"In post","2023","Undeclared","London","G6/G7","Heterosexual / straight","715","695","62390","60390"
"In post","2023","Undeclared","London","G6/G7","LGBO","95","95","61040","59000"
"In post","2023","Undeclared","London","G6/G7","Undeclared","675","660","63580","62130"
"In post","2023","Undeclared","London","G6/G7","Unknown","275","270","64380","64140"
"In post","2023","Undeclared","London","SCS level","Heterosexual / straight","100","95","91720","83850"
"In post","2023","Undeclared","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Undeclared","London","SCS level","Undeclared","65","65","90810","84120"
"In post","2023","Undeclared","London","SCS level","Unknown","60","60","107970","98340"
"In post","2023","Undeclared","London","SEO/HEO","Heterosexual / straight","795","780","40750","40270"
"In post","2023","Undeclared","London","SEO/HEO","LGBO","95","95","39520","39150"
"In post","2023","Undeclared","London","SEO/HEO","Undeclared","715","695","41200","40550"
"In post","2023","Undeclared","London","SEO/HEO","Unknown","305","295","41150","40880"
"In post","2023","Undeclared","London","Unknown","Heterosexual / straight","75","70","35310","33340"
"In post","2023","Undeclared","London","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Undeclared","London","Unknown","Undeclared","35","35","38780","33820"
"In post","2023","Undeclared","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Outside London","AA/AO","Heterosexual / straight","3445","3070","24670","22500"
"In post","2023","Undeclared","Outside London","AA/AO","LGBO","295","280","24570","22520"
"In post","2023","Undeclared","Outside London","AA/AO","Undeclared","2195","1990","24740","22520"
"In post","2023","Undeclared","Outside London","AA/AO","Unknown","1195","1005","27530","25340"
"In post","2023","Undeclared","Outside London","EO","Heterosexual / straight","2545","2355","29180","28120"
"In post","2023","Undeclared","Outside London","EO","LGBO","235","225","28970","28120"
"In post","2023","Undeclared","Outside London","EO","Undeclared","1965","1815","29200","28120"
"In post","2023","Undeclared","Outside London","EO","Unknown","650","590","30680","28200"
"In post","2023","Undeclared","Outside London","G6/G7","Heterosexual / straight","870","840","59340","56870"
"In post","2023","Undeclared","Outside London","G6/G7","LGBO","70","70","58700","56450"
"In post","2023","Undeclared","Outside London","G6/G7","Undeclared","905","870","59780","57970"
"In post","2023","Undeclared","Outside London","G6/G7","Unknown","295","285","59470","56870"
"In post","2023","Undeclared","Outside London","SCS level","Heterosexual / straight","60","60","101220","95000"
"In post","2023","Undeclared","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Outside London","SCS level","Undeclared","45","40","94330","84560"
"In post","2023","Undeclared","Outside London","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Undeclared","Outside London","SEO/HEO","Heterosexual / straight","2625","2520","38470","37680"
"In post","2023","Undeclared","Outside London","SEO/HEO","LGBO","240","240","37060","35000"
"In post","2023","Undeclared","Outside London","SEO/HEO","Undeclared","2730","2600","38560","37300"
"In post","2023","Undeclared","Outside London","SEO/HEO","Unknown","575","540","39080","38470"
"In post","2023","Undeclared","Outside London","Unknown","Heterosexual / straight","505","470","31830","29050"
"In post","2023","Undeclared","Outside London","Unknown","LGBO","60","55","28720","26840"
"In post","2023","Undeclared","Outside London","Unknown","Undeclared","295","275","35680","35030"
"In post","2023","Undeclared","Outside London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Undeclared","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Undeclared","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Undeclared","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Undeclared","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Undeclared","Overseas","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2023","Undeclared","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Undeclared","Overseas","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Undeclared","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Undeclared","Overseas","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Undeclared","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Undeclared","Unknown","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Undeclared","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Undeclared","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","AA/AO","Heterosexual / straight","440","420","26650","26400"
"In post","2023","Unknown","London","AA/AO","LGBO","30","30","27130","26550"
"In post","2023","Unknown","London","AA/AO","Undeclared","55","50","25460","24750"
"In post","2023","Unknown","London","AA/AO","Unknown","2175","2095","28230","26560"
"In post","2023","Unknown","London","EO","Heterosexual / straight","1180","1150","32370","30560"
"In post","2023","Unknown","London","EO","LGBO","105","105","31170","29750"
"In post","2023","Unknown","London","EO","Undeclared","220","215","30750","28770"
"In post","2023","Unknown","London","EO","Unknown","2845","2770","30920","29890"
"In post","2023","Unknown","London","G6/G7","Heterosexual / straight","1910","1850","61150","59290"
"In post","2023","Unknown","London","G6/G7","LGBO","195","190","59410","56430"
"In post","2023","Unknown","London","G6/G7","Undeclared","545","530","60590","56200"
"In post","2023","Unknown","London","G6/G7","Unknown","3665","3570","62120","59740"
"In post","2023","Unknown","London","SCS level","Heterosexual / straight","265","255","96980","85520"
"In post","2023","Unknown","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Unknown","London","SCS level","Undeclared","70","70","95920","86250"
"In post","2023","Unknown","London","SCS level","Unknown","470","450","96040","86780"
"In post","2023","Unknown","London","SEO/HEO","Heterosexual / straight","2520","2485","40000","40860"
"In post","2023","Unknown","London","SEO/HEO","LGBO","280","275","39090","40510"
"In post","2023","Unknown","London","SEO/HEO","Undeclared","545","535","39270","40800"
"In post","2023","Unknown","London","SEO/HEO","Unknown","5895","5810","39100","39450"
"In post","2023","Unknown","London","Unknown","Heterosexual / straight","35","30","31140","28580"
"In post","2023","Unknown","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Unknown","London","Unknown","Unknown","350","320","30950","28580"
"In post","2023","Unknown","Outside London","AA/AO","Heterosexual / straight","4980","4580","24080","22520"
"In post","2023","Unknown","Outside London","AA/AO","LGBO","355","345","23910","22520"
"In post","2023","Unknown","Outside London","AA/AO","Undeclared","470","430","24150","22520"
"In post","2023","Unknown","Outside London","AA/AO","Unknown","22395","20855","23920","22520"
"In post","2023","Unknown","Outside London","EO","Heterosexual / straight","5405","5185","30090","28120"
"In post","2023","Unknown","Outside London","EO","LGBO","415","405","29100","27650"
"In post","2023","Unknown","Outside London","EO","Undeclared","490","470","29670","27930"
"In post","2023","Unknown","Outside London","EO","Unknown","14315","13695","28640","27890"
"In post","2023","Unknown","Outside London","G6/G7","Heterosexual / straight","2835","2735","59310","56190"
"In post","2023","Unknown","Outside London","G6/G7","LGBO","140","135","57260","54180"
"In post","2023","Unknown","Outside London","G6/G7","Undeclared","405","390","58890","56450"
"In post","2023","Unknown","Outside London","G6/G7","Unknown","4115","3955","59380","57710"
"In post","2023","Unknown","Outside London","SCS level","Heterosexual / straight","145","140","94060","88180"
"In post","2023","Unknown","Outside London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Unknown","Outside London","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2023","Unknown","Outside London","SCS level","Unknown","245","235","95990","88360"
"In post","2023","Unknown","Outside London","SEO/HEO","Heterosexual / straight","6650","6420","38360","38310"
"In post","2023","Unknown","Outside London","SEO/HEO","LGBO","480","470","36690","36330"
