"Status","Year","Age","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","Female","10","10","[c]","[c]"
"In post","2023","16-19","Mixed","No function","Male","5","5","[c]","[c]"
"In post","2023","16-19","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","No function","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","No function","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","Male","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","Female","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","Male","15","10","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","Male","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","Female","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","Male","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","Female","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","No function","Female","205","190","23670","22520"
"In post","2023","16-19","Unknown","No function","Male","200","190","22850","22400"
"In post","2023","16-19","Unknown","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Project Delivery","Male","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Property","Female","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Property","Male","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Security","Male","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Female","30","30","22210","22180"
"In post","2023","16-19","Unknown","Unknown","Male","35","35","20000","17960"
"In post","2023","16-19","White","Analysis","Female","15","15","[c]","[c]"
"In post","2023","16-19","White","Analysis","Male","20","20","[c]","[c]"
"In post","2023","16-19","White","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Debt","Female","10","10","[c]","[c]"
"In post","2023","16-19","White","Debt","Male","10","10","[c]","[c]"
"In post","2023","16-19","White","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Digital, Data & Technology","Female","5","5","[c]","[c]"
"In post","2023","16-19","White","Digital, Data & Technology","Male","20","20","[c]","[c]"
"In post","2023","16-19","White","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Finance","Female","5","5","[c]","[c]"
"In post","2023","16-19","White","Finance","Male","10","10","[c]","[c]"
"In post","2023","16-19","White","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Human Resources","Female","10","10","[c]","[c]"
"In post","2023","16-19","White","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Legal","Female","30","30","[c]","[c]"
"In post","2023","16-19","White","Legal","Male","10","10","[c]","[c]"
"In post","2023","16-19","White","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","No function","Female","245","235","23980","23230"
"In post","2023","16-19","White","No function","Male","205","200","23660","22870"
"In post","2023","16-19","White","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Project Delivery","Female","10","10","[c]","[c]"
"In post","2023","16-19","White","Project Delivery","Male","15","15","[c]","[c]"
"In post","2023","16-19","White","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Property","Male","15","15","[c]","[c]"
"In post","2023","16-19","White","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Unknown","Female","20","20","[c]","[c]"
"In post","2023","16-19","White","Unknown","Male","30","30","[c]","[c]"
"In post","2023","16-19","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Analysis","Female","165","165","36380","35000"
"In post","2023","20-29","Asian","Analysis","Male","170","170","37480","35290"
"In post","2023","20-29","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Commercial","Female","40","40","36600","34170"
"In post","2023","20-29","Asian","Commercial","Male","40","40","36450","34700"
"In post","2023","20-29","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Communications","Female","35","35","31650","28850"
"In post","2023","20-29","Asian","Communications","Male","15","15","[c]","[c]"
"In post","2023","20-29","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Counter Fraud","Female","145","140","30580","28920"
"In post","2023","20-29","Asian","Counter Fraud","Male","120","120","30140","28130"
"In post","2023","20-29","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Debt","Female","180","170","23170","22520"
"In post","2023","20-29","Asian","Debt","Male","180","175","23220","22520"
"In post","2023","20-29","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Digital, Data & Technology","Female","130","130","35690","34670"
"In post","2023","20-29","Asian","Digital, Data & Technology","Male","215","210","34600","32960"
"In post","2023","20-29","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Finance","Female","95","95","33520","30330"
"In post","2023","20-29","Asian","Finance","Male","115","115","34320","32870"
"In post","2023","20-29","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Grants Management","Male","5","5","[c]","[c]"
"In post","2023","20-29","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Human Resources","Female","95","95","32400","29880"
"In post","2023","20-29","Asian","Human Resources","Male","50","50","31050","28240"
"In post","2023","20-29","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Internal Audit","Female","5","5","[c]","[c]"
"In post","2023","20-29","Asian","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Legal","Female","195","195","30520","27760"
"In post","2023","20-29","Asian","Legal","Male","75","75","30470","27760"
"In post","2023","20-29","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","No function","Female","2455","2380","30400","28120"
"In post","2023","20-29","Asian","No function","Male","1925","1890","29810","28120"
"In post","2023","20-29","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Project Delivery","Female","130","125","37180","34690"
"In post","2023","20-29","Asian","Project Delivery","Male","125","125","34370","33500"
"In post","2023","20-29","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Property","Female","30","30","28150","27860"
"In post","2023","20-29","Asian","Property","Male","45","45","30510","29120"
"In post","2023","20-29","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Security","Female","15","15","[c]","[c]"
"In post","2023","20-29","Asian","Security","Male","25","25","[c]","[c]"
"In post","2023","20-29","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Unknown","Female","150","150","31280","30130"
"In post","2023","20-29","Asian","Unknown","Male","95","90","31230","30130"
"In post","2023","20-29","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","Analysis","Female","50","50","34920","35150"
"In post","2023","20-29","Black","Analysis","Male","30","30","33910","34170"
"In post","2023","20-29","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","Commercial","Female","20","20","[c]","[c]"
"In post","2023","20-29","Black","Commercial","Male","10","10","[c]","[c]"
"In post","2023","20-29","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","Communications","Female","15","15","[c]","[c]"
"In post","2023","20-29","Black","Communications","Male","5","5","[c]","[c]"
"In post","2023","20-29","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","Counter Fraud","Female","60","60","31790","32520"
"In post","2023","20-29","Black","Counter Fraud","Male","20","20","[c]","[c]"
"In post","2023","20-29","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","Debt","Female","25","25","[c]","[c]"
