"Status","Year","Disability","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","SCS level","Undeclared","240","230","91330","83080"
"In post","2023","Declared non-disabled","SCS level","Unknown","270","260","91600","85200"
"In post","2023","Declared non-disabled","SEO/HEO","Heterosexual / straight","78335","75335","38600","37940"
"In post","2023","Declared non-disabled","SEO/HEO","LGBO","4415","4340","38010","37300"
"In post","2023","Declared non-disabled","SEO/HEO","Undeclared","6195","5900","39140","38470"
"In post","2023","Declared non-disabled","SEO/HEO","Unknown","5110","4835","38770","38330"
"In post","2023","Declared non-disabled","Unknown","Heterosexual / straight","13280","12465","32210","29050"
"In post","2023","Declared non-disabled","Unknown","LGBO","780","760","30070","26840"
"In post","2023","Declared non-disabled","Unknown","Undeclared","740","680","34290","32500"
"In post","2023","Declared non-disabled","Unknown","Unknown","290","265","34820","38290"
"In post","2023","Undeclared","AA/AO","Heterosexual / straight","3820","3415","24980","22520"
"In post","2023","Undeclared","AA/AO","LGBO","325","310","24880","22520"
"In post","2023","Undeclared","AA/AO","Undeclared","2410","2190","24960","22520"
"In post","2023","Undeclared","AA/AO","Unknown","1400","1185","27730","25610"
"In post","2023","Undeclared","EO","Heterosexual / straight","3020","2805","29590","28120"
"In post","2023","Undeclared","EO","LGBO","275","270","29330","28120"
"In post","2023","Undeclared","EO","Undeclared","2360","2190","29640","28120"
"In post","2023","Undeclared","EO","Unknown","810","735","31200","28480"
"In post","2023","Undeclared","G6/G7","Heterosexual / straight","1605","1560","60750","58330"
"In post","2023","Undeclared","G6/G7","LGBO","165","165","60000","57970"
"In post","2023","Undeclared","G6/G7","Undeclared","1585","1535","61460","59040"
"In post","2023","Undeclared","G6/G7","Unknown","600","580","61720","60220"
"In post","2023","Undeclared","SCS level","Heterosexual / straight","165","160","95110","86320"
"In post","2023","Undeclared","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Undeclared","SCS level","Undeclared","110","105","92220","84140"
"In post","2023","Undeclared","SCS level","Unknown","95","90","109870","102850"
"In post","2023","Undeclared","SEO/HEO","Heterosexual / straight","3450","3330","39070","38210"
"In post","2023","Undeclared","SEO/HEO","LGBO","340","335","37790","36800"
"In post","2023","Undeclared","SEO/HEO","Undeclared","3465","3310","39130","38470"
"In post","2023","Undeclared","SEO/HEO","Unknown","895","855","39770","39520"
"In post","2023","Undeclared","Unknown","Heterosexual / straight","580","540","32280","29050"
"In post","2023","Undeclared","Unknown","LGBO","65","65","29360","26840"
"In post","2023","Undeclared","Unknown","Undeclared","340","315","36010","34820"
"In post","2023","Undeclared","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","AA/AO","Heterosexual / straight","5425","5005","24290","22520"
"In post","2023","Unknown","AA/AO","LGBO","385","375","24160","22520"
"In post","2023","Unknown","AA/AO","Undeclared","525","480","24280","22520"
"In post","2023","Unknown","AA/AO","Unknown","24625","23000","24310","22520"
"In post","2023","Unknown","EO","Heterosexual / straight","6615","6365","30510","28770"
"In post","2023","Unknown","EO","LGBO","520","510","29540","28120"
"In post","2023","Unknown","EO","Undeclared","715","690","30030","28770"
"In post","2023","Unknown","EO","Unknown","17260","16555","29020","28120"
"In post","2023","Unknown","G6/G7","Heterosexual / straight","5035","4880","60190","57640"
"In post","2023","Unknown","G6/G7","LGBO","360","355","58560","55770"
"In post","2023","Unknown","G6/G7","Undeclared","965","935","59870","56370"
"In post","2023","Unknown","G6/G7","Unknown","8095","7840","60660","58570"
"In post","2023","Unknown","SCS level","Heterosexual / straight","450","435","95000","85200"
"In post","2023","Unknown","SCS level","LGBO","30","30","95150","81210"
"In post","2023","Unknown","SCS level","Undeclared","100","100","95200","86250"
"In post","2023","Unknown","SCS level","Unknown","750","725","95620","86400"
"In post","2023","Unknown","SEO/HEO","Heterosexual / straight","9345","9080","38930","38640"
"In post","2023","Unknown","SEO/HEO","LGBO","770","760","37630","37590"
"In post","2023","Unknown","SEO/HEO","Undeclared","1400","1355","38570","38120"
"In post","2023","Unknown","SEO/HEO","Unknown","18175","17715","38100","36990"
"In post","2023","Unknown","Unknown","Heterosexual / straight","400","380","33830","29050"
"In post","2023","Unknown","Unknown","LGBO","35","35","28420","25300"
"In post","2023","Unknown","Unknown","Undeclared","40","40","36890","30810"
"In post","2023","Unknown","Unknown","Unknown","4860","4570","32890","29050"
"Leaver CS","2023","Declared disabled","AA/AO","Heterosexual / straight","1235","[c]","22320","21690"
"Leaver CS","2023","Declared disabled","AA/AO","LGBO","180","[c]","21960","21690"
"Leaver CS","2023","Declared disabled","AA/AO","Undeclared","170","[c]","22300","21690"
"Leaver CS","2023","Declared disabled","AA/AO","Unknown","330","[c]","23070","21690"
"Leaver CS","2023","Declared disabled","EO","Heterosexual / straight","970","[c]","28440","28120"
"Leaver CS","2023","Declared disabled","EO","LGBO","140","[c]","28190","28120"
"Leaver CS","2023","Declared disabled","EO","Undeclared","125","[c]","28960","28120"
"Leaver CS","2023","Declared disabled","EO","Unknown","160","[c]","30260","28120"
"Leaver CS","2023","Declared disabled","G6/G7","Heterosexual / straight","255","[c]","60700","58380"
"Leaver CS","2023","Declared disabled","G6/G7","LGBO","50","[c]","59970","58280"
"Leaver CS","2023","Declared disabled","G6/G7","Undeclared","40","[c]","61930","59440"
"Leaver CS","2023","Declared disabled","G6/G7","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Heterosexual / straight","40","[c]","96080","84560"
"Leaver CS","2023","Declared disabled","SCS level","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SEO/HEO","Heterosexual / straight","605","[c]","37940","36460"
"Leaver CS","2023","Declared disabled","SEO/HEO","LGBO","110","[c]","35690","34710"
"Leaver CS","2023","Declared disabled","SEO/HEO","Undeclared","80","[c]","38880","38470"
"Leaver CS","2023","Declared disabled","SEO/HEO","Unknown","140","[c]","38270","37710"
"Leaver CS","2023","Declared disabled","Unknown","Heterosexual / straight","275","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","LGBO","40","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","AA/AO","Heterosexual / straight","6610","[c]","22420","21690"
"Leaver CS","2023","Declared non-disabled","AA/AO","LGBO","460","[c]","22090","21690"
"Leaver CS","2023","Declared non-disabled","AA/AO","Undeclared","570","[c]","22260","21690"
"Leaver CS","2023","Declared non-disabled","AA/AO","Unknown","1850","[c]","22390","21690"
"Leaver CS","2023","Declared non-disabled","EO","Heterosexual / straight","4570","[c]","28400","28080"
"Leaver CS","2023","Declared non-disabled","EO","LGBO","300","[c]","28130","27570"
"Leaver CS","2023","Declared non-disabled","EO","Undeclared","435","[c]","28530","28120"
"Leaver CS","2023","Declared non-disabled","EO","Unknown","965","[c]","28370","28120"
"Leaver CS","2023","Declared non-disabled","G6/G7","Heterosexual / straight","2230","[c]","60730","58210"
"Leaver CS","2023","Declared non-disabled","G6/G7","LGBO","180","[c]","59450","56450"
"Leaver CS","2023","Declared non-disabled","G6/G7","Undeclared","185","[c]","61440","59690"
"Leaver CS","2023","Declared non-disabled","G6/G7","Unknown","395","[c]","61280","60340"
"Leaver CS","2023","Declared non-disabled","SCS level","Heterosexual / straight","330","[c]","99720","91800"
"Leaver CS","2023","Declared non-disabled","SCS level","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","SCS level","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","SCS level","Unknown","65","[c]","104710","92060"
"Leaver CS","2023","Declared non-disabled","SEO/HEO","Heterosexual / straight","4285","[c]","38410","37760"
"Leaver CS","2023","Declared non-disabled","SEO/HEO","LGBO","310","[c]","37240","36180"
"Leaver CS","2023","Declared non-disabled","SEO/HEO","Undeclared","435","[c]","38820","38650"
"Leaver CS","2023","Declared non-disabled","SEO/HEO","Unknown","900","[c]","39030","38470"
"Leaver CS","2023","Declared non-disabled","Unknown","Heterosexual / straight","995","[c]","40530","33990"
"Leaver CS","2023","Declared non-disabled","Unknown","LGBO","85","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","Undeclared","65","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","AA/AO","Heterosexual / straight","415","[c]","22420","21690"
"Leaver CS","2023","Undeclared","AA/AO","LGBO","40","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","AA/AO","Undeclared","250","[c]","23300","21780"
"Leaver CS","2023","Undeclared","AA/AO","Unknown","260","[c]","22770","21690"
"Leaver CS","2023","Undeclared","EO","Heterosexual / straight","235","[c]","28320","28120"
"Leaver CS","2023","Undeclared","EO","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","EO","Undeclared","155","[c]","28710","27620"
"Leaver CS","2023","Undeclared","EO","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","G6/G7","Heterosexual / straight","90","[c]","61910","58530"
"Leaver CS","2023","Undeclared","G6/G7","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","G6/G7","Undeclared","95","[c]","60930","57400"
"Leaver CS","2023","Undeclared","G6/G7","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SCS level","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SCS level","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SCS level","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SEO/HEO","Heterosexual / straight","250","[c]","37940","37420"
"Leaver CS","2023","Undeclared","SEO/HEO","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SEO/HEO","Undeclared","185","[c]","39650","38640"
"Leaver CS","2023","Undeclared","SEO/HEO","Unknown","85","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","Heterosexual / straight","55","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","Heterosexual / straight","615","[c]","23370","22400"
"Leaver CS","2023","Unknown","AA/AO","LGBO","60","[c]","23690","22400"
"Leaver CS","2023","Unknown","AA/AO","Undeclared","55","[c]","24970","22500"
"Leaver CS","2023","Unknown","AA/AO","Unknown","4165","[c]","22820","22180"
"Leaver CS","2023","Unknown","EO","Heterosexual / straight","475","[c]","30360","28650"
"Leaver CS","2023","Unknown","EO","LGBO","50","[c]","30110","28880"
"Leaver CS","2023","Unknown","EO","Undeclared","105","[c]","28620","28120"
"Leaver CS","2023","Unknown","EO","Unknown","1660","[c]","28310","27750"
"Leaver CS","2023","Unknown","G6/G7","Heterosexual / straight","405","[c]","60350","57360"
"Leaver CS","2023","Unknown","G6/G7","LGBO","40","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","G6/G7","Undeclared","115","[c]","60800","58850"
"Leaver CS","2023","Unknown","G6/G7","Unknown","990","[c]","60570","58240"
"Leaver CS","2023","Unknown","SCS level","Heterosexual / straight","65","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","Unknown","115","[c]","103590","94480"
"Leaver CS","2023","Unknown","SEO/HEO","Heterosexual / straight","675","[c]","38910","38760"
"Leaver CS","2023","Unknown","SEO/HEO","LGBO","60","[c]","38140","38430"
"Leaver CS","2023","Unknown","SEO/HEO","Undeclared","175","[c]","39830","40050"
"Leaver CS","2023","Unknown","SEO/HEO","Unknown","1760","[c]","37250","36870"
"Leaver CS","2023","Unknown","Unknown","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Unknown","715","[c]","35900","33690"
"Leaver Dept.","2023","Declared disabled","AA/AO","Heterosexual / straight","195","[c]","22180","21690"
"Leaver Dept.","2023","Declared disabled","AA/AO","LGBO","35","[c]","21790","21690"
"Leaver Dept.","2023","Declared disabled","AA/AO","Undeclared","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","AA/AO","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","EO","Heterosexual / straight","285","[c]","28300","28120"
"Leaver Dept.","2023","Declared disabled","EO","LGBO","55","[c]","27850","28120"
"Leaver Dept.","2023","Declared disabled","EO","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","EO","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","G6/G7","Heterosexual / straight","150","[c]","58070","55660"
"Leaver Dept.","2023","Declared disabled","G6/G7","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","G6/G7","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","G6/G7","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","SCS level","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","SEO/HEO","Heterosexual / straight","330","[c]","36640","35650"
"Leaver Dept.","2023","Declared disabled","SEO/HEO","LGBO","85","[c]","36130","35950"
"Leaver Dept.","2023","Declared disabled","SEO/HEO","Undeclared","45","[c]","36550","35620"
"Leaver Dept.","2023","Declared disabled","SEO/HEO","Unknown","55","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","AA/AO","Heterosexual / straight","1070","[c]","22140","21690"
"Leaver Dept.","2023","Declared non-disabled","AA/AO","LGBO","90","[c]","22310","21780"
"Leaver Dept.","2023","Declared non-disabled","AA/AO","Undeclared","80","[c]","22250","21780"
"Leaver Dept.","2023","Declared non-disabled","AA/AO","Unknown","405","[c]","21860","21690"
"Leaver Dept.","2023","Declared non-disabled","EO","Heterosexual / straight","1770","[c]","28160","28120"
"Leaver Dept.","2023","Declared non-disabled","EO","LGBO","140","[c]","27840","28120"
"Leaver Dept.","2023","Declared non-disabled","EO","Undeclared","110","[c]","28060","28120"
"Leaver Dept.","2023","Declared non-disabled","EO","Unknown","270","[c]","28130","28120"
"Leaver Dept.","2023","Declared non-disabled","G6/G7","Heterosexual / straight","1150","[c]","58280","56430"
"Leaver Dept.","2023","Declared non-disabled","G6/G7","LGBO","110","[c]","58050","55430"
"Leaver Dept.","2023","Declared non-disabled","G6/G7","Undeclared","90","[c]","59440","57210"
"Leaver Dept.","2023","Declared non-disabled","G6/G7","Unknown","120","[c]","59150","56430"
"Leaver Dept.","2023","Declared non-disabled","SCS level","Heterosexual / straight","195","[c]","91220","82440"
"Leaver Dept.","2023","Declared non-disabled","SCS level","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","SCS level","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","SCS level","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","SEO/HEO","Heterosexual / straight","2395","[c]","37190","36180"
"Leaver Dept.","2023","Declared non-disabled","SEO/HEO","LGBO","230","[c]","37220","36440"
"Leaver Dept.","2023","Declared non-disabled","SEO/HEO","Undeclared","185","[c]","37330","36330"
"Leaver Dept.","2023","Declared non-disabled","SEO/HEO","Unknown","285","[c]","37150","37150"
"Leaver Dept.","2023","Declared non-disabled","Unknown","Heterosexual / straight","100","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","AA/AO","Heterosexual / straight","60","[c]","22100","21780"
"Leaver Dept.","2023","Undeclared","AA/AO","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","AA/AO","Undeclared","40","[c]","22030","21780"
"Leaver Dept.","2023","Undeclared","AA/AO","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","EO","Heterosexual / straight","85","[c]","27840","28120"
"Leaver Dept.","2023","Undeclared","EO","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","EO","Undeclared","40","[c]","28190","28120"
"Leaver Dept.","2023","Undeclared","EO","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","G6/G7","Heterosexual / straight","55","[c]","56460","54700"
"Leaver Dept.","2023","Undeclared","G6/G7","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","G6/G7","Undeclared","55","[c]","57740","54900"
"Leaver Dept.","2023","Undeclared","G6/G7","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","SCS level","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","SCS level","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","SEO/HEO","Heterosexual / straight","130","[c]","36400","36430"
"Leaver Dept.","2023","Undeclared","SEO/HEO","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","SEO/HEO","Undeclared","85","[c]","37280","35760"
"Leaver Dept.","2023","Undeclared","SEO/HEO","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","AA/AO","Heterosexual / straight","85","[c]","23450","22400"
"Leaver Dept.","2023","Unknown","AA/AO","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","AA/AO","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","AA/AO","Unknown","525","[c]","22770","22400"
"Leaver Dept.","2023","Unknown","EO","Heterosexual / straight","190","[c]","28350","27650"
"Leaver Dept.","2023","Unknown","EO","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","EO","Undeclared","50","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","EO","Unknown","465","[c]","27850","27570"
"Leaver Dept.","2023","Unknown","G6/G7","Heterosexual / straight","200","[c]","57590","55850"
"Leaver Dept.","2023","Unknown","G6/G7","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","G6/G7","Undeclared","70","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","G6/G7","Unknown","490","[c]","58490","56430"
"Leaver Dept.","2023","Unknown","SCS level","Heterosexual / straight","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","SCS level","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","SCS level","Unknown","60","[c]","87090","76380"
"Leaver Dept.","2023","Unknown","SEO/HEO","Heterosexual / straight","410","[c]","36640","36260"
"Leaver Dept.","2023","Unknown","SEO/HEO","LGBO","45","[c]","37050","36180"
"Leaver Dept.","2023","Unknown","SEO/HEO","Undeclared","120","[c]","38250","37590"
"Leaver Dept.","2023","Unknown","SEO/HEO","Unknown","1485","[c]","34990","33250"
"Leaver Dept.","2023","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Unknown","35","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","AA/AO","Heterosexual / straight","1060","[c]","23190","22220"
"New entrant CS","2023","Declared disabled","AA/AO","LGBO","275","[c]","23300","22180"
"New entrant CS","2023","Declared disabled","AA/AO","Undeclared","95","[c]","23540","22150"
"New entrant CS","2023","Declared disabled","AA/AO","Unknown","110","[c]","23670","22400"
"New entrant CS","2023","Declared disabled","EO","Heterosexual / straight","420","[c]","27640","28120"
"New entrant CS","2023","Declared disabled","EO","LGBO","160","[c]","27100","27700"
"New entrant CS","2023","Declared disabled","EO","Undeclared","45","[c]","27400","28120"
"New entrant CS","2023","Declared disabled","EO","Unknown","65","[c]","28070","27320"
"New entrant CS","2023","Declared disabled","G6/G7","Heterosexual / straight","140","[c]","56150","54660"
"New entrant CS","2023","Declared disabled","G6/G7","LGBO","35","[c]","56060","54260"
"New entrant CS","2023","Declared disabled","G6/G7","Undeclared","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","G6/G7","Unknown","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","SCS level","Heterosexual / straight","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","SEO/HEO","Heterosexual / straight","525","[c]","36290","35020"
"New entrant CS","2023","Declared disabled","SEO/HEO","LGBO","155","[c]","35530","34700"
"New entrant CS","2023","Declared disabled","SEO/HEO","Undeclared","55","[c]","36640","37090"
"New entrant CS","2023","Declared disabled","SEO/HEO","Unknown","125","[c]","30480","28840"
"New entrant CS","2023","Declared disabled","Unknown","Heterosexual / straight","355","[c]","23310","23640"
"New entrant CS","2023","Declared disabled","Unknown","LGBO","90","[c]","23090","23640"
"New entrant CS","2023","Declared disabled","Unknown","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Unknown","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","AA/AO","Heterosexual / straight","8945","[c]","24380","22520"
"New entrant CS","2023","Declared non-disabled","AA/AO","LGBO","855","[c]","24350","22520"
"New entrant CS","2023","Declared non-disabled","AA/AO","Undeclared","415","[c]","23530","22520"
"New entrant CS","2023","Declared non-disabled","AA/AO","Unknown","365","[c]","22640","22400"
"New entrant CS","2023","Declared non-disabled","EO","Heterosexual / straight","2760","[c]","27740","27890"
"New entrant CS","2023","Declared non-disabled","EO","LGBO","295","[c]","27420","27760"
"New entrant CS","2023","Declared non-disabled","EO","Undeclared","170","[c]","27460","27320"
"New entrant CS","2023","Declared non-disabled","EO","Unknown","110","[c]","27110","26910"
"New entrant CS","2023","Declared non-disabled","G6/G7","Heterosexual / straight","1580","[c]","58630","55190"
"New entrant CS","2023","Declared non-disabled","G6/G7","LGBO","125","[c]","58850","56000"
"New entrant CS","2023","Declared non-disabled","G6/G7","Undeclared","110","[c]","56700","55130"
"New entrant CS","2023","Declared non-disabled","G6/G7","Unknown","80","[c]","68340","69000"
"New entrant CS","2023","Declared non-disabled","SCS level","Heterosexual / straight","85","[c]","99160","95000"
"New entrant CS","2023","Declared non-disabled","SCS level","LGBO","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","SCS level","Undeclared","[c]","[c]","[c]","[c]"
