"Status","Year","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Digital, Data and Technology","AA/AO","Unknown","115","110","23140","22520"
"In post","2023","Digital, Data and Technology","EO","Heterosexual / straight","2185","2080","28650","28120"
"In post","2023","Digital, Data and Technology","EO","LGBO","145","140","28050","28080"
"In post","2023","Digital, Data and Technology","EO","Undeclared","310","300","28960","28120"
"In post","2023","Digital, Data and Technology","EO","Unknown","720","685","28740","28120"
"In post","2023","Digital, Data and Technology","G6/G7","Heterosexual / straight","4980","4885","59660","57970"
"In post","2023","Digital, Data and Technology","G6/G7","LGBO","340","335","58710","56430"
"In post","2023","Digital, Data and Technology","G6/G7","Undeclared","650","635","60130","58010"
"In post","2023","Digital, Data and Technology","G6/G7","Unknown","1310","1285","60220","58760"
"In post","2023","Digital, Data and Technology","SCS level","Heterosexual / straight","285","280","95510","90000"
"In post","2023","Digital, Data and Technology","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Digital, Data and Technology","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","SCS level","Unknown","65","65","99300","95340"
"In post","2023","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","7520","7330","38960","38470"
"In post","2023","Digital, Data and Technology","SEO/HEO","LGBO","545","540","37550","37300"
"In post","2023","Digital, Data and Technology","SEO/HEO","Undeclared","1075","1040","39450","39450"
"In post","2023","Digital, Data and Technology","SEO/HEO","Unknown","2335","2290","38510","38340"
"In post","2023","Digital, Data and Technology","Unknown","Heterosexual / straight","55","55","38290","38290"
"In post","2023","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Economics","AA/AO","Heterosexual / straight","45","45","22620","21200"
"In post","2023","Economics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Economics","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Economics","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Economics","EO","Heterosexual / straight","125","125","27650","28510"
"In post","2023","Economics","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Economics","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Economics","EO","Unknown","30","30","29030","29280"
"In post","2023","Economics","G6/G7","Heterosexual / straight","660","640","61570","59370"
"In post","2023","Economics","G6/G7","LGBO","60","60","60150","57530"
"In post","2023","Economics","G6/G7","Undeclared","80","75","62260","60430"
"In post","2023","Economics","G6/G7","Unknown","125","120","61590","59610"
"In post","2023","Economics","SCS level","Heterosexual / straight","80","75","89540","82150"
"In post","2023","Economics","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Economics","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Economics","SCS level","Unknown","15","15","[c]","[c]"
"In post","2023","Economics","SEO/HEO","Heterosexual / straight","555","550","37700","36450"
"In post","2023","Economics","SEO/HEO","LGBO","70","70","36770","35470"
"In post","2023","Economics","SEO/HEO","Undeclared","60","60","37610","37400"
"In post","2023","Economics","SEO/HEO","Unknown","195","195","37370","36230"
"In post","2023","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","AA/AO","Heterosexual / straight","715","650","23100","22520"
"In post","2023","Finance","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2023","Finance","AA/AO","Undeclared","75","70","22660","22330"
"In post","2023","Finance","AA/AO","Unknown","250","220","23530","22520"
"In post","2023","Finance","EO","Heterosexual / straight","1180","1120","28330","27740"
"In post","2023","Finance","EO","LGBO","65","60","27990","28120"
"In post","2023","Finance","EO","Undeclared","135","125","28500","28120"
"In post","2023","Finance","EO","Unknown","235","230","28190","27650"
"In post","2023","Finance","G6/G7","Heterosexual / straight","1995","1940","60190","58710"
"In post","2023","Finance","G6/G7","LGBO","90","90","59810","59000"
"In post","2023","Finance","G6/G7","Undeclared","200","195","61000","59510"
"In post","2023","Finance","G6/G7","Unknown","325","315","61240","59000"
"In post","2023","Finance","SCS level","Heterosexual / straight","255","245","93420","83810"
"In post","2023","Finance","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Finance","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2023","Finance","SCS level","Unknown","40","40","90290","84210"
"In post","2023","Finance","SEO/HEO","Heterosexual / straight","3380","3250","39060","38470"
"In post","2023","Finance","SEO/HEO","LGBO","135","135","37980","37680"
"In post","2023","Finance","SEO/HEO","Undeclared","395","375","39990","39300"
"In post","2023","Finance","SEO/HEO","Unknown","635","620","38620","38470"
"In post","2023","Finance","Unknown","Heterosexual / straight","50","50","56050","54510"
"In post","2023","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Geography","AA/AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Geography","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Geography","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2023","Geography","EO","Heterosexual / straight","100","95","28460","27610"
"In post","2023","Geography","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Geography","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Geography","EO","Unknown","60","55","28160","27610"
"In post","2023","Geography","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Geography","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Geography","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Geography","SEO/HEO","Heterosexual / straight","180","170","36930","34370"
"In post","2023","Geography","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Geography","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Geography","SEO/HEO","Unknown","45","45","37310","34370"
"In post","2023","Human Resources","AA/AO","Heterosexual / straight","930","855","22730","22220"
"In post","2023","Human Resources","AA/AO","LGBO","45","45","22920","22500"
"In post","2023","Human Resources","AA/AO","Undeclared","105","95","22580","22220"
"In post","2023","Human Resources","AA/AO","Unknown","200","185","22900","22220"
"In post","2023","Human Resources","EO","Heterosexual / straight","2095","1995","28630","27740"
"In post","2023","Human Resources","EO","LGBO","105","100","27400","27140"
"In post","2023","Human Resources","EO","Undeclared","265","255","29200","28120"
"In post","2023","Human Resources","EO","Unknown","395","385","28780","27890"
"In post","2023","Human Resources","G6/G7","Heterosexual / straight","2035","1970","59210","57970"
"In post","2023","Human Resources","G6/G7","LGBO","160","155","58940","56430"
"In post","2023","Human Resources","G6/G7","Undeclared","145","145","59700","58990"
"In post","2023","Human Resources","G6/G7","Unknown","250","240","59960","57130"
"In post","2023","Human Resources","SCS level","Heterosexual / straight","205","200","91260","82920"
"In post","2023","Human Resources","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Human Resources","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Human Resources","SCS level","Unknown","20","20","[c]","[c]"
"In post","2023","Human Resources","SEO/HEO","Heterosexual / straight","4450","4265","38020","37680"
"In post","2023","Human Resources","SEO/HEO","LGBO","265","260","36960","36180"
"In post","2023","Human Resources","SEO/HEO","Undeclared","405","385","38210","36940"
"In post","2023","Human Resources","SEO/HEO","Unknown","815","790","41320","38660"
"In post","2023","Human Resources","Unknown","Heterosexual / straight","75","70","39810","38290"
"In post","2023","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Inspector of Education and Training","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","G6/G7","Heterosexual / straight","535","530","77490","77470"
"In post","2023","Inspector of Education and Training","G6/G7","LGBO","50","50","76930","77470"
"In post","2023","Inspector of Education and Training","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Inspector of Education and Training","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Inspector of Education and Training","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Inspector of Education and Training","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","Heterosexual / straight","405","390","50870","52750"
"In post","2023","Inspector of Education and Training","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Intelligence Analysis","AA/AO","Heterosexual / straight","70","65","24500","25060"
"In post","2023","Intelligence Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Intelligence Analysis","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Intelligence Analysis","EO","Heterosexual / straight","1165","1100","28560","28480"
"In post","2023","Intelligence Analysis","EO","LGBO","60","55","28260","28180"
"In post","2023","Intelligence Analysis","EO","Undeclared","165","150","28930","28480"
"In post","2023","Intelligence Analysis","EO","Unknown","220","215","28120","27320"
"In post","2023","Intelligence Analysis","G6/G7","Heterosexual / straight","180","180","62200","60220"
"In post","2023","Intelligence Analysis","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Intelligence Analysis","G6/G7","Undeclared","25","25","[c]","[c]"
"In post","2023","Intelligence Analysis","G6/G7","Unknown","30","25","[c]","[c]"
"In post","2023","Intelligence Analysis","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Intelligence Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","SEO/HEO","Heterosexual / straight","905","885","38290","37180"
"In post","2023","Intelligence Analysis","SEO/HEO","LGBO","45","45","38270","38020"
"In post","2023","Intelligence Analysis","SEO/HEO","Undeclared","145","140","38620","38020"
"In post","2023","Intelligence Analysis","SEO/HEO","Unknown","165","160","39410","38680"
"In post","2023","Intelligence Analysis","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Internal Audit","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","G6/G7","Heterosexual / straight","185","180","59100","58550"
"In post","2023","Internal Audit","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Internal Audit","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Internal Audit","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Internal Audit","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","SEO/HEO","Heterosexual / straight","350","325","41560","42330"
"In post","2023","Internal Audit","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Internal Audit","SEO/HEO","Undeclared","40","40","41420","42700"
"In post","2023","Internal Audit","SEO/HEO","Unknown","40","35","41490","41890"
"In post","2023","International Trade","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","International Trade","EO","Heterosexual / straight","80","75","28520","29280"
"In post","2023","International Trade","EO","LGBO","10","10","[c]","[c]"
"In post","2023","International Trade","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","International Trade","EO","Unknown","35","35","28780","29280"
"In post","2023","International Trade","G6/G7","Heterosexual / straight","510","500","59080","55740"
"In post","2023","International Trade","G6/G7","LGBO","60","60","58120","56000"
"In post","2023","International Trade","G6/G7","Undeclared","55","55","58250","55760"
"In post","2023","International Trade","G6/G7","Unknown","220","215","57830","55500"
"In post","2023","International Trade","SCS level","Heterosexual / straight","85","85","84940","76750"
"In post","2023","International Trade","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","International Trade","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","International Trade","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","International Trade","SEO/HEO","Heterosexual / straight","650","640","39170","41140"
"In post","2023","International Trade","SEO/HEO","LGBO","70","70","38780","40570"
"In post","2023","International Trade","SEO/HEO","Undeclared","45","45","39180","39690"
"In post","2023","International Trade","SEO/HEO","Unknown","285","280","39250","41020"
"In post","2023","Knowledge and Information Management","AA/AO","Heterosexual / straight","295","280","23200","22220"
"In post","2023","Knowledge and Information Management","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","Knowledge and Information Management","AA/AO","Undeclared","45","40","23340","22220"
"In post","2023","Knowledge and Information Management","AA/AO","Unknown","50","50","22910","22220"
"In post","2023","Knowledge and Information Management","EO","Heterosexual / straight","435","415","28320","28120"
"In post","2023","Knowledge and Information Management","EO","LGBO","35","35","27990","28060"
"In post","2023","Knowledge and Information Management","EO","Undeclared","85","85","29180","28120"
"In post","2023","Knowledge and Information Management","EO","Unknown","85","80","28760","28120"
"In post","2023","Knowledge and Information Management","G6/G7","Heterosexual / straight","260","235","58520","57390"
"In post","2023","Knowledge and Information Management","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2023","Knowledge and Information Management","G6/G7","Undeclared","40","40","60140","58850"
"In post","2023","Knowledge and Information Management","G6/G7","Unknown","55","50","59560","58640"
"In post","2023","Knowledge and Information Management","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Knowledge and Information Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","SEO/HEO","Heterosexual / straight","705","680","37310","36180"
"In post","2023","Knowledge and Information Management","SEO/HEO","LGBO","65","65","36560","35010"
"In post","2023","Knowledge and Information Management","SEO/HEO","Undeclared","125","120","38310","37300"
"In post","2023","Knowledge and Information Management","SEO/HEO","Unknown","140","135","37570","36300"
"In post","2023","Knowledge and Information Management","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Legal","AA/AO","Heterosexual / straight","140","125","23360","22520"
"In post","2023","Legal","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Legal","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2023","Legal","AA/AO","Unknown","60","55","23570","22520"
"In post","2023","Legal","EO","Heterosexual / straight","845","810","29530","28130"
"In post","2023","Legal","EO","LGBO","65","65","29080","28130"
"In post","2023","Legal","EO","Undeclared","105","95","29920","29730"
"In post","2023","Legal","EO","Unknown","340","325","29540","28130"
"In post","2023","Legal","G6/G7","Heterosexual / straight","4825","4515","59960","57970"
"In post","2023","Legal","G6/G7","LGBO","285","275","60810","58740"
"In post","2023","Legal","G6/G7","Undeclared","430","405","62930","63500"
"In post","2023","Legal","G6/G7","Unknown","1305","1180","62360","61660"
"In post","2023","Legal","SCS level","Heterosexual / straight","320","305","90700","85000"
"In post","2023","Legal","SCS level","LGBO","30","30","88170","85000"
"In post","2023","Legal","SCS level","Undeclared","30","30","85250","81950"
"In post","2023","Legal","SCS level","Unknown","85","80","88750","84020"
"In post","2023","Legal","SEO/HEO","Heterosexual / straight","1740","1630","39730","39450"
"In post","2023","Legal","SEO/HEO","LGBO","90","85","39350","38760"
"In post","2023","Legal","SEO/HEO","Undeclared","285","260","41550","41920"
"In post","2023","Legal","SEO/HEO","Unknown","540","515","39750","39450"
"In post","2023","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","AA/AO","Heterosexual / straight","195","185","24840","24680"
"In post","2023","Medicine","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Medicine","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2023","Medicine","AA/AO","Unknown","95","80","22610","23180"
"In post","2023","Medicine","EO","Heterosexual / straight","230","210","32820","32930"
"In post","2023","Medicine","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Medicine","EO","Undeclared","20","20","[c]","[c]"
"In post","2023","Medicine","EO","Unknown","55","50","33580","32930"
"In post","2023","Medicine","G6/G7","Heterosexual / straight","510","445","76600","79390"
"In post","2023","Medicine","G6/G7","LGBO","15","10","[c]","[c]"
"In post","2023","Medicine","G6/G7","Undeclared","75","65","75580","76300"
"In post","2023","Medicine","G6/G7","Unknown","135","100","79450","82590"
"In post","2023","Medicine","SCS level","Heterosexual / straight","190","160","110270","107850"
"In post","2023","Medicine","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Medicine","SCS level","Undeclared","40","35","112470","113890"
"In post","2023","Medicine","SCS level","Unknown","80","65","116700","115770"
"In post","2023","Medicine","SEO/HEO","Heterosexual / straight","570","510","41720","41190"
"In post","2023","Medicine","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Medicine","SEO/HEO","Undeclared","60","55","42290","40730"
"In post","2023","Medicine","SEO/HEO","Unknown","125","115","41080","40590"
"In post","2023","Medicine","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Operational Delivery","AA/AO","Heterosexual / straight","68665","61540","24330","22520"
"In post","2023","Operational Delivery","AA/AO","LGBO","4610","4395","24840","22520"
"In post","2023","Operational Delivery","AA/AO","Undeclared","8390","7300","23740","22500"
"In post","2023","Operational Delivery","AA/AO","Unknown","27550","24650","24190","22520"
"In post","2023","Operational Delivery","EO","Heterosexual / straight","58140","53365","29070","28120"
"In post","2023","Operational Delivery","EO","LGBO","3455","3325","29020","28120"
"In post","2023","Operational Delivery","EO","Undeclared","7345","6600","29080","28120"
"In post","2023","Operational Delivery","EO","Unknown","18190","16700","29140","28120"
"In post","2023","Operational Delivery","G6/G7","Heterosexual / straight","6685","6515","59970","57700"
"In post","2023","Operational Delivery","G6/G7","LGBO","375","370","58750","55930"
"In post","2023","Operational Delivery","G6/G7","Undeclared","710","690","61230","58760"
"In post","2023","Operational Delivery","G6/G7","Unknown","1145","1110","59560","57640"
"In post","2023","Operational Delivery","SCS level","Heterosexual / straight","665","655","92230","83530"
"In post","2023","Operational Delivery","SCS level","LGBO","40","40","89620","83160"
"In post","2023","Operational Delivery","SCS level","Undeclared","55","55","90870","83240"
"In post","2023","Operational Delivery","SCS level","Unknown","130","125","94020","85570"
"In post","2023","Operational Delivery","SEO/HEO","Heterosexual / straight","32570","31120","38100","36490"
"In post","2023","Operational Delivery","SEO/HEO","LGBO","1915","1870","37670","35410"
"In post","2023","Operational Delivery","SEO/HEO","Undeclared","3935","3735","38450","36990"
"In post","2023","Operational Delivery","SEO/HEO","Unknown","5955","5695","37630","35410"
"In post","2023","Operational Delivery","Unknown","Heterosexual / straight","16130","15050","30980","29050"
