"Status","Year","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Crown Office and Procurator Fiscal Service","SEO/HEO","Male","160","155","38310","37940"
"In post","2023","Crown Prosecution Service","AA/AO","Female","1160","1050","23190","22870"
"In post","2023","Crown Prosecution Service","AA/AO","Male","430","420","23070","22870"
"In post","2023","Crown Prosecution Service","EO","Female","1160","1065","28380","28200"
"In post","2023","Crown Prosecution Service","EO","Male","400","395","28550","28200"
"In post","2023","Crown Prosecution Service","G6/G7","Female","1955","1775","57750","56450"
"In post","2023","Crown Prosecution Service","G6/G7","Male","1180","1135","59850","56450"
"In post","2023","Crown Prosecution Service","SCS level","Female","50","50","94830","87870"
"In post","2023","Crown Prosecution Service","SCS level","Male","40","40","97200","88440"
"In post","2023","Crown Prosecution Service","SEO/HEO","Female","745","710","36520","35550"
"In post","2023","Crown Prosecution Service","SEO/HEO","Male","400","395","36440","35550"
"In post","2023","Defence Electronics and Components Agency","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","AA/AO","Male","70","70","20590","22210"
"In post","2023","Defence Electronics and Components Agency","EO","Female","30","30","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","EO","Male","205","200","29100","28710"
"In post","2023","Defence Electronics and Components Agency","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","SEO/HEO","Male","80","75","36740","34680"
"In post","2023","Defence Equipment and Support","AA/AO","Female","660","605","22620","22000"
"In post","2023","Defence Equipment and Support","AA/AO","Male","1010","995","22570","21550"
"In post","2023","Defence Equipment and Support","EO","Female","285","260","26990","26520"
"In post","2023","Defence Equipment and Support","EO","Male","460","450","27650","27640"
"In post","2023","Defence Equipment and Support","G6/G7","Female","585","560","56960","55480"
"In post","2023","Defence Equipment and Support","G6/G7","Male","1365","1330","59030","56610"
"In post","2023","Defence Equipment and Support","SCS level","Female","35","30","95250","93730"
"In post","2023","Defence Equipment and Support","SCS level","Male","80","80","105840","97720"
"In post","2023","Defence Equipment and Support","SEO/HEO","Female","2190","2050","36710","34570"
"In post","2023","Defence Equipment and Support","SEO/HEO","Male","4050","3960","38910","38990"
"In post","2023","Defence Science and Technology Laboratory","AA/AO","Female","45","40","20150","19430"
"In post","2023","Defence Science and Technology Laboratory","AA/AO","Male","100","100","21000","19430"
"In post","2023","Defence Science and Technology Laboratory","EO","Female","160","145","24550","24630"
"In post","2023","Defence Science and Technology Laboratory","EO","Male","120","120","24990","24630"
"In post","2023","Defence Science and Technology Laboratory","G6/G7","Female","695","655","52840","49260"
"In post","2023","Defence Science and Technology Laboratory","G6/G7","Male","1535","1480","54450","49260"
"In post","2023","Defence Science and Technology Laboratory","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","SEO/HEO","Female","910","860","34540","30650"
"In post","2023","Defence Science and Technology Laboratory","SEO/HEO","Male","1395","1375","35170","36940"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","Female","30","25","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","Male","40","40","24880","25900"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Female","235","230","28300","28720"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Male","140","140","28460","28720"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","Female","1400","1345","59080","55540"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","Male","1525","1505","59700","57710"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","Female","170","155","83830","77500"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","Male","175","175","87170","78160"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","Female","1335","1310","39000","39580"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","Male","1235","1230","39360","39820"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","Female","90","85","28220","27780"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","Male","60","60","27640","27780"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","Female","440","425","57370","54560"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","Male","380","380","57620","55910"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","Female","60","55","86670","77160"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","Male","50","50","87860","81500"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","Female","355","350","36880","35620"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","Male","265","265","37200","35620"
"In post","2023","Department for Education (excl. agencies)","AA/AO","Female","55","50","22960","22020"
"In post","2023","Department for Education (excl. agencies)","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","EO","Female","440","415","27520","26940"
"In post","2023","Department for Education (excl. agencies)","EO","Male","235","235","27610","26940"
"In post","2023","Department for Education (excl. agencies)","G6/G7","Female","1620","1535","57130","55020"
"In post","2023","Department for Education (excl. agencies)","G6/G7","Male","1225","1210","58290","55380"
"In post","2023","Department for Education (excl. agencies)","SCS level","Female","160","150","84490","76510"
"In post","2023","Department for Education (excl. agencies)","SCS level","Male","100","100","84600","76510"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","Female","2055","1955","36740","37590"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","Male","1240","1230","37040","37590"
"In post","2023","Department for Education (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","Female","70","60","23470","22150"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","Male","45","45","23220","22150"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Female","340","320","27220","25960"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Male","200","195","27200","26170"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","Female","1250","1185","54590","54330"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","Male","1150","1135","54940","54330"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","Female","105","100","83440","76760"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","Male","105","105","84110","78360"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","Female","1730","1650","35830","37300"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","Male","1325","1310","36070","37300"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Department for International Trade","EO","Female","175","170","29020","29280"
"In post","2023","Department for International Trade","EO","Male","125","125","29040","29280"
"In post","2023","Department for International Trade","G6/G7","Female","635","625","58740","55500"
"In post","2023","Department for International Trade","G6/G7","Male","720","715","59640","56370"
"In post","2023","Department for International Trade","SCS level","Female","85","80","83960","77110"
"In post","2023","Department for International Trade","SCS level","Male","105","100","91750","80010"
"In post","2023","Department for International Trade","SEO/HEO","Female","810","795","38870","39700"
"In post","2023","Department for International Trade","SEO/HEO","Male","850","845","39300","41310"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Female","135","130","28970","28850"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Male","120","115","29130","28850"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","Female","750","720","57640","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","Male","685","675","57690","54700"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","Female","95","85","85190","79080"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","Male","80","80","89920","80620"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","Female","720","700","36630","36880"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","Male","620","615","37550","37540"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","Female","45","40","25850","26510"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","Male","110","95","32290","34390"
"In post","2023","Department for Transport (excl. agencies)","EO","Female","190","185","30260","30920"
"In post","2023","Department for Transport (excl. agencies)","EO","Male","140","140","30470","30920"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","Female","650","625","60170","56340"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","Male","940","930","62330","58210"
"In post","2023","Department for Transport (excl. agencies)","SCS level","Female","115","110","85580","78410"
"In post","2023","Department for Transport (excl. agencies)","SCS level","Male","130","130","92310","84550"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","Female","695","670","39290","39430"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","Male","775","765","40150","39820"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","Female","16905","13720","22030","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","Male","8660","8205","21980","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","EO","Female","28370","24485","28800","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","EO","Male","14470","13825","28820","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","Female","1845","1750","57030","53810"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","Male","1985","1935","59400","56640"
"In post","2023","Department for Work and Pensions (excl. agencies)","SCS level","Female","150","145","88800","80080"
"In post","2023","Department for Work and Pensions (excl. agencies)","SCS level","Male","130","130","93490","84400"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","Female","7310","6780","36510","34870"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","Male","5115","4965","37060","34970"
"In post","2023","Department of Health and Social Care (excl. agencies)","AA/AO","Female","25","20","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","EO","Female","265","255","28080","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","EO","Male","100","100","27830","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","G6/G7","Female","1020","965","58600","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","G6/G7","Male","595","580","58780","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","SCS level","Female","150","140","89480","82260"
"In post","2023","Department of Health and Social Care (excl. agencies)","SCS level","Male","110","110","92360","82150"
"In post","2023","Department of Health and Social Care (excl. agencies)","SEO/HEO","Female","915","875","37750","38120"
"In post","2023","Department of Health and Social Care (excl. agencies)","SEO/HEO","Male","475","470","37600","38120"
"In post","2023","Disclosure Scotland","AA/AO","Female","105","95","24390","24890"
"In post","2023","Disclosure Scotland","AA/AO","Male","110","105","24390","24890"
"In post","2023","Disclosure Scotland","EO","Female","30","30","31510","31940"
"In post","2023","Disclosure Scotland","EO","Male","30","30","[c]","[c]"
"In post","2023","Disclosure Scotland","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Disclosure Scotland","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Disclosure Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","SEO/HEO","Female","40","40","40650","38330"
"In post","2023","Disclosure Scotland","SEO/HEO","Male","30","30","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","AA/AO","Female","2620","2095","21540","22500"
"In post","2023","Driver and Vehicle Licensing Agency","AA/AO","Male","1365","1295","21860","22500"
"In post","2023","Driver and Vehicle Licensing Agency","EO","Female","505","465","27180","27260"
"In post","2023","Driver and Vehicle Licensing Agency","EO","Male","395","390","27430","27190"
"In post","2023","Driver and Vehicle Licensing Agency","G6/G7","Female","110","100","63800","56000"
"In post","2023","Driver and Vehicle Licensing Agency","G6/G7","Male","190","185","66120","63330"
"In post","2023","Driver and Vehicle Licensing Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","SEO/HEO","Female","475","445","35900","32950"
"In post","2023","Driver and Vehicle Licensing Agency","SEO/HEO","Male","560","550","39770","39820"
"In post","2023","Driver and Vehicle Standards Agency","AA/AO","Female","380","335","22740","22500"
"In post","2023","Driver and Vehicle Standards Agency","AA/AO","Male","760","730","26630","27490"
"In post","2023","Driver and Vehicle Standards Agency","EO","Female","715","645","28010","27400"
"In post","2023","Driver and Vehicle Standards Agency","EO","Male","1905","1785","29010","27450"
"In post","2023","Driver and Vehicle Standards Agency","G6/G7","Female","55","55","54480","52010"
"In post","2023","Driver and Vehicle Standards Agency","G6/G7","Male","75","75","56460","54840"
"In post","2023","Driver and Vehicle Standards Agency","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","SEO/HEO","Female","355","345","36140","33850"
"In post","2023","Driver and Vehicle Standards Agency","SEO/HEO","Male","650","635","35920","33850"
"In post","2023","Education Scotland","AA/AO","Female","30","30","24470","24890"
"In post","2023","Education Scotland","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Education Scotland","EO","Female","20","15","[c]","[c]"
"In post","2023","Education Scotland","EO","Male","5","5","[c]","[c]"
"In post","2023","Education Scotland","G6/G7","Female","165","160","73190","79110"
"In post","2023","Education Scotland","G6/G7","Male","65","65","71440","73230"
"In post","2023","Education Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Education Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Education Scotland","SEO/HEO","Female","40","40","43970","43090"
"In post","2023","Education Scotland","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","EO","Female","35","35","27240","26940"
"In post","2023","Education and Skills Funding Agency","EO","Male","20","20","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","G6/G7","Female","115","110","55370","52150"
"In post","2023","Education and Skills Funding Agency","G6/G7","Male","115","110","56140","52150"
"In post","2023","Education and Skills Funding Agency","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","SCS level","Male","15","15","[c]","[c]"
