"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Human Resources","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","EO","15","15","25570","25040"
"In post","2023","Analysis","Intelligence Analysis","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G6/G7","G7","25","25","56340","57580"
"In post","2023","Analysis","Intelligence Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO/HEO","HEO","40","35","33310","31750"
"In post","2023","Analysis","Intelligence Analysis","SEO/HEO","SEO","40","40","43020","43070"
"In post","2023","Analysis","International Trade","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6/G7","G7","15","15","57000","57110"
"In post","2023","Analysis","Knowledge and Information Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO/HEO","HEO","20","20","34440","34170"
"In post","2023","Analysis","Knowledge and Information Management","SEO/HEO","SEO","10","10","43850","43000"
"In post","2023","Analysis","Legal","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AA/AO","AO","25","25","22220","21200"
"In post","2023","Analysis","Operational Delivery","EO","EO","210","190","26850","26070"
"In post","2023","Analysis","Operational Delivery","G6/G7","G6","15","15","64710","65530"
"In post","2023","Analysis","Operational Delivery","G6/G7","G7","70","70","53360","51460"
"In post","2023","Analysis","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SEO/HEO","HEO","255","245","32470","31560"
"In post","2023","Analysis","Operational Delivery","SEO/HEO","SEO","185","180","38900","37760"
"In post","2023","Analysis","Operational Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","AA/AO","AO","20","20","22480","22500"
"In post","2023","Analysis","Operational Research","EO","EO","30","30","28120","27450"
"In post","2023","Analysis","Operational Research","G6/G7","G6","45","45","69710","69940"
"In post","2023","Analysis","Operational Research","G6/G7","G7","265","255","55720","55780"
"In post","2023","Analysis","Operational Research","SCS level","SCS level","10","10","81710","80500"
"In post","2023","Analysis","Operational Research","SEO/HEO","HEO","215","215","34160","34400"
"In post","2023","Analysis","Operational Research","SEO/HEO","SEO","200","190","42870","43170"
"In post","2023","Analysis","Other","AA/AO","AO","10","10","24130","24010"
"In post","2023","Analysis","Other","EO","EO","90","85","29110","29660"
"In post","2023","Analysis","Other","G6/G7","G6","125","110","89070","81290"
"In post","2023","Analysis","Other","G6/G7","G7","90","85","56150","55740"
"In post","2023","Analysis","Other","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Other","SEO/HEO","HEO","150","145","34900","35410"
"In post","2023","Analysis","Other","SEO/HEO","SEO","120","115","42910","43140"
"In post","2023","Analysis","Planning","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","EO","EO","15","15","29900","29310"
"In post","2023","Analysis","Policy","G6/G7","G6","30","30","71040","70570"
"In post","2023","Analysis","Policy","G6/G7","G7","70","65","57290","58370"
"In post","2023","Analysis","Policy","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","SEO/HEO","HEO","80","80","37280","37380"
"In post","2023","Analysis","Policy","SEO/HEO","SEO","45","45","43260","43670"
"In post","2023","Analysis","Project Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA/AO","AO","45","45","22930","23340"
"In post","2023","Analysis","Science and Engineering","EO","EO","110","105","26010","25970"
"In post","2023","Analysis","Science and Engineering","G6/G7","G6","65","65","69950","70550"
"In post","2023","Analysis","Science and Engineering","G6/G7","G7","475","450","52780","49400"
"In post","2023","Analysis","Science and Engineering","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SEO/HEO","HEO","290","280","30170","30350"
"In post","2023","Analysis","Science and Engineering","SEO/HEO","SEO","345","335","39240","39890"
"In post","2023","Analysis","Social Research","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","EO","EO","20","20","28490","27140"
"In post","2023","Analysis","Social Research","G6/G7","G6","85","80","69350","69140"
"In post","2023","Analysis","Social Research","G6/G7","G7","365","345","56620","55730"
"In post","2023","Analysis","Social Research","SCS level","SCS level","15","15","80310","79150"
"In post","2023","Analysis","Social Research","SEO/HEO","HEO","435","420","33690","32150"
"In post","2023","Analysis","Social Research","SEO/HEO","SEO","510","485","41550","41050"
"In post","2023","Analysis","Statistics","AA/AO","AA","25","25","23180","23500"
"In post","2023","Analysis","Statistics","AA/AO","AO","25","20","24060","23560"
"In post","2023","Analysis","Statistics","EO","EO","215","205","28830","28580"
"In post","2023","Analysis","Statistics","G6/G7","G6","180","175","68970","68020"
"In post","2023","Analysis","Statistics","G6/G7","G7","655","625","56870","55720"
"In post","2023","Analysis","Statistics","SCS level","SCS level","70","65","86460","80500"
"In post","2023","Analysis","Statistics","SEO/HEO","HEO","780","760","34180","34170"
"In post","2023","Analysis","Statistics","SEO/HEO","SEO","780","755","42290","42140"
"In post","2023","Analysis","Tax","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","EO","25","25","27330","26500"
"In post","2023","Analysis","Unknown","G6/G7","G6","30","30","71360","69640"
"In post","2023","Analysis","Unknown","G6/G7","G7","40","40","53460","53180"
"In post","2023","Analysis","Unknown","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Unknown","SEO/HEO","HEO","40","40","34930","34170"
"In post","2023","Analysis","Unknown","SEO/HEO","SEO","30","30","40910","40000"
"In post","2023","Commercial","Commercial","AA/AO","AA","30","25","21640","22920"
"In post","2023","Commercial","Commercial","AA/AO","AO","300","280","23810","22500"
"In post","2023","Commercial","Commercial","EO","EO","615","590","27580","27140"
"In post","2023","Commercial","Commercial","G6/G7","G6","620","610","74520","71800"
"In post","2023","Commercial","Commercial","G6/G7","G7","1375","1345","59420","56180"
"In post","2023","Commercial","Commercial","SCS level","SCS level","265","260","115500","110130"
"In post","2023","Commercial","Commercial","SEO/HEO","HEO","1280","1240","33490","33500"
"In post","2023","Commercial","Commercial","SEO/HEO","SEO","1615","1570","41810","41950"
"In post","2023","Commercial","Commercial","Unknown","Unknown","165","165","42960","42620"
"In post","2023","Commercial","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","G6/G7","G7","10","10","55430","56000"
"In post","2023","Commercial","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Finance","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Commercial","Human Resources","EO","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","G6/G7","G7","25","25","56210","56430"
"In post","2023","Commercial","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Human Resources","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Commercial","International Trade","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","AA/AO","AO","15","15","22740","22150"
"In post","2023","Commercial","Operational Delivery","EO","EO","65","60","29550","29150"
"In post","2023","Commercial","Operational Delivery","G6/G7","G6","30","25","74710","76800"
"In post","2023","Commercial","Operational Delivery","G6/G7","G7","85","85","57930","56570"
"In post","2023","Commercial","Operational Delivery","SCS level","SCS level","10","10","118720","117760"
"In post","2023","Commercial","Operational Delivery","SEO/HEO","HEO","60","60","34840","34430"
"In post","2023","Commercial","Operational Delivery","SEO/HEO","SEO","100","95","44840","43680"
"In post","2023","Commercial","Other","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Commercial","Other","EO","EO","15","10","27140","26340"
"In post","2023","Commercial","Other","G6/G7","G6","15","15","60840","60490"
"In post","2023","Commercial","Other","G6/G7","G7","55","55","47430","47960"
"In post","2023","Commercial","Other","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","SEO/HEO","HEO","45","45","32870","31880"
"In post","2023","Commercial","Other","SEO/HEO","SEO","40","35","38380","37420"
"In post","2023","Commercial","Policy","EO","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Policy","G6/G7","G6","15","10","63900","64000"
"In post","2023","Commercial","Policy","G6/G7","G7","25","20","53940","52870"
"In post","2023","Commercial","Policy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","SEO/HEO","SEO","15","15","40910","41060"
"In post","2023","Commercial","Project Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","EO","EO","10","10","27810","28120"
"In post","2023","Commercial","Project Delivery","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Commercial","Project Delivery","G6/G7","G7","15","15","53500","51360"
"In post","2023","Commercial","Project Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","SEO/HEO","HEO","30","30","33960","34170"
"In post","2023","Commercial","Project Delivery","SEO/HEO","SEO","15","15","40680","41060"
"In post","2023","Commercial","Property","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Property","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Property","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Property","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Property","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Statistics","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Statistics","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Statistics","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Tax","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Tax","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Tax","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Commercial","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","EO","EO","15","15","27750","27970"
"In post","2023","Commercial","Unknown","G6/G7","G6","20","20","76280","70410"
"In post","2023","Commercial","Unknown","G6/G7","G7","65","60","60670","56490"
"In post","2023","Commercial","Unknown","SCS level","SCS level","10","10","118990","121960"
"In post","2023","Commercial","Unknown","SEO/HEO","HEO","25","25","34190","34400"
"In post","2023","Commercial","Unknown","SEO/HEO","SEO","35","35","41630","41780"
"In post","2023","Commercial","Veterinarian","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Veterinarian","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","AA/AO","AO","150","145","23100","22340"
"In post","2023","Communications","Communications","EO","EO","455","430","28590","28120"
"In post","2023","Communications","Communications","G6/G7","G6","255","245","69310","68610"
"In post","2023","Communications","Communications","G6/G7","G7","680","660","56410","56000"
"In post","2023","Communications","Communications","SCS level","SCS level","100","100","89440","83770"
"In post","2023","Communications","Communications","SEO/HEO","HEO","960","930","35240","34690"
"In post","2023","Communications","Communications","SEO/HEO","SEO","1020","990","42850","42510"
"In post","2023","Communications","Communications","Unknown","Unknown","25","25","36910","34080"
"In post","2023","Communications","Digital, Data and Technology","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","SEO/HEO","SEO","10","10","41890","41870"
"In post","2023","Communications","Finance","EO","EO","5","5","[c]","[c]"
"In post","2023","Communications","Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","EO","EO","5","5","[c]","[c]"
"In post","2023","Communications","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Communications","Human Resources","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","EO","EO","25","25","32730","32520"
"In post","2023","Communications","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","G6/G7","G7","15","15","57190","57240"
"In post","2023","Communications","Knowledge and Information Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","SEO/HEO","HEO","25","25","40270","39150"
"In post","2023","Communications","Knowledge and Information Management","SEO/HEO","SEO","20","15","46860","48790"
"In post","2023","Communications","Operational Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Operational Delivery","EO","EO","10","10","26580","26260"
"In post","2023","Communications","Operational Delivery","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Communications","Operational Delivery","G6/G7","G7","15","15","53470","54100"
"In post","2023","Communications","Operational Delivery","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Operational Delivery","SEO/HEO","HEO","25","25","31590","30840"
"In post","2023","Communications","Operational Delivery","SEO/HEO","SEO","30","30","40270","39620"
"In post","2023","Communications","Other","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Communications","Other","EO","EO","5","5","[c]","[c]"
"In post","2023","Communications","Other","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Other","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Communications","Other","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Other","SEO/HEO","HEO","10","10","35440","35040"
"In post","2023","Communications","Other","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Communications","Planning","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Communications","Policy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Communications","Project Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Communications","Project Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Psychology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Psychology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Psychology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Science and Engineering","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","EO","EO","15","15","28660","28370"
"In post","2023","Communications","Unknown","G6/G7","G6","20","20","68560","67780"
"In post","2023","Communications","Unknown","G6/G7","G7","40","40","56980","56430"
"In post","2023","Communications","Unknown","SCS level","SCS level","20","20","97420","87400"
"In post","2023","Communications","Unknown","SEO/HEO","HEO","40","40","35170","35240"
"In post","2023","Communications","Unknown","SEO/HEO","SEO","45","45","42740","41950"
"In post","2023","Counter Fraud","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Counter Fraud","AA/AO","AA","15","10","21860","22200"
"In post","2023","Counter Fraud","Counter Fraud","AA/AO","AO","1575","1370","23160","21690"
"In post","2023","Counter Fraud","Counter Fraud","EO","EO","4765","4375","29060","28120"
"In post","2023","Counter Fraud","Counter Fraud","G6/G7","G6","105","100","71950","71300"
"In post","2023","Counter Fraud","Counter Fraud","G6/G7","G7","220","210","58320","57970"
"In post","2023","Counter Fraud","Counter Fraud","SCS level","SCS level","20","20","90780","84550"
"In post","2023","Counter Fraud","Counter Fraud","SEO/HEO","HEO","2015","1930","35850","34700"
"In post","2023","Counter Fraud","Counter Fraud","SEO/HEO","SEO","620","590","42680","42510"
"In post","2023","Counter Fraud","Digital, Data and Technology","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Digital, Data and Technology","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Digital, Data and Technology","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Digital, Data and Technology","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Digital, Data and Technology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Economics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Intelligence Analysis","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Intelligence Analysis","EO","EO","55","55","29710","28130"
"In post","2023","Counter Fraud","Intelligence Analysis","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Intelligence Analysis","G6/G7","G7","25","25","61330","61530"
"In post","2023","Counter Fraud","Intelligence Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Intelligence Analysis","SEO/HEO","HEO","85","85","36680","35000"
"In post","2023","Counter Fraud","Intelligence Analysis","SEO/HEO","SEO","50","50","43590","42510"
"In post","2023","Counter Fraud","International Trade","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","G6/G7","G7","10","5","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","SEO/HEO","SEO","15","15","43820","42510"
"In post","2023","Counter Fraud","Legal","AA/AO","AO","180","155","23060","22520"
"In post","2023","Counter Fraud","Legal","EO","EO","805","760","29760","28130"
"In post","2023","Counter Fraud","Legal","G6/G7","G6","20","20","74160","72920"
"In post","2023","Counter Fraud","Legal","G6/G7","G7","90","90","60060","57970"
"In post","2023","Counter Fraud","Legal","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Legal","SEO/HEO","HEO","635","615","36700","35000"
"In post","2023","Counter Fraud","Legal","SEO/HEO","SEO","245","240","43820","42510"
"In post","2023","Counter Fraud","Operational Delivery","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Operational Delivery","AA/AO","AO","475","415","23200","22520"
"In post","2023","Counter Fraud","Operational Delivery","EO","EO","1230","1135","28940","28130"
"In post","2023","Counter Fraud","Operational Delivery","G6/G7","G6","30","30","71740","71300"
"In post","2023","Counter Fraud","Operational Delivery","G6/G7","G7","145","135","59460","57970"
"In post","2023","Counter Fraud","Operational Delivery","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Operational Delivery","SEO/HEO","HEO","935","880","35510","35000"
"In post","2023","Counter Fraud","Operational Delivery","SEO/HEO","SEO","375","355","42900","42510"
