"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Finance","Outside London","AA/AO","1835","1570","22650","22520"
"In post","2023","Finance","Outside London","EO","1630","1540","27690","27650"
"In post","2023","Finance","Outside London","G6/G7","1800","1750","58080","56870"
"In post","2023","Finance","Outside London","SCS level","150","150","89840","80000"
"In post","2023","Finance","Outside London","SEO/HEO","4180","4000","37860","37590"
"In post","2023","Finance","Outside London","Unknown","60","60","53310","48840"
"In post","2023","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","EO","15","15","40400","36850"
"In post","2023","Finance","Overseas","G6/G7","15","15","63910","60720"
"In post","2023","Finance","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","SEO/HEO","15","15","49150","45780"
"In post","2023","Finance","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","London","G6/G7","30","30","59870","59290"
"In post","2023","Grants Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","London","SEO/HEO","25","25","40680","43000"
"In post","2023","Grants Management","Outside London","AA/AO","1425","1295","22130","22150"
"In post","2023","Grants Management","Outside London","EO","650","605","26090","25920"
"In post","2023","Grants Management","Outside London","G6/G7","75","70","53140","50350"
"In post","2023","Grants Management","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Grants Management","Outside London","SEO/HEO","400","380","33300","31490"
"In post","2023","Human Resources","London","AA/AO","85","80","26190","26400"
"In post","2023","Human Resources","London","EO","465","450","30500","30130"
"In post","2023","Human Resources","London","G6/G7","1025","1000","62350","60530"
"In post","2023","Human Resources","London","SCS level","160","155","90830","82540"
"In post","2023","Human Resources","London","SEO/HEO","1325","1285","40140","39220"
"In post","2023","Human Resources","London","Unknown","10","10","41380","35030"
"In post","2023","Human Resources","Outside London","AA/AO","1165","1075","22390","22220"
"In post","2023","Human Resources","Outside London","EO","3110","2945","28290","28080"
"In post","2023","Human Resources","Outside London","G6/G7","1705","1650","56960","55780"
"In post","2023","Human Resources","Outside London","SCS level","105","105","87800","81700"
"In post","2023","Human Resources","Outside London","SEO/HEO","4895","4690","37060","35060"
"In post","2023","Human Resources","Outside London","Unknown","95","85","37790","38290"
"In post","2023","Human Resources","Overseas","EO","15","15","35960","36720"
"In post","2023","Human Resources","Overseas","G6/G7","25","25","82080","83550"
"In post","2023","Human Resources","Overseas","SEO/HEO","195","195","55040","56420"
"In post","2023","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","G6/G7","15","15","54580","51290"
"In post","2023","Human Resources","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","SEO/HEO","15","15","36920","38070"
"In post","2023","Internal Audit","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","London","G6/G7","70","65","62450","60270"
"In post","2023","Internal Audit","London","SCS level","15","15","99870","93220"
"In post","2023","Internal Audit","London","SEO/HEO","100","100","44160","43340"
"In post","2023","Internal Audit","Outside London","AA/AO","15","15","25020","22410"
"In post","2023","Internal Audit","Outside London","EO","30","30","28150","27470"
"In post","2023","Internal Audit","Outside London","G6/G7","150","140","57690","56970"
"In post","2023","Internal Audit","Outside London","SCS level","10","10","93170","85800"
"In post","2023","Internal Audit","Outside London","SEO/HEO","310","290","40940","41990"
"In post","2023","Internal Audit","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2023","Internal Audit","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","SEO/HEO","15","15","41690","43160"
"In post","2023","Legal","London","AA/AO","450","420","24520","24480"
"In post","2023","Legal","London","EO","830","795","29810","29660"
"In post","2023","Legal","London","G6/G7","3030","2825","63210","64330"
"In post","2023","Legal","London","SCS level","375","360","90200","83660"
"In post","2023","Legal","London","SEO/HEO","600","585","39220","39790"
"In post","2023","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Outside London","AA/AO","1385","1275","22880","22870"
"In post","2023","Legal","Outside London","EO","1450","1345","28140","28130"
"In post","2023","Legal","Outside London","G6/G7","3800","3515","58590","56450"
"In post","2023","Legal","Outside London","SCS level","110","110","89440","85200"
"In post","2023","Legal","Outside London","SEO/HEO","1340","1275","37210","35000"
"In post","2023","Legal","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2023","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","No function","London","AA/AO","9435","8735","27740","26400"
"In post","2023","No function","London","EO","14300","13460","31580","31260"
"In post","2023","No function","London","G6/G7","15090","14680","61330","59290"
"In post","2023","No function","London","SCS level","2400","2305","90450","80780"
"In post","2023","No function","London","SEO/HEO","19580","19125","40270","40260"
"In post","2023","No function","London","Unknown","2435","2310","35190","33050"
"In post","2023","No function","Outside London","AA/AO","97940","87800","23940","22500"
"In post","2023","No function","Outside London","EO","79050","72630","28610","28120"
"In post","2023","No function","Outside London","G6/G7","14300","13755","60060","57640"
"In post","2023","No function","Outside London","SCS level","1005","960","94200","88420"
"In post","2023","No function","Outside London","SEO/HEO","52555","50170","37640","35000"
"In post","2023","No function","Outside London","Unknown","19185","17800","29940","29050"
"In post","2023","No function","Overseas","AA/AO","40","40","30590","26650"
"In post","2023","No function","Overseas","EO","105","100","34400","30990"
"In post","2023","No function","Overseas","G6/G7","1130","1125","60550","58440"
"In post","2023","No function","Overseas","SCS level","275","275","87350","77670"
"In post","2023","No function","Overseas","SEO/HEO","1010","1010","39810","35810"
"In post","2023","No function","Overseas","Unknown","125","125","[c]","[c]"
"In post","2023","No function","Unknown","AA/AO","185","175","23580","22220"
"In post","2023","No function","Unknown","EO","310","280","28550","28120"
"In post","2023","No function","Unknown","G6/G7","55","50","60580","58820"
"In post","2023","No function","Unknown","SCS level","5","5","[c]","[c]"
"In post","2023","No function","Unknown","SEO/HEO","160","150","42710","42950"
"In post","2023","No function","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Project Delivery","London","AA/AO","60","60","26240","26740"
"In post","2023","Project Delivery","London","EO","405","390","31040","31380"
"In post","2023","Project Delivery","London","G6/G7","2410","2325","63950","64480"
"In post","2023","Project Delivery","London","SCS level","450","435","94890","86950"
"In post","2023","Project Delivery","London","SEO/HEO","2145","2085","40480","41060"
"In post","2023","Project Delivery","Outside London","AA/AO","385","365","22250","22500"
"In post","2023","Project Delivery","Outside London","EO","1415","1320","27410","27890"
"In post","2023","Project Delivery","Outside London","G6/G7","4645","4510","57780","56870"
"In post","2023","Project Delivery","Outside London","SCS level","235","230","88110","80490"
"In post","2023","Project Delivery","Outside London","SEO/HEO","8300","7945","37720","37690"
"In post","2023","Project Delivery","Outside London","Unknown","1690","1645","43120","41160"
"In post","2023","Project Delivery","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Overseas","G6/G7","50","50","65420","59730"
"In post","2023","Project Delivery","Overseas","SCS level","5","5","[c]","[c]"
"In post","2023","Project Delivery","Overseas","SEO/HEO","60","60","50950","45790"
"In post","2023","Project Delivery","Overseas","Unknown","25","25","52350","43590"
"In post","2023","Project Delivery","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2023","Project Delivery","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Property","London","AA/AO","120","115","25220","25580"
"In post","2023","Property","London","EO","275","260","31180","31540"
"In post","2023","Property","London","G6/G7","340","335","62780","64140"
"In post","2023","Property","London","SCS level","40","40","95710","92780"
"In post","2023","Property","London","SEO/HEO","580","560","41530","40190"
"In post","2023","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Outside London","AA/AO","1755","1650","22200","22520"
"In post","2023","Property","Outside London","EO","1325","1240","27650","27470"
"In post","2023","Property","Outside London","G6/G7","1160","1130","57570","56180"
"In post","2023","Property","Outside London","SCS level","70","70","91550","83460"
"In post","2023","Property","Outside London","SEO/HEO","3090","2970","37940","36660"
"In post","2023","Property","Outside London","Unknown","35","35","24170","23800"
"In post","2023","Property","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Overseas","G6/G7","15","15","62650","62980"
"In post","2023","Property","Overseas","SEO/HEO","50","50","45310","43750"
"In post","2023","Property","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Unknown","G6/G7","10","10","60870","57730"
"In post","2023","Property","Unknown","SEO/HEO","35","35","44520","41900"
"In post","2023","Security","London","AA/AO","350","340","29000","26400"
"In post","2023","Security","London","EO","255","250","32490","31340"
"In post","2023","Security","London","G6/G7","435","425","62620","60730"
"In post","2023","Security","London","SCS level","60","60","91100","83730"
"In post","2023","Security","London","SEO/HEO","635","625","41160","40600"
"In post","2023","Security","Outside London","AA/AO","5140","5005","28670","25220"
"In post","2023","Security","Outside London","EO","1135","1100","32840","28120"
"In post","2023","Security","Outside London","G6/G7","350","345","58740","57000"
"In post","2023","Security","Outside London","SCS level","20","20","93760","90550"
"In post","2023","Security","Outside London","SEO/HEO","1390","1355","39190","36190"
"In post","2023","Security","Outside London","Unknown","50","45","38170","35250"
"In post","2023","Security","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Overseas","EO","35","35","30750","28840"
"In post","2023","Security","Overseas","G6/G7","20","20","62990","56710"
"In post","2023","Security","Overseas","SEO/HEO","90","90","42440","41300"
"In post","2023","Security","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Unknown","EO","45","45","25130","24610"
"In post","2023","Security","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Security","Unknown","SEO/HEO","20","20","36500","35740"
"In post","2023","Unknown","London","AA/AO","35","35","26910","25610"
"In post","2023","Unknown","London","EO","145","140","30750","32520"
"In post","2023","Unknown","London","G6/G7","455","430","61390","56500"
"In post","2023","Unknown","London","SCS level","85","85","87080","81690"
"In post","2023","Unknown","London","SEO/HEO","1200","1185","34790","32960"
"In post","2023","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Outside London","AA/AO","4795","4520","24970","24890"
"In post","2023","Unknown","Outside London","EO","4960","4745","30260","29450"
"In post","2023","Unknown","Outside London","G6/G7","5865","5615","63540","63900"
"In post","2023","Unknown","Outside London","SCS level","495","475","91150","85200"
"In post","2023","Unknown","Outside London","SEO/HEO","11015","10580","40820","39690"
"In post","2023","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","G6/G7","35","35","67760","63900"
"In post","2023","Unknown","Overseas","SCS level","5","5","[c]","[c]"
"In post","2023","Unknown","Overseas","SEO/HEO","20","20","43780","39690"
"In post","2023","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","SEO/HEO","10","10","36080","38470"
"In post","2023","Unknown","Unknown","Unknown","1695","1695","41950","40010"
"Leaver CS","2023","Analysis","London","AA/AO","85","[c]","23660","23500"
"Leaver CS","2023","Analysis","London","EO","45","[c]","29050","29660"
"Leaver CS","2023","Analysis","London","G6/G7","80","[c]","63550","57250"
"Leaver CS","2023","Analysis","London","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","London","SEO/HEO","150","[c]","36660","36340"
"Leaver CS","2023","Analysis","Outside London","AA/AO","125","[c]","20220","19860"
"Leaver CS","2023","Analysis","Outside London","EO","55","[c]","26240","25890"
"Leaver CS","2023","Analysis","Outside London","G6/G7","95","[c]","54280","50110"
"Leaver CS","2023","Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Outside London","SEO/HEO","230","[c]","35740","36580"
"Leaver CS","2023","Analysis","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","London","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","London","EO","15","[c]","29710","30770"
"Leaver CS","2023","Commercial","London","G6/G7","115","[c]","65820","65500"
"Leaver CS","2023","Commercial","London","SCS level","20","[c]","136640","125680"
"Leaver CS","2023","Commercial","London","SEO/HEO","75","[c]","38200","38280"
"Leaver CS","2023","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Outside London","AA/AO","35","[c]","24260","23040"
"Leaver CS","2023","Commercial","Outside London","EO","55","[c]","26620","26770"
"Leaver CS","2023","Commercial","Outside London","G6/G7","95","[c]","64200","63500"
"Leaver CS","2023","Commercial","Outside London","SCS level","15","[c]","112250","104820"
"Leaver CS","2023","Commercial","Outside London","SEO/HEO","180","[c]","38290","38830"
"Leaver CS","2023","Commercial","Outside London","Unknown","25","[c]","43340","42620"
"Leaver CS","2023","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","London","AA/AO","20","[c]","23610","24740"
"Leaver CS","2023","Communications","London","EO","35","[c]","29940","29070"
"Leaver CS","2023","Communications","London","G6/G7","65","[c]","60280","57430"
"Leaver CS","2023","Communications","London","SCS level","15","[c]","106530","87770"
"Leaver CS","2023","Communications","London","SEO/HEO","165","[c]","39770","40600"
"Leaver CS","2023","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Outside London","AA/AO","15","[c]","21420","21840"
"Leaver CS","2023","Communications","Outside London","EO","25","[c]","26180","26460"
"Leaver CS","2023","Communications","Outside London","G6/G7","20","[c]","57660","56000"
"Leaver CS","2023","Communications","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Outside London","SEO/HEO","80","[c]","37070","36500"
"Leaver CS","2023","Communications","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","London","AA/AO","35","[c]","25320","25610"
"Leaver CS","2023","Counter Fraud","London","EO","70","[c]","31790","31880"
"Leaver CS","2023","Counter Fraud","London","G6/G7","35","[c]","62220","60430"
"Leaver CS","2023","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","London","SEO/HEO","85","[c]","39410","39500"
"Leaver CS","2023","Counter Fraud","Outside London","AA/AO","160","[c]","22170","21690"
"Leaver CS","2023","Counter Fraud","Outside London","EO","330","[c]","28240","28120"
"Leaver CS","2023","Counter Fraud","Outside London","G6/G7","25","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Outside London","SEO/HEO","165","[c]","36350","34970"
"Leaver CS","2023","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Debt","London","AA/AO","35","[c]","[c]","[c]"
"Leaver CS","2023","Debt","London","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","Debt","London","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Debt","London","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Debt","Outside London","AA/AO","705","[c]","21630","21690"
"Leaver CS","2023","Debt","Outside London","EO","60","[c]","28270","28120"
"Leaver CS","2023","Debt","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Debt","Outside London","SEO/HEO","20","[c]","34710","34290"
"Leaver CS","2023","Debt","Unknown","AA/AO","10","[c]","23670","24520"
"Leaver CS","2023","Debt","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","London","AA/AO","35","[c]","22270","22770"
"Leaver CS","2023","Digital, Data & Technology","London","EO","75","[c]","28760","29530"
"Leaver CS","2023","Digital, Data & Technology","London","G6/G7","285","[c]","61480","59290"
"Leaver CS","2023","Digital, Data & Technology","London","SCS level","25","[c]","103270","92000"
"Leaver CS","2023","Digital, Data & Technology","London","SEO/HEO","225","[c]","39700","40760"
"Leaver CS","2023","Digital, Data & Technology","London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Outside London","AA/AO","105","[c]","21540","21690"
"Leaver CS","2023","Digital, Data & Technology","Outside London","EO","260","[c]","27870","27530"
"Leaver CS","2023","Digital, Data & Technology","Outside London","G6/G7","415","[c]","58440","56650"
"Leaver CS","2023","Digital, Data & Technology","Outside London","SCS level","20","[c]","91570","92160"
"Leaver CS","2023","Digital, Data & Technology","Outside London","SEO/HEO","735","[c]","38030","38250"
"Leaver CS","2023","Digital, Data & Technology","Outside London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","London","AA/AO","15","[c]","24500","25610"
"Leaver CS","2023","Finance","London","EO","35","[c]","28200","29460"
"Leaver CS","2023","Finance","London","G6/G7","65","[c]","61960","59950"
"Leaver CS","2023","Finance","London","SCS level","15","[c]","103600","100110"
"Leaver CS","2023","Finance","London","SEO/HEO","105","[c]","41500","41750"
"Leaver CS","2023","Finance","Outside London","AA/AO","140","[c]","22090","21690"
"Leaver CS","2023","Finance","Outside London","EO","115","[c]","26860","26960"
"Leaver CS","2023","Finance","Outside London","G6/G7","110","[c]","59190","58260"
"Leaver CS","2023","Finance","Outside London","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Outside London","SEO/HEO","240","[c]","38150","37590"
"Leaver CS","2023","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Unknown","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Grants Management","Outside London","AA/AO","130","[c]","21680","21300"
"Leaver CS","2023","Grants Management","Outside London","EO","50","[c]","25250","25920"
