"Status","Year","Disability","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Communications","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Counter Fraud","95","90","30060","28120"
"In post","2023","Declared disabled","Asian","Counter Fraud","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Legal","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Operational Delivery","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Other","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Tax","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Debt","Operational Delivery","40","35","24650","22520"
"In post","2023","Declared disabled","Asian","Debt","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Debt","Other","50","45","24380","21690"
"In post","2023","Declared disabled","Asian","Debt","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Debt","Tax","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Digital, Data and Technology","110","110","42450","38810"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Commercial","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Finance","60","60","41260","38680"
"In post","2023","Declared disabled","Asian","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Human Resources","90","85","40080","39150"
"In post","2023","Declared disabled","Asian","Human Resources","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Operational Delivery","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Internal Audit","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Legal","70","65","54180","53600"
"In post","2023","Declared disabled","Asian","Legal","Operational Delivery","55","45","27480","26900"
"In post","2023","Declared disabled","Asian","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Commercial","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Intelligence Analysis","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","International Trade","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Legal","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Operational Delivery","1970","1755","28850","28120"
"In post","2023","Declared disabled","Asian","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Other","40","35","32720","30200"
"In post","2023","Declared disabled","Asian","No function","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Policy","200","200","44040","40710"
"In post","2023","Declared disabled","Asian","No function","Project Delivery","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Science and Engineering","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Tax","95","90","38400","35000"
"In post","2023","Declared disabled","Asian","No function","Unknown","45","45","37540","34400"
"In post","2023","Declared disabled","Asian","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Policy","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Project Delivery","100","95","41800","39150"
"In post","2023","Declared disabled","Asian","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Tax","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Property","30","30","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Security","30","30","33750","33020"
"In post","2023","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Policy","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Science and Engineering","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","50","50","33350","30130"
"In post","2023","Declared disabled","Asian","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Statistics","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Commercial","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","International Trade","[c]","[c]","[c]","[c]"
