"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Charity Commission","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","Female","100","85","22420","22180"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","Male","55","55","22420","22180"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","Female","120","110","27030","26690"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","Male","85","85","27170","26650"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","Female","200","195","57950","55350"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","Male","170","165","58600","56750"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","400","375","37670","37420"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","290","280","38130","38500"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","EO","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","EO","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","Female","50","50","56300","53330"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","Male","30","30","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","45","40","36230","35620"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","30","30","36500","35620"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","EO","Female","55","50","27460","26940"
"In post","2023","Declared disabled","Department for Education","EO","Male","35","35","27880","26940"
"In post","2023","Declared disabled","Department for Education","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","G6/G7","Female","180","170","57120","55020"
"In post","2023","Declared disabled","Department for Education","G6/G7","Male","90","90","57160","55020"
"In post","2023","Declared disabled","Department for Education","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","SCS level","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","SEO/HEO","Female","270","255","36420","37590"
"In post","2023","Declared disabled","Department for Education","SEO/HEO","Male","155","155","37070","37590"
"In post","2023","Declared disabled","Department for Education","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","Female","270","240","22560","22150"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","Male","150","145","22520","22150"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","EO","Female","210","195","26910","25920"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","EO","Male","115","115","26800","25920"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","Female","200","190","54030","53130"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","Male","150","145","55030","54330"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","SCS level","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","Female","410","390","35010","34250"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","Male","265","255","35320","36240"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","EO","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","EO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","G6/G7","Female","55","55","59290","55530"
"In post","2023","Declared disabled","Department for International Trade","G6/G7","Male","40","35","59630","56830"
"In post","2023","Declared disabled","Department for International Trade","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","SEO/HEO","Female","60","60","38250","38050"
"In post","2023","Declared disabled","Department for International Trade","SEO/HEO","Male","65","65","38880","38250"
"In post","2023","Declared disabled","Department for International Trade","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","AA/AO","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","EO","Female","30","30","28590","28850"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","EO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","G6/G7","Female","95","90","57440","54630"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","G6/G7","Male","75","75","58720","55110"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","SCS level","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","SEO/HEO","Female","105","105","36600","36090"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","SEO/HEO","Male","75","75","37410","36880"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","AA/AO","Female","405","310","21550","22500"
"In post","2023","Declared disabled","Department for Transport","AA/AO","Male","190","180","22600","22500"
"In post","2023","Declared disabled","Department for Transport","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","EO","Female","155","135","28010","27450"
"In post","2023","Declared disabled","Department for Transport","EO","Male","225","200","28640","27450"
"In post","2023","Declared disabled","Department for Transport","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","G6/G7","Female","60","60","59640","55740"
"In post","2023","Declared disabled","Department for Transport","G6/G7","Male","65","65","60850","56340"
"In post","2023","Declared disabled","Department for Transport","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","SEO/HEO","Female","155","145","37160","35760"
"In post","2023","Declared disabled","Department for Transport","SEO/HEO","Male","165","160","38210","36760"
"In post","2023","Declared disabled","Department for Transport","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","AA/AO","Female","3525","2815","22010","21690"
"In post","2023","Declared disabled","Department for Work and Pensions","AA/AO","Male","1860","1705","21960","21690"
"In post","2023","Declared disabled","Department for Work and Pensions","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","EO","Female","6390","5470","28770","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","EO","Male","2690","2520","28770","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","G6/G7","Female","315","295","57050","54070"
"In post","2023","Declared disabled","Department for Work and Pensions","G6/G7","Male","240","235","58490","55320"
"In post","2023","Declared disabled","Department for Work and Pensions","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","SCS level","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions","SEO/HEO","Female","1495","1365","36700","34970"
"In post","2023","Declared disabled","Department for Work and Pensions","SEO/HEO","Male","845","810","37510","34970"
"In post","2023","Declared disabled","Department for Work and Pensions","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","AA/AO","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","EO","Female","45","45","27380","27840"
"In post","2023","Declared disabled","Department of Health and Social Care","EO","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","G6/G7","Female","120","115","58220","54690"
"In post","2023","Declared disabled","Department of Health and Social Care","G6/G7","Male","60","60","58560","55570"
"In post","2023","Declared disabled","Department of Health and Social Care","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","SEO/HEO","Female","135","130","37250","37060"
"In post","2023","Declared disabled","Department of Health and Social Care","SEO/HEO","Male","75","70","36840","36890"
"In post","2023","Declared disabled","Department of Health and Social Care","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Estyn","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","EO","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","EO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","SEO/HEO","Female","45","45","36840","37910"
"In post","2023","Declared disabled","Food Standards Agency","SEO/HEO","Male","30","30","37200","38100"
"In post","2023","Declared disabled","Food Standards Agency","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","Female","30","30","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","Male","35","30","29060","28950"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","EO","Female","50","45","31800","31790"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","EO","Male","30","30","31060","30430"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","G6/G7","Female","90","90","60820","57720"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","G6/G7","Male","95","95","62470","60710"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","SCS level","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","SEO/HEO","Female","125","125","38620","38540"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","SEO/HEO","Male","135","130","39640","38540"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","AA/AO","Female","115","105","23370","23390"
"In post","2023","Declared disabled","HM Land Registry","AA/AO","Male","70","70","23330","23390"
"In post","2023","Declared disabled","HM Land Registry","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","EO","Female","185","155","28270","28080"
"In post","2023","Declared disabled","HM Land Registry","EO","Male","85","75","28330","28080"
"In post","2023","Declared disabled","HM Land Registry","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","SEO/HEO","Female","130","115","37440","34850"
"In post","2023","Declared disabled","HM Land Registry","SEO/HEO","Male","80","70","39230","39460"
"In post","2023","Declared disabled","HM Land Registry","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Revenue and Customs","AA/AO","Female","1180","955","22820","22520"
"In post","2023","Declared disabled","HM Revenue and Customs","AA/AO","Male","785","720","22710","22520"
"In post","2023","Declared disabled","HM Revenue and Customs","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Revenue and Customs","EO","Female","835","740","29040","28130"
"In post","2023","Declared disabled","HM Revenue and Customs","EO","Male","600","565","28820","28130"
