"Status","Year","Age","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Department for International Trade","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Operational Delivery","Female","55","50","20910","22500"
"In post","2023","16-19","Department for Transport","Operational Delivery","Male","30","25","20540","19000"
"In post","2023","16-19","Department for Transport","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","Female","30","25","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","Male","15","15","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Property","Male","15","15","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Finance","Female","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","Female","65","65","22730","22520"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","Male","65","60","23080","22520"
"In post","2023","16-19","HM Revenue and Customs","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","Male","15","15","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","Male","15","15","[c]","[c]"
"In post","2023","16-19","HM Treasury","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","Female","70","65","23670","22400"
"In post","2023","16-19","Home Office","Operational Delivery","Male","55","55","23840","22400"
"In post","2023","16-19","Home Office","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Finance","Female","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Finance","Male","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","Female","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","Male","25","25","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Other","Female","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Other","Male","30","30","19040","17660"
"In post","2023","16-19","Ministry of Defence","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Project Delivery","Female","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Project Delivery","Male","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","Female","20","20","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","Male","90","90","19500","18780"
"In post","2023","16-19","Ministry of Defence","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","Female","200","190","25120","23230"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","Male","145","140","26210","27790"
"In post","2023","16-19","Ministry of Justice","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Operational Delivery","Female","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Government","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Government","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Other","Male","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Government","Unknown","Female","30","25","[c]","[c]"
"In post","2023","16-19","Scottish Government","Unknown","Male","20","20","[c]","[c]"
"In post","2023","16-19","The National Archives","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Economics","Female","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government","Human Resources","Female","5","5","[c]","[c]"
"In post","2023","16-19","Welsh Government","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Commercial","Female","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Communications","Female","20","20","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Communications","Male","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Counter Fraud","Female","20","20","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Counter Fraud","Male","15","15","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","Male","25","25","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Finance","Female","20","20","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Finance","Male","20","20","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Human Resources","Female","45","45","32560","29190"
"In post","2023","20-29","Attorney General's Departments","Human Resources","Male","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Legal","Female","330","325","40430","40800"
"In post","2023","20-29","Attorney General's Departments","Legal","Male","130","130","42100","45230"
