"Status","Year","Age","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Office of Gas and Electricity Markets","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","AA","Female","30","30","[c]","[c]"
"In post","2023","16-19","Scottish Government","AA","Male","25","25","[c]","[c]"
"In post","2023","16-19","Scottish Government","AO","Female","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Government","AO","Male","15","10","[c]","[c]"
"In post","2023","16-19","The National Archives","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","EO","Female","10","10","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Welsh Government","AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Welsh Government","AO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","AO","Female","390","385","23100","22870"
"In post","2023","20-29","Attorney General's Departments","AO","Male","175","175","22770","22870"
"In post","2023","20-29","Attorney General's Departments","EO","Female","460","455","28030","27760"
"In post","2023","20-29","Attorney General's Departments","EO","Male","165","165","28240","27760"
"In post","2023","20-29","Attorney General's Departments","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","G7","Female","135","130","51680","52020"
"In post","2023","20-29","Attorney General's Departments","G7","Male","60","60","52040","52020"
"In post","2023","20-29","Attorney General's Departments","HEO","Female","135","135","35370","32660"
"In post","2023","20-29","Attorney General's Departments","HEO","Male","75","75","35860","32660"
"In post","2023","20-29","Attorney General's Departments","SEO","Female","80","80","39870","38940"
"In post","2023","20-29","Attorney General's Departments","SEO","Male","45","45","40000","39470"
"In post","2023","20-29","Cabinet Office","AO","Female","80","75","22570","21720"
"In post","2023","20-29","Cabinet Office","AO","Male","55","55","22730","21720"
"In post","2023","20-29","Cabinet Office","EO","Female","165","160","26910","28050"
"In post","2023","20-29","Cabinet Office","EO","Male","150","150","26790","27500"
"In post","2023","20-29","Cabinet Office","G6","Female","20","20","[c]","[c]"
"In post","2023","20-29","Cabinet Office","G6","Male","20","20","[c]","[c]"
"In post","2023","20-29","Cabinet Office","G7","Female","190","190","56520","56430"
"In post","2023","20-29","Cabinet Office","G7","Male","165","165","56800","56430"
"In post","2023","20-29","Cabinet Office","HEO","Female","1140","1135","31380","30130"
"In post","2023","20-29","Cabinet Office","HEO","Male","735","735","31490","30130"
"In post","2023","20-29","Cabinet Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","SEO","Female","140","140","40500","41410"
"In post","2023","20-29","Cabinet Office","SEO","Male","120","120","40970","41870"
"In post","2023","20-29","Chancellor's other departments","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","EO","Female","10","10","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","EO","Male","15","15","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","HEO","Female","10","10","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","HEO","Male","15","15","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","SEO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Charity Commission","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","AO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Charity Commission","EO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Charity Commission","EO","Male","10","10","[c]","[c]"
"In post","2023","20-29","Charity Commission","HEO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Charity Commission","HEO","Male","10","10","[c]","[c]"
"In post","2023","20-29","Charity Commission","SEO","Female","5","5","[c]","[c]"
"In post","2023","20-29","Charity Commission","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","AO","Female","10","10","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","AO","Male","10","10","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","EO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","EO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","G7","Female","25","25","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","G7","Male","20","20","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","HEO","Female","35","35","34680","34110"
"In post","2023","20-29","Competition and Markets Authority","HEO","Male","40","40","34440","34110"
"In post","2023","20-29","Competition and Markets Authority","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","SEO","Male","10","10","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","AA","Female","25","25","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","AA","Male","25","25","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","AO","Female","160","155","22310","22180"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","AO","Male","125","125","22270","22180"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","EO","Female","245","240","27000","25610"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","EO","Male","240","240","27060","26650"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","G6","Female","15","15","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","G6","Male","25","25","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","G7","Female","305","300","55720","55120"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","G7","Male","315","315","56200","55120"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","HEO","Female","440","440","33670","33990"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","HEO","Male","395","390","34270","34410"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","SEO","Female","435","435","41400","41360"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","SEO","Male","375","375","41740","41360"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","EO","Female","55","55","27910","27230"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","EO","Male","45","45","27210","27230"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","G6","Male","5","5","[c]","[c]"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","G7","Female","95","95","54000","53030"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","G7","Male","80","80","54420","53030"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","HEO","Female","215","215","36570","35620"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","HEO","Male","170","170","36990","35620"
"In post","2023","20-29","Department for Education","AO","Female","15","15","[c]","[c]"
"In post","2023","20-29","Department for Education","AO","Male","10","10","[c]","[c]"
"In post","2023","20-29","Department for Education","EO","Female","195","190","27110","25900"
"In post","2023","20-29","Department for Education","EO","Male","120","120","27220","25900"
"In post","2023","20-29","Department for Education","G6","Female","10","10","[c]","[c]"
"In post","2023","20-29","Department for Education","G6","Male","5","5","[c]","[c]"
"In post","2023","20-29","Department for Education","G7","Female","160","160","53650","55020"
"In post","2023","20-29","Department for Education","G7","Male","95","95","53340","55020"
"In post","2023","20-29","Department for Education","HEO","Female","325","325","32130","30330"
"In post","2023","20-29","Department for Education","HEO","Male","165","165","32100","30330"
"In post","2023","20-29","Department for Education","SEO","Female","310","310","40490","41440"
"In post","2023","20-29","Department for Education","SEO","Male","165","165","39690","37590"
"In post","2023","20-29","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Education","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","AO","Female","315","305","22570","22150"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","AO","Male","260","260","22610","22150"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","EO","Female","335","330","26860","25920"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","EO","Male","195","190","26910","25920"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","G7","Female","115","115","52920","54330"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","G7","Male","80","75","53030","54330"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","HEO","Female","400","400","32150","32490"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","HEO","Male","295","290","32310","33830"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","SEO","Female","225","225","39040","40260"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","SEO","Male","165","165","39440","40260"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","Unknown","Female","5","5","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","Unknown","Male","5","5","[c]","[c]"
"In post","2023","20-29","Department for International Trade","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","EO","Female","80","80","28850","29280"
"In post","2023","20-29","Department for International Trade","EO","Male","65","65","28750","29280"
"In post","2023","20-29","Department for International Trade","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","G6","Male","10","10","[c]","[c]"
"In post","2023","20-29","Department for International Trade","G7","Female","130","130","55990","55370"
"In post","2023","20-29","Department for International Trade","G7","Male","110","110","56410","55370"
"In post","2023","20-29","Department for International Trade","HEO","Female","205","205","34940","35010"
"In post","2023","20-29","Department for International Trade","HEO","Male","200","195","34660","35010"
"In post","2023","20-29","Department for International Trade","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","SEO","Female","190","185","41640","41550"
"In post","2023","20-29","Department for International Trade","SEO","Male","160","160","41590","41550"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","AO","Female","25","25","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","AO","Male","20","20","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","EO","Female","55","55","28130","28850"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","EO","Male","60","60","27940","28850"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","G6","Female","10","10","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","G6","Male","10","10","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","G7","Female","110","110","53900","54630"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","G7","Male","115","115","54150","54630"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","HEO","Female","165","165","33130","33880"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","HEO","Male","145","145","33290","33880"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","SEO","Female","120","120","40390","40550"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","SEO","Male","95","95","40480","40800"
"In post","2023","20-29","Department for Transport","AA","Female","100","85","19070","19000"
"In post","2023","20-29","Department for Transport","AA","Male","95","90","19350","19000"
"In post","2023","20-29","Department for Transport","AO","Female","350","325","22660","22500"
"In post","2023","20-29","Department for Transport","AO","Male","310","305","23410","22500"
"In post","2023","20-29","Department for Transport","EO","Female","195","195","28470","26960"
"In post","2023","20-29","Department for Transport","EO","Male","180","180","28290","26960"
"In post","2023","20-29","Department for Transport","G6","Female","5","5","[c]","[c]"
"In post","2023","20-29","Department for Transport","G6","Male","15","15","[c]","[c]"
"In post","2023","20-29","Department for Transport","G7","Female","100","100","55300","55740"
"In post","2023","20-29","Department for Transport","G7","Male","125","125","55550","55740"
"In post","2023","20-29","Department for Transport","HEO","Female","240","235","34630","35400"
"In post","2023","20-29","Department for Transport","HEO","Male","265","260","34530","35400"
"In post","2023","20-29","Department for Transport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Transport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Transport","SEO","Female","135","135","42710","43530"
"In post","2023","20-29","Department for Transport","SEO","Male","145","145","43520","43750"
"In post","2023","20-29","Department for Work and Pensions","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Work and Pensions","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Work and Pensions","AO","Female","1660","1575","22140","21690"
"In post","2023","20-29","Department for Work and Pensions","AO","Male","1475","1460","22010","21690"
"In post","2023","20-29","Department for Work and Pensions","EO","Female","2665","2590","29050","28120"
"In post","2023","20-29","Department for Work and Pensions","EO","Male","1730","1720","28820","28120"
"In post","2023","20-29","Department for Work and Pensions","G6","Female","5","5","[c]","[c]"
"In post","2023","20-29","Department for Work and Pensions","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Work and Pensions","G7","Female","80","80","53740","55150"
"In post","2023","20-29","Department for Work and Pensions","G7","Male","80","80","55140","55150"
"In post","2023","20-29","Department for Work and Pensions","HEO","Female","525","525","35120","34170"
"In post","2023","20-29","Department for Work and Pensions","HEO","Male","465","465","35240","34170"
"In post","2023","20-29","Department for Work and Pensions","SEO","Female","170","170","40960","39910"
"In post","2023","20-29","Department for Work and Pensions","SEO","Male","150","150","41050","40790"
"In post","2023","20-29","Department of Health and Social Care","AA","Female","15","15","[c]","[c]"
"In post","2023","20-29","Department of Health and Social Care","AA","Male","15","15","[c]","[c]"
"In post","2023","20-29","Department of Health and Social Care","AO","Female","95","90","22730","22230"
"In post","2023","20-29","Department of Health and Social Care","AO","Male","75","70","22460","22480"
"In post","2023","20-29","Department of Health and Social Care","EO","Female","320","315","27280","27840"
"In post","2023","20-29","Department of Health and Social Care","EO","Male","160","155","26950","27840"
"In post","2023","20-29","Department of Health and Social Care","G6","Female","25","25","[c]","[c]"
"In post","2023","20-29","Department of Health and Social Care","G6","Male","15","15","[c]","[c]"
"In post","2023","20-29","Department of Health and Social Care","G7","Female","200","200","54170","54690"
"In post","2023","20-29","Department of Health and Social Care","G7","Male","125","125","54020","54690"
"In post","2023","20-29","Department of Health and Social Care","HEO","Female","445","440","32900","33500"
"In post","2023","20-29","Department of Health and Social Care","HEO","Male","230","230","32610","33330"
"In post","2023","20-29","Department of Health and Social Care","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department of Health and Social Care","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department of Health and Social Care","SEO","Female","330","325","40960","41480"
"In post","2023","20-29","Department of Health and Social Care","SEO","Male","160","160","40540","41190"
"In post","2023","20-29","Estyn","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Estyn","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Estyn","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Estyn","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Estyn","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Estyn","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","EO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","EO","Male","15","15","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","G7","Female","5","5","[c]","[c]"
