"Status","Year","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Competition and Markets Authority","AO","Female","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","AO","Male","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","EO","Female","35","35","28560","28000"
"In post","2023","Competition and Markets Authority","EO","Male","25","25","[c]","[c]"
"In post","2023","Competition and Markets Authority","G6","Female","110","105","77120","76720"
"In post","2023","Competition and Markets Authority","G6","Male","115","110","77400","76720"
"In post","2023","Competition and Markets Authority","G7","Female","120","110","57950","57540"
"In post","2023","Competition and Markets Authority","G7","Male","125","125","58640","57600"
"In post","2023","Competition and Markets Authority","HEO","Female","85","85","35540","34620"
"In post","2023","Competition and Markets Authority","HEO","Male","70","70","35370","34110"
"In post","2023","Competition and Markets Authority","SCS level","Female","55","50","109130","102320"
"In post","2023","Competition and Markets Authority","SCS level","Male","70","70","110250","102320"
"In post","2023","Competition and Markets Authority","SEO","Female","30","30","44260","43560"
"In post","2023","Competition and Markets Authority","SEO","Male","35","35","45360","44990"
"In post","2023","Department for Business, Energy and Industrial Strategy","AA","Female","55","50","19830","20200"
"In post","2023","Department for Business, Energy and Industrial Strategy","AA","Male","55","55","19590","19080"
"In post","2023","Department for Business, Energy and Industrial Strategy","AO","Female","795","700","22710","22180"
"In post","2023","Department for Business, Energy and Industrial Strategy","AO","Male","465","455","22720","22180"
"In post","2023","Department for Business, Energy and Industrial Strategy","EO","Female","1045","970","26910","25700"
"In post","2023","Department for Business, Energy and Industrial Strategy","EO","Male","785","770","27360","26650"
"In post","2023","Department for Business, Energy and Industrial Strategy","G6","Female","510","480","67500","66490"
"In post","2023","Department for Business, Energy and Industrial Strategy","G6","Male","620","605","67570","66790"
"In post","2023","Department for Business, Energy and Industrial Strategy","G7","Female","1490","1430","54990","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy","G7","Male","1815","1780","55810","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy","HEO","Female","1560","1475","34070","33910"
"In post","2023","Department for Business, Energy and Industrial Strategy","HEO","Male","1420","1390","34780","34670"
"In post","2023","Department for Business, Energy and Industrial Strategy","SCS level","Female","190","175","84220","77650"
"In post","2023","Department for Business, Energy and Industrial Strategy","SCS level","Male","220","220","87510","78410"
"In post","2023","Department for Business, Energy and Industrial Strategy","SEO","Female","1595","1525","42070","41360"
"In post","2023","Department for Business, Energy and Industrial Strategy","SEO","Male","1795","1755","42520","41360"
"In post","2023","Department for Digital, Culture, Media and Sport","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","EO","Female","105","100","28100","27780"
"In post","2023","Department for Digital, Culture, Media and Sport","EO","Male","65","65","27480","27510"
"In post","2023","Department for Digital, Culture, Media and Sport","G6","Female","125","120","65220","64260"
"In post","2023","Department for Digital, Culture, Media and Sport","G6","Male","105","105","65640","64590"
"In post","2023","Department for Digital, Culture, Media and Sport","G7","Female","375","360","54530","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","G7","Male","335","330","54840","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","HEO","Female","390","385","36700","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","HEO","Male","315","310","36950","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","SCS level","Female","60","55","86400","77160"
"In post","2023","Department for Digital, Culture, Media and Sport","SCS level","Male","55","55","87780","81500"
"In post","2023","Department for Education","AO","Female","65","60","22800","22020"
"In post","2023","Department for Education","AO","Male","30","30","[c]","[c]"
"In post","2023","Department for Education","EO","Female","515","485","27430","26940"
"In post","2023","Department for Education","EO","Male","270","270","27600","26940"
"In post","2023","Department for Education","G6","Female","510","475","65870","65780"
"In post","2023","Department for Education","G6","Male","475","465","66640","65790"
"In post","2023","Department for Education","G7","Female","1360","1290","53580","52150"
"In post","2023","Department for Education","G7","Male","950","940","53640","52150"
"In post","2023","Department for Education","HEO","Female","1030","980","32110","31080"
"In post","2023","Department for Education","HEO","Male","600","595","32280","31080"
"In post","2023","Department for Education","SCS level","Female","175","165","84820","76510"
"In post","2023","Department for Education","SCS level","Male","120","120","85300","77460"
"In post","2023","Department for Education","SEO","Female","1455","1380","39960","38070"
"In post","2023","Department for Education","SEO","Male","925","915","39960","38070"
"In post","2023","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","AO","Female","1525","1350","22540","22150"
"In post","2023","Department for Environment, Food and Rural Affairs","AO","Male","1005","980","22520","22150"
"In post","2023","Department for Environment, Food and Rural Affairs","EO","Female","1350","1250","26790","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","EO","Male","895","870","26850","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","G6","Female","370","350","62700","62970"
"In post","2023","Department for Environment, Food and Rural Affairs","G6","Male","395","390","62700","62120"
"In post","2023","Department for Environment, Food and Rural Affairs","G7","Female","1165","1110","51860","50340"
"In post","2023","Department for Environment, Food and Rural Affairs","G7","Male","1060","1040","52050","50420"
"In post","2023","Department for Environment, Food and Rural Affairs","HEO","Female","1375","1305","31680","30520"
"In post","2023","Department for Environment, Food and Rural Affairs","HEO","Male","1025","1010","31870","30840"
"In post","2023","Department for Environment, Food and Rural Affairs","SCS level","Female","115","110","83280","76560"
"In post","2023","Department for Environment, Food and Rural Affairs","SCS level","Male","120","120","84130","78560"
"In post","2023","Department for Environment, Food and Rural Affairs","SEO","Female","1470","1385","38800","37710"
"In post","2023","Department for Environment, Food and Rural Affairs","SEO","Male","1160","1135","39120","37970"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Female","20","15","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Male","15","15","[c]","[c]"
"In post","2023","Department for International Trade","AO","Female","15","15","[c]","[c]"
"In post","2023","Department for International Trade","AO","Male","10","10","[c]","[c]"
"In post","2023","Department for International Trade","EO","Female","175","170","29020","29280"
"In post","2023","Department for International Trade","EO","Male","125","125","29040","29280"
"In post","2023","Department for International Trade","G6","Female","160","155","67580","65980"
"In post","2023","Department for International Trade","G6","Male","190","185","68000","66270"
"In post","2023","Department for International Trade","G7","Female","480","470","55800","55370"
"In post","2023","Department for International Trade","G7","Male","530","530","56670","55500"
"In post","2023","Department for International Trade","HEO","Female","360","350","34920","35010"
"In post","2023","Department for International Trade","HEO","Male","345","345","35110","35010"
"In post","2023","Department for International Trade","SCS level","Female","85","80","83960","77110"
"In post","2023","Department for International Trade","SCS level","Male","105","100","91750","80010"
"In post","2023","Department for International Trade","SEO","Female","455","445","41980","41550"
"In post","2023","Department for International Trade","SEO","Male","505","505","42140","41550"
"In post","2023","Department for Levelling Up, Housing and Communities","AA","Female","5","5","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","AO","Female","115","105","23180","23250"
"In post","2023","Department for Levelling Up, Housing and Communities","AO","Male","75","75","23750","23250"
"In post","2023","Department for Levelling Up, Housing and Communities","EO","Female","180","170","28620","28850"
"In post","2023","Department for Levelling Up, Housing and Communities","EO","Male","170","165","28570","28490"
"In post","2023","Department for Levelling Up, Housing and Communities","G6","Female","335","310","66280","64970"
"In post","2023","Department for Levelling Up, Housing and Communities","G6","Male","375","350","66520","64970"
"In post","2023","Department for Levelling Up, Housing and Communities","G7","Female","615","585","53130","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","G7","Male","610","600","53680","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","HEO","Female","445","430","33470","33880"
"In post","2023","Department for Levelling Up, Housing and Communities","HEO","Male","345","340","34090","33890"
"In post","2023","Department for Levelling Up, Housing and Communities","SCS level","Female","95","90","84980","78840"
"In post","2023","Department for Levelling Up, Housing and Communities","SCS level","Male","90","90","90430","80650"
"In post","2023","Department for Levelling Up, Housing and Communities","SEO","Female","360","350","40510","40800"
"In post","2023","Department for Levelling Up, Housing and Communities","SEO","Male","360","360","40900","40800"
"In post","2023","Department for Transport","AA","Female","740","535","19050","19000"
"In post","2023","Department for Transport","AA","Male","425","390","19770","19000"
"In post","2023","Department for Transport","AO","Female","2455","2065","22610","22500"
"In post","2023","Department for Transport","AO","Male","1955","1875","24800","22500"
"In post","2023","Department for Transport","EO","Female","1535","1405","27950","27400"
"In post","2023","Department for Transport","EO","Male","2600","2470","28750","27450"
"In post","2023","Department for Transport","G6","Female","260","240","70120","67560"
"In post","2023","Department for Transport","G6","Male","390","385","71540","68150"
"In post","2023","Department for Transport","G7","Female","615","595","55700","55740"
"In post","2023","Department for Transport","G7","Male","970","955","58360","56000"
"In post","2023","Department for Transport","HEO","Female","1015","970","33740","32950"
"In post","2023","Department for Transport","HEO","Male","1325","1305","34420","33110"
"In post","2023","Department for Transport","SCS level","Female","135","125","86600","79860"
"In post","2023","Department for Transport","SCS level","Male","145","140","92740","85940"
"In post","2023","Department for Transport","SEO","Female","730","700","42320","42180"
"In post","2023","Department for Transport","SEO","Male","1110","1095","43880","43320"
"In post","2023","Department for Work and Pensions","AA","Female","130","90","21320","21250"
"In post","2023","Department for Work and Pensions","AA","Male","125","110","21300","21250"
"In post","2023","Department for Work and Pensions","AO","Female","16970","13795","22040","21690"
"In post","2023","Department for Work and Pensions","AO","Male","8640","8190","22000","21690"
"In post","2023","Department for Work and Pensions","EO","Female","28690","24785","28800","28120"
"In post","2023","Department for Work and Pensions","EO","Male","14650","14000","28810","28120"
"In post","2023","Department for Work and Pensions","G6","Female","515","490","69610","66860"
"In post","2023","Department for Work and Pensions","G6","Male","630","615","71470","70570"
"In post","2023","Department for Work and Pensions","G7","Female","1585","1500","53290","50950"
"In post","2023","Department for Work and Pensions","G7","Male","1690","1650","55730","55150"
"In post","2023","Department for Work and Pensions","HEO","Female","5485","5065","35100","34170"
"In post","2023","Department for Work and Pensions","HEO","Male","3565","3460","35110","34170"
"In post","2023","Department for Work and Pensions","SCS level","Female","165","155","89050","80720"
"In post","2023","Department for Work and Pensions","SCS level","Male","155","155","92480","84370"
"In post","2023","Department for Work and Pensions","SEO","Female","2485","2330","40740","38470"
"In post","2023","Department for Work and Pensions","SEO","Male","2295","2225","43540","40790"
"In post","2023","Department of Health and Social Care","AA","Female","45","40","21790","21080"
"In post","2023","Department of Health and Social Care","AA","Male","30","25","21710","21560"
"In post","2023","Department of Health and Social Care","AO","Female","370","325","22910","22820"
"In post","2023","Department of Health and Social Care","AO","Male","175","170","22720","22820"
"In post","2023","Department of Health and Social Care","EO","Female","875","835","27620","27960"
"In post","2023","Department of Health and Social Care","EO","Male","340","330","27500","27960"
"In post","2023","Department of Health and Social Care","G6","Female","710","670","69510","67890"
"In post","2023","Department of Health and Social Care","G6","Male","505","485","70540","67890"
"In post","2023","Department of Health and Social Care","G7","Female","1535","1465","54200","54660"
"In post","2023","Department of Health and Social Care","G7","Male","930","915","54450","54660"
"In post","2023","Department of Health and Social Care","HEO","Female","1200","1150","33390","33710"
"In post","2023","Department of Health and Social Care","HEO","Male","585","575","33260","33500"
"In post","2023","Department of Health and Social Care","SCS level","Female","400","370","97900","95000"
"In post","2023","Department of Health and Social Care","SCS level","Male","330","310","100830","95750"
"In post","2023","Department of Health and Social Care","SEO","Female","1445","1375","41240","41480"
"In post","2023","Department of Health and Social Care","SEO","Male","785","775","41350","41660"
"In post","2023","Estyn","AO","Female","10","10","[c]","[c]"
"In post","2023","Estyn","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","EO","Female","15","15","[c]","[c]"
"In post","2023","Estyn","EO","Male","10","5","[c]","[c]"
"In post","2023","Estyn","G6","Female","30","30","77720","78500"
"In post","2023","Estyn","G6","Male","35","35","78520","78500"
"In post","2023","Estyn","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SEO","Female","5","5","[c]","[c]"
"In post","2023","Estyn","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","AO","Female","5","5","[c]","[c]"
"In post","2023","Food Standards Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","EO","Female","110","105","27940","28090"
"In post","2023","Food Standards Agency","EO","Male","325","305","28460","28090"
"In post","2023","Food Standards Agency","G6","Female","30","30","65240","64450"
"In post","2023","Food Standards Agency","G6","Male","35","35","64320","62430"
"In post","2023","Food Standards Agency","G7","Female","125","120","54550","53110"
"In post","2023","Food Standards Agency","G7","Male","110","105","54420","53110"
"In post","2023","Food Standards Agency","HEO","Female","205","200","32150","31500"
"In post","2023","Food Standards Agency","HEO","Male","165","165","32510","31730"
"In post","2023","Food Standards Agency","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Food Standards Agency","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Food Standards Agency","SEO","Female","240","230","39800","38670"
"In post","2023","Food Standards Agency","SEO","Male","195","190","39980","38670"
"In post","2023","Foreign, Commonwealth and Development Office","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","AO","Female","250","240","26490","25950"
"In post","2023","Foreign, Commonwealth and Development Office","AO","Male","245","245","27530","26100"
"In post","2023","Foreign, Commonwealth and Development Office","EO","Female","475","450","30480","30030"
"In post","2023","Foreign, Commonwealth and Development Office","EO","Male","410","410","30770","30030"
"In post","2023","Foreign, Commonwealth and Development Office","G6","Female","540","520","68420","67550"
"In post","2023","Foreign, Commonwealth and Development Office","G6","Male","605","600","69140","68700"
"In post","2023","Foreign, Commonwealth and Development Office","G7","Female","1160","1115","56700","56100"
"In post","2023","Foreign, Commonwealth and Development Office","G7","Male","1180","1155","57420","56950"
"In post","2023","Foreign, Commonwealth and Development Office","HEO","Female","1090","1070","36800","36620"
"In post","2023","Foreign, Commonwealth and Development Office","HEO","Male","1120","1110","36960","36550"
"In post","2023","Foreign, Commonwealth and Development Office","SCS level","Female","255","250","85970","79000"
"In post","2023","Foreign, Commonwealth and Development Office","SCS level","Male","335","335","88600","79650"
"In post","2023","Foreign, Commonwealth and Development Office","SEO","Female","480","470","43720","43740"
"In post","2023","Foreign, Commonwealth and Development Office","SEO","Male","585","585","45260","44460"
"In post","2023","Foreign, Commonwealth and Development Office","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","Unknown","Male","50","50","24660","23800"
"In post","2023","HM Land Registry","AA","Female","5","5","[c]","[c]"
"In post","2023","HM Land Registry","AA","Male","20","20","[c]","[c]"
"In post","2023","HM Land Registry","AO","Female","985","900","23480","23390"
"In post","2023","HM Land Registry","AO","Male","580","560","23530","23390"
"In post","2023","HM Land Registry","EO","Female","1625","1400","28340","28080"
"In post","2023","HM Land Registry","EO","Male","835","795","28610","28080"
"In post","2023","HM Land Registry","G6","Female","35","35","71070","70030"
"In post","2023","HM Land Registry","G6","Male","30","30","73440","73440"
"In post","2023","HM Land Registry","G7","Female","145","135","60070","58140"
"In post","2023","HM Land Registry","G7","Male","110","110","59780","57880"
"In post","2023","HM Land Registry","HEO","Female","845","725","35410","34850"
"In post","2023","HM Land Registry","HEO","Male","615","555","36020","34850"
"In post","2023","HM Land Registry","SCS level","Female","15","15","[c]","[c]"
"In post","2023","HM Land Registry","SCS level","Male","15","15","[c]","[c]"
"In post","2023","HM Land Registry","SEO","Female","425","395","42350","40080"
"In post","2023","HM Land Registry","SEO","Male","425","400","43360","41680"
"In post","2023","HM Revenue and Customs","AA","Female","395","265","22570","22520"
"In post","2023","HM Revenue and Customs","AA","Male","225","200","22600","22520"
"In post","2023","HM Revenue and Customs","AO","Female","11465","9615","22780","22520"
"In post","2023","HM Revenue and Customs","AO","Male","8180","7790","22730","22520"
"In post","2023","HM Revenue and Customs","EO","Female","8705","7860","28850","28130"
"In post","2023","HM Revenue and Customs","EO","Male","7585","7355","28720","28130"
"In post","2023","HM Revenue and Customs","G6","Female","1050","995","73080","71300"
"In post","2023","HM Revenue and Customs","G6","Male","1290","1250","73360","71300"
"In post","2023","HM Revenue and Customs","G7","Female","3135","2980","58920","57970"
"In post","2023","HM Revenue and Customs","G7","Male","3800","3705","59140","57970"
"In post","2023","HM Revenue and Customs","HEO","Female","8085","7585","35640","35000"
"In post","2023","HM Revenue and Customs","HEO","Male","8630","8420","35730","35000"
"In post","2023","HM Revenue and Customs","SCS level","Female","245","240","87210","80730"
"In post","2023","HM Revenue and Customs","SCS level","Male","285","280","89050","81750"
"In post","2023","HM Revenue and Customs","SEO","Female","4640","4410","43180","42510"
"In post","2023","HM Revenue and Customs","SEO","Male","4660","4530","43480","42510"
"In post","2023","HM Treasury","AO","Female","30","30","23370","23210"
"In post","2023","HM Treasury","AO","Male","20","20","[c]","[c]"
"In post","2023","HM Treasury","EO","Female","175","170","27630","27820"
"In post","2023","HM Treasury","EO","Male","95","95","27220","27820"
"In post","2023","HM Treasury","G6","Female","170","160","65720","64950"
"In post","2023","HM Treasury","G6","Male","215","210","68300","64950"
"In post","2023","HM Treasury","G7","Female","365","355","54690","54090"
"In post","2023","HM Treasury","G7","Male","455","445","55880","54130"
"In post","2023","HM Treasury","HEO","Female","330","325","34080","33630"
"In post","2023","HM Treasury","HEO","Male","360","360","34250","33630"
"In post","2023","HM Treasury","SCS level","Female","90","80","87860","79270"
"In post","2023","HM Treasury","SCS level","Male","90","85","88580","80660"
"In post","2023","HM Treasury","SEO","Female","170","155","42360","42700"
"In post","2023","HM Treasury","SEO","Male","145","140","43380","42700"
"In post","2023","Home Office","AA","Female","375","300","21130","19500"
"In post","2023","Home Office","AA","Male","340","320","21110","19500"
"In post","2023","Home Office","AO","Female","5245","4580","23260","22400"
"In post","2023","Home Office","AO","Male","3520","3365","23140","22400"
"In post","2023","Home Office","EO","Female","8590","7840","27450","26180"
"In post","2023","Home Office","EO","Male","8850","8420","27660","26180"
"In post","2023","Home Office","G6","Female","530","510","70770","70840"
"In post","2023","Home Office","G6","Male","585","580","71820","70840"
"In post","2023","Home Office","G7","Female","1550","1505","58410","59290"
"In post","2023","Home Office","G7","Male","1725","1705","58970","59290"
"In post","2023","Home Office","HEO","Female","3555","3375","34100","32610"
"In post","2023","Home Office","HEO","Male","3230","3165","34150","32570"
"In post","2023","Home Office","SCS level","Female","165","165","88320","81560"
"In post","2023","Home Office","SCS level","Male","180","180","93510","84730"
"In post","2023","Home Office","SEO","Female","2350","2270","41980","43000"
"In post","2023","Home Office","SEO","Male","2155","2130","42140","43000"
"In post","2023","Home Office","Unknown","Female","75","75","[c]","[c]"
"In post","2023","Home Office","Unknown","Male","115","110","[c]","[c]"
"In post","2023","Ministry of Defence","AA","Female","1255","1175","21250","21380"
"In post","2023","Ministry of Defence","AA","Male","3440","3355","21520","21380"
"In post","2023","Ministry of Defence","AO","Female","5390","4995","23270","22220"
"In post","2023","Ministry of Defence","AO","Male","5780","5685","27720","23340"
"In post","2023","Ministry of Defence","EO","Female","3805","3625","28280","27470"
"In post","2023","Ministry of Defence","EO","Male","4645","4565","29860","27740"
"In post","2023","Ministry of Defence","G6","Female","700","650","73260","70550"
"In post","2023","Ministry of Defence","G6","Male","1135","1095","72070","70550"
"In post","2023","Ministry of Defence","G7","Female","2170","2070","54830","55110"
"In post","2023","Ministry of Defence","G7","Male","3805","3715","55330","55110"
"In post","2023","Ministry of Defence","HEO","Female","5310","5050","34800","34000"
"In post","2023","Ministry of Defence","HEO","Male","6305","6215","35170","34300"
"In post","2023","Ministry of Defence","SCS level","Female","190","185","89860","82780"
"In post","2023","Ministry of Defence","SCS level","Male","330","320","97460","91630"
"In post","2023","Ministry of Defence","SEO","Female","3895","3720","42430","41800"
"In post","2023","Ministry of Defence","SEO","Male","6165","6035","43360","42500"
"In post","2023","Ministry of Defence","Unknown","Female","850","810","38980","36440"
"In post","2023","Ministry of Defence","Unknown","Male","3000","2980","43820","41630"
"In post","2023","Ministry of Justice","AA","Female","4350","3875","22670","23230"
"In post","2023","Ministry of Justice","AA","Male","3590","3350","23140","23230"
"In post","2023","Ministry of Justice","AO","Female","16025","14410","26440","25340"
"In post","2023","Ministry of Justice","AO","Male","16105","15470","29930","30880"
"In post","2023","Ministry of Justice","EO","Female","5875","5555","29450","28480"
"In post","2023","Ministry of Justice","EO","Male","5620","5395","32510","34170"
"In post","2023","Ministry of Justice","G6","Female","580","565","72600","69110"
"In post","2023","Ministry of Justice","G6","Male","460","455","75650","70990"
"In post","2023","Ministry of Justice","G7","Female","1530","1475","58370","56550"
"In post","2023","Ministry of Justice","G7","Male","1285","1265","59500","57890"
"In post","2023","Ministry of Justice","HEO","Female","4565","4400","34330","33200"
"In post","2023","Ministry of Justice","HEO","Male","3555","3385","37200","38100"
"In post","2023","Ministry of Justice","SCS level","Female","175","170","89320","83010"
"In post","2023","Ministry of Justice","SCS level","Male","165","165","94430","93890"
"In post","2023","Ministry of Justice","SEO","Female","3745","3560","45030","43650"
"In post","2023","Ministry of Justice","SEO","Male","2690","2620","46830","45450"
"In post","2023","Ministry of Justice","Unknown","Female","16280","15055","30290","29050"
"In post","2023","Ministry of Justice","Unknown","Male","5285","5000","31180","29050"
"In post","2023","National Crime Agency","AO","Female","140","120","25970","26550"
"In post","2023","National Crime Agency","AO","Male","80","75","26250","26550"
"In post","2023","National Crime Agency","EO","Female","1230","1175","35590","36040"
"In post","2023","National Crime Agency","EO","Male","1180","1160","36810","37550"
"In post","2023","National Crime Agency","G6","Female","30","30","73490","73770"
"In post","2023","National Crime Agency","G6","Male","80","80","76150","76080"
"In post","2023","National Crime Agency","G7","Female","115","115","61510","61240"
"In post","2023","National Crime Agency","G7","Male","195","195","64130","63040"
"In post","2023","National Crime Agency","HEO","Female","690","655","42460","42240"
"In post","2023","National Crime Agency","HEO","Male","985","975","44260","45610"
"In post","2023","National Crime Agency","SCS level","Female","15","15","[c]","[c]"
"In post","2023","National Crime Agency","SCS level","Male","20","20","[c]","[c]"
"In post","2023","National Crime Agency","SEO","Female","315","305","49230","49180"
"In post","2023","National Crime Agency","SEO","Male","500","495","49860","49180"
"In post","2023","Northern Ireland Office","AO","Female","5","5","[c]","[c]"
"In post","2023","Northern Ireland Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","EO","Female","10","10","[c]","[c]"
"In post","2023","Northern Ireland Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","G7","Female","20","20","[c]","[c]"
"In post","2023","Northern Ireland Office","G7","Male","20","20","[c]","[c]"
"In post","2023","Northern Ireland Office","HEO","Female","15","15","[c]","[c]"
"In post","2023","Northern Ireland Office","HEO","Male","10","10","[c]","[c]"
"In post","2023","Northern Ireland Office","SCS level","Female","10","10","[c]","[c]"
