"Status","Year","Age","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","Declared disabled","Mixed","380","355","37100","32110"
"In post","2023","40-49","Declared disabled","Other ethnicity","90","90","39220","34850"
"In post","2023","40-49","Declared disabled","Undeclared","535","510","35280","32260"
"In post","2023","40-49","Declared disabled","Unknown","255","240","35920","32030"
"In post","2023","40-49","Declared disabled","White","10880","10115","35880","31270"
"In post","2023","40-49","Declared non-disabled","Asian","7200","6645","37130","32520"
"In post","2023","40-49","Declared non-disabled","Black","2980","2865","35960","32520"
"In post","2023","40-49","Declared non-disabled","Mixed","1435","1360","41450","36180"
"In post","2023","40-49","Declared non-disabled","Other ethnicity","445","420","40840","35500"
"In post","2023","40-49","Declared non-disabled","Undeclared","1745","1640","37450","32520"
"In post","2023","40-49","Declared non-disabled","Unknown","1840","1685","36730","32520"
"In post","2023","40-49","Declared non-disabled","White","61715","58105","40020","34700"
"In post","2023","40-49","Undeclared","Asian","450","410","38760","33830"
"In post","2023","40-49","Undeclared","Black","170","160","39100","34720"
"In post","2023","40-49","Undeclared","Mixed","105","100","42840","38290"
"In post","2023","40-49","Undeclared","Other ethnicity","50","50","43970","38670"
"In post","2023","40-49","Undeclared","Undeclared","1740","1675","40490","35710"
"In post","2023","40-49","Undeclared","Unknown","365","350","39750","35710"
"In post","2023","40-49","Undeclared","White","3870","3660","37780","33990"
"In post","2023","40-49","Unknown","Asian","830","795","41030","36850"
"In post","2023","40-49","Unknown","Black","320","310","39680","37330"
"In post","2023","40-49","Unknown","Mixed","170","165","46450","42510"
"In post","2023","40-49","Unknown","Other ethnicity","65","60","50010","45610"
"In post","2023","40-49","Unknown","Undeclared","500","485","45500","40760"
"In post","2023","40-49","Unknown","Unknown","11975","11365","37480","31720"
"In post","2023","40-49","Unknown","White","6745","6430","42090","38510"
"In post","2023","50-59","Declared disabled","Asian","975","890","34110","30610"
"In post","2023","50-59","Declared disabled","Black","855","805","34910","32520"
"In post","2023","50-59","Declared disabled","Mixed","390","370","37340","32520"
"In post","2023","50-59","Declared disabled","Other ethnicity","145","140","36100","32920"
"In post","2023","50-59","Declared disabled","Undeclared","965","895","34610","30560"
"In post","2023","50-59","Declared disabled","Unknown","475","445","36510","32930"
"In post","2023","50-59","Declared disabled","White","17170","15895","34020","28150"
"In post","2023","50-59","Declared non-disabled","Asian","4655","4375","35880","31280"
"In post","2023","50-59","Declared non-disabled","Black","3985","3870","36050","32520"
"In post","2023","50-59","Declared non-disabled","Mixed","1120","1060","38480","33000"
"In post","2023","50-59","Declared non-disabled","Other ethnicity","385","370","39160","32920"
"In post","2023","50-59","Declared non-disabled","Undeclared","2890","2715","35610","30910"
"In post","2023","50-59","Declared non-disabled","Unknown","2060","1920","36600","31320"
"In post","2023","50-59","Declared non-disabled","White","76355","71925","37990","32800"
"In post","2023","50-59","Undeclared","Asian","310","295","40090","32520"
"In post","2023","50-59","Undeclared","Black","315","300","36250","32920"
"In post","2023","50-59","Undeclared","Mixed","110","105","40290","34300"
"In post","2023","50-59","Undeclared","Other ethnicity","45","40","45800","34870"
"In post","2023","50-59","Undeclared","Undeclared","2720","2605","38510","34700"
"In post","2023","50-59","Undeclared","Unknown","430","405","38260","34300"
"In post","2023","50-59","Undeclared","White","5730","5405","36330","32920"
"In post","2023","50-59","Unknown","Asian","460","445","39440","34370"
"In post","2023","50-59","Unknown","Black","280","275","39330","34400"
"In post","2023","50-59","Unknown","Mixed","110","105","44580","40310"
"In post","2023","50-59","Unknown","Other ethnicity","55","55","48940","43250"
"In post","2023","50-59","Unknown","Undeclared","595","570","42330","37060"
"In post","2023","50-59","Unknown","Unknown","10495","9905","36330","29890"
"In post","2023","50-59","Unknown","White","7510","7130","40340","36040"
"In post","2023","60-64","Declared disabled","Asian","295","250","32430","30180"
"In post","2023","60-64","Declared disabled","Black","285","260","32640","30650"
"In post","2023","60-64","Declared disabled","Mixed","130","105","31830","29650"
"In post","2023","60-64","Declared disabled","Other ethnicity","40","35","36610","28120"
"In post","2023","60-64","Declared disabled","Undeclared","330","280","32060","28120"
"In post","2023","60-64","Declared disabled","Unknown","180","140","32860","28660"
"In post","2023","60-64","Declared disabled","White","5715","4635","31220","28120"
"In post","2023","60-64","Declared non-disabled","Asian","1240","1055","33390","29890"
"In post","2023","60-64","Declared non-disabled","Black","1160","1065","33380","30660"
"In post","2023","60-64","Declared non-disabled","Mixed","275","240","36810","30780"
"In post","2023","60-64","Declared non-disabled","Other ethnicity","135","120","38080","32680"
"In post","2023","60-64","Declared non-disabled","Undeclared","1005","820","33590","28590"
"In post","2023","60-64","Declared non-disabled","Unknown","660","550","33640","28120"
"In post","2023","60-64","Declared non-disabled","White","23255","19160","34000","28120"
"In post","2023","60-64","Undeclared","Asian","80","70","35530","32080"
"In post","2023","60-64","Undeclared","Black","95","85","36370","32520"
"In post","2023","60-64","Undeclared","Mixed","30","25","[c]","[c]"
"In post","2023","60-64","Undeclared","Other ethnicity","15","15","[c]","[c]"
"In post","2023","60-64","Undeclared","Undeclared","780","660","36480","33080"
"In post","2023","60-64","Undeclared","Unknown","140","120","35470","30540"
"In post","2023","60-64","Undeclared","White","1880","1520","32860","28480"
"In post","2023","60-64","Unknown","Asian","105","95","39840","34390"
"In post","2023","60-64","Unknown","Black","105","95","35700","32630"
"In post","2023","60-64","Unknown","Mixed","25","20","[c]","[c]"
"In post","2023","60-64","Unknown","Other ethnicity","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Undeclared","170","140","41750","37060"
"In post","2023","60-64","Unknown","Unknown","2865","2475","33420","28360"
"In post","2023","60-64","Unknown","White","1985","1655","36280","31470"
"In post","2023","65+","Declared disabled","Asian","120","95","31450","29050"
"In post","2023","65+","Declared disabled","Black","90","75","30900","27880"
"In post","2023","65+","Declared disabled","Mixed","35","30","34830","31980"
"In post","2023","65+","Declared disabled","Other ethnicity","15","10","[c]","[c]"
"In post","2023","65+","Declared disabled","Undeclared","95","75","29660","28120"
"In post","2023","65+","Declared disabled","Unknown","60","45","32130","28120"
"In post","2023","65+","Declared disabled","White","1795","1340","30120","28120"
"In post","2023","65+","Declared non-disabled","Asian","610","470","30790","27470"
"In post","2023","65+","Declared non-disabled","Black","340","290","31130","28290"
"In post","2023","65+","Declared non-disabled","Mixed","100","85","33290","28590"
"In post","2023","65+","Declared non-disabled","Other ethnicity","45","35","31020","28870"
"In post","2023","65+","Declared non-disabled","Undeclared","365","280","32810","28120"
"In post","2023","65+","Declared non-disabled","Unknown","275","210","32650","28120"
"In post","2023","65+","Declared non-disabled","White","7260","5555","32410","28120"
"In post","2023","65+","Undeclared","Asian","60","50","38350","28020"
"In post","2023","65+","Undeclared","Black","35","30","36360","32090"
"In post","2023","65+","Undeclared","Mixed","10","5","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","220","175","37420","31190"
"In post","2023","65+","Undeclared","Unknown","50","35","35500","29770"
"In post","2023","65+","Undeclared","White","585","440","31660","27920"
"In post","2023","65+","Unknown","Asian","40","30","35930","29730"
"In post","2023","65+","Unknown","Black","25","25","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","60","45","38110","34410"
"In post","2023","65+","Unknown","Unknown","885","685","33210","28120"
"In post","2023","65+","Unknown","White","665","520","36650","29730"
"In post","2023","Unknown","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","White","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","White","15","10","[c]","[c]"
"In post","2023","Unknown","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Unknown","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","White","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Asian","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","White","35","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Undeclared","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Undeclared","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Undeclared","White","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","95","[c]","21100","21780"
"Leaver CS","2023","16-19","Unknown","White","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Declared disabled","Asian","60","[c]","28120","27570"
"Leaver CS","2023","20-29","Declared disabled","Black","40","[c]","29150","28120"
"Leaver CS","2023","20-29","Declared disabled","Mixed","35","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Declared disabled","Other ethnicity","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Declared disabled","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Declared disabled","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Declared disabled","White","585","[c]","27650","25880"
"Leaver CS","2023","20-29","Declared non-disabled","Asian","775","[c]","28410","27570"
"Leaver CS","2023","20-29","Declared non-disabled","Black","370","[c]","30060","29290"
"Leaver CS","2023","20-29","Declared non-disabled","Mixed","285","[c]","29500","27890"
"Leaver CS","2023","20-29","Declared non-disabled","Other ethnicity","70","[c]","27240","26750"
"Leaver CS","2023","20-29","Declared non-disabled","Undeclared","80","[c]","29020","26880"
"Leaver CS","2023","20-29","Declared non-disabled","Unknown","125","[c]","27430","24920"
"Leaver CS","2023","20-29","Declared non-disabled","White","4295","[c]","29100","27570"
"Leaver CS","2023","20-29","Undeclared","Asian","35","[c]","28350","28370"
"Leaver CS","2023","20-29","Undeclared","Black","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Undeclared","Mixed","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Undeclared","Other ethnicity","20","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Undeclared","Undeclared","70","[c]","30150","27070"
"Leaver CS","2023","20-29","Undeclared","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Undeclared","White","185","[c]","28830","27570"
"Leaver CS","2023","20-29","Unknown","Asian","125","[c]","28740","26910"
"Leaver CS","2023","20-29","Unknown","Black","65","[c]","28790","27530"
"Leaver CS","2023","20-29","Unknown","Mixed","55","[c]","31090","27680"
"Leaver CS","2023","20-29","Unknown","Other ethnicity","20","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Undeclared","40","[c]","30210","28490"
"Leaver CS","2023","20-29","Unknown","Unknown","3360","[c]","27630","25480"
"Leaver CS","2023","20-29","Unknown","White","655","[c]","29610","27570"
"Leaver CS","2023","30-39","Declared disabled","Asian","35","[c]","35390","31060"
"Leaver CS","2023","30-39","Declared disabled","Black","45","[c]","33480","31060"
"Leaver CS","2023","30-39","Declared disabled","Mixed","40","[c]","37490","31060"
"Leaver CS","2023","30-39","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared disabled","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared disabled","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Declared disabled","White","570","[c]","34010","28120"
"Leaver CS","2023","30-39","Declared non-disabled","Asian","555","[c]","36610","32410"
"Leaver CS","2023","30-39","Declared non-disabled","Black","425","[c]","34250","31970"
"Leaver CS","2023","30-39","Declared non-disabled","Mixed","205","[c]","38420","35440"
"Leaver CS","2023","30-39","Declared non-disabled","Other ethnicity","60","[c]","38920","33450"
"Leaver CS","2023","30-39","Declared non-disabled","Undeclared","95","[c]","34240","30700"
"Leaver CS","2023","30-39","Declared non-disabled","Unknown","150","[c]","33350","25920"
"Leaver CS","2023","30-39","Declared non-disabled","White","3730","[c]","37310","33090"
"Leaver CS","2023","30-39","Undeclared","Asian","40","[c]","34620","31990"
"Leaver CS","2023","30-39","Undeclared","Black","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Mixed","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Other ethnicity","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","Undeclared","95","[c]","37100","33710"
"Leaver CS","2023","30-39","Undeclared","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Undeclared","White","205","[c]","35340","31040"
"Leaver CS","2023","30-39","Unknown","Asian","85","[c]","39180","35410"
"Leaver CS","2023","30-39","Unknown","Black","45","[c]","39030","37590"
"Leaver CS","2023","30-39","Unknown","Mixed","35","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Other ethnicity","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Undeclared","45","[c]","45100","41480"
"Leaver CS","2023","30-39","Unknown","Unknown","2090","[c]","36300","31760"
"Leaver CS","2023","30-39","Unknown","White","550","[c]","39020","37540"
"Leaver CS","2023","40-49","Declared disabled","Asian","50","[c]","35440","31060"
"Leaver CS","2023","40-49","Declared disabled","Black","30","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Declared disabled","Mixed","30","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Declared disabled","Other ethnicity","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Declared disabled","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Declared disabled","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Declared disabled","White","540","[c]","35450","28120"
"Leaver CS","2023","40-49","Declared non-disabled","Asian","335","[c]","39640","32320"
"Leaver CS","2023","40-49","Declared non-disabled","Black","260","[c]","36040","32520"
"Leaver CS","2023","40-49","Declared non-disabled","Mixed","95","[c]","43450","39780"
"Leaver CS","2023","40-49","Declared non-disabled","Other ethnicity","35","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Declared non-disabled","Undeclared","90","[c]","38010","32390"
"Leaver CS","2023","40-49","Declared non-disabled","Unknown","110","[c]","34240","28120"
"Leaver CS","2023","40-49","Declared non-disabled","White","2835","[c]","39510","31060"
"Leaver CS","2023","40-49","Undeclared","Asian","25","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Undeclared","Black","20","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Undeclared","Mixed","5","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Undeclared","Undeclared","65","[c]","38010","31520"
"Leaver CS","2023","40-49","Undeclared","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Undeclared","White","190","[c]","40190","34290"
"Leaver CS","2023","40-49","Unknown","Asian","50","[c]","44890","42080"
"Leaver CS","2023","40-49","Unknown","Black","35","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Mixed","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Other ethnicity","5","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Unknown","1205","[c]","41530","33520"
"Leaver CS","2023","40-49","Unknown","White","390","[c]","43720","39890"
"Leaver CS","2023","50-59","Declared disabled","Asian","45","[c]","31220","28260"
"Leaver CS","2023","50-59","Declared disabled","Black","35","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Declared disabled","Mixed","15","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Declared disabled","Other ethnicity","5","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Declared disabled","Undeclared","50","[c]","37580","30750"
"Leaver CS","2023","50-59","Declared disabled","Unknown","35","[c]","33570","30340"
"Leaver CS","2023","50-59","Declared disabled","White","980","[c]","33540","28120"
"Leaver CS","2023","50-59","Declared non-disabled","Asian","175","[c]","36540","30410"
"Leaver CS","2023","50-59","Declared non-disabled","Black","195","[c]","33780","29710"
"Leaver CS","2023","50-59","Declared non-disabled","Mixed","55","[c]","35490","28120"
"Leaver CS","2023","50-59","Declared non-disabled","Other ethnicity","15","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Declared non-disabled","Undeclared","155","[c]","34030","28080"
"Leaver CS","2023","50-59","Declared non-disabled","Unknown","150","[c]","36030","27430"
"Leaver CS","2023","50-59","Declared non-disabled","White","3950","[c]","37540","29290"
"Leaver CS","2023","50-59","Undeclared","Asian","10","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Undeclared","Black","15","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Undeclared","Undeclared","135","[c]","42860","39190"
"Leaver CS","2023","50-59","Undeclared","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Undeclared","White","360","[c]","35660","28080"
"Leaver CS","2023","50-59","Unknown","Asian","35","[c]","44160","33090"
"Leaver CS","2023","50-59","Unknown","Black","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Unknown","Mixed","10","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Unknown","Undeclared","35","[c]","40510","37060"
"Leaver CS","2023","50-59","Unknown","Unknown","1130","[c]","37290","28490"
"Leaver CS","2023","50-59","Unknown","White","515","[c]","40630","37060"
"Leaver CS","2023","60-64","Declared disabled","Asian","20","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Declared disabled","Black","25","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Declared disabled","Mixed","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Declared disabled","Undeclared","55","[c]","37340","30400"
"Leaver CS","2023","60-64","Declared disabled","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Declared disabled","White","740","[c]","32290","28120"
"Leaver CS","2023","60-64","Declared non-disabled","Asian","90","[c]","33260","30270"
"Leaver CS","2023","60-64","Declared non-disabled","Black","85","[c]","36210","32020"
"Leaver CS","2023","60-64","Declared non-disabled","Mixed","25","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Declared non-disabled","Other ethnicity","15","[c]","[c]","[c]"
