"Status","Year","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","Finance","Male","225","[c]","44650","37590"
"Leaver Dept.","2023","Grants Management","Female","30","[c]","25610","22150"
"Leaver Dept.","2023","Grants Management","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Human Resources","Female","555","[c]","37510","32820"
"Leaver Dept.","2023","Human Resources","Male","210","[c]","37110","33400"
"Leaver Dept.","2023","Internal Audit","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Legal","Female","175","[c]","43620","37710"
"Leaver Dept.","2023","Legal","Male","110","[c]","46570","49050"
"Leaver Dept.","2023","No function","Female","5205","[c]","35180","30710"
"Leaver Dept.","2023","No function","Male","3835","[c]","37940","32520"
"Leaver Dept.","2023","Project Delivery","Female","300","[c]","40180","35620"
"Leaver Dept.","2023","Project Delivery","Male","245","[c]","40010","36790"
"Leaver Dept.","2023","Property","Female","100","[c]","34480","32960"
"Leaver Dept.","2023","Property","Male","110","[c]","39000","34260"
"Leaver Dept.","2023","Security","Female","100","[c]","36850","34320"
"Leaver Dept.","2023","Security","Male","120","[c]","31490","29290"
"Leaver Dept.","2023","Unknown","Female","770","[c]","38040","32000"
"Leaver Dept.","2023","Unknown","Male","565","[c]","38150","32520"
"New entrant CS","2023","Analysis","Female","680","[c]","33200","31560"
"New entrant CS","2023","Analysis","Male","800","[c]","33830","31560"
"New entrant CS","2023","Commercial","Female","400","[c]","37820","32500"
"New entrant CS","2023","Commercial","Male","345","[c]","40730","33830"
"New entrant CS","2023","Communications","Female","355","[c]","37180","35400"
"New entrant CS","2023","Communications","Male","210","[c]","39530","35530"
"New entrant CS","2023","Counter Fraud","Female","350","[c]","28530","27650"
"New entrant CS","2023","Counter Fraud","Male","310","[c]","28970","27890"
"New entrant CS","2023","Debt","Female","975","[c]","22770","22520"
"New entrant CS","2023","Debt","Male","700","[c]","22730","22520"
"New entrant CS","2023","Digital, Data & Technology","Female","1150","[c]","37540","34850"
"New entrant CS","2023","Digital, Data & Technology","Male","2055","[c]","40450","37250"
"New entrant CS","2023","Finance","Female","460","[c]","33610","28840"
"New entrant CS","2023","Finance","Male","380","[c]","33490","29660"
"New entrant CS","2023","Grants Management","Female","215","[c]","22810","22150"
"New entrant CS","2023","Grants Management","Male","190","[c]","23170","22150"
"New entrant CS","2023","Human Resources","Female","765","[c]","33370","29660"
"New entrant CS","2023","Human Resources","Male","405","[c]","32890","30080"
"New entrant CS","2023","Internal Audit","Female","30","[c]","42440","39200"
"New entrant CS","2023","Internal Audit","Male","30","[c]","[c]","[c]"
"New entrant CS","2023","Legal","Female","1055","[c]","34630","28200"
"New entrant CS","2023","Legal","Male","490","[c]","36200","30160"
"New entrant CS","2023","No function","Female","20020","[c]","27310","24070"
"New entrant CS","2023","No function","Male","15985","[c]","28760","25880"
"New entrant CS","2023","Project Delivery","Female","935","[c]","35630","32500"
"New entrant CS","2023","Project Delivery","Male","865","[c]","38990","34400"
"New entrant CS","2023","Property","Female","405","[c]","30980","26080"
"New entrant CS","2023","Property","Male","510","[c]","33290","28000"
"New entrant CS","2023","Security","Female","260","[c]","28800","26550"
"New entrant CS","2023","Security","Male","715","[c]","30370","27500"
"New entrant CS","2023","Unknown","Female","2665","[c]","31590","29100"
"New entrant CS","2023","Unknown","Male","2040","[c]","31820","29100"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
