"Status","Year","Ethnicity","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Black","Analysis","G6","5","5","[c]","[c]"
"In post","2023","Black","Analysis","G7","40","40","55970","55410"
"In post","2023","Black","Analysis","HEO","85","85","34810","34670"
"In post","2023","Black","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","SEO","65","65","42800","43390"
"In post","2023","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","AO","15","15","[c]","[c]"
"In post","2023","Black","Commercial","EO","25","25","[c]","[c]"
"In post","2023","Black","Commercial","G6","15","15","[c]","[c]"
"In post","2023","Black","Commercial","G7","40","40","60500","58660"
"In post","2023","Black","Commercial","HEO","45","45","34620","34350"
"In post","2023","Black","Commercial","SCS level","5","5","[c]","[c]"
"In post","2023","Black","Commercial","SEO","70","70","43160","42210"
"In post","2023","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","AO","5","5","[c]","[c]"
"In post","2023","Black","Communications","EO","20","20","[c]","[c]"
"In post","2023","Black","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","G7","15","15","[c]","[c]"
"In post","2023","Black","Communications","HEO","45","45","36050","35580"
"In post","2023","Black","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","SEO","20","20","[c]","[c]"
"In post","2023","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","AO","140","120","24840","25610"
"In post","2023","Black","Counter Fraud","EO","355","335","31400","32520"
"In post","2023","Black","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","G7","10","10","[c]","[c]"
"In post","2023","Black","Counter Fraud","HEO","155","155","37720","39150"
"In post","2023","Black","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","SEO","30","30","44850","45560"
"In post","2023","Black","Debt","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","AO","220","205","23660","22520"
"In post","2023","Black","Debt","EO","45","40","31570","32390"
"In post","2023","Black","Debt","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","HEO","10","10","[c]","[c]"
"In post","2023","Black","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","SEO","5","5","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","AO","20","20","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","EO","150","145","28890","28370"
"In post","2023","Black","Digital, Data & Technology","G6","20","20","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","G7","175","175","57300","56430"
"In post","2023","Black","Digital, Data & Technology","HEO","250","250","35350","34700"
"In post","2023","Black","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","SEO","265","260","42320","41880"
"In post","2023","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","AO","40","35","24910","25480"
"In post","2023","Black","Finance","EO","85","80","29850","29730"
"In post","2023","Black","Finance","G6","10","10","[c]","[c]"
"In post","2023","Black","Finance","G7","80","80","57730","55740"
"In post","2023","Black","Finance","HEO","135","130","36490","36270"
"In post","2023","Black","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","SEO","120","120","44340","43760"
"In post","2023","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","AO","20","15","[c]","[c]"
"In post","2023","Black","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","AO","25","25","[c]","[c]"
"In post","2023","Black","Human Resources","EO","110","105","29760","29660"
"In post","2023","Black","Human Resources","G6","15","15","[c]","[c]"
"In post","2023","Black","Human Resources","G7","55","50","56340","55910"
"In post","2023","Black","Human Resources","HEO","125","125","35540","35410"
"In post","2023","Black","Human Resources","SCS level","5","5","[c]","[c]"
"In post","2023","Black","Human Resources","SEO","85","85","43450","43400"
"In post","2023","Black","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2023","Black","Internal Audit","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","SEO","10","10","[c]","[c]"
"In post","2023","Black","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","AO","135","130","24190","24480"
"In post","2023","Black","Legal","EO","165","160","29320","28540"
"In post","2023","Black","Legal","G6","30","30","72230","71750"
"In post","2023","Black","Legal","G7","240","235","57680","55290"
"In post","2023","Black","Legal","HEO","75","75","36340","35000"
"In post","2023","Black","Legal","SCS level","10","10","[c]","[c]"
"In post","2023","Black","Legal","SEO","30","30","41600","40800"
"In post","2023","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","No function","AA","455","425","24090","23500"
"In post","2023","Black","No function","AO","3050","2830","26550","25480"
"In post","2023","Black","No function","EO","3930","3720","30450","30250"
"In post","2023","Black","No function","G6","105","100","69990","67570"
"In post","2023","Black","No function","G7","520","515","57250","55740"
"In post","2023","Black","No function","HEO","1580","1550","36170","35620"
"In post","2023","Black","No function","SCS level","65","65","97200","86710"
"In post","2023","Black","No function","SEO","875","860","44130","43210"
"In post","2023","Black","No function","Unknown","1305","1250","31990","29300"
"In post","2023","Black","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","AO","15","15","[c]","[c]"
"In post","2023","Black","Project Delivery","EO","90","85","30410","30560"
"In post","2023","Black","Project Delivery","G6","45","45","70390","69490"
"In post","2023","Black","Project Delivery","G7","145","145","58350","56340"
"In post","2023","Black","Project Delivery","HEO","215","210","35800","35000"
"In post","2023","Black","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","SEO","200","200","42930","42370"
"In post","2023","Black","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Property","AA","5","5","[c]","[c]"
"In post","2023","Black","Property","AO","20","15","[c]","[c]"
"In post","2023","Black","Property","EO","40","35","30050","30490"
"In post","2023","Black","Property","G6","5","5","[c]","[c]"
"In post","2023","Black","Property","G7","15","15","[c]","[c]"
"In post","2023","Black","Property","HEO","50","45","35450","35410"
"In post","2023","Black","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","SEO","50","50","44860","43760"
"In post","2023","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","AA","45","45","23850","24380"
"In post","2023","Black","Security","AO","25","25","[c]","[c]"
"In post","2023","Black","Security","EO","35","35","31340","31070"
"In post","2023","Black","Security","G6","5","5","[c]","[c]"
"In post","2023","Black","Security","G7","10","10","[c]","[c]"
"In post","2023","Black","Security","HEO","25","25","[c]","[c]"
"In post","2023","Black","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","SEO","30","30","[c]","[c]"
"In post","2023","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","AA","10","10","[c]","[c]"
"In post","2023","Black","Unknown","AO","15","15","[c]","[c]"
"In post","2023","Black","Unknown","EO","50","50","29780","29100"
"In post","2023","Black","Unknown","G6","10","10","[c]","[c]"
"In post","2023","Black","Unknown","G7","30","30","[c]","[c]"
"In post","2023","Black","Unknown","HEO","80","75","34670","33550"
"In post","2023","Black","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","SEO","45","45","43750","43760"
"In post","2023","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Analysis","AO","5","5","[c]","[c]"
"In post","2023","Mixed","Analysis","EO","25","25","[c]","[c]"
"In post","2023","Mixed","Analysis","G6","20","20","[c]","[c]"
"In post","2023","Mixed","Analysis","G7","65","65","55720","55500"
"In post","2023","Mixed","Analysis","HEO","85","85","33950","33630"
"In post","2023","Mixed","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Analysis","SEO","60","60","42380","43210"
"In post","2023","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Commercial","AO","10","5","[c]","[c]"
"In post","2023","Mixed","Commercial","EO","20","20","[c]","[c]"
"In post","2023","Mixed","Commercial","G6","20","20","[c]","[c]"
"In post","2023","Mixed","Commercial","G7","25","25","[c]","[c]"
"In post","2023","Mixed","Commercial","HEO","35","35","33000","33420"
"In post","2023","Mixed","Commercial","SCS level","5","5","[c]","[c]"
"In post","2023","Mixed","Commercial","SEO","35","35","42110","42620"
"In post","2023","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Communications","EO","20","20","[c]","[c]"
"In post","2023","Mixed","Communications","G6","10","10","[c]","[c]"
"In post","2023","Mixed","Communications","G7","20","20","[c]","[c]"
"In post","2023","Mixed","Communications","HEO","30","30","36290","35410"
"In post","2023","Mixed","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Communications","SEO","30","30","42650","42420"
"In post","2023","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","AO","50","45","24340","25610"
"In post","2023","Mixed","Counter Fraud","EO","145","140","29820","28130"
"In post","2023","Mixed","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","G7","25","25","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","HEO","60","60","36510","35000"
"In post","2023","Mixed","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","SEO","25","25","[c]","[c]"
"In post","2023","Mixed","Debt","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","AO","85","75","22630","22520"
"In post","2023","Mixed","Debt","EO","20","15","[c]","[c]"
"In post","2023","Mixed","Debt","G6","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","AA","5","5","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","AO","15","15","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","EO","55","50","28680","28120"
"In post","2023","Mixed","Digital, Data & Technology","G6","25","25","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","G7","115","115","55320","55720"
"In post","2023","Mixed","Digital, Data & Technology","HEO","115","115","34440","34300"
"In post","2023","Mixed","Digital, Data & Technology","SCS level","10","10","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","SEO","95","95","42160","42140"
"In post","2023","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Finance","AO","25","20","[c]","[c]"
"In post","2023","Mixed","Finance","EO","40","40","28110","27190"
"In post","2023","Mixed","Finance","G6","20","20","[c]","[c]"
"In post","2023","Mixed","Finance","G7","45","45","56000","56430"
"In post","2023","Mixed","Finance","HEO","45","45","34530","34700"
"In post","2023","Mixed","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Finance","SEO","50","50","42610","42130"
"In post","2023","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","AO","25","20","[c]","[c]"
"In post","2023","Mixed","Grants Management","EO","5","5","[c]","[c]"
"In post","2023","Mixed","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Human Resources","AO","20","20","[c]","[c]"
"In post","2023","Mixed","Human Resources","EO","75","70","28790","28120"
"In post","2023","Mixed","Human Resources","G6","15","15","[c]","[c]"
"In post","2023","Mixed","Human Resources","G7","50","45","55760","55780"
"In post","2023","Mixed","Human Resources","HEO","85","80","35210","34450"
"In post","2023","Mixed","Human Resources","SCS level","10","10","[c]","[c]"
"In post","2023","Mixed","Human Resources","SEO","45","45","42210","41920"
"In post","2023","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","G6","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","HEO","5","5","[c]","[c]"
"In post","2023","Mixed","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Legal","AO","50","45","23180","22870"
"In post","2023","Mixed","Legal","EO","65","65","28740","28200"
"In post","2023","Mixed","Legal","G6","50","45","71330","72460"
"In post","2023","Mixed","Legal","G7","140","130","57050","55170"
"In post","2023","Mixed","Legal","HEO","35","35","36340","34450"
"In post","2023","Mixed","Legal","SCS level","20","20","[c]","[c]"
"In post","2023","Mixed","Legal","SEO","25","25","[c]","[c]"
"In post","2023","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","No function","AA","160","150","22590","23230"
"In post","2023","Mixed","No function","AO","1500","1375","25530","22520"
"In post","2023","Mixed","No function","EO","1645","1535","29460","28120"
"In post","2023","Mixed","No function","G6","190","180","69770","66940"
"In post","2023","Mixed","No function","G7","545","530","56610","55490"
"In post","2023","Mixed","No function","HEO","935","910","35520","35000"
"In post","2023","Mixed","No function","SCS level","90","85","86810","78620"
"In post","2023","Mixed","No function","SEO","560","555","43370","42140"
"In post","2023","Mixed","No function","Unknown","665","630","30940","29050"
"In post","2023","Mixed","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Project Delivery","AO","15","15","[c]","[c]"
"In post","2023","Mixed","Project Delivery","EO","40","35","28640","28130"
"In post","2023","Mixed","Project Delivery","G6","45","40","70300","69300"
"In post","2023","Mixed","Project Delivery","G7","90","85","56990","55790"
"In post","2023","Mixed","Project Delivery","HEO","130","125","34290","34170"
"In post","2023","Mixed","Project Delivery","SCS level","10","10","[c]","[c]"
"In post","2023","Mixed","Project Delivery","SEO","100","95","42850","42510"
"In post","2023","Mixed","Project Delivery","Unknown","20","20","[c]","[c]"
"In post","2023","Mixed","Property","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Property","AO","15","15","[c]","[c]"
"In post","2023","Mixed","Property","EO","25","25","[c]","[c]"
"In post","2023","Mixed","Property","G6","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Property","G7","15","15","[c]","[c]"
"In post","2023","Mixed","Property","HEO","35","35","34370","33990"
"In post","2023","Mixed","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Property","SEO","25","20","[c]","[c]"
"In post","2023","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Security","AA","15","15","[c]","[c]"
"In post","2023","Mixed","Security","AO","40","40","31010","29220"
"In post","2023","Mixed","Security","EO","10","10","[c]","[c]"
"In post","2023","Mixed","Security","G6","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Security","G7","10","10","[c]","[c]"
"In post","2023","Mixed","Security","HEO","30","30","[c]","[c]"
"In post","2023","Mixed","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Security","SEO","15","15","[c]","[c]"
"In post","2023","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","AA","15","15","[c]","[c]"
"In post","2023","Mixed","Unknown","AO","25","25","[c]","[c]"
"In post","2023","Mixed","Unknown","EO","65","60","29820","29450"
"In post","2023","Mixed","Unknown","G6","15","15","[c]","[c]"
"In post","2023","Mixed","Unknown","G7","60","55","58120","56450"
"In post","2023","Mixed","Unknown","HEO","130","130","33200","32960"
"In post","2023","Mixed","Unknown","SCS level","10","10","[c]","[c]"
"In post","2023","Mixed","Unknown","SEO","70","65","44060","42860"
