"Status","Year","Disability","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Female","110","105","38090","31540"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Male","50","50","40510","36330"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Female","655","595","40940","33290"
"In post","2023","Declared disabled","Crown Prosecution Service","Male","290","280","44060","40120"
"In post","2023","Declared disabled","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Female","460","425","36580","33220"
"In post","2023","Declared disabled","Defence Equipment and Support","Male","675","660","39240","38790"
"In post","2023","Declared disabled","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Female","320","305","40860","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Male","525","505","43490","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","335","325","48630","44030"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","255","250","49530","50310"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","105","100","48980","49540"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","70","70","46130","43000"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Female","465","435","44370","39630"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Male","255","250","43940","38210"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","520","495","42050","37710"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","350","345","43320","38470"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Female","145","145","46550","41670"
"In post","2023","Declared disabled","Department for International Trade","Male","125","125","46920","41550"
"In post","2023","Declared disabled","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","225","220","44520","40590"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","170","170","46870","40800"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Female","115","110","47310","43750"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Male","115","110","50000","47420"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Female","11520","9770","28410","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Male","5510","5145","28910","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Female","140","135","45710","41950"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Male","65","60","51670","41950"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Female","475","380","24580","22500"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Male","210","195","27560","22500"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Female","160","145","29890","27450"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Male","280","255","30440","27490"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Female","40","40","40300","37980"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Male","30","30","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Female","30","30","40890","32750"
"In post","2023","Declared disabled","FCDO Services","Male","50","50","38210","33500"
"In post","2023","Declared disabled","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Female","75","70","41020","38670"
"In post","2023","Declared disabled","Food Standards Agency","Male","70","70","38590","35180"
"In post","2023","Declared disabled","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Female","280","275","46220","40600"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Male","265","260","48970","43310"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","Female","75","75","69970","66270"
"In post","2023","Declared disabled","Government Commercial Organisation","Male","90","90","75850","69690"
"In post","2023","Declared disabled","Government Commercial Organisation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","Female","35","35","43900","40270"
"In post","2023","Declared disabled","Government Internal Audit Agency","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Legal Department","Female","130","120","54680","53500"
"In post","2023","Declared disabled","Government Legal Department","Male","85","85","53160","52790"
"In post","2023","Declared disabled","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Courts and Tribunals Service","Female","1760","1540","26670","21780"
"In post","2023","Declared disabled","HM Courts and Tribunals Service","Male","690","660","26660","21780"
"In post","2023","Declared disabled","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","Female","445","390","30580","28080"
"In post","2023","Declared disabled","HM Land Registry","Male","245","225","31970","28080"
"In post","2023","Declared disabled","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Prison and Probation Service","Female","5255","4890","31520","29050"
"In post","2023","Declared disabled","HM Prison and Probation Service","Male","3315","3120","33430","32410"
"In post","2023","Declared disabled","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","Female","3655","3230","34560","31980"
"In post","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","Male","2725","2570","35700","34400"
"In post","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Treasury (excl. agencies)","Female","130","125","44320","39050"
"In post","2023","Declared disabled","HM Treasury (excl. agencies)","Male","80","80","49090","52270"
"In post","2023","Declared disabled","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Health and Safety Executive","Female","215","195","38820","35540"
"In post","2023","Declared disabled","Health and Safety Executive","Male","145","140","43640","42940"
"In post","2023","Declared disabled","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Female","1765","1605","33610","29890"
"In post","2023","Declared disabled","Home Office","Male","1460","1385","34380","29750"
"In post","2023","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Institute for Apprenticeships and Technical Education","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Institute for Apprenticeships and Technical Education","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Institute for Apprenticeships and Technical Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intellectual Property Office","Female","45","40","37150","31330"
"In post","2023","Declared disabled","Intellectual Property Office","Male","50","45","41830","42820"
"In post","2023","Declared disabled","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal Aid Agency","Female","120","105","27590","25830"
"In post","2023","Declared disabled","Legal Aid Agency","Male","60","55","30420","25830"
"In post","2023","Declared disabled","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Maritime and Coastguard Agency","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Maritime and Coastguard Agency","Male","40","40","32860","27450"
"In post","2023","Declared disabled","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Female","30","30","46200","37820"
"In post","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Met Office","Female","115","105","35890","37420"
"In post","2023","Declared disabled","Met Office","Male","125","120","35480","33930"
"In post","2023","Declared disabled","Met Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","Female","1750","1665","33370","28220"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","Male","1740","1695","34770","33470"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Justice (excl. agencies)","Female","530","515","41200","37680"
"In post","2023","Declared disabled","Ministry of Justice (excl. agencies)","Male","310","300","44740","41510"
"In post","2023","Declared disabled","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","Female","140","135","39730","38640"
"In post","2023","Declared disabled","National Crime Agency","Male","140","135","42260","40280"
"In post","2023","Declared disabled","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Infrastructure Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Records of Scotland","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","National Records of Scotland","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Savings and Investments","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office for Budget Responsibility","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","Female","120","115","47430","50020"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","Male","50","50","49270","39790"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","Female","65","60","40200","35000"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","Male","65","65","38350","33400"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","Female","30","30","41090","37900"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Public Guardian","Female","150","135","26200","25830"
"In post","2023","Declared disabled","Office of the Public Guardian","Male","90","85","25230","21780"
"In post","2023","Declared disabled","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectorate","Female","30","25","37580","30940"
"In post","2023","Declared disabled","Planning Inspectorate","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Queen Elizabeth II Centre","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Registers of Scotland","Female","70","65","34290","32510"
"In post","2023","Declared disabled","Registers of Scotland","Male","60","55","35220","32510"
"In post","2023","Declared disabled","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Revenue Scotland","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Revenue Scotland","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Royal Fleet Auxiliary","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Royal Fleet Auxiliary","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Rural Payments Agency","Female","280","250","26320","22150"
"In post","2023","Declared disabled","Rural Payments Agency","Male","155","150","26080","22150"
"In post","2023","Declared disabled","Rural Payments Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Courts and Tribunals Service","Female","60","60","30730","28540"
"In post","2023","Declared disabled","Scottish Courts and Tribunals Service","Male","35","30","27660","25060"
"In post","2023","Declared disabled","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Fiscal Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Forestry","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Scottish Forestry","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government (excl. agencies)","Female","485","455","45430","41640"
"In post","2023","Declared disabled","Scottish Government (excl. agencies)","Male","315","310","45580","41640"
"In post","2023","Declared disabled","Scottish Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Housing Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Prison Service","Female","125","120","36500","37060"
"In post","2023","Declared disabled","Scottish Prison Service","Male","250","225","37860","37060"
"In post","2023","Declared disabled","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Public Pensions Agency","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Scottish Public Pensions Agency","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Serious Fraud Office","Female","30","30","47880","41320"
"In post","2023","Declared disabled","Serious Fraud Office","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Serious Fraud Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Social Security Scotland","Female","250","230","30770","29100"
"In post","2023","Declared disabled","Social Security Scotland","Male","145","140","29710","29100"
"In post","2023","Declared disabled","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Standards and Testing Agency","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Standards and Testing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Standards and Testing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Student Awards Agency for Scotland","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Student Awards Agency for Scotland","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Submarine Delivery Agency","Female","110","105","38640","34920"
"In post","2023","Declared disabled","Submarine Delivery Agency","Male","130","130","43700","42620"
"In post","2023","Declared disabled","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Teaching Regulation Agency","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Teaching Regulation Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Teaching Regulation Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","The Insolvency Service","Female","135","120","34390","30320"
"In post","2023","Declared disabled","The Insolvency Service","Male","65","65","37750","34870"
"In post","2023","Declared disabled","The Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Transport Scotland","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Transport Scotland","Male","30","25","[c]","[c]"
"In post","2023","Declared disabled","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Health Security Agency","Female","165","155","43910","39910"
"In post","2023","Declared disabled","UK Health Security Agency","Male","90","90","47500","41280"
"In post","2023","Declared disabled","UK Health Security Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Hydrographic Office","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","UK Hydrographic Office","Male","45","40","37490","34370"
"In post","2023","Declared disabled","UK Hydrographic Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","Female","390","345","34150","31560"
"In post","2023","Declared disabled","UK Statistics Authority","Male","245","220","34450","31560"
"In post","2023","Declared disabled","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Valuation Office Agency","Female","160","150","33420","30900"
"In post","2023","Declared disabled","Valuation Office Agency","Male","140","130","37200","32970"
