"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HEO","Unknown","30","30","31450","30130"
"In post","2023","Declared disabled","Commercial","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO","Heterosexual / straight","195","185","42870","42500"
"In post","2023","Declared disabled","Commercial","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO","Undeclared","30","30","42660","42620"
"In post","2023","Declared disabled","Commercial","SEO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Heterosexual / straight","40","40","28840","28300"
"In post","2023","Declared disabled","Communications","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G7","Heterosexual / straight","45","45","56190","56430"
"In post","2023","Declared disabled","Communications","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","HEO","Heterosexual / straight","60","60","35330","34640"
"In post","2023","Declared disabled","Communications","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO","Heterosexual / straight","60","60","43010","42870"
"In post","2023","Declared disabled","Communications","SEO","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AO","Heterosexual / straight","205","175","23090","21690"
"In post","2023","Declared disabled","Counter Fraud","AO","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AO","Undeclared","45","40","22880","21690"
"In post","2023","Declared disabled","Counter Fraud","AO","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","EO","Heterosexual / straight","560","505","29000","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","LGBO","65","60","28940","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","Undeclared","80","70","28590","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","Unknown","45","40","29600","28120"
"In post","2023","Declared disabled","Counter Fraud","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","HEO","Heterosexual / straight","190","180","35450","34170"
"In post","2023","Declared disabled","Counter Fraud","HEO","LGBO","30","30","35470","34170"
"In post","2023","Declared disabled","Counter Fraud","HEO","Undeclared","25","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SEO","Heterosexual / straight","45","40","42080","42140"
"In post","2023","Declared disabled","Counter Fraud","SEO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AO","Heterosexual / straight","40","40","23010","22220"
"In post","2023","Declared disabled","Digital, Data and Technology","AO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","Heterosexual / straight","310","290","28600","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","LGBO","30","30","28470","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","Undeclared","40","40","28630","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","G6","Heterosexual / straight","105","105","70140","69790"
"In post","2023","Declared disabled","Digital, Data and Technology","G6","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","G6","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","G7","Heterosexual / straight","350","340","55720","55110"
"In post","2023","Declared disabled","Digital, Data and Technology","G7","LGBO","65","60","55880","55770"
"In post","2023","Declared disabled","Digital, Data and Technology","G7","Undeclared","55","55","56750","56430"
"In post","2023","Declared disabled","Digital, Data and Technology","G7","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","HEO","Heterosexual / straight","400","380","34790","34170"
"In post","2023","Declared disabled","Digital, Data and Technology","HEO","LGBO","75","70","33960","34170"
"In post","2023","Declared disabled","Digital, Data and Technology","HEO","Undeclared","60","60","34730","34300"
"In post","2023","Declared disabled","Digital, Data and Technology","HEO","Unknown","50","50","32830","31350"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO","Heterosexual / straight","370","360","42240","41800"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO","LGBO","65","65","41140","41240"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO","Undeclared","55","55","42140","41480"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","G7","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Declared disabled","Economics","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Economics","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Economics","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Economics","HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Economics","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AO","Heterosexual / straight","105","90","23090","22520"
"In post","2023","Declared disabled","Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","EO","Heterosexual / straight","130","125","28340","27740"
"In post","2023","Declared disabled","Finance","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","EO","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Finance","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","G6","Heterosexual / straight","45","45","68540","68200"
"In post","2023","Declared disabled","Finance","G6","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","G7","Heterosexual / straight","125","120","56250","56180"
"In post","2023","Declared disabled","Finance","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","HEO","Heterosexual / straight","165","155","34970","34300"
"In post","2023","Declared disabled","Finance","HEO","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Finance","HEO","Undeclared","25","20","[c]","[c]"
"In post","2023","Declared disabled","Finance","HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SEO","Heterosexual / straight","180","170","42140","41800"
"In post","2023","Declared disabled","Finance","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Geography","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AO","Heterosexual / straight","130","120","22740","22220"
"In post","2023","Declared disabled","Human Resources","AO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","EO","Heterosexual / straight","250","235","28750","27890"
"In post","2023","Declared disabled","Human Resources","EO","LGBO","30","30","27070","27160"
"In post","2023","Declared disabled","Human Resources","EO","Undeclared","40","35","29430","28930"
"In post","2023","Declared disabled","Human Resources","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G6","Heterosexual / straight","85","80","67780","67270"
"In post","2023","Declared disabled","Human Resources","G6","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G7","Heterosexual / straight","210","205","55100","55110"
"In post","2023","Declared disabled","Human Resources","G7","LGBO","30","30","54690","55430"
"In post","2023","Declared disabled","Human Resources","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","HEO","Heterosexual / straight","370","350","34520","34300"
"In post","2023","Declared disabled","Human Resources","HEO","LGBO","55","55","34250","34180"
"In post","2023","Declared disabled","Human Resources","HEO","Undeclared","35","35","35680","34350"
"In post","2023","Declared disabled","Human Resources","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Heterosexual / straight","35","35","88690","82400"
"In post","2023","Declared disabled","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SEO","Heterosexual / straight","295","285","42180","41640"
"In post","2023","Declared disabled","Human Resources","SEO","LGBO","35","35","41980","41310"
"In post","2023","Declared disabled","Human Resources","SEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","G6","Undeclared","[c]","[c]","[c]","[c]"
