"Status","Year","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Declared disabled","Psychology","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Science and Engineering","115","[c]","35980","32980"
"Leaver CS","2023","Declared disabled","Security","75","[c]","34330","33000"
"Leaver CS","2023","Declared disabled","Social Research","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Statistics","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Tax","90","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","300","[c]","42140","36680"
"Leaver CS","2023","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Commercial","230","[c]","41910","37710"
"Leaver CS","2023","Declared non-disabled","Communications","240","[c]","44520","41420"
"Leaver CS","2023","Declared non-disabled","Corporate Finance","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Counter Fraud","325","[c]","29560","28120"
"Leaver CS","2023","Declared non-disabled","Digital, Data and Technology","1100","[c]","44670","41050"
"Leaver CS","2023","Declared non-disabled","Economics","145","[c]","36880","32320"
"Leaver CS","2023","Declared non-disabled","Finance","480","[c]","42100","38420"
"Leaver CS","2023","Declared non-disabled","Geography","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Human Resources","795","[c]","34390","29670"
"Leaver CS","2023","Declared non-disabled","Inspector of Education and Training","125","[c]","68460","77470"
"Leaver CS","2023","Declared non-disabled","Intelligence Analysis","115","[c]","33770","31520"
"Leaver CS","2023","Declared non-disabled","Internal Audit","50","[c]","48510","45750"
"Leaver CS","2023","Declared non-disabled","International Trade","45","[c]","47840","41910"
"Leaver CS","2023","Declared non-disabled","Knowledge and Information Management","60","[c]","32360","29290"
"Leaver CS","2023","Declared non-disabled","Legal","555","[c]","54000","52790"
"Leaver CS","2023","Declared non-disabled","Medicine","220","[c]","52230","40590"
"Leaver CS","2023","Declared non-disabled","Operational Delivery","14885","[c]","28330","26960"
"Leaver CS","2023","Declared non-disabled","Operational Research","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Other","730","[c]","31360","23500"
"Leaver CS","2023","Declared non-disabled","Planning","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Planning Inspectors","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Policy","1250","[c]","47650","43290"
"Leaver CS","2023","Declared non-disabled","Project Delivery","775","[c]","44660","40750"
"Leaver CS","2023","Declared non-disabled","Property","345","[c]","37480","34300"
"Leaver CS","2023","Declared non-disabled","Psychology","85","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Science and Engineering","835","[c]","37180","33990"
"Leaver CS","2023","Declared non-disabled","Security","445","[c]","33100","27680"
"Leaver CS","2023","Declared non-disabled","Social Research","50","[c]","40000","38590"
"Leaver CS","2023","Declared non-disabled","Statistics","95","[c]","36560","33830"
"Leaver CS","2023","Declared non-disabled","Tax","595","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","1615","[c]","45420","38530"
"Leaver CS","2023","Declared non-disabled","Veterinarian","35","[c]","47150","43290"
"Leaver CS","2023","Undeclared","Commercial","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Communications","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Counter Fraud","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Digital, Data and Technology","75","[c]","43250","40810"
"Leaver CS","2023","Undeclared","Economics","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Finance","50","[c]","42640","37160"
"Leaver CS","2023","Undeclared","Human Resources","80","[c]","32860","30600"
"Leaver CS","2023","Undeclared","Intelligence Analysis","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Internal Audit","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Knowledge and Information Management","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Legal","40","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Medicine","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Operational Delivery","1355","[c]","29930","27570"
"Leaver CS","2023","Undeclared","Operational Research","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Other","65","[c]","30390","21690"
"Leaver CS","2023","Undeclared","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Policy","120","[c]","42180","41200"
"Leaver CS","2023","Undeclared","Project Delivery","45","[c]","48330","40630"
"Leaver CS","2023","Undeclared","Property","30","[c]","34830","32950"
"Leaver CS","2023","Undeclared","Psychology","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Science and Engineering","100","[c]","39560","36330"
"Leaver CS","2023","Undeclared","Security","65","[c]","33510","33990"
"Leaver CS","2023","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Statistics","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Tax","55","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","165","[c]","44440","39640"
"Leaver CS","2023","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Commercial","125","[c]","34800","33070"
"Leaver CS","2023","Unknown","Communications","115","[c]","38570","36590"
"Leaver CS","2023","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Counter Fraud","70","[c]","34590","27840"
"Leaver CS","2023","Unknown","Digital, Data and Technology","595","[c]","43790","39460"
"Leaver CS","2023","Unknown","Economics","40","[c]","36850","29660"
"Leaver CS","2023","Unknown","Finance","175","[c]","38890","34250"
"Leaver CS","2023","Unknown","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Human Resources","290","[c]","35410","31180"
"Leaver CS","2023","Unknown","Inspector of Education and Training","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Intelligence Analysis","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","International Trade","55","[c]","44540","41110"
"Leaver CS","2023","Unknown","Knowledge and Information Management","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Legal","180","[c]","49310","49260"
"Leaver CS","2023","Unknown","Medicine","125","[c]","52650","40590"
"Leaver CS","2023","Unknown","Operational Delivery","6275","[c]","29690","25880"
"Leaver CS","2023","Unknown","Operational Research","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Other","540","[c]","33720","29890"
"Leaver CS","2023","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Planning Inspectors","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Policy","465","[c]","41530","38950"
"Leaver CS","2023","Unknown","Project Delivery","275","[c]","41610","39520"
"Leaver CS","2023","Unknown","Property","110","[c]","33920","30130"
"Leaver CS","2023","Unknown","Psychology","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Science and Engineering","405","[c]","36460","33040"
"Leaver CS","2023","Unknown","Security","240","[c]","30390","27500"
"Leaver CS","2023","Unknown","Social Research","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Statistics","100","[c]","28970","23500"
"Leaver CS","2023","Unknown","Tax","310","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","1715","[c]","42850","34730"
"Leaver CS","2023","Unknown","Veterinarian","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data and Technology","60","[c]","42820","39530"
"Leaver Dept.","2023","Declared disabled","Economics","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","40","[c]","41370","33870"
"Leaver Dept.","2023","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","70","[c]","38610","35550"
"Leaver Dept.","2023","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","International Trade","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Knowledge and Information Management","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Legal","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Operational Delivery","615","[c]","28690","27570"
"Leaver Dept.","2023","Declared disabled","Operational Research","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Other","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Policy","230","[c]","42390","37960"
"Leaver Dept.","2023","Declared disabled","Project Delivery","50","[c]","36960","34300"
"Leaver Dept.","2023","Declared disabled","Property","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Social Research","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Statistics","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Tax","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","185","[c]","44530","39530"
"Leaver Dept.","2023","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Commercial","135","[c]","39320","39710"
"Leaver Dept.","2023","Declared non-disabled","Communications","145","[c]","42620","38610"
"Leaver Dept.","2023","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Counter Fraud","135","[c]","31120","28120"
"Leaver Dept.","2023","Declared non-disabled","Digital, Data and Technology","355","[c]","42810","38470"
"Leaver Dept.","2023","Declared non-disabled","Economics","100","[c]","49860","41360"
"Leaver Dept.","2023","Declared non-disabled","Finance","240","[c]","45580","39150"
"Leaver Dept.","2023","Declared non-disabled","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Human Resources","355","[c]","37600","33210"
"Leaver Dept.","2023","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Intelligence Analysis","35","[c]","34660","33990"
"Leaver Dept.","2023","Declared non-disabled","Internal Audit","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","International Trade","50","[c]","39390","35280"
"Leaver Dept.","2023","Declared non-disabled","Knowledge and Information Management","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Legal","130","[c]","55980","52790"
"Leaver Dept.","2023","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Operational Delivery","3640","[c]","29680","28120"
"Leaver Dept.","2023","Declared non-disabled","Operational Research","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Other","205","[c]","34690","28670"
"Leaver Dept.","2023","Declared non-disabled","Planning","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Policy","1335","[c]","45680","40800"
"Leaver Dept.","2023","Declared non-disabled","Project Delivery","315","[c]","43090","39690"
"Leaver Dept.","2023","Declared non-disabled","Property","70","[c]","39360","35680"
"Leaver Dept.","2023","Declared non-disabled","Psychology","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Science and Engineering","50","[c]","38770","39330"
"Leaver Dept.","2023","Declared non-disabled","Security","70","[c]","32990","32160"
"Leaver Dept.","2023","Declared non-disabled","Social Research","60","[c]","43590","42020"
"Leaver Dept.","2023","Declared non-disabled","Statistics","90","[c]","41460","37510"
"Leaver Dept.","2023","Declared non-disabled","Tax","130","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","1100","[c]","44120","39350"
"Leaver Dept.","2023","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Commercial","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Communications","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Counter Fraud","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Digital, Data and Technology","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Economics","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Finance","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Human Resources","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Knowledge and Information Management","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Legal","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Operational Delivery","270","[c]","28680","27570"
"Leaver Dept.","2023","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Other","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Policy","140","[c]","45700","41300"
"Leaver Dept.","2023","Undeclared","Project Delivery","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Property","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Science and Engineering","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Security","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Statistics","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Tax","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Unknown","65","[c]","44150","40600"
"Leaver Dept.","2023","Unknown","Commercial","70","[c]","35300","32960"
"Leaver Dept.","2023","Unknown","Communications","85","[c]","36180","33410"
"Leaver Dept.","2023","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Counter Fraud","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Digital, Data and Technology","210","[c]","40310","37590"
"Leaver Dept.","2023","Unknown","Economics","45","[c]","39130","37590"
"Leaver Dept.","2023","Unknown","Finance","120","[c]","40440","33250"
"Leaver Dept.","2023","Unknown","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Human Resources","100","[c]","36830","32160"
"Leaver Dept.","2023","Unknown","Intelligence Analysis","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","International Trade","35","[c]","40200","35010"
"Leaver Dept.","2023","Unknown","Knowledge and Information Management","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Legal","75","[c]","51660","51830"
"Leaver Dept.","2023","Unknown","Medicine","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Operational Delivery","1210","[c]","31560","27850"
"Leaver Dept.","2023","Unknown","Operational Research","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Other","105","[c]","38820","33360"
"Leaver Dept.","2023","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Policy","535","[c]","44710","40850"
"Leaver Dept.","2023","Unknown","Project Delivery","190","[c]","37480","33250"
"Leaver Dept.","2023","Unknown","Property","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Science and Engineering","65","[c]","38570","33620"
"Leaver Dept.","2023","Unknown","Security","35","[c]","33200","27500"
"Leaver Dept.","2023","Unknown","Social Research","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Statistics","75","[c]","34190","33250"
"Leaver Dept.","2023","Unknown","Tax","100","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","1170","[c]","40210","32960"
"Leaver Dept.","2023","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Commercial","55","[c]","39370","32500"
"New entrant CS","2023","Declared disabled","Communications","40","[c]","38140","37300"
"New entrant CS","2023","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Counter Fraud","60","[c]","27400","25610"
"New entrant CS","2023","Declared disabled","Digital, Data and Technology","215","[c]","38290","34810"
"New entrant CS","2023","Declared disabled","Economics","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Finance","65","[c]","35650","30070"
"New entrant CS","2023","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Human Resources","110","[c]","31210","28000"
