"Status","Year","Ethnicity","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","London","Heterosexual / straight","315","295","33070","32520"
"In post","2023","Asian","Counter Fraud","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","London","Undeclared","20","15","[c]","[c]"
"In post","2023","Asian","Counter Fraud","London","Unknown","55","45","30600","32260"
"In post","2023","Asian","Counter Fraud","Outside London","Heterosexual / straight","395","375","29180","28120"
"In post","2023","Asian","Counter Fraud","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Outside London","Unknown","45","40","28270","28120"
"In post","2023","Asian","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","London","Heterosexual / straight","710","700","50210","45920"
"In post","2023","Asian","Digital, Data and Technology","London","LGBO","30","30","44220","41650"
"In post","2023","Asian","Digital, Data and Technology","London","Undeclared","50","50","47650","44590"
"In post","2023","Asian","Digital, Data and Technology","London","Unknown","60","60","45990","42510"
"In post","2023","Asian","Digital, Data and Technology","Outside London","Heterosexual / straight","815","805","40870","38470"
"In post","2023","Asian","Digital, Data and Technology","Outside London","LGBO","25","25","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Outside London","Undeclared","40","40","40970","39550"
"In post","2023","Asian","Digital, Data and Technology","Outside London","Unknown","65","60","39270","35000"
"In post","2023","Asian","Digital, Data and Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","London","Heterosexual / straight","165","160","47770","43760"
"In post","2023","Asian","Economics","London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Economics","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Economics","London","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Economics","Outside London","Heterosexual / straight","40","40","34950","34140"
"In post","2023","Asian","Economics","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Economics","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","London","Heterosexual / straight","460","450","46090","43210"
"In post","2023","Asian","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","London","Undeclared","30","30","[c]","[c]"
"In post","2023","Asian","Finance","London","Unknown","30","25","[c]","[c]"
"In post","2023","Asian","Finance","Outside London","Heterosexual / straight","375","360","38040","34250"
"In post","2023","Asian","Finance","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Finance","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Finance","Outside London","Unknown","35","35","33970","34170"
"In post","2023","Asian","Finance","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","London","Heterosexual / straight","355","340","42150","39010"
"In post","2023","Asian","Human Resources","London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","London","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Human Resources","London","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Human Resources","Outside London","Heterosexual / straight","250","240","34840","32770"
"In post","2023","Asian","Human Resources","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Human Resources","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","London","Heterosexual / straight","130","125","35590","30680"
"In post","2023","Asian","Intelligence Analysis","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Outside London","Heterosexual / straight","45","45","29080","26210"
"In post","2023","Asian","Intelligence Analysis","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","London","Heterosexual / straight","45","45","48470","46340"
"In post","2023","Asian","Internal Audit","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Outside London","Heterosexual / straight","40","40","43930","42700"
"In post","2023","Asian","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","London","Heterosexual / straight","105","105","47570","41750"
"In post","2023","Asian","International Trade","London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","International Trade","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","International Trade","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","International Trade","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","International Trade","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","London","Heterosexual / straight","75","70","39030","35410"
"In post","2023","Asian","Knowledge and Information Management","London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Outside London","Heterosexual / straight","45","45","33390","32460"
"In post","2023","Asian","Knowledge and Information Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","London","Heterosexual / straight","505","480","54120","54100"
"In post","2023","Asian","Legal","London","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Legal","London","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Legal","London","Unknown","60","50","54990","55170"
"In post","2023","Asian","Legal","Outside London","Heterosexual / straight","420","400","46820","49050"
"In post","2023","Asian","Legal","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Legal","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Legal","Outside London","Unknown","40","40","49610","53750"
"In post","2023","Asian","Legal","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","London","Heterosexual / straight","45","40","72310","67160"
"In post","2023","Asian","Medicine","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","London","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Medicine","Outside London","Heterosexual / straight","90","80","70570","79390"
"In post","2023","Asian","Medicine","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Medicine","Outside London","Unknown","15","10","[c]","[c]"
"In post","2023","Asian","Medicine","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","London","Heterosexual / straight","5345","4955","33040","31350"
"In post","2023","Asian","Operational Delivery","London","LGBO","95","90","31640","30200"
"In post","2023","Asian","Operational Delivery","London","Undeclared","440","385","31100","30200"
"In post","2023","Asian","Operational Delivery","London","Unknown","535","465","32270","32520"
"In post","2023","Asian","Operational Delivery","Outside London","Heterosexual / straight","10150","9320","27440","26650"
"In post","2023","Asian","Operational Delivery","Outside London","LGBO","215","200","26360","25790"
"In post","2023","Asian","Operational Delivery","Outside London","Undeclared","645","570","26480","25610"
"In post","2023","Asian","Operational Delivery","Outside London","Unknown","1115","955","26500","25750"
"In post","2023","Asian","Operational Delivery","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Unknown","Heterosexual / straight","40","40","27360","27850"
"In post","2023","Asian","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","London","Heterosexual / straight","45","45","49140","43650"
"In post","2023","Asian","Operational Research","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Operational Research","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Other","London","Heterosexual / straight","325","310","38330","36000"
"In post","2023","Asian","Other","London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Other","London","Undeclared","25","25","[c]","[c]"
"In post","2023","Asian","Other","London","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Other","Outside London","Heterosexual / straight","530","475","27200","21690"
"In post","2023","Asian","Other","Outside London","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Other","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2023","Asian","Other","Outside London","Unknown","75","60","23970","21690"
"In post","2023","Asian","Other","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Planning","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","London","Heterosexual / straight","1625","1595","47310","43210"
"In post","2023","Asian","Policy","London","LGBO","75","75","48670","43210"
"In post","2023","Asian","Policy","London","Undeclared","100","95","45080","41700"
"In post","2023","Asian","Policy","London","Unknown","80","75","50660","46250"
"In post","2023","Asian","Policy","Outside London","Heterosexual / straight","385","380","39680","37590"
"In post","2023","Asian","Policy","Outside London","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Policy","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Policy","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Policy","Overseas","Heterosexual / straight","85","85","48270","52400"
"In post","2023","Asian","Policy","Overseas","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Policy","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Overseas","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","London","Heterosexual / straight","545","535","46260","43210"
"In post","2023","Asian","Project Delivery","London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Project Delivery","London","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Project Delivery","London","Unknown","50","45","45060","39790"
"In post","2023","Asian","Project Delivery","Outside London","Heterosexual / straight","500","490","41640","38580"
"In post","2023","Asian","Project Delivery","Outside London","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Project Delivery","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Project Delivery","Outside London","Unknown","45","40","39260","37850"
"In post","2023","Asian","Project Delivery","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","London","Heterosexual / straight","100","95","40050","36030"
"In post","2023","Asian","Property","London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Property","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Property","London","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Property","Outside London","Heterosexual / straight","145","140","36690","32260"
"In post","2023","Asian","Property","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Property","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Property","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
