"Status","Year","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Black","Unknown","635","625","39510","35000"
"In post","2023","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Commercial","150","145","46660","39150"
"In post","2023","Mixed","Communications","115","110","45040","40600"
"In post","2023","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","190","180","31920","28130"
"In post","2023","Mixed","Digital, Data and Technology","385","380","44140","41480"
"In post","2023","Mixed","Economics","70","70","47360","47360"
"In post","2023","Mixed","Finance","200","195","42640","40190"
"In post","2023","Mixed","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Human Resources","265","260","41450","38440"
"In post","2023","Mixed","Inspector of Education and Training","10","10","[c]","[c]"
"In post","2023","Mixed","Intelligence Analysis","50","50","40140","34310"
"In post","2023","Mixed","Internal Audit","15","15","[c]","[c]"
"In post","2023","Mixed","International Trade","65","65","48690","42510"
"In post","2023","Mixed","Knowledge and Information Management","30","30","35950","33680"
"In post","2023","Mixed","Legal","310","290","54350","54100"
"In post","2023","Mixed","Medicine","45","40","69040","67600"
"In post","2023","Mixed","Operational Delivery","4745","4440","30600","28120"
"In post","2023","Mixed","Operational Research","25","25","[c]","[c]"
"In post","2023","Mixed","Other","215","200","33430","29280"
"In post","2023","Mixed","Planning","5","5","[c]","[c]"
"In post","2023","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Policy","1105","1085","47680","43750"
"In post","2023","Mixed","Project Delivery","365","355","44370","41200"
"In post","2023","Mixed","Property","95","90","35680","33830"
"In post","2023","Mixed","Psychology","35","35","38160","31310"
"In post","2023","Mixed","Science and Engineering","230","225","40310","39890"
"In post","2023","Mixed","Security","105","100","39350","36620"
"In post","2023","Mixed","Social Research","45","40","44330","43070"
"In post","2023","Mixed","Statistics","75","75","43890","39370"
"In post","2023","Mixed","Tax","260","250","37870","35000"
"In post","2023","Mixed","Unknown","510","495","42190","36330"
"In post","2023","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Commercial","30","30","43040","42700"
"In post","2023","Other ethnicity","Communications","25","25","[c]","[c]"
"In post","2023","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Counter Fraud","55","50","30280","29130"
"In post","2023","Other ethnicity","Digital, Data and Technology","130","130","44020","41240"
"In post","2023","Other ethnicity","Economics","30","25","[c]","[c]"
"In post","2023","Other ethnicity","Finance","55","50","44620","41950"
"In post","2023","Other ethnicity","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Human Resources","60","60","38400","32500"
"In post","2023","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Intelligence Analysis","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Internal Audit","20","20","[c]","[c]"
"In post","2023","Other ethnicity","International Trade","20","20","[c]","[c]"
"In post","2023","Other ethnicity","Knowledge and Information Management","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Legal","110","105","54600","52700"
"In post","2023","Other ethnicity","Medicine","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Operational Delivery","1305","1220","31580","29160"
"In post","2023","Other ethnicity","Operational Research","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Other","70","65","38560","31790"
"In post","2023","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Policy","400","395","48300","48570"
"In post","2023","Other ethnicity","Project Delivery","95","90","51490","44450"
"In post","2023","Other ethnicity","Property","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Psychology","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Science and Engineering","75","75","43180","39650"
"In post","2023","Other ethnicity","Security","30","30","39290","35410"
"In post","2023","Other ethnicity","Social Research","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Statistics","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Tax","80","80","38690","34850"
"In post","2023","Other ethnicity","Unknown","125","125","41520","36620"
"In post","2023","Other ethnicity","Veterinarian","10","10","[c]","[c]"
"In post","2023","Undeclared","Commercial","295","285","48930","43300"
"In post","2023","Undeclared","Communications","125","120","42640","40480"
"In post","2023","Undeclared","Corporate Finance","25","25","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","500","445","31890","28130"
"In post","2023","Undeclared","Digital, Data and Technology","1125","1100","45120","42130"
"In post","2023","Undeclared","Economics","65","65","53450","56390"
"In post","2023","Undeclared","Finance","410","395","42690","39060"
"In post","2023","Undeclared","Geography","15","15","[c]","[c]"
"In post","2023","Undeclared","Human Resources","440","425","38390","34300"
"In post","2023","Undeclared","Inspector of Education and Training","10","10","[c]","[c]"
"In post","2023","Undeclared","Intelligence Analysis","175","165","37130","33990"
"In post","2023","Undeclared","Internal Audit","25","25","[c]","[c]"
"In post","2023","Undeclared","International Trade","55","55","50190","53680"
"In post","2023","Undeclared","Knowledge and Information Management","140","135","36930","33600"
"In post","2023","Undeclared","Legal","415","390","51720","52020"
"In post","2023","Undeclared","Medicine","70","60","67920","58150"
"In post","2023","Undeclared","Operational Delivery","9890","9015","30720","28120"
"In post","2023","Undeclared","Operational Research","50","45","45020","46600"
"In post","2023","Undeclared","Other","595","555","33900","28130"
"In post","2023","Undeclared","Planning","5","5","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","20","20","[c]","[c]"
"In post","2023","Undeclared","Policy","1160","1130","50540","49050"
"In post","2023","Undeclared","Project Delivery","705","680","47890","43420"
"In post","2023","Undeclared","Property","295","275","40480","37680"
"In post","2023","Undeclared","Psychology","20","20","[c]","[c]"
"In post","2023","Undeclared","Science and Engineering","825","800","44720","43360"
"In post","2023","Undeclared","Security","460","455","38480","39150"
"In post","2023","Undeclared","Social Research","15","15","[c]","[c]"
"In post","2023","Undeclared","Statistics","85","80","45140","42140"
"In post","2023","Undeclared","Tax","685","640","43880","39790"
"In post","2023","Undeclared","Unknown","530","510","46430","41600"
"In post","2023","Undeclared","Veterinarian","30","25","[c]","[c]"
"In post","2023","Unknown","Commercial","715","700","42070","37590"
"In post","2023","Unknown","Communications","685","670","44750","41610"
"In post","2023","Unknown","Corporate Finance","10","10","[c]","[c]"
"In post","2023","Unknown","Counter Fraud","885","845","34130","32260"
"In post","2023","Unknown","Digital, Data and Technology","3525","3465","44090","40880"
"In post","2023","Unknown","Economics","325","320","46170","39550"
"In post","2023","Unknown","Finance","1080","1045","40690","37680"
"In post","2023","Unknown","Geography","125","120","31130","29880"
"In post","2023","Unknown","Human Resources","1380","1340","39500","35000"
"In post","2023","Unknown","Inspector of Education and Training","50","50","61850","52750"
"In post","2023","Unknown","Intelligence Analysis","320","315","34050","30700"
"In post","2023","Unknown","Internal Audit","25","25","[c]","[c]"
"In post","2023","Unknown","International Trade","540","530","47980","42510"
"In post","2023","Unknown","Knowledge and Information Management","220","210","37360","34540"
"In post","2023","Unknown","Legal","1430","1350","49610","49050"
"In post","2023","Unknown","Medicine","425","365","52470","40590"
"In post","2023","Unknown","Operational Delivery","39835","37280","28140","25930"
"In post","2023","Unknown","Operational Research","205","205","34430","30650"
"In post","2023","Unknown","Other","3285","3210","37970","35500"
"In post","2023","Unknown","Planning","25","25","[c]","[c]"
"In post","2023","Unknown","Planning Inspectors","35","35","52300","48660"
"In post","2023","Unknown","Policy","4260","4185","47910","43660"
"In post","2023","Unknown","Project Delivery","1885","1845","44800","41740"
"In post","2023","Unknown","Property","1080","1025","34790","31350"
"In post","2023","Unknown","Psychology","190","175","35810","31310"
"In post","2023","Unknown","Science and Engineering","1105","1075","37460","33830"
"In post","2023","Unknown","Security","1410","1390","34580","30200"
"In post","2023","Unknown","Social Research","165","160","42360","39300"
"In post","2023","Unknown","Statistics","305","300","41580","39300"
"In post","2023","Unknown","Tax","3595","3430","33090","29730"
"In post","2023","Unknown","Unknown","7835","7565","39240","34190"
"In post","2023","Unknown","Veterinarian","30","30","45170","38630"
"In post","2023","White","Commercial","5735","5540","48190","42350"
"In post","2023","White","Communications","2895","2775","43940","41000"
"In post","2023","White","Corporate Finance","40","40","51610","45340"
"In post","2023","White","Counter Fraud","6650","6095","31550","28120"
"In post","2023","White","Digital, Data and Technology","15400","14940","44640","41200"
"In post","2023","White","Economics","1370","1335","50930","52760"
"In post","2023","White","Finance","7100","6770","43450","39150"
"In post","2023","White","Geography","335","315","33640","34370"
"In post","2023","White","Human Resources","9795","9355","40050","35350"
"In post","2023","White","Inspector of Education and Training","950","930","67320","72470"
"In post","2023","White","Intelligence Analysis","2425","2325","35130","32160"
"In post","2023","White","Internal Audit","545","515","48340","45880"
"In post","2023","White","International Trade","1235","1210","49690","45220"
"In post","2023","White","Knowledge and Information Management","1880","1785","36100","33770"
"In post","2023","White","Legal","7705","7170","53610","53750"
"In post","2023","White","Medicine","1685","1495","56160","43810"
"In post","2023","White","Operational Delivery","188175","171950","30300","28120"
"In post","2023","White","Operational Research","765","730","46480","44120"
"In post","2023","White","Other","10710","9995","33660","28120"
"In post","2023","White","Planning","175","165","47350","44180"
"In post","2023","White","Planning Inspectors","400","355","58570","60050"
"In post","2023","White","Policy","22455","21770","50520","49700"
"In post","2023","White","Project Delivery","13195","12690","46290","42140"
"In post","2023","White","Property","5000","4790","38770","34740"
"In post","2023","White","Psychology","1265","1215","38170","32420"
"In post","2023","White","Science and Engineering","10275","9905","41810","39890"
"In post","2023","White","Security","6990","6800","34950","32330"
"In post","2023","White","Social Research","1245","1185","45370","42200"
"In post","2023","White","Statistics","2150","2065","45700","42160"
"In post","2023","White","Tax","10380","9775","39700","35000"
"In post","2023","White","Unknown","19110","18385","43950","38330"
"In post","2023","White","Veterinarian","315","300","44520","40260"
"Leaver CS","2023","Asian","Commercial","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Communications","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Counter Fraud","25","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Digital, Data and Technology","175","[c]","45670","41610"
"Leaver CS","2023","Asian","Economics","30","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Finance","70","[c]","39150","35790"
"Leaver CS","2023","Asian","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Human Resources","45","[c]","37520","33500"
"Leaver CS","2023","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","International Trade","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Knowledge and Information Management","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Legal","60","[c]","49670","51210"
"Leaver CS","2023","Asian","Medicine","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Operational Delivery","1480","[c]","28630","27570"
"Leaver CS","2023","Asian","Operational Research","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Other","95","[c]","28990","25610"
"Leaver CS","2023","Asian","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Policy","175","[c]","39250","36730"
"Leaver CS","2023","Asian","Project Delivery","75","[c]","41990","40070"
"Leaver CS","2023","Asian","Property","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Science and Engineering","95","[c]","33110","32330"
"Leaver CS","2023","Asian","Security","25","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Social Research","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Statistics","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Tax","90","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","170","[c]","41990","35650"
"Leaver CS","2023","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Commercial","20","[c]","[c]","[c]"
"Leaver CS","2023","Black","Communications","20","[c]","[c]","[c]"
"Leaver CS","2023","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Counter Fraud","20","[c]","[c]","[c]"
"Leaver CS","2023","Black","Digital, Data and Technology","100","[c]","40640","37740"
"Leaver CS","2023","Black","Economics","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","Finance","40","[c]","38710","39150"
"Leaver CS","2023","Black","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Human Resources","50","[c]","35450","31690"
"Leaver CS","2023","Black","Inspector of Education and Training","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","International Trade","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Legal","40","[c]","47520","43920"
"Leaver CS","2023","Black","Medicine","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","Operational Delivery","1100","[c]","29550","29290"
"Leaver CS","2023","Black","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Other","40","[c]","31630","30040"
"Leaver CS","2023","Black","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Policy","100","[c]","39500","35490"
"Leaver CS","2023","Black","Project Delivery","60","[c]","42710","39150"
"Leaver CS","2023","Black","Property","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","Psychology","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","Science and Engineering","55","[c]","36360","38390"
"Leaver CS","2023","Black","Security","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Statistics","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","Tax","30","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","110","[c]","38860","35760"
"Leaver CS","2023","Black","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Commercial","10","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Communications","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Counter Fraud","10","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Digital, Data and Technology","40","[c]","44680","42810"
"Leaver CS","2023","Mixed","Economics","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Finance","10","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Human Resources","35","[c]","38630","32530"
"Leaver CS","2023","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Legal","25","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Operational Delivery","530","[c]","28730","27570"
"Leaver CS","2023","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Other","25","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Policy","90","[c]","43610","40340"
"Leaver CS","2023","Mixed","Project Delivery","20","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Property","10","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Psychology","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Science and Engineering","35","[c]","35330","32550"
"Leaver CS","2023","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Social Research","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Statistics","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Tax","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","90","[c]","42930","38330"
"Leaver CS","2023","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Communications","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Digital, Data and Technology","15","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Economics","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Legal","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Medicine","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Operational Delivery","145","[c]","28650","26960"
"Leaver CS","2023","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Other","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Policy","40","[c]","38460","33600"
"Leaver CS","2023","Other ethnicity","Project Delivery","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Science and Engineering","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Commercial","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Communications","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Counter Fraud","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Digital, Data and Technology","95","[c]","45060","41800"
"Leaver CS","2023","Undeclared","Economics","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Finance","40","[c]","41620","39010"
"Leaver CS","2023","Undeclared","Human Resources","55","[c]","36680","35940"
"Leaver CS","2023","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Intelligence Analysis","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Knowledge and Information Management","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Legal","35","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Medicine","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Operational Delivery","845","[c]","29190","27450"
"Leaver CS","2023","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Other","50","[c]","34940","27060"
"Leaver CS","2023","Undeclared","Policy","75","[c]","47620","46470"
"Leaver CS","2023","Undeclared","Project Delivery","50","[c]","46760","43560"
"Leaver CS","2023","Undeclared","Property","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Science and Engineering","75","[c]","40120","39890"
"Leaver CS","2023","Undeclared","Security","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Tax","50","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","90","[c]","42430","38220"
"Leaver CS","2023","Undeclared","Veterinarian","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Commercial","65","[c]","34060","31150"
"Leaver CS","2023","Unknown","Communications","70","[c]","38320","34670"
"Leaver CS","2023","Unknown","Counter Fraud","70","[c]","33740","27840"
"Leaver CS","2023","Unknown","Digital, Data and Technology","405","[c]","42930","39020"
"Leaver CS","2023","Unknown","Economics","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Finance","115","[c]","39100","36460"
"Leaver CS","2023","Unknown","Geography","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Human Resources","175","[c]","36570","31500"
"Leaver CS","2023","Unknown","Inspector of Education and Training","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Intelligence Analysis","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","International Trade","35","[c]","44450","38580"
"Leaver CS","2023","Unknown","Knowledge and Information Management","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Legal","130","[c]","49690","54100"
"Leaver CS","2023","Unknown","Medicine","70","[c]","45650","36320"
"Leaver CS","2023","Unknown","Operational Delivery","5570","[c]","28640","25480"
"Leaver CS","2023","Unknown","Operational Research","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Other","405","[c]","32550","29860"
"Leaver CS","2023","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Planning Inspectors","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Policy","330","[c]","41610","37590"
"Leaver CS","2023","Unknown","Project Delivery","150","[c]","39160","38470"
"Leaver CS","2023","Unknown","Property","105","[c]","37100","30430"
"Leaver CS","2023","Unknown","Psychology","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Science and Engineering","150","[c]","33160","30650"
"Leaver CS","2023","Unknown","Security","155","[c]","30310","27500"
"Leaver CS","2023","Unknown","Social Research","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Statistics","75","[c]","27010","23500"
"Leaver CS","2023","Unknown","Tax","270","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","1295","[c]","42780","34730"
"Leaver CS","2023","Unknown","Veterinarian","5","[c]","[c]","[c]"
"Leaver CS","2023","White","Commercial","295","[c]","40510","38010"
"Leaver CS","2023","White","Communications","260","[c]","44330","41190"
"Leaver CS","2023","White","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","White","Counter Fraud","340","[c]","29060","28120"
"Leaver CS","2023","White","Digital, Data and Technology","1100","[c]","44120","40390"
"Leaver CS","2023","White","Economics","130","[c]","38940","33570"
"Leaver CS","2023","White","Finance","495","[c]","42070","37000"
