"Status","Year","Disability","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","SEO/HEO","Male","Undeclared","3035","2935","39550","39000"
"In post","2023","Declared non-disabled","SEO/HEO","Male","Unknown","2470","2375","39360","38470"
"In post","2023","Declared non-disabled","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Female","Heterosexual / straight","9540","8860","31060","29050"
"In post","2023","Declared non-disabled","Unknown","Female","LGBO","520","505","29420","26840"
"In post","2023","Declared non-disabled","Unknown","Female","Undeclared","480","440","32380","30810"
"In post","2023","Declared non-disabled","Unknown","Female","Unknown","175","155","34820","38290"
"In post","2023","Declared non-disabled","Unknown","Male","Heterosexual / straight","3740","3605","35170","31510"
"In post","2023","Declared non-disabled","Unknown","Male","LGBO","255","250","31420","26840"
"In post","2023","Declared non-disabled","Unknown","Male","Undeclared","255","240","37980","37160"
"In post","2023","Declared non-disabled","Unknown","Male","Unknown","115","110","34830","35030"
"In post","2023","Declared non-disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","AA/AO","Female","Heterosexual / straight","1925","1640","23730","22500"
"In post","2023","Undeclared","AA/AO","Female","LGBO","185","175","24550","22520"
"In post","2023","Undeclared","AA/AO","Female","Undeclared","1075","920","23720","22500"
"In post","2023","Undeclared","AA/AO","Female","Unknown","595","485","25750","24270"
"In post","2023","Undeclared","AA/AO","Male","Heterosexual / straight","1900","1770","26250","23230"
"In post","2023","Undeclared","AA/AO","Male","LGBO","140","135","25300","22520"
"In post","2023","Undeclared","AA/AO","Male","Undeclared","1340","1270","25950","22520"
"In post","2023","Undeclared","AA/AO","Male","Unknown","810","695","29180","32920"
"In post","2023","Undeclared","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","EO","Female","Heterosexual / straight","1585","1430","28850","28120"
"In post","2023","Undeclared","EO","Female","LGBO","135","130","29060","28120"
"In post","2023","Undeclared","EO","Female","Undeclared","975","880","29000","28120"
"In post","2023","Undeclared","EO","Female","Unknown","390","345","29920","28130"
"In post","2023","Undeclared","EO","Male","Heterosexual / straight","1435","1375","30410","28130"
"In post","2023","Undeclared","EO","Male","LGBO","140","135","29600","28120"
"In post","2023","Undeclared","EO","Male","Undeclared","1385","1310","30090","28130"
"In post","2023","Undeclared","EO","Male","Unknown","420","390","32400","32520"
"In post","2023","Undeclared","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","G6/G7","Female","Heterosexual / straight","830","795","59830","57970"
"In post","2023","Undeclared","G6/G7","Female","LGBO","70","70","58580","55670"
"In post","2023","Undeclared","G6/G7","Female","Undeclared","565","535","60930","58200"
"In post","2023","Undeclared","G6/G7","Female","Unknown","275","265","60620","58580"
"In post","2023","Undeclared","G6/G7","Male","Heterosexual / straight","780","765","61740","59530"
"In post","2023","Undeclared","G6/G7","Male","LGBO","95","95","61050","58850"
"In post","2023","Undeclared","G6/G7","Male","Undeclared","1020","1000","61760","59290"
"In post","2023","Undeclared","G6/G7","Male","Unknown","320","315","62670","60920"
"In post","2023","Undeclared","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","SCS level","Female","Heterosexual / straight","80","80","90010","80690"
"In post","2023","Undeclared","SCS level","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Undeclared","SCS level","Female","Undeclared","45","40","89930","84120"
"In post","2023","Undeclared","SCS level","Female","Unknown","40","40","115460","120180"
"In post","2023","Undeclared","SCS level","Male","Heterosexual / straight","80","80","100220","94410"
"In post","2023","Undeclared","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Undeclared","SCS level","Male","Undeclared","65","65","93690","84160"
"In post","2023","Undeclared","SCS level","Male","Unknown","50","50","105270","98070"
"In post","2023","Undeclared","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","SEO/HEO","Female","Heterosexual / straight","1780","1700","38300","37590"
"In post","2023","Undeclared","SEO/HEO","Female","LGBO","185","180","37820","36500"
"In post","2023","Undeclared","SEO/HEO","Female","Undeclared","1315","1230","38510","37820"
"In post","2023","Undeclared","SEO/HEO","Female","Unknown","450","420","38930","38900"
"In post","2023","Undeclared","SEO/HEO","Male","Heterosexual / straight","1670","1630","39890","38960"
"In post","2023","Undeclared","SEO/HEO","Male","LGBO","155","155","37740","36990"
"In post","2023","Undeclared","SEO/HEO","Male","Undeclared","2150","2080","39500","38910"
"In post","2023","Undeclared","SEO/HEO","Male","Unknown","450","440","40600","40660"
"In post","2023","Undeclared","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","Female","Heterosexual / straight","400","375","31500","29050"
"In post","2023","Undeclared","Unknown","Female","LGBO","45","45","28740","26840"
"In post","2023","Undeclared","Unknown","Female","Undeclared","190","170","33250","33050"
"In post","2023","Undeclared","Unknown","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","Male","Heterosexual / straight","180","170","34030","29300"
"In post","2023","Undeclared","Unknown","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Undeclared","Unknown","Male","Undeclared","150","140","39650","38290"
"In post","2023","Undeclared","Unknown","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","AA/AO","Female","Heterosexual / straight","2755","2440","23340","22520"
"In post","2023","Unknown","AA/AO","Female","LGBO","205","200","24390","22950"
"In post","2023","Unknown","AA/AO","Female","Undeclared","260","225","23270","22520"
"In post","2023","Unknown","AA/AO","Female","Unknown","12980","11710","23740","22520"
"In post","2023","Unknown","AA/AO","Male","Heterosexual / straight","2675","2565","25270","22520"
"In post","2023","Unknown","AA/AO","Male","LGBO","180","175","23890","22520"
"In post","2023","Unknown","AA/AO","Male","Undeclared","265","255","25280","22520"
"In post","2023","Unknown","AA/AO","Male","Unknown","11645","11290","24930","22520"
"In post","2023","Unknown","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","EO","Female","Heterosexual / straight","3380","3215","29910","28200"
"In post","2023","Unknown","EO","Female","LGBO","295","290","29710","28130"
"In post","2023","Unknown","EO","Female","Undeclared","405","390","29340","28770"
"In post","2023","Unknown","EO","Female","Unknown","8540","8075","28760","28120"
"In post","2023","Unknown","EO","Male","Heterosexual / straight","3235","3155","31130","29730"
"In post","2023","Unknown","EO","Male","LGBO","225","220","29330","28080"
"In post","2023","Unknown","EO","Male","Undeclared","305","300","30950","28770"
"In post","2023","Unknown","EO","Male","Unknown","8720","8480","29270","28130"
"In post","2023","Unknown","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","Female","Heterosexual / straight","2655","2535","59700","56740"
"In post","2023","Unknown","G6/G7","Female","LGBO","150","145","56990","54960"
"In post","2023","Unknown","G6/G7","Female","Undeclared","485","460","59790","56180"
"In post","2023","Unknown","G6/G7","Female","Unknown","3825","3655","60460","57990"
"In post","2023","Unknown","G6/G7","Male","Heterosexual / straight","2380","2345","60740","58030"
"In post","2023","Unknown","G6/G7","Male","LGBO","205","205","59750","57380"
"In post","2023","Unknown","G6/G7","Male","Undeclared","480","470","59960","57230"
"In post","2023","Unknown","G6/G7","Male","Unknown","4270","4185","60840","58850"
"In post","2023","Unknown","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","Female","Heterosexual / straight","225","215","90490","83530"
"In post","2023","Unknown","SCS level","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Unknown","SCS level","Female","Undeclared","55","50","96420","91130"
"In post","2023","Unknown","SCS level","Female","Unknown","355","340","92430","83990"
"In post","2023","Unknown","SCS level","Male","Heterosexual / straight","225","220","99460","89560"
"In post","2023","Unknown","SCS level","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Unknown","SCS level","Male","Undeclared","50","50","93880","85000"
"In post","2023","Unknown","SCS level","Male","Unknown","395","385","98490","91700"
"In post","2023","Unknown","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","Female","Heterosexual / straight","4825","4630","38410","38330"
"In post","2023","Unknown","SEO/HEO","Female","LGBO","390","385","37560","37590"
"In post","2023","Unknown","SEO/HEO","Female","Undeclared","710","680","37980","37710"
"In post","2023","Unknown","SEO/HEO","Female","Unknown","8745","8440","37860","36330"
"In post","2023","Unknown","SEO/HEO","Male","Heterosexual / straight","4520","4445","39500","39360"
"In post","2023","Unknown","SEO/HEO","Male","LGBO","375","375","37710","37590"
"In post","2023","Unknown","SEO/HEO","Male","Undeclared","685","675","39190","38640"
"In post","2023","Unknown","SEO/HEO","Male","Unknown","9430","9270","38330","37540"
"In post","2023","Unknown","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Female","Heterosexual / straight","230","215","29390","26920"
"In post","2023","Unknown","Unknown","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Unknown","Unknown","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Unknown","Unknown","Female","Unknown","2360","2160","28120","26840"
"In post","2023","Unknown","Unknown","Male","Heterosexual / straight","170","170","39830","33310"
"In post","2023","Unknown","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Unknown","Unknown","Male","Unknown","2495","2415","37380","34870"
"In post","2023","Unknown","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","AA/AO","Female","Heterosexual / straight","730","[c]","22120","21690"
"Leaver CS","2023","Declared disabled","AA/AO","Female","LGBO","110","[c]","21980","21690"
"Leaver CS","2023","Declared disabled","AA/AO","Female","Undeclared","110","[c]","21830","21690"
"Leaver CS","2023","Declared disabled","AA/AO","Female","Unknown","200","[c]","22480","21690"
"Leaver CS","2023","Declared disabled","AA/AO","Male","Heterosexual / straight","505","[c]","22670","21690"
"Leaver CS","2023","Declared disabled","AA/AO","Male","LGBO","70","[c]","21920","21690"
"Leaver CS","2023","Declared disabled","AA/AO","Male","Undeclared","65","[c]","23230","21690"
"Leaver CS","2023","Declared disabled","AA/AO","Male","Unknown","125","[c]","23860","21950"
"Leaver CS","2023","Declared disabled","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","EO","Female","Heterosexual / straight","600","[c]","28320","28120"
"Leaver CS","2023","Declared disabled","EO","Female","LGBO","65","[c]","28140","28120"
"Leaver CS","2023","Declared disabled","EO","Female","Undeclared","70","[c]","28630","28120"
"Leaver CS","2023","Declared disabled","EO","Female","Unknown","95","[c]","28740","28120"
"Leaver CS","2023","Declared disabled","EO","Male","Heterosexual / straight","365","[c]","28650","28120"
"Leaver CS","2023","Declared disabled","EO","Male","LGBO","70","[c]","28230","28120"
"Leaver CS","2023","Declared disabled","EO","Male","Undeclared","50","[c]","29430","28120"
"Leaver CS","2023","Declared disabled","EO","Male","Unknown","65","[c]","32120","31680"
"Leaver CS","2023","Declared disabled","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","G6/G7","Female","Heterosexual / straight","145","[c]","60700","59290"
"Leaver CS","2023","Declared disabled","G6/G7","Female","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","G6/G7","Female","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","G6/G7","Female","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","G6/G7","Male","Heterosexual / straight","110","[c]","60700","58310"
"Leaver CS","2023","Declared disabled","G6/G7","Male","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","G6/G7","Male","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","G6/G7","Male","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Female","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Male","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","SEO/HEO","Female","Heterosexual / straight","340","[c]","37350","35700"
"Leaver CS","2023","Declared disabled","SEO/HEO","Female","LGBO","60","[c]","35080","34420"
"Leaver CS","2023","Declared disabled","SEO/HEO","Female","Undeclared","40","[c]","38750","38470"
