"Status","Year","Function_of_post","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Competition and Markets Authority","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Operational Research","Female","60","60","39700","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Operational Research","Male","135","130","44020","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Female","215","200","43180","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Male","620","605","45760","49260"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Female","55","55","37880","34570"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Male","95","95","39730","34670"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","Male","50","50","52230","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","Female","35","35","47950","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","Male","50","50","51530","51990"
"In post","2023","Analysis","Department for Education (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","Female","40","35","47820","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","Male","55","55","46900","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","Female","105","100","46220","44910"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","Male","30","30","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","Female","135","125","44300","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","Male","105","105","46190","43490"
"In post","2023","Analysis","Department for International Trade","Economics","Female","40","40","47060","48460"
"In post","2023","Analysis","Department for International Trade","Economics","Male","95","90","51170","55370"
"In post","2023","Analysis","Department for International Trade","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","Male","30","30","49250","52000"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","Male","40","40","49260","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","Female","75","70","45630","44180"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","Male","85","85","47420","44180"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","Female","55","50","50880","55190"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","Male","115","110","50880","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Other","Female","15","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Other","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Social Research","Female","40","40","51870","51160"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Social Research","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","Female","35","35","49730","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","Male","40","40","41440","39020"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Economics","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Economics","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","Female","15","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","Female","20","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Other","Female","30","25","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Other","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Policy","Female","90","85","46480","39150"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Policy","Male","110","105","48040","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Project Delivery","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Project Delivery","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","Female","35","30","46680","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","Female","95","85","48090","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","Male","115","110","43850","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Economics","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Economics","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Other","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Other","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Male","35","35","49110","50830"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Operational Research","Female","30","30","28450","26960"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Operational Research","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Statistics","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Statistics","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Estyn","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Economics","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Economics","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Intelligence Analysis","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Social Research","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Statistics","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","Female","25","20","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Other","Female","65","60","71910","72940"
"In post","2023","Analysis","Government Actuary's Department","Other","Male","115","115","72460","67430"
"In post","2023","Analysis","Government Legal Department","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Operational Delivery","Female","15","15","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Operational Delivery","Male","20","20","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Operational Research","Male","5","5","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Statistics","Female","5","5","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Statistics","Male","5","5","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Finance","Female","15","15","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Finance","Male","15","15","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Statistics","Female","10","5","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Female","35","35","47200","39450"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Male","115","110","47110","39790"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Female","20","20","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Female","50","45","48900","43300"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Male","55","55","50780","45960"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Female","85","80","50070","45960"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Male","45","45","50390","42510"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Female","125","115","51950","45950"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Male","200","195","48660","45170"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Male","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","Male","20","20","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Economics","Female","70","70","43560","38660"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Economics","Male","100","100","46330","39790"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Statistics","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Economics","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Science and Engineering","Female","15","10","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Science and Engineering","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Statistics","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Statistics","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Home Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Digital, Data and Technology","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Home Office","Economics","Female","35","35","50410","44880"
"In post","2023","Analysis","Home Office","Economics","Male","75","75","48900","43570"
"In post","2023","Analysis","Home Office","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Intelligence Analysis","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Home Office","Operational Delivery","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Home Office","Operational Delivery","Male","35","35","42750","36440"
"In post","2023","Analysis","Home Office","Operational Research","Female","25","20","[c]","[c]"
"In post","2023","Analysis","Home Office","Operational Research","Male","45","45","51670","47500"
"In post","2023","Analysis","Home Office","Other","Female","25","20","[c]","[c]"
"In post","2023","Analysis","Home Office","Other","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Home Office","Policy","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Home Office","Policy","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Home Office","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Social Research","Female","100","100","46730","43810"
"In post","2023","Analysis","Home Office","Social Research","Male","35","35","52410","46720"
"In post","2023","Analysis","Home Office","Statistics","Female","50","50","39720","36360"
"In post","2023","Analysis","Home Office","Statistics","Male","55","55","41180","37320"
