"Status","Year","Disability","Organisation","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","North West (England)","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","North West (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Scotland","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Scotland","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","South East (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","South West (England)","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","West Midlands (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Yorkshire and The Humber","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","East of England","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","East of England","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","North West (England)","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","North West (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Wales","Female","65","55","30430","25610"
"In post","2023","Declared disabled","Companies House","Wales","Male","40","35","33940","28070"
"In post","2023","Declared disabled","Companies House","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Scotland","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Scotland","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
