"Status","Year","Organisation","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Active Travel England","Project Delivery","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SEO","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","Statistics","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Statistics","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","HEO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","HEO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G7","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","HEO","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","HEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","AO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SEO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","AO","Female","30","25","21480","21520"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","AO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","Female","160","145","25880","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","Male","110","105","25670","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","G6","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","G7","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","G7","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","HEO","Female","250","225","33750","32310"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","HEO","Male","150","140","33800","32180"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO","Female","55","50","42640","41330"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO","Male","55","50","43020","41890"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","AO","Female","500","455","22560","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","AO","Male","275","270","22760","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","EO","Female","375","355","26890","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","EO","Male","270","260","27180","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","G6","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","G6","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","G7","Female","40","40","51510","49690"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","G7","Male","30","30","51060","50340"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","HEO","Female","200","190","31310","30320"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","HEO","Male","150","150","31560","30640"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SEO","Female","115","110","38650","37300"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SEO","Male","100","100","39060","37710"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","HEO","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","SEO","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","HEO","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","SEO","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","AO","Female","100","95","24500","25340"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","AO","Male","55","55","24750","25340"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","EO","Female","100","90","28540","29080"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","EO","Male","50","50","28750","29080"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","G6","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","G6","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","G7","Female","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","G7","Male","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","HEO","Female","80","80","33330","33830"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","HEO","Male","45","40","33650","33830"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","SEO","Female","45","45","40140","40260"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","SEO","Male","30","30","40620","40260"
"In post","2023","Animal and Plant Health Agency","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","EO","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","EO","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","G6","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","G6","Male","15","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","G7","Female","45","45","51740","49450"
"In post","2023","Animal and Plant Health Agency","Veterinarian","G7","Male","30","30","54110","54860"
"In post","2023","Animal and Plant Health Agency","Veterinarian","HEO","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","HEO","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","SEO","Female","105","95","39920","37820"
"In post","2023","Animal and Plant Health Agency","Veterinarian","SEO","Male","75","70","41040","38320"
"In post","2023","Attorney General's Office","Communications","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Digital, Data and Technology","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Digital, Data and Technology","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","HEO","Female","[c]","[c]","[c]","[c]"
