"Status","Year","Age","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Defence Equipment and Support","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Science and Engineering","Female","5","5","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Science and Engineering","Male","45","45","19060","18780"
"In post","2023","16-19","Defence Science and Technology Laboratory","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Science and Engineering","Female","5","5","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Science and Engineering","Male","20","20","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","Female","25","25","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","Male","15","15","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","Female","45","40","20670","19000"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","Male","30","25","20400","19000"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Property","Male","15","15","[c]","[c]"
"In post","2023","16-19","FCDO Services","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Unknown","Male","5","5","[c]","[c]"
"In post","2023","16-19","Government Legal Department","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Government Legal Department","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Operational Delivery","Female","15","15","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Operational Delivery","Female","175","170","25440","23640"
"In post","2023","16-19","HM Prison and Probation Service","Operational Delivery","Male","130","125","26800","28880"
"In post","2023","16-19","HM Prison and Probation Service","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Finance","Female","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Female","65","65","22740","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Male","60","60","23110","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Unknown","Male","15","15","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","Female","70","65","23670","22400"
"In post","2023","16-19","Home Office","Operational Delivery","Male","55","55","23840","22400"
"In post","2023","16-19","Home Office","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Property","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Property","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
