"Status","Year","Function_of_post","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Female","Unknown","35","35","29690","29480"
"In post","2023","Analysis","Central Civil Service Fast Stream","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Male","Unknown","30","30","29790","28840"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","Heterosexual / straight","105","95","35090","30820"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","Unknown","120","115","32280","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","Heterosexual / straight","95","95","37730","31690"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","Unknown","135","130","38800","37300"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Companies House","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Female","Heterosexual / straight","35","30","66840","58050"
"In post","2023","Analysis","Competition and Markets Authority","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Male","Heterosexual / straight","75","70","61670","55950"
"In post","2023","Analysis","Competition and Markets Authority","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Female","Heterosexual / straight","180","170","43470","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Female","LGBO","35","35","36330","34260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Female","Unknown","65","60","42560","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Male","Heterosexual / straight","515","500","46120","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Male","Unknown","210","210","44810","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Heterosexual / straight","65","60","44480","36460"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Heterosexual / straight","90","90","42100","36230"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","Heterosexual / straight","40","40","50970","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","Heterosexual / straight","55","55","51140","56300"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Female","Heterosexual / straight","250","235","45950","43690"
"In post","2023","Analysis","Department for Education (excl. agencies)","Female","LGBO","35","30","44250","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Female","Undeclared","25","20","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Female","Unknown","25","20","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Male","Heterosexual / straight","185","180","47290","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Female","Heterosexual / straight","65","60","47180","42460"
"In post","2023","Analysis","Department for International Trade","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Female","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Male","Heterosexual / straight","100","100","50290","55370"
"In post","2023","Analysis","Department for International Trade","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Male","Unknown","35","35","50990","55370"
"In post","2023","Analysis","Department for International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","Heterosexual / straight","80","80","47820","49700"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","Heterosexual / straight","125","125","49610","54330"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Female","Heterosexual / straight","105","100","52290","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Female","Unknown","30","30","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Male","Heterosexual / straight","125","125","49550","55190"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Male","Undeclared","20","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Male","Unknown","45","45","46410","44140"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Female","Heterosexual / straight","245","220","46870","43700"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Female","LGBO","20","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Female","Unknown","25","20","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Male","Heterosexual / straight","215","210","45500","39150"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Male","Undeclared","30","30","43260","40330"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Male","Unknown","45","45","47170","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Female","Heterosexual / straight","60","60","50780","51690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Male","Heterosexual / straight","60","60","49620","52510"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Female","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Female","Heterosexual / straight","55","50","73130","72940"
"In post","2023","Analysis","Government Actuary's Department","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Male","Heterosexual / straight","90","85","73920","67430"
"In post","2023","Analysis","Government Actuary's Department","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Male","Unknown","[c]","[c]","[c]","[c]"
