"Status","Year","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Office","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Building Digital UK","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","EO","EO","25","25","27120","27230"
"In post","2023","Building Digital UK","G6/G7","G6","25","25","64870","64480"
"In post","2023","Building Digital UK","G6/G7","G7","90","90","53920","53030"
"In post","2023","Building Digital UK","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Building Digital UK","SEO/HEO","HEO","80","80","35260","35330"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","AO","420","390","22590","21720"
"In post","2023","Cabinet Office (excl. agencies)","EO","EO","755","725","27090","27430"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","G6","615","605","67160","66530"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","G7","1650","1605","56150","56430"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","SCS level","455","445","95560","84660"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","HEO","1125","1095","34730","35240"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","SEO","890","875","41090","41870"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","HEO","1660","1660","30710","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","20","20","21750","22150"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","150","140","25990","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","25","25","64010","60300"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","110","105","50100","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","190","180","30550","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","160","150","37850","37310"
"In post","2023","Charity Commission","AA/AO","AO","20","20","21520","21100"
"In post","2023","Charity Commission","EO","EO","120","115","25720","25300"
"In post","2023","Charity Commission","G6/G7","G6","25","25","64840","63870"
"In post","2023","Charity Commission","G6/G7","G7","55","55","53170","52240"
"In post","2023","Charity Commission","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","HEO","170","160","30490","30170"
"In post","2023","Charity Commission","SEO/HEO","SEO","105","100","39420","38800"
"In post","2023","Companies House","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","AA/AO","AO","430","385","22640","23240"
"In post","2023","Companies House","EO","EO","295","280","28070","26060"
"In post","2023","Companies House","G6/G7","G6","35","35","66780","64470"
"In post","2023","Companies House","G6/G7","G7","70","65","54070","50930"
"In post","2023","Companies House","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Companies House","SEO/HEO","HEO","205","195","36020","36930"
"In post","2023","Companies House","SEO/HEO","SEO","165","160","44020","42990"
"In post","2023","Competition and Markets Authority","AA/AO","AO","25","25","23310","23200"
"In post","2023","Competition and Markets Authority","EO","EO","60","60","28730","28760"
"In post","2023","Competition and Markets Authority","G6/G7","G6","225","220","77260","76720"
"In post","2023","Competition and Markets Authority","G6/G7","G7","245","235","58310","57540"
"In post","2023","Competition and Markets Authority","SCS level","SCS level","125","120","109770","102320"
"In post","2023","Competition and Markets Authority","SEO/HEO","HEO","160","155","35460","34620"
"In post","2023","Competition and Markets Authority","SEO/HEO","SEO","65","65","44850","44000"
"In post","2023","Criminal Injuries Compensation Authority","AA/AO","AA","10","10","19930","19930"
"In post","2023","Criminal Injuries Compensation Authority","AA/AO","AO","125","115","21780","21780"
"In post","2023","Criminal Injuries Compensation Authority","EO","EO","90","85","25990","25830"
"In post","2023","Criminal Injuries Compensation Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","G6/G7","G7","10","10","57400","59590"
"In post","2023","Criminal Injuries Compensation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","SEO/HEO","HEO","80","80","31640","31270"
"In post","2023","Criminal Injuries Compensation Authority","SEO/HEO","SEO","15","15","38420","37680"
"In post","2023","Crown Commercial Service","AA/AO","AO","20","20","21580","21040"
"In post","2023","Crown Commercial Service","EO","EO","95","90","26550","26410"
"In post","2023","Crown Commercial Service","G6/G7","G6","55","55","65450","65880"
"In post","2023","Crown Commercial Service","G6/G7","G7","135","135","53090","52990"
"In post","2023","Crown Commercial Service","SCS level","SCS level","20","20","88540","76170"
"In post","2023","Crown Commercial Service","SEO/HEO","HEO","185","180","32300","32110"
"In post","2023","Crown Commercial Service","SEO/HEO","SEO","250","245","40000","40570"
"In post","2023","Crown Office and Procurator Fiscal Service","AA/AO","AO","775","710","24000","24490"
"In post","2023","Crown Office and Procurator Fiscal Service","EO","EO","405","395","30260","29450"
"In post","2023","Crown Office and Procurator Fiscal Service","G6/G7","G6","215","205","74110","74000"
"In post","2023","Crown Office and Procurator Fiscal Service","G6/G7","G7","525","495","56790","52360"
"In post","2023","Crown Office and Procurator Fiscal Service","SCS level","SCS level","25","25","89240","85200"
"In post","2023","Crown Office and Procurator Fiscal Service","SEO/HEO","HEO","425","405","36200","36330"
"In post","2023","Crown Office and Procurator Fiscal Service","SEO/HEO","SEO","75","75","45790","43440"
"In post","2023","Crown Prosecution Service","AA/AO","AA","10","10","20520","21050"
"In post","2023","Crown Prosecution Service","AA/AO","AO","1580","1460","23180","22870"
"In post","2023","Crown Prosecution Service","EO","EO","1560","1460","28420","28200"
"In post","2023","Crown Prosecution Service","G6/G7","G6","245","245","75410","73160"
"In post","2023","Crown Prosecution Service","G6/G7","G7","2885","2670","57090","56450"
"In post","2023","Crown Prosecution Service","SCS level","SCS level","90","90","95890","88340"
"In post","2023","Crown Prosecution Service","SEO/HEO","HEO","620","595","33330","32980"
"In post","2023","Crown Prosecution Service","SEO/HEO","SEO","525","515","40230","39710"
"In post","2023","Defence Electronics and Components Agency","AA/AO","AA","35","35","17940","18640"
"In post","2023","Defence Electronics and Components Agency","AA/AO","AO","65","60","22690","22210"
"In post","2023","Defence Electronics and Components Agency","EO","EO","235","225","28980","28710"
"In post","2023","Defence Electronics and Components Agency","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","SEO/HEO","HEO","80","80","34920","34680"
"In post","2023","Defence Electronics and Components Agency","SEO/HEO","SEO","20","20","44570","43690"
"In post","2023","Defence Equipment and Support","AA/AO","AO","1670","1600","22590","21680"
"In post","2023","Defence Equipment and Support","EO","EO","745","715","27400","26940"
"In post","2023","Defence Equipment and Support","G6/G7","G6","480","465","70220","70710"
"In post","2023","Defence Equipment and Support","G6/G7","G7","1470","1425","54570","54510"
"In post","2023","Defence Equipment and Support","SCS level","SCS level","115","110","102800","95370"
"In post","2023","Defence Equipment and Support","SEO/HEO","HEO","2865","2750","33130","32500"
"In post","2023","Defence Equipment and Support","SEO/HEO","SEO","3375","3260","42380","42620"
"In post","2023","Defence Science and Technology Laboratory","AA/AO","AA","40","40","19320","19280"
"In post","2023","Defence Science and Technology Laboratory","AA/AO","AO","110","105","21260","19430"
"In post","2023","Defence Science and Technology Laboratory","EO","EO","280","265","24740","24630"
"In post","2023","Defence Science and Technology Laboratory","G6/G7","G6","200","190","71370","70550"
"In post","2023","Defence Science and Technology Laboratory","G6/G7","G7","2030","1940","52220","49260"
"In post","2023","Defence Science and Technology Laboratory","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","SEO/HEO","HEO","1130","1100","30070","30650"
"In post","2023","Defence Science and Technology Laboratory","SEO/HEO","SEO","1170","1130","39620","39890"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","AO","65","65","24980","25900"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","EO","380","370","28360","28720"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G6","770","745","68460","66790"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G7","2155","2105","56160","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","SCS level","345","330","85540","77700"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","1110","1095","35000","34670"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","1465","1445","42340","41360"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","EO","145","145","27990","27780"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G6","210","200","65470","64420"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G7","615","605","54790","53030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","SCS level","110","105","87220","78390"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","HEO","625","615","37020","35620"
"In post","2023","Department for Education (excl. agencies)","AA/AO","AO","75","70","23010","22020"
"In post","2023","Department for Education (excl. agencies)","EO","EO","675","650","27550","26940"
"In post","2023","Department for Education (excl. agencies)","G6/G7","G6","880","840","66340","65780"
"In post","2023","Department for Education (excl. agencies)","G6/G7","G7","1970","1900","53740","52150"
"In post","2023","Department for Education (excl. agencies)","SCS level","SCS level","260","245","84530","76510"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","HEO","1345","1295","32250","31080"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","SEO","1950","1885","40020","38070"
"In post","2023","Department for Education (excl. agencies)","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","115","105","23370","22150"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","540","515","27210","26070"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","620","600","62620","63150"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","1775","1720","52010","50500"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","210","205","83780","78170"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","1335","1300","32060","30990"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","1725","1660","38930","37820"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","AO","25","25","27960","28660"
"In post","2023","Department for International Trade","EO","EO","300","295","29030","29280"
"In post","2023","Department for International Trade","G6/G7","G6","350","345","67810","65980"
"In post","2023","Department for International Trade","G6/G7","G7","1010","995","56260","55390"
"In post","2023","Department for International Trade","SCS level","SCS level","190","185","88250","78430"
"In post","2023","Department for International Trade","SEO/HEO","HEO","700","695","35010","35010"
"In post","2023","Department for International Trade","SEO/HEO","SEO","960","950","42070","41550"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AO","50","45","26210","27870"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","EO","255","245","29040","28850"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G6","415","400","65740","64970"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G7","1020","995","54400","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","SCS level","175","170","87410","79290"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","HEO","675","655","33620","33880"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","SEO","665","655","40530","40710"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","AO","155","135","30410","34390"
"In post","2023","Department for Transport (excl. agencies)","EO","EO","335","325","30350","30920"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","G6","485","470","69890","68020"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","G7","1105","1085","57760","55740"
"In post","2023","Department for Transport (excl. agencies)","SCS level","SCS level","245","235","89120","80830"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","HEO","725","710","35630","35760"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","SEO","740","730","43760","43750"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","AA","250","205","21310","21250"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","AO","25310","21720","22020","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","EO","EO","42845","38310","28810","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","G6","1030","990","70550","68600"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","G7","2800","2690","53730","52170"
"In post","2023","Department for Work and Pensions (excl. agencies)","SCS level","SCS level","280","275","90980","82120"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","HEO","8575","8065","35170","34170"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","SEO","3855","3680","40230","38470"
"In post","2023","Department of Health and Social Care (excl. agencies)","AA/AO","AO","45","40","23550","24750"
"In post","2023","Department of Health and Social Care (excl. agencies)","EO","EO","365","355","28010","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","G6/G7","G6","495","475","68360","67890"
"In post","2023","Department of Health and Social Care (excl. agencies)","G6/G7","G7","1115","1070","54340","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","SCS level","SCS level","260","250","90710","82210"
"In post","2023","Department of Health and Social Care (excl. agencies)","SEO/HEO","HEO","615","600","33440","34190"
"In post","2023","Department of Health and Social Care (excl. agencies)","SEO/HEO","SEO","775","745","41090","41950"
"In post","2023","Disclosure Scotland","AA/AO","AA","190","180","23980","23340"
"In post","2023","Disclosure Scotland","AA/AO","AO","25","25","27530","27740"
"In post","2023","Disclosure Scotland","EO","EO","60","55","31820","31940"
"In post","2023","Disclosure Scotland","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Disclosure Scotland","G6/G7","G7","15","15","59940","58850"
"In post","2023","Disclosure Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","SEO/HEO","HEO","35","35","37070","38330"
"In post","2023","Disclosure Scotland","SEO/HEO","SEO","30","30","47240","47860"
"In post","2023","Driver and Vehicle Licensing Agency","AA/AO","AA","1145","915","19310","19000"
"In post","2023","Driver and Vehicle Licensing Agency","AA/AO","AO","2835","2480","22590","22500"
"In post","2023","Driver and Vehicle Licensing Agency","EO","EO","905","855","27290","27190"
"In post","2023","Driver and Vehicle Licensing Agency","G6/G7","G6","95","90","79750","84590"
"In post","2023","Driver and Vehicle Licensing Agency","G6/G7","G7","205","195","58430","55440"
"In post","2023","Driver and Vehicle Licensing Agency","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","SEO/HEO","HEO","565","540","33350","31940"
"In post","2023","Driver and Vehicle Licensing Agency","SEO/HEO","SEO","470","460","43550","42050"
"In post","2023","Driver and Vehicle Standards Agency","AA/AO","AA","10","10","19320","19000"
"In post","2023","Driver and Vehicle Standards Agency","AA/AO","AO","1130","1055","25390","24900"
"In post","2023","Driver and Vehicle Standards Agency","EO","EO","2620","2430","28740","27450"
"In post","2023","Driver and Vehicle Standards Agency","G6/G7","G6","20","20","65720","64750"
"In post","2023","Driver and Vehicle Standards Agency","G6/G7","G7","110","110","53970","51780"
"In post","2023","Driver and Vehicle Standards Agency","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","SEO/HEO","HEO","705","690","33510","32930"
"In post","2023","Driver and Vehicle Standards Agency","SEO/HEO","SEO","295","290","41900","41130"
"In post","2023","Education Scotland","AA/AO","AA","35","30","23890","24890"
"In post","2023","Education Scotland","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Education Scotland","EO","EO","25","20","30710","29450"
"In post","2023","Education Scotland","G6/G7","G6","160","155","78190","81110"
"In post","2023","Education Scotland","G6/G7","G7","70","65","59640","58850"
"In post","2023","Education Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Education Scotland","SEO/HEO","HEO","25","20","36640","36330"
"In post","2023","Education Scotland","SEO/HEO","SEO","40","40","48130","49860"
"In post","2023","Education and Skills Funding Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","EO","EO","55","55","27480","26940"
"In post","2023","Education and Skills Funding Agency","G6/G7","G6","55","55","65160","63510"
"In post","2023","Education and Skills Funding Agency","G6/G7","G7","170","165","52670","51910"
"In post","2023","Education and Skills Funding Agency","SCS level","SCS level","20","20","85490","78380"
"In post","2023","Education and Skills Funding Agency","SEO/HEO","HEO","205","195","31860","31080"
"In post","2023","Education and Skills Funding Agency","SEO/HEO","SEO","265","255","39620","38070"
"In post","2023","Estyn","AA/AO","AO","15","10","24680","25620"
"In post","2023","Estyn","EO","EO","25","20","29990","30610"
"In post","2023","Estyn","G6/G7","G6","70","65","78150","78500"
"In post","2023","Estyn","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Estyn","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","FCDO Services","AA/AO","AO","135","130","27920","26100"
"In post","2023","FCDO Services","EO","EO","215","210","30100","29400"
"In post","2023","FCDO Services","G6/G7","G6","40","40","76110","74310"
"In post","2023","FCDO Services","G6/G7","G7","185","165","61300","60140"
"In post","2023","FCDO Services","SCS level","SCS level","10","10","112250","107050"
"In post","2023","FCDO Services","SEO/HEO","HEO","225","220","37510","37170"
"In post","2023","FCDO Services","SEO/HEO","SEO","240","235","46440","45500"
"In post","2023","FCDO Services","Unknown","Unknown","65","65","24490","23800"
"In post","2023","Food Standards Agency","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Food Standards Agency","EO","EO","435","410","28330","28090"
"In post","2023","Food Standards Agency","G6/G7","G6","70","65","64750","62430"
"In post","2023","Food Standards Agency","G6/G7","G7","235","230","54490","53110"
"In post","2023","Food Standards Agency","SCS level","SCS level","30","25","89040","84460"
"In post","2023","Food Standards Agency","SEO/HEO","HEO","370","365","32310","31730"
"In post","2023","Food Standards Agency","SEO/HEO","SEO","435","425","39880","38670"
"In post","2023","Food Standards Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Scotland","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Food Standards Scotland","EO","EO","95","90","30710","31190"
"In post","2023","Food Standards Scotland","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Food Standards Scotland","G6/G7","G7","20","20","57770","58850"
"In post","2023","Food Standards Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Scotland","SEO/HEO","HEO","100","95","35720","34730"
"In post","2023","Food Standards Scotland","SEO/HEO","SEO","55","50","46010","44890"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","AO","350","340","26700","25700"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","EO","EO","640","625","30940","31260"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","G6","1100","1075","68520","67650"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","G7","2140","2095","56700","56100"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","SCS level","575","570","87030","79230"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","HEO","1970","1945","36840","36620"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","SEO","820","810","44060","44450"
"In post","2023","Forestry and Land Scotland","AA/AO","AA","25","25","22150","22460"
"In post","2023","Forestry and Land Scotland","AA/AO","AO","485","470","28220","28140"
"In post","2023","Forestry and Land Scotland","EO","EO","290","280","33480","33260"
"In post","2023","Forestry and Land Scotland","G6/G7","G6","10","10","74130","75960"
"In post","2023","Forestry and Land Scotland","G6/G7","G7","25","25","59850","60270"
"In post","2023","Forestry and Land Scotland","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Forestry and Land Scotland","SEO/HEO","HEO","165","160","40260","40510"
"In post","2023","Forestry and Land Scotland","SEO/HEO","SEO","95","90","47900","49370"
"In post","2023","Government Actuary's Department","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Government Actuary's Department","EO","EO","25","25","30590","30090"
"In post","2023","Government Actuary's Department","G6/G7","G6","105","95","92440","84840"
"In post","2023","Government Actuary's Department","G6/G7","G7","15","15","59400","58970"
"In post","2023","Government Actuary's Department","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Government Actuary's Department","SEO/HEO","HEO","30","30","37120","36780"
"In post","2023","Government Actuary's Department","SEO/HEO","SEO","25","25","49330","48870"
"In post","2023","Government Commercial Organisation","G6/G7","G6","380","380","77440","75000"
"In post","2023","Government Commercial Organisation","G6/G7","G7","810","800","63300","65500"
"In post","2023","Government Commercial Organisation","SCS level","SCS level","220","215","122320","119760"
"In post","2023","Government Commercial Organisation","SEO/HEO","SEO","75","75","40060","40080"
"In post","2023","Government Internal Audit Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Government Internal Audit Agency","EO","EO","20","20","29560","29500"
"In post","2023","Government Internal Audit Agency","G6/G7","G6","70","65","64700","64280"
"In post","2023","Government Internal Audit Agency","G6/G7","G7","125","120","54040","53070"
"In post","2023","Government Internal Audit Agency","SCS level","SCS level","25","25","91950","87240"
"In post","2023","Government Internal Audit Agency","SEO/HEO","HEO","90","85","34690","34610"
"In post","2023","Government Internal Audit Agency","SEO/HEO","SEO","155","140","44350","43160"
"In post","2023","Government Legal Department","AA/AO","AO","40","40","24860","24770"
"In post","2023","Government Legal Department","EO","EO","355","340","29230","28170"
"In post","2023","Government Legal Department","G6/G7","G6","875","795","68940","67600"
"In post","2023","Government Legal Department","G6/G7","G7","900","840","53520","52020"
"In post","2023","Government Legal Department","SCS level","SCS level","215","200","85210","80260"
"In post","2023","Government Legal Department","SEO/HEO","HEO","225","225","37910","34720"
"In post","2023","Government Legal Department","SEO/HEO","SEO","65","60","40050","38860"
"In post","2023","Government Property Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Government Property Agency","EO","EO","25","25","26020","24820"
"In post","2023","Government Property Agency","G6/G7","G6","70","70","63490","63580"
"In post","2023","Government Property Agency","G6/G7","G7","130","125","52820","53220"
"In post","2023","Government Property Agency","SCS level","SCS level","25","25","94970","93000"
"In post","2023","Government Property Agency","SEO/HEO","HEO","55","55","33730","32960"
"In post","2023","Government Property Agency","SEO/HEO","SEO","85","80","39620","38590"
"In post","2023","HM Courts and Tribunals Service","AA/AO","AA","1670","1430","20610","19930"
"In post","2023","HM Courts and Tribunals Service","AA/AO","AO","7765","6810","22560","21780"
"In post","2023","HM Courts and Tribunals Service","EO","EO","2775","2620","27050","25830"
"In post","2023","HM Courts and Tribunals Service","G6/G7","G6","210","205","66210","63800"
"In post","2023","HM Courts and Tribunals Service","G6/G7","G7","525","510","55340","54730"
"In post","2023","HM Courts and Tribunals Service","SCS level","SCS level","75","75","86670","79880"
"In post","2023","HM Courts and Tribunals Service","SEO/HEO","HEO","1350","1315","32870","31270"
"In post","2023","HM Courts and Tribunals Service","SEO/HEO","SEO","1455","1340","41880","42530"
"In post","2023","HM Courts and Tribunals Service","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","G6/G7","G7","15","15","58080","58480"
