"Status","Year","Parent_department","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Cabinet Office","Outside London","Male","Heterosexual / straight","1340","1320","48880","40620"
"In post","2023","Cabinet Office","Outside London","Male","LGBO","120","120","42030","34530"
"In post","2023","Cabinet Office","Outside London","Male","Undeclared","125","125","45220","38460"
"In post","2023","Cabinet Office","Outside London","Male","Unknown","475","470","44460","33020"
"In post","2023","Cabinet Office","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","Female","Heterosexual / straight","45","45","44540","38050"
"In post","2023","Cabinet Office","Unknown","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","Female","Unknown","25","25","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","Male","Heterosexual / straight","30","30","43840","38460"
"In post","2023","Cabinet Office","Unknown","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","Male","Unknown","45","45","34220","24610"
"In post","2023","Cabinet Office","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","London","Female","Heterosexual / straight","120","110","58540","50040"
"In post","2023","Chancellor's other departments","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","London","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Chancellor's other departments","London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","London","Male","Heterosexual / straight","135","135","67950","58970"
"In post","2023","Chancellor's other departments","London","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","London","Male","Undeclared","40","40","64110","54770"
"In post","2023","Chancellor's other departments","London","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Male","Heterosexual / straight","35","35","46640","44880"
"In post","2023","Chancellor's other departments","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","Female","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Charity Commission","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","Female","Unknown","15","15","[c]","[c]"
"In post","2023","Charity Commission","London","Male","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Charity Commission","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Charity Commission","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Female","Heterosexual / straight","135","125","34210","30170"
"In post","2023","Charity Commission","Outside London","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Female","Undeclared","15","10","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Female","Unknown","95","90","33150","30170"
"In post","2023","Charity Commission","Outside London","Male","Heterosexual / straight","95","95","35740","30170"
"In post","2023","Charity Commission","Outside London","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Male","Unknown","55","55","32500","30170"
"In post","2023","Charity Commission","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","London","Female","Heterosexual / straight","325","310","61210","57540"
"In post","2023","Competition and Markets Authority","London","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Competition and Markets Authority","London","Female","Undeclared","40","35","63260","55970"
"In post","2023","Competition and Markets Authority","London","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","London","Male","Heterosexual / straight","310","305","64410","60010"
"In post","2023","Competition and Markets Authority","London","Male","LGBO","45","45","67150","60030"
"In post","2023","Competition and Markets Authority","London","Male","Undeclared","35","35","68770","62420"
"In post","2023","Competition and Markets Authority","London","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","Female","Heterosexual / straight","50","50","57010","55540"
"In post","2023","Competition and Markets Authority","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","Male","Heterosexual / straight","50","50","58400","55950"
"In post","2023","Competition and Markets Authority","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Female","Heterosexual / straight","2040","1955","50800","54710"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Female","LGBO","215","215","48000","45270"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Female","Undeclared","250","245","49840","54710"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Female","Unknown","375","365","46550","41750"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Male","Heterosexual / straight","1995","1975","52880","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Male","LGBO","225","225","52410","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Male","Undeclared","280","275","52770","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Male","Unknown","355","350","48800","45040"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Female","Heterosexual / straight","3075","2840","36640","32810"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Female","LGBO","210","205","34110","31750"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Female","Undeclared","335","310","37460","35240"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Female","Unknown","725","660","31900","26940"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Male","Heterosexual / straight","2860","2785","40550","39570"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Male","LGBO","220","215","36610","36240"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Male","Undeclared","465","450","40870","39650"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Male","Unknown","760","735","37390","32740"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Female","Heterosexual / straight","675","650","50530","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Female","LGBO","80","80","46240","42690"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Female","Undeclared","70","70","45160","39620"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Female","Unknown","95","90","48070","48070"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Male","Heterosexual / straight","500","495","52160","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Male","LGBO","100","100","50330","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Male","Undeclared","55","55","48280","52760"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Male","Unknown","70","70","46340","41360"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Female","Heterosexual / straight","95","90","41680","36560"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Male","Heterosexual / straight","105","105","44020","37560"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","London","Female","Heterosexual / straight","1100","1040","51770","55020"
"In post","2023","Department for Education","London","Female","LGBO","95","90","50440","50960"
"In post","2023","Department for Education","London","Female","Undeclared","125","120","49890","46600"
"In post","2023","Department for Education","London","Female","Unknown","200","190","51890","55020"
"In post","2023","Department for Education","London","Male","Heterosexual / straight","600","595","53660","55020"
"In post","2023","Department for Education","London","Male","LGBO","85","80","54050","55020"
"In post","2023","Department for Education","London","Male","Undeclared","75","70","52120","55020"
"In post","2023","Department for Education","London","Male","Unknown","125","125","52240","55020"
"In post","2023","Department for Education","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Outside London","Female","Heterosexual / straight","2835","2680","41810","37710"
"In post","2023","Department for Education","Outside London","Female","LGBO","200","195","40690","37590"
"In post","2023","Department for Education","Outside London","Female","Undeclared","235","225","42370","37710"
"In post","2023","Department for Education","Outside London","Female","Unknown","315","300","41120","37590"
"In post","2023","Department for Education","Outside London","Male","Heterosexual / straight","1870","1850","44820","39090"
"In post","2023","Department for Education","Outside London","Male","LGBO","155","150","40230","37590"
"In post","2023","Department for Education","Outside London","Male","Undeclared","210","205","44430","41510"
"In post","2023","Department for Education","Outside London","Male","Unknown","260","255","43590","39460"
"In post","2023","Department for Education","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Female","Heterosexual / straight","1025","980","45970","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Female","LGBO","90","90","45790","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Female","Undeclared","105","100","45110","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Female","Unknown","200","190","45720","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Male","Heterosexual / straight","810","800","47030","41090"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Male","LGBO","125","125","47850","41640"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Male","Undeclared","90","90","43590","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Male","Unknown","200","200","44810","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Female","Heterosexual / straight","4370","4050","33840","30320"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Female","LGBO","320","310","33040","30320"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Female","Undeclared","485","445","33310","30320"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Female","Unknown","790","710","31790","29080"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Male","Heterosexual / straight","2930","2870","36270","31500"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Male","LGBO","280","275","32220","29080"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Male","Undeclared","450","435","35350","30840"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Male","Unknown","795","775","34270","30320"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","London","Female","Heterosexual / straight","830","815","48850","43430"
"In post","2023","Department for International Trade","London","Female","LGBO","75","75","46320","41550"
"In post","2023","Department for International Trade","London","Female","Undeclared","70","70","48080","42210"
"In post","2023","Department for International Trade","London","Female","Unknown","365","360","47500","41750"
"In post","2023","Department for International Trade","London","Male","Heterosexual / straight","810","805","50690","45350"
"In post","2023","Department for International Trade","London","Male","LGBO","140","140","47370","41650"
"In post","2023","Department for International Trade","London","Male","Undeclared","65","65","53400","55430"
"In post","2023","Department for International Trade","London","Male","Unknown","335","330","49640","42620"
"In post","2023","Department for International Trade","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Outside London","Female","Heterosexual / straight","235","220","42100","39610"
"In post","2023","Department for International Trade","Outside London","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Department for International Trade","Outside London","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for International Trade","Outside London","Female","Unknown","70","70","44290","43540"
"In post","2023","Department for International Trade","Outside London","Male","Heterosexual / straight","215","215","44850","42340"
"In post","2023","Department for International Trade","Outside London","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Department for International Trade","Outside London","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","Department for International Trade","Outside London","Male","Unknown","80","80","42940","41910"
"In post","2023","Department for International Trade","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Overseas","Female","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Department for International Trade","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Overseas","Female","Unknown","20","20","[c]","[c]"
"In post","2023","Department for International Trade","Overseas","Male","Heterosexual / straight","70","70","57720","55370"
"In post","2023","Department for International Trade","Overseas","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Department for International Trade","Overseas","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for International Trade","Overseas","Male","Unknown","35","35","53480","55220"
"In post","2023","Department for International Trade","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Female","Heterosexual / straight","830","800","51720","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Female","LGBO","95","95","46840","40800"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Female","Undeclared","70","65","49050","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Female","Unknown","115","115","49960","47220"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Male","Heterosexual / straight","745","735","51810","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Male","LGBO","115","110","51420","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Male","Undeclared","90","90","49350","43340"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Male","Unknown","125","125","49020","41610"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Female","Heterosexual / straight","800","740","42710","37990"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Female","LGBO","65","60","39490","33450"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Female","Undeclared","85","80","43550","40930"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Female","Unknown","95","85","36500","31290"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Male","Heterosexual / straight","705","685","46940","48660"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Male","LGBO","65","60","46470","43740"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Male","Undeclared","75","70","46300","48660"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Male","Unknown","110","100","39530","33900"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","London","Female","Heterosexual / straight","970","935","51840","51350"
"In post","2023","Department for Transport","London","Female","LGBO","85","85","47870","44070"
"In post","2023","Department for Transport","London","Female","Undeclared","80","75","45770","43320"
"In post","2023","Department for Transport","London","Female","Unknown","285","275","47100","43750"
"In post","2023","Department for Transport","London","Male","Heterosexual / straight","1200","1180","51410","48830"
"In post","2023","Department for Transport","London","Male","LGBO","150","150","52190","51420"
"In post","2023","Department for Transport","London","Male","Undeclared","215","205","49310","45590"
"In post","2023","Department for Transport","London","Male","Unknown","405","395","45180","43320"
"In post","2023","Department for Transport","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Outside London","Female","Heterosexual / straight","3870","3410","28840","26780"
"In post","2023","Department for Transport","Outside London","Female","LGBO","250","240","28390","26780"
"In post","2023","Department for Transport","Outside London","Female","Undeclared","1080","855","26230","22500"
"In post","2023","Department for Transport","Outside London","Female","Unknown","855","770","26820","22500"
"In post","2023","Department for Transport","Outside London","Male","Heterosexual / straight","4420","4275","33100","27880"
"In post","2023","Department for Transport","Outside London","Male","LGBO","235","230","31900","27450"
"In post","2023","Department for Transport","Outside London","Male","Undeclared","1105","1035","31720","27450"
"In post","2023","Department for Transport","Outside London","Male","Unknown","1165","1130","30110","27260"
"In post","2023","Department for Transport","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Overseas","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Transport","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
