"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Geography","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Geography","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA/AO","Female","105","90","22670","22220"
"In post","2023","Declared disabled","Human Resources","AA/AO","Male","55","50","22880","22220"
"In post","2023","Declared disabled","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","EO","Female","190","170","28020","27470"
"In post","2023","Declared disabled","Human Resources","EO","Male","145","140","29750","29390"
"In post","2023","Declared disabled","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G6/G7","Female","260","250","58550","56740"
"In post","2023","Declared disabled","Human Resources","G6/G7","Male","110","105","58860","57950"
"In post","2023","Declared disabled","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Female","35","35","88530","82400"
"In post","2023","Declared disabled","Human Resources","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","Female","575","550","37660","37540"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","Male","250","245","38310","37980"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","G6/G7","Female","30","30","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SEO/HEO","Female","35","30","50050","52750"
"In post","2023","Declared disabled","Inspector of Education and Training","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","EO","Female","90","80","28990","28480"
"In post","2023","Declared disabled","Intelligence Analysis","EO","Male","65","60","28870","27850"
"In post","2023","Declared disabled","Intelligence Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SEO/HEO","Female","45","45","36760","35590"
"In post","2023","Declared disabled","Intelligence Analysis","SEO/HEO","Male","65","60","38980","38300"
"In post","2023","Declared disabled","Intelligence Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","Female","35","30","39290","37640"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","Male","30","30","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","EO","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","International Trade","EO","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","G6/G7","Female","30","30","[c]","[c]"
"In post","2023","Declared disabled","International Trade","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","International Trade","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","International Trade","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","SEO/HEO","Female","45","40","38050","38560"
"In post","2023","Declared disabled","International Trade","SEO/HEO","Male","35","35","38220","37160"
"In post","2023","Declared disabled","International Trade","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","AA/AO","Female","40","35","23050","22220"
"In post","2023","Declared disabled","Knowledge and Information Management","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","EO","Female","70","65","28660","28120"
"In post","2023","Declared disabled","Knowledge and Information Management","EO","Male","30","30","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","SEO/HEO","Female","70","65","37360","36930"
"In post","2023","Declared disabled","Knowledge and Information Management","SEO/HEO","Male","50","50","36520","34480"
"In post","2023","Declared disabled","Knowledge and Information Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Legal","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Legal","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","EO","Female","70","65","28940","28130"
"In post","2023","Declared disabled","Legal","EO","Male","45","40","29180","28130"
"In post","2023","Declared disabled","Legal","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","G6/G7","Female","390","350","59950","57970"
"In post","2023","Declared disabled","Legal","G6/G7","Male","230","220","61400","58850"
"In post","2023","Declared disabled","Legal","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","SCS level","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Legal","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Legal","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","SEO/HEO","Female","200","185","39950","39790"
"In post","2023","Declared disabled","Legal","SEO/HEO","Male","85","85","39740","39460"
"In post","2023","Declared disabled","Legal","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Medicine","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","EO","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Medicine","EO","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Medicine","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","G6/G7","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Medicine","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Medicine","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Medicine","SCS level","Male","10","5","[c]","[c]"
"In post","2023","Declared disabled","Medicine","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","SEO/HEO","Female","35","30","41390","40590"
"In post","2023","Declared disabled","Medicine","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Medicine","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","AA/AO","Female","8465","7075","23010","22150"
"In post","2023","Declared disabled","Operational Delivery","AA/AO","Male","5345","4955","24320","22500"
"In post","2023","Declared disabled","Operational Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","EO","Female","8220","7160","28680","28120"
"In post","2023","Declared disabled","Operational Delivery","EO","Male","4295","4025","29310","28120"
"In post","2023","Declared disabled","Operational Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","G6/G7","Female","475","460","58570","56870"
"In post","2023","Declared disabled","Operational Delivery","G6/G7","Male","340","330","60940","57970"
"In post","2023","Declared disabled","Operational Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","SCS level","Female","45","45","95240","84730"
"In post","2023","Declared disabled","Operational Delivery","SCS level","Male","35","35","97130","89600"
"In post","2023","Declared disabled","Operational Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","SEO/HEO","Female","2895","2720","37250","35040"
"In post","2023","Declared disabled","Operational Delivery","SEO/HEO","Male","1955","1870","38640","37300"
"In post","2023","Declared disabled","Operational Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","Unknown","Female","3150","2915","30970","29050"
"In post","2023","Declared disabled","Operational Delivery","Unknown","Male","925","880","31730","29050"
"In post","2023","Declared disabled","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","G6/G7","Male","30","30","54260","49260"
"In post","2023","Declared disabled","Operational Research","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","SEO/HEO","Female","40","35","37610","38470"
"In post","2023","Declared disabled","Operational Research","SEO/HEO","Male","45","40","38480","39890"
"In post","2023","Declared disabled","Operational Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other","AA/AO","Female","435","370","22160","21690"
"In post","2023","Declared disabled","Other","AA/AO","Male","350","330","21770","21690"
"In post","2023","Declared disabled","Other","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other","EO","Female","310","280","28520","28120"
"In post","2023","Declared disabled","Other","EO","Male","180","170","28550","28120"
"In post","2023","Declared disabled","Other","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other","G6/G7","Female","75","70","58760","56920"
"In post","2023","Declared disabled","Other","G6/G7","Male","70","65","59410","57770"
"In post","2023","Declared disabled","Other","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other","SCS level","Male","10","10","[c]","[c]"
