"Status","Year","Disability","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","White","Male","116485","112955","38820","34170"
"In post","2023","Declared non-disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Asian","Female","850","775","37120","32200"
"In post","2023","Undeclared","Asian","Male","705","680","37230","32520"
"In post","2023","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Black","Female","500","465","35280","32520"
"In post","2023","Undeclared","Black","Male","315","305","38650","34140"
"In post","2023","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Mixed","Female","245","230","38520","32520"
"In post","2023","Undeclared","Mixed","Male","220","215","37620","33700"
"In post","2023","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Other ethnicity","Female","90","85","42060","35320"
"In post","2023","Undeclared","Other ethnicity","Male","140","135","42570","35420"
"In post","2023","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Undeclared","Female","2515","2290","36860","33160"
"In post","2023","Undeclared","Undeclared","Male","4585","4425","39510","35000"
"In post","2023","Undeclared","Unknown","Female","650","590","37160","33020"
"In post","2023","Undeclared","Unknown","Male","725","690","39660","35710"
"In post","2023","Undeclared","White","Female","8305","7525","34530","29860"
"In post","2023","Undeclared","White","Male","8085","7660","36920","32920"
"In post","2023","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Female","1945","1860","37330","33500"
"In post","2023","Unknown","Asian","Male","1620","1585","37210","33570"
"In post","2023","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Female","880","855","36840","33800"
"In post","2023","Unknown","Black","Male","525","520","36810","34190"
"In post","2023","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Female","590","565","37460","32970"
"In post","2023","Unknown","Mixed","Male","445","435","40580","35000"
"In post","2023","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Female","180","175","41080","37280"
"In post","2023","Unknown","Other ethnicity","Male","140","140","45460","42000"
"In post","2023","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Female","705","655","39410","35190"
"In post","2023","Unknown","Undeclared","Male","1320","1265","43120","38910"
"In post","2023","Unknown","Unknown","Female","33560","31460","33050","28170"
"In post","2023","Unknown","Unknown","Male","33545","32760","34950","30410"
"In post","2023","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Female","16030","14935","37350","33440"
"In post","2023","Unknown","White","Male","15380","14990","39200","35640"
"In post","2023","Unknown","White","Unknown","5","5","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Female","120","[c]","32490","28370"
"Leaver CS","2023","Declared disabled","Asian","Male","115","[c]","31320","28120"
"Leaver CS","2023","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Black","Female","140","[c]","32910","30600"
"Leaver CS","2023","Declared disabled","Black","Male","50","[c]","33890","31170"
"Leaver CS","2023","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Mixed","Female","80","[c]","34990","30130"
"Leaver CS","2023","Declared disabled","Mixed","Male","50","[c]","30530","27880"
"Leaver CS","2023","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Other ethnicity","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Other ethnicity","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Undeclared","Female","90","[c]","32890","28120"
"Leaver CS","2023","Declared disabled","Undeclared","Male","90","[c]","37290","32520"
"Leaver CS","2023","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Female","65","[c]","34260","29890"
"Leaver CS","2023","Declared disabled","Unknown","Male","60","[c]","33790","34150"
"Leaver CS","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","White","Female","2470","[c]","30580","27570"
"Leaver CS","2023","Declared disabled","White","Male","1670","[c]","33660","28120"
"Leaver CS","2023","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Asian","Female","1100","[c]","32500","29290"
"Leaver CS","2023","Declared non-disabled","Asian","Male","965","[c]","34710","30320"
"Leaver CS","2023","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Black","Female","895","[c]","32740","31060"
"Leaver CS","2023","Declared non-disabled","Black","Male","520","[c]","34480","32050"
"Leaver CS","2023","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Mixed","Female","390","[c]","33680","29470"
"Leaver CS","2023","Declared non-disabled","Mixed","Male","305","[c]","36500","31060"
"Leaver CS","2023","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Other ethnicity","Female","120","[c]","33550","29290"
"Leaver CS","2023","Declared non-disabled","Other ethnicity","Male","80","[c]","44170","35410"
"Leaver CS","2023","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Undeclared","Female","300","[c]","30290","27570"
"Leaver CS","2023","Declared non-disabled","Undeclared","Male","345","[c]","35880","31060"
"Leaver CS","2023","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","Female","400","[c]","30940","25200"
"Leaver CS","2023","Declared non-disabled","Unknown","Male","330","[c]","35640","27570"
"Leaver CS","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","White","Female","11115","[c]","33230","28080"
"Leaver CS","2023","Declared non-disabled","White","Male","9425","[c]","37580","31660"
"Leaver CS","2023","Declared non-disabled","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Asian","Female","65","[c]","31440","28170"
"Leaver CS","2023","Undeclared","Asian","Male","60","[c]","35060","32410"
"Leaver CS","2023","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Black","Female","55","[c]","32310","31060"
"Leaver CS","2023","Undeclared","Black","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Mixed","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Mixed","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Other ethnicity","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Other ethnicity","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Undeclared","Female","190","[c]","34600","31060"
"Leaver CS","2023","Undeclared","Undeclared","Male","370","[c]","37980","33210"
"Leaver CS","2023","Undeclared","Unknown","Female","55","[c]","40300","34300"
"Leaver CS","2023","Undeclared","Unknown","Male","55","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","White","Female","665","[c]","31340","27570"
"Leaver CS","2023","Undeclared","White","Male","760","[c]","37920","32520"
"Leaver CS","2023","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Asian","Female","170","[c]","36340","31800"
"Leaver CS","2023","Unknown","Asian","Male","170","[c]","36470","30330"
"Leaver CS","2023","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Black","Female","115","[c]","36300","31060"
"Leaver CS","2023","Unknown","Black","Male","60","[c]","38930","33990"
"Leaver CS","2023","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Mixed","Female","80","[c]","37990","32970"
"Leaver CS","2023","Unknown","Mixed","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Other ethnicity","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Other ethnicity","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Undeclared","Female","60","[c]","38930","32700"
"Leaver CS","2023","Unknown","Undeclared","Male","145","[c]","39520","37060"
"Leaver CS","2023","Unknown","Unknown","Female","4360","[c]","32430","26960"
"Leaver CS","2023","Unknown","Unknown","Male","4430","[c]","34520","28490"
"Leaver CS","2023","Unknown","White","Female","1310","[c]","36240","31940"
"Leaver CS","2023","Unknown","White","Male","1375","[c]","38610","37010"
"Leaver CS","2023","Unknown","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Asian","Female","75","[c]","37090","33890"
"Leaver Dept.","2023","Declared disabled","Asian","Male","60","[c]","35140","32520"
"Leaver Dept.","2023","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Black","Female","50","[c]","35760","32520"
"Leaver Dept.","2023","Declared disabled","Black","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Mixed","Female","40","[c]","36920","32640"
"Leaver Dept.","2023","Declared disabled","Mixed","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Other ethnicity","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Other ethnicity","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Undeclared","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Undeclared","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","White","Female","695","[c]","34650","31060"
"Leaver Dept.","2023","Declared disabled","White","Male","410","[c]","37030","31120"
"Leaver Dept.","2023","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Asian","Female","555","[c]","36020","32490"
"Leaver Dept.","2023","Declared non-disabled","Asian","Male","450","[c]","35060","32520"
"Leaver Dept.","2023","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Black","Female","285","[c]","33510","32520"
"Leaver Dept.","2023","Declared non-disabled","Black","Male","155","[c]","34650","32020"
"Leaver Dept.","2023","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Mixed","Female","195","[c]","36450","33160"
"Leaver Dept.","2023","Declared non-disabled","Mixed","Male","120","[c]","40040","35650"
"Leaver Dept.","2023","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Other ethnicity","Female","40","[c]","36530","32520"
"Leaver Dept.","2023","Declared non-disabled","Other ethnicity","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Undeclared","Female","90","[c]","32100","30480"
"Leaver Dept.","2023","Declared non-disabled","Undeclared","Male","90","[c]","38630","33880"
"Leaver Dept.","2023","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","Female","90","[c]","33050","28590"
"Leaver Dept.","2023","Declared non-disabled","Unknown","Male","80","[c]","35330","28200"
"Leaver Dept.","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","White","Female","3815","[c]","37360","32520"
"Leaver Dept.","2023","Declared non-disabled","White","Male","2855","[c]","39880","34180"
"Leaver Dept.","2023","Declared non-disabled","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Asian","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Asian","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Black","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Black","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Mixed","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Mixed","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Other ethnicity","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Other ethnicity","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Undeclared","Female","60","[c]","34410","28290"
"Leaver Dept.","2023","Undeclared","Undeclared","Male","115","[c]","41490","40050"
"Leaver Dept.","2023","Undeclared","Unknown","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Unknown","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","White","Female","215","[c]","34870","31270"
"Leaver Dept.","2023","Undeclared","White","Male","155","[c]","38680","34300"
"Leaver Dept.","2023","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Asian","Female","100","[c]","36360","32410"
"Leaver Dept.","2023","Unknown","Asian","Male","75","[c]","37000","33710"
"Leaver Dept.","2023","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Black","Female","55","[c]","34470","33950"
"Leaver Dept.","2023","Unknown","Black","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Mixed","Female","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Mixed","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Other ethnicity","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Female","1705","[c]","36930","32000"
"Leaver Dept.","2023","Unknown","Unknown","Male","1450","[c]","37950","33250"
"Leaver Dept.","2023","Unknown","White","Female","475","[c]","38000","34670"
"Leaver Dept.","2023","Unknown","White","Male","340","[c]","40090","36660"
"Leaver Dept.","2023","Unknown","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Asian","Female","150","[c]","28440","25830"
"New entrant CS","2023","Declared disabled","Asian","Male","120","[c]","28610","26310"
"New entrant CS","2023","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Black","Female","95","[c]","29260","27640"
"New entrant CS","2023","Declared disabled","Black","Male","40","[c]","32210","28260"
"New entrant CS","2023","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Mixed","Female","90","[c]","29040","27650"
"New entrant CS","2023","Declared disabled","Mixed","Male","70","[c]","31330","29330"
"New entrant CS","2023","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Other ethnicity","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Other ethnicity","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Undeclared","Female","20","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Undeclared","Male","40","[c]","34080","28120"
"New entrant CS","2023","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Unknown","Female","90","[c]","30110","27780"
"New entrant CS","2023","Declared disabled","Unknown","Male","65","[c]","30260","26400"
"New entrant CS","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","White","Female","1770","[c]","28480","25190"
"New entrant CS","2023","Declared disabled","White","Male","1225","[c]","29610","26370"
"New entrant CS","2023","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Asian","Female","1330","[c]","29090","25480"
"New entrant CS","2023","Declared non-disabled","Asian","Male","1255","[c]","30470","26920"
"New entrant CS","2023","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Black","Female","705","[c]","30590","27640"
"New entrant CS","2023","Declared non-disabled","Black","Male","595","[c]","31960","28880"
"New entrant CS","2023","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Mixed","Female","460","[c]","29160","25870"
"New entrant CS","2023","Declared non-disabled","Mixed","Male","295","[c]","32000","28510"
"New entrant CS","2023","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Other ethnicity","Female","110","[c]","29940","26920"
"New entrant CS","2023","Declared non-disabled","Other ethnicity","Male","80","[c]","32850","29880"
"New entrant CS","2023","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Undeclared","Female","95","[c]","31120","25830"
"New entrant CS","2023","Declared non-disabled","Undeclared","Male","150","[c]","30670","28880"
"New entrant CS","2023","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Unknown","Female","235","[c]","31240","24150"
"New entrant CS","2023","Declared non-disabled","Unknown","Male","190","[c]","31710","27550"
"New entrant CS","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","White","Female","10060","[c]","29820","25920"
"New entrant CS","2023","Declared non-disabled","White","Male","7710","[c]","32340","28880"
"New entrant CS","2023","Declared non-disabled","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Asian","Female","65","[c]","28800","26780"
"New entrant CS","2023","Undeclared","Asian","Male","50","[c]","31260","28780"
"New entrant CS","2023","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Black","Female","30","[c]","26720","25600"
"New entrant CS","2023","Undeclared","Black","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Mixed","Female","25","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Mixed","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Other ethnicity","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Other ethnicity","Male","35","[c]","32780","28160"
"New entrant CS","2023","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Undeclared","Female","65","[c]","28780","23640"
"New entrant CS","2023","Undeclared","Undeclared","Male","150","[c]","33200","28880"
"New entrant CS","2023","Undeclared","Unknown","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Unknown","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","White","Female","400","[c]","28060","24700"
"New entrant CS","2023","Undeclared","White","Male","295","[c]","30620","27490"
"New entrant CS","2023","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Asian","Female","460","[c]","31700","28770"
"New entrant CS","2023","Unknown","Asian","Male","405","[c]","31780","28840"
"New entrant CS","2023","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Black","Female","210","[c]","30530","28510"
"New entrant CS","2023","Unknown","Black","Male","135","[c]","31360","29530"
"New entrant CS","2023","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Mixed","Female","175","[c]","30810","28580"
"New entrant CS","2023","Unknown","Mixed","Male","105","[c]","32520","28880"
"New entrant CS","2023","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Other ethnicity","Female","40","[c]","32720","31870"
"New entrant CS","2023","Unknown","Other ethnicity","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Undeclared","Female","55","[c]","33980","27820"
"New entrant CS","2023","Unknown","Undeclared","Male","105","[c]","41320","34860"
"New entrant CS","2023","Unknown","Unknown","Female","10885","[c]","27830","25480"
"New entrant CS","2023","Unknown","Unknown","Male","9875","[c]","29170","25880"
"New entrant CS","2023","Unknown","White","Female","3065","[c]","30950","27540"
"New entrant CS","2023","Unknown","White","Male","2970","[c]","32780","28840"
"New entrant CS","2023","Unknown","White","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Sex","Self reported sex.","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","","",""
"Disability","Self reported disability.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
