"Status","Year","Disability","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs","London","35","35","51410","45960"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs","Outside London","45","45","44540","41960"
"In post","2023","Declared disabled","Analysis","HM Treasury","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence","Outside London","200","195","44070","41810"
"In post","2023","Declared disabled","Analysis","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice","London","55","50","45880","43650"
"In post","2023","Declared disabled","Analysis","Ministry of Justice","Outside London","30","30","40040","37680"
"In post","2023","Declared disabled","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","Outside London","195","185","38420","37760"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office","London","90","90","67460","61650"
"In post","2023","Declared disabled","Commercial","Cabinet Office","Outside London","155","150","59520","56200"
"In post","2023","Declared disabled","Commercial","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Outside London","35","35","34990","31840"
"In post","2023","Declared disabled","Commercial","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport","Outside London","30","25","35560","31660"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs","Outside London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","Outside London","215","205","39950","39890"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Education","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Outside London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Transport","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Work and Pensions","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Work and Pensions","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department of Health and Social Care","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Foreign, Commonwealth and Development Office","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Revenue and Customs","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Revenue and Customs","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Ministry of Defence","Outside London","40","40","35040","33830"
"In post","2023","Declared disabled","Communications","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Ministry of Justice","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Ministry of Justice","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Gas and Electricity Markets","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","UK Statistics Authority","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Attorney General's Departments","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Cabinet Office","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Cabinet Office","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Department for Business, Energy and Industrial Strategy","Outside London","35","30","34190","31620"
"In post","2023","Declared disabled","Counter Fraud","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Department for Work and Pensions","London","185","170","32240","32520"
"In post","2023","Declared disabled","Counter Fraud","Department for Work and Pensions","Outside London","1090","965","28760","28120"
"In post","2023","Declared disabled","Counter Fraud","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","HM Revenue and Customs","London","155","150","41730","39450"
"In post","2023","Declared disabled","Counter Fraud","HM Revenue and Customs","Outside London","695","640","35240","34700"
"In post","2023","Declared disabled","Counter Fraud","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Department for Work and Pensions","Outside London","480","405","23340","21690"
"In post","2023","Declared disabled","Debt","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","HM Revenue and Customs","London","55","50","30210","26920"
"In post","2023","Declared disabled","Debt","HM Revenue and Customs","Outside London","385","345","25110","22520"
"In post","2023","Declared disabled","Debt","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Attorney General's Departments","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Attorney General's Departments","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Cabinet Office","London","115","110","48780","56430"
"In post","2023","Declared disabled","Digital, Data & Technology","Cabinet Office","Outside London","75","75","42850","38050"
"In post","2023","Declared disabled","Digital, Data & Technology","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Outside London","180","170","36660","37240"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Education","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Education","Outside London","90","85","38780","37590"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Outside London","115","115","42670","38500"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for International Trade","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Transport","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Transport","Outside London","75","70","39080","33850"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Work and Pensions","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Work and Pensions","Outside London","495","465","40350","34970"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department of Health and Social Care","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department of Health and Social Care","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Food Standards Agency","Outside London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","HM Land Registry","Outside London","55","50","38600","39460"
"In post","2023","Declared disabled","Digital, Data & Technology","HM Revenue and Customs","London","45","40","51810","41490"
"In post","2023","Declared disabled","Digital, Data & Technology","HM Revenue and Customs","Outside London","275","265","41850","41780"
"In post","2023","Declared disabled","Digital, Data & Technology","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Home Office","London","70","70","53630","47400"
"In post","2023","Declared disabled","Digital, Data & Technology","Home Office","Outside London","45","45","46880","44410"
"In post","2023","Declared disabled","Digital, Data & Technology","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Ministry of Defence","London","35","35","41600","37700"
"In post","2023","Declared disabled","Digital, Data & Technology","Ministry of Defence","Outside London","370","360","34320","33830"
"In post","2023","Declared disabled","Digital, Data & Technology","Ministry of Defence","Overseas","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Ministry of Justice","London","70","70","51350","48070"
"In post","2023","Declared disabled","Digital, Data & Technology","Ministry of Justice","Outside London","80","80","41410","37680"
"In post","2023","Declared disabled","Digital, Data & Technology","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
