"Status","Year","Disability","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Digital, Data and Technology","London","Outer London - East and North East","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","London","Outer London - South","55","50","59010","59290"
"In post","2023","Declared disabled","Digital, Data and Technology","London","Outer London - West and North West","25","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","North East (England)","Northumberland, and Tyne and Wear","205","195","41690","38470"
"In post","2023","Declared disabled","Digital, Data and Technology","North East (England)","Tees Valley and Durham","20","15","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","North West (England)","Cheshire","25","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","North West (England)","Greater Manchester","160","155","43320","38470"
"In post","2023","Declared disabled","Digital, Data and Technology","North West (England)","Lancashire","120","115","40790","38110"
"In post","2023","Declared disabled","Digital, Data and Technology","North West (England)","Merseyside","70","65","37700","33830"
"In post","2023","Declared disabled","Digital, Data and Technology","Northern Ireland","Northern Ireland","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Scotland","Eastern Scotland","35","35","38540","36540"
"In post","2023","Declared disabled","Digital, Data and Technology","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Scotland","Southern Scotland","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Scotland","West Central Scotland","45","40","39220","34700"
"In post","2023","Declared disabled","Digital, Data and Technology","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","40","35","38160","35950"
"In post","2023","Declared disabled","Digital, Data and Technology","South East (England)","Hampshire and Isle of Wight","70","70","38730","34300"
"In post","2023","Declared disabled","Digital, Data and Technology","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","South East (England)","Surrey, East and West Sussex","25","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","South West (England)","Devon","90","80","36850","37700"
"In post","2023","Declared disabled","Digital, Data and Technology","South West (England)","Dorset and Somerset","40","35","39490","34370"
"In post","2023","Declared disabled","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","195","190","40230","37640"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Wales","East Wales","90","90","41570","39690"
"In post","2023","Declared disabled","Digital, Data and Technology","Wales","West Wales and The Valleys","65","65","38630","34010"
"In post","2023","Declared disabled","Digital, Data and Technology","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","West Midlands (England)","Shropshire and Staffordshire","50","50","43390","36990"
"In post","2023","Declared disabled","Digital, Data and Technology","West Midlands (England)","West Midlands","70","70","40110","37590"
"In post","2023","Declared disabled","Digital, Data and Technology","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Yorkshire and The Humber","North Yorkshire","25","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Yorkshire and The Humber","South Yorkshire","80","75","46360","49400"
"In post","2023","Declared disabled","Digital, Data and Technology","Yorkshire and The Humber","West Yorkshire","75","70","40760","37680"
"In post","2023","Declared disabled","Economics","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","London","Inner London - East","25","25","[c]","[c]"
"In post","2023","Declared disabled","Economics","London","Inner London - West","80","75","52120","54230"
"In post","2023","Declared disabled","Economics","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Wales","East Wales","10","10","[c]","[c]"
"In post","2023","Declared disabled","Economics","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","East Midlands (England)","Derbyshire and Nottinghamshire","25","25","[c]","[c]"
"In post","2023","Declared disabled","Finance","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","East Midlands (England)","Lincolnshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","East of England","East Anglia","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","East of England","Essex","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","London","Inner London - East","40","40","50480","47010"
"In post","2023","Declared disabled","Finance","London","Inner London - West","150","145","49250","43650"
"In post","2023","Declared disabled","Finance","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","London","Outer London - South","20","20","[c]","[c]"
"In post","2023","Declared disabled","Finance","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","North East (England)","Northumberland, and Tyne and Wear","40","35","38810","34400"
"In post","2023","Declared disabled","Finance","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","North West (England)","Cheshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","North West (England)","Greater Manchester","45","45","38910","35350"
"In post","2023","Declared disabled","Finance","North West (England)","Lancashire","50","40","32760","28120"
"In post","2023","Declared disabled","Finance","North West (England)","Merseyside","35","35","36130","34780"
"In post","2023","Declared disabled","Finance","Northern Ireland","Northern Ireland","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Scotland","Eastern Scotland","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Scotland","Southern Scotland","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","Scotland","West Central Scotland","20","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","35","35","33190","28090"
"In post","2023","Declared disabled","Finance","South East (England)","Hampshire and Isle of Wight","40","40","36560","34500"
"In post","2023","Declared disabled","Finance","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","South East (England)","Surrey, East and West Sussex","20","20","[c]","[c]"
"In post","2023","Declared disabled","Finance","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","South West (England)","Devon","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","115","110","40330","35200"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Wales","East Wales","30","30","47470","39690"
"In post","2023","Declared disabled","Finance","Wales","West Wales and The Valleys","30","25","[c]","[c]"
"In post","2023","Declared disabled","Finance","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","West Midlands (England)","Shropshire and Staffordshire","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","West Midlands (England)","West Midlands","35","35","38660","37590"
"In post","2023","Declared disabled","Finance","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Yorkshire and The Humber","North Yorkshire","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","Yorkshire and The Humber","South Yorkshire","50","45","38910","34570"
"In post","2023","Declared disabled","Finance","Yorkshire and The Humber","West Yorkshire","35","35","43180","38290"
"In post","2023","Declared disabled","Geography","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","South West (England)","Dorset and Somerset","20","20","[c]","[c]"
"In post","2023","Declared disabled","Geography","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","East Midlands (England)","Derbyshire and Nottinghamshire","60","55","37110","35000"
"In post","2023","Declared disabled","Human Resources","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","15","15","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","East Midlands (England)","Lincolnshire","15","15","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","East of England","Bedfordshire and Hertfordshire","15","15","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","East of England","East Anglia","35","35","36190","34300"
"In post","2023","Declared disabled","Human Resources","East of England","Essex","10","5","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","London","Inner London - East","75","70","49340","43710"
"In post","2023","Declared disabled","Human Resources","London","Inner London - West","295","290","48900","43760"
"In post","2023","Declared disabled","Human Resources","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","London","Outer London - South","50","50","50130","43970"
"In post","2023","Declared disabled","Human Resources","London","Outer London - West and North West","5","5","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","North East (England)","Northumberland, and Tyne and Wear","80","70","30960","26300"
"In post","2023","Declared disabled","Human Resources","North East (England)","Tees Valley and Durham","15","15","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","North West (England)","Cheshire","20","20","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
