"Status","Year","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Charity Commission","SCS level","5","5","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","270","260","33910","30400"
"In post","2023","Companies House","AA/AO","435","385","22610","23240"
"In post","2023","Companies House","EO","295","280","28070","26060"
"In post","2023","Companies House","G6/G7","105","100","58270","55830"
"In post","2023","Companies House","SCS level","5","5","[c]","[c]"
"In post","2023","Companies House","SEO/HEO","370","360","39620","40500"
"In post","2023","Competition and Markets Authority","AA/AO","25","25","23310","23200"
"In post","2023","Competition and Markets Authority","EO","60","60","28730","28760"
"In post","2023","Competition and Markets Authority","G6/G7","470","455","67420","66180"
"In post","2023","Competition and Markets Authority","SCS level","125","120","109770","102320"
"In post","2023","Competition and Markets Authority","SEO/HEO","225","225","38250","35920"
"In post","2023","Criminal Injuries Compensation Authority","AA/AO","135","125","21640","21780"
"In post","2023","Criminal Injuries Compensation Authority","EO","90","85","25990","25830"
"In post","2023","Criminal Injuries Compensation Authority","G6/G7","15","10","58930","59590"
"In post","2023","Criminal Injuries Compensation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","SEO/HEO","95","95","32630","31270"
"In post","2023","Crown Commercial Service","AA/AO","20","20","21580","21040"
"In post","2023","Crown Commercial Service","EO","95","90","26550","26410"
"In post","2023","Crown Commercial Service","G6/G7","190","185","56580","54940"
"In post","2023","Crown Commercial Service","SCS level","20","20","88540","76170"
"In post","2023","Crown Commercial Service","SEO/HEO","435","425","36720","39860"
"In post","2023","Crown Office and Procurator Fiscal Service","AA/AO","775","710","24000","24490"
"In post","2023","Crown Office and Procurator Fiscal Service","EO","405","395","30260","29450"
"In post","2023","Crown Office and Procurator Fiscal Service","G6/G7","740","700","61820","58850"
"In post","2023","Crown Office and Procurator Fiscal Service","SCS level","25","25","89240","85200"
"In post","2023","Crown Office and Procurator Fiscal Service","SEO/HEO","500","480","37670","37940"
"In post","2023","Crown Prosecution Service","AA/AO","1590","1470","23160","22870"
"In post","2023","Crown Prosecution Service","EO","1560","1460","28420","28200"
"In post","2023","Crown Prosecution Service","G6/G7","3130","2910","58540","56450"
"In post","2023","Crown Prosecution Service","SCS level","90","90","95890","88340"
"In post","2023","Crown Prosecution Service","SEO/HEO","1145","1105","36490","35550"
"In post","2023","Defence Electronics and Components Agency","AA/AO","95","95","21020","22210"
"In post","2023","Defence Electronics and Components Agency","EO","235","225","28980","28710"
"In post","2023","Defence Electronics and Components Agency","G6/G7","10","10","63000","60130"
"In post","2023","Defence Electronics and Components Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","SEO/HEO","95","95","36710","34680"
"In post","2023","Defence Equipment and Support","AA/AO","1670","1600","22590","21680"
"In post","2023","Defence Equipment and Support","EO","745","715","27400","26940"
"In post","2023","Defence Equipment and Support","G6/G7","1950","1890","58410","55960"
"In post","2023","Defence Equipment and Support","SCS level","115","110","102800","95370"
"In post","2023","Defence Equipment and Support","SEO/HEO","6240","6010","38140","38790"
"In post","2023","Defence Science and Technology Laboratory","AA/AO","145","145","20740","19430"
"In post","2023","Defence Science and Technology Laboratory","EO","280","265","24740","24630"
"In post","2023","Defence Science and Technology Laboratory","G6/G7","2230","2135","53950","49260"
"In post","2023","Defence Science and Technology Laboratory","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","SEO/HEO","2300","2235","34920","35600"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","65","65","24980","25900"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","380","370","28360","28720"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","2925","2850","59400","56840"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","345","330","85540","77700"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","2570","2540","39170","39720"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","145","145","27990","27780"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","825","810","57490","55300"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","110","105","87220","78390"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","625","615","37020","35620"
"In post","2023","Department for Education (excl. agencies)","AA/AO","75","70","23010","22020"
"In post","2023","Department for Education (excl. agencies)","EO","675","650","27550","26940"
"In post","2023","Department for Education (excl. agencies)","G6/G7","2850","2740","57630","55020"
"In post","2023","Department for Education (excl. agencies)","SCS level","260","245","84530","76510"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","3295","3185","36850","37590"
"In post","2023","Department for Education (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","115","105","23370","22150"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","540","515","27210","26070"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","2395","2320","54760","54330"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","210","205","83780","78170"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","3060","2960","35930","37300"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","25","25","27960","28660"
"In post","2023","Department for International Trade","EO","300","295","29030","29280"
"In post","2023","Department for International Trade","G6/G7","1355","1340","59220","55500"
"In post","2023","Department for International Trade","SCS level","190","185","88250","78430"
"In post","2023","Department for International Trade","SEO/HEO","1660","1645","39090","40310"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","50","50","26050","27870"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","255","245","29040","28850"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","1435","1400","57660","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","175","170","87410","79290"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","1340","1310","37060","37480"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","155","140","30360","34390"
"In post","2023","Department for Transport (excl. agencies)","EO","335","325","30350","30920"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","1590","1555","61450","56740"
"In post","2023","Department for Transport (excl. agencies)","SCS level","245","235","89120","80830"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","1465","1440","39740","39820"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","25565","21920","22010","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","EO","42845","38310","28810","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","3830","3685","58260","55150"
"In post","2023","Department for Work and Pensions (excl. agencies)","SCS level","280","275","90980","82120"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","12425","11745","36740","34970"
"In post","2023","Department of Health and Social Care (excl. agencies)","AA/AO","45","40","23550","24750"
"In post","2023","Department of Health and Social Care (excl. agencies)","EO","365","355","28010","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","G6/G7","1610","1545","58670","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","SCS level","260","250","90710","82210"
"In post","2023","Department of Health and Social Care (excl. agencies)","SEO/HEO","1390","1345","37700","38120"
"In post","2023","Disclosure Scotland","AA/AO","215","200","24390","24890"
"In post","2023","Disclosure Scotland","EO","60","55","31820","31940"
"In post","2023","Disclosure Scotland","G6/G7","20","20","63990","59360"
"In post","2023","Disclosure Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","SEO/HEO","70","65","41710","39930"
"In post","2023","Driver and Vehicle Licensing Agency","AA/AO","3985","3390","21650","22500"
"In post","2023","Driver and Vehicle Licensing Agency","EO","905","855","27290","27190"
"In post","2023","Driver and Vehicle Licensing Agency","G6/G7","300","285","65280","61050"
"In post","2023","Driver and Vehicle Licensing Agency","SCS level","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","SEO/HEO","1035","1000","37990","35740"
"In post","2023","Driver and Vehicle Standards Agency","AA/AO","1140","1065","25330","24900"
"In post","2023","Driver and Vehicle Standards Agency","EO","2620","2430","28740","27450"
"In post","2023","Driver and Vehicle Standards Agency","G6/G7","130","130","55600","53310"
"In post","2023","Driver and Vehicle Standards Agency","SCS level","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","SEO/HEO","1005","980","36000","33850"
"In post","2023","Education Scotland","AA/AO","40","40","24360","24890"
"In post","2023","Education Scotland","EO","25","20","30710","29450"
"In post","2023","Education Scotland","G6/G7","230","220","72680","79110"
"In post","2023","Education Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Education Scotland","SEO/HEO","65","65","44060","42860"
"In post","2023","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","EO","55","55","27480","26940"
"In post","2023","Education and Skills Funding Agency","G6/G7","225","220","55750","52150"
"In post","2023","Education and Skills Funding Agency","SCS level","20","20","85490","78380"
"In post","2023","Education and Skills Funding Agency","SEO/HEO","470","450","36240","37590"
"In post","2023","Estyn","AA/AO","15","10","24680","25620"
"In post","2023","Estyn","EO","25","20","29990","30610"
"In post","2023","Estyn","G6/G7","75","70","77170","78500"
"In post","2023","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SEO/HEO","10","10","41610","40700"
"In post","2023","FCDO Services","AA/AO","135","130","27920","26100"
"In post","2023","FCDO Services","EO","215","210","30100","29400"
"In post","2023","FCDO Services","G6/G7","225","205","64040","62130"
"In post","2023","FCDO Services","SCS level","10","10","112250","107050"
"In post","2023","FCDO Services","SEO/HEO","460","455","42130","42160"
"In post","2023","FCDO Services","Unknown","65","65","24490","23800"
"In post","2023","Food Standards Agency","AA/AO","10","10","[c]","[c]"
"In post","2023","Food Standards Agency","EO","435","410","28330","28090"
"In post","2023","Food Standards Agency","G6/G7","300","295","56800","55850"
"In post","2023","Food Standards Agency","SCS level","30","25","89040","84460"
"In post","2023","Food Standards Agency","SEO/HEO","805","790","36380","37720"
"In post","2023","Food Standards Scotland","AA/AO","10","10","25740","26600"
"In post","2023","Food Standards Scotland","EO","95","90","30710","31190"
"In post","2023","Food Standards Scotland","G6/G7","30","30","61980","58850"
"In post","2023","Food Standards Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Scotland","SEO/HEO","150","145","39330","38330"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","350","340","26710","25700"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","EO","640","625","30940","31260"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","3245","3170","60720","58970"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","575","570","87030","79230"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","2790","2755","38970","38540"
"In post","2023","Forestry and Land Scotland","AA/AO","515","495","27910","28140"
"In post","2023","Forestry and Land Scotland","EO","290","280","33480","33260"
"In post","2023","Forestry and Land Scotland","G6/G7","35","35","64610","62270"
"In post","2023","Forestry and Land Scotland","SCS level","5","5","[c]","[c]"
"In post","2023","Forestry and Land Scotland","SEO/HEO","260","245","43000","41500"
"In post","2023","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Government Actuary's Department","EO","25","25","30590","30090"
"In post","2023","Government Actuary's Department","G6/G7","125","115","87910","82510"
"In post","2023","Government Actuary's Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Government Actuary's Department","SEO/HEO","60","60","42800","42220"
"In post","2023","Government Commercial Organisation","G6/G7","1195","1180","67820","66270"
"In post","2023","Government Commercial Organisation","SCS level","220","215","122320","119760"
"In post","2023","Government Commercial Organisation","SEO/HEO","75","75","40060","40080"
"In post","2023","Government Internal Audit Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Government Internal Audit Agency","EO","20","20","29560","29500"
"In post","2023","Government Internal Audit Agency","G6/G7","195","185","57790","56180"
"In post","2023","Government Internal Audit Agency","SCS level","25","25","91950","87240"
"In post","2023","Government Internal Audit Agency","SEO/HEO","245","225","40870","42700"
"In post","2023","Government Legal Department","AA/AO","40","40","24860","24770"
"In post","2023","Government Legal Department","EO","355","340","29230","28170"
"In post","2023","Government Legal Department","G6/G7","1775","1630","61100","62450"
"In post","2023","Government Legal Department","SCS level","215","200","85210","80260"
"In post","2023","Government Legal Department","SEO/HEO","290","285","38380","38860"
"In post","2023","Government Property Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Government Property Agency","EO","25","25","26020","24820"
"In post","2023","Government Property Agency","G6/G7","200","200","56590","56150"
"In post","2023","Government Property Agency","SCS level","25","25","94970","93000"
"In post","2023","Government Property Agency","SEO/HEO","140","135","37280","38340"
"In post","2023","HM Courts and Tribunals Service","AA/AO","9435","8240","22210","21780"
"In post","2023","HM Courts and Tribunals Service","EO","2775","2620","27050","25830"
"In post","2023","HM Courts and Tribunals Service","G6/G7","735","715","58440","56080"
"In post","2023","HM Courts and Tribunals Service","SCS level","75","75","86670","79880"
"In post","2023","HM Courts and Tribunals Service","SEO/HEO","2805","2655","37540","37680"
"In post","2023","HM Courts and Tribunals Service","Unknown","10","10","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","G6/G7","20","20","61500","59760"
"In post","2023","HM Crown Prosecution Service Inspectorate","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","AA/AO","1595","1490","23470","23390"
"In post","2023","HM Land Registry","EO","2460","2195","28430","28080"
"In post","2023","HM Land Registry","G6/G7","325","310","62460","61730"
"In post","2023","HM Land Registry","SCS level","30","30","88760","83000"
"In post","2023","HM Land Registry","SEO/HEO","2310","2080","38310","34850"
"In post","2023","HM Prison and Probation Service","AA/AO","28735","27120","29100","29890"
"In post","2023","HM Prison and Probation Service","EO","7025","6710","33390","34170"
"In post","2023","HM Prison and Probation Service","G6/G7","930","915","73770","70860"
"In post","2023","HM Prison and Probation Service","SCS level","90","85","101430","106090"
"In post","2023","HM Prison and Probation Service","SEO/HEO","7450","7125","42250","40660"
"In post","2023","HM Prison and Probation Service","Unknown","21510","20005","30470","29050"
"In post","2023","HM Revenue and Customs (excl. agencies)","AA/AO","19325","16995","22750","22520"
"In post","2023","HM Revenue and Customs (excl. agencies)","EO","15345","14345","28830","28130"
"In post","2023","HM Revenue and Customs (excl. agencies)","G6/G7","8785","8460","62730","57970"
"In post","2023","HM Revenue and Customs (excl. agencies)","SCS level","505","495","88250","81720"
"In post","2023","HM Revenue and Customs (excl. agencies)","SEO/HEO","24430","23440","38360","35330"
"In post","2023","HM Treasury (excl. agencies)","AA/AO","45","45","23200","23210"
"In post","2023","HM Treasury (excl. agencies)","EO","235","225","27150","27820"
"In post","2023","HM Treasury (excl. agencies)","G6/G7","900","885","58160","54440"
"In post","2023","HM Treasury (excl. agencies)","SCS level","140","135","85660","78620"
"In post","2023","HM Treasury (excl. agencies)","SEO/HEO","685","680","34820","33820"
"In post","2023","Health and Safety Executive","AA/AO","300","270","23030","23500"
"In post","2023","Health and Safety Executive","EO","500","475","28330","27320"
"In post","2023","Health and Safety Executive","G6/G7","590","570","61700","58550"
"In post","2023","Health and Safety Executive","SCS level","40","35","88800","84210"
"In post","2023","Health and Safety Executive","SEO/HEO","1400","1330","44410","41440"
"In post","2023","Home Office","AA/AO","9480","8560","23050","22400"
"In post","2023","Home Office","EO","17440","16260","27560","26180"
"In post","2023","Home Office","G6/G7","4390","4300","61910","59290"
"In post","2023","Home Office","SCS level","345","340","91010","83460"
"In post","2023","Home Office","SEO/HEO","11285","10940","37300","36180"
"In post","2023","Home Office","Unknown","190","185","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","AA/AO","10","10","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","EO","10","10","28340","28980"
"In post","2023","Institute for Apprenticeships and Technical Education","G6/G7","175","170","55650","52140"
"In post","2023","Institute for Apprenticeships and Technical Education","SCS level","15","15","93610","86880"
"In post","2023","Institute for Apprenticeships and Technical Education","SEO/HEO","125","125","37140","37710"
"In post","2023","Intellectual Property Office","AA/AO","195","180","22960","23100"
"In post","2023","Intellectual Property Office","EO","445","415","26950","25040"
"In post","2023","Intellectual Property Office","G6/G7","420","395","62690","61980"
"In post","2023","Intellectual Property Office","SCS level","25","25","78250","76430"
"In post","2023","Intellectual Property Office","SEO/HEO","610","590","40510","41710"
"In post","2023","Legal Aid Agency","AA/AO","435","390","21790","21780"
"In post","2023","Legal Aid Agency","EO","345","320","26400","25830"
"In post","2023","Legal Aid Agency","G6/G7","100","95","60760","58100"
"In post","2023","Legal Aid Agency","SCS level","10","10","88650","79220"
"In post","2023","Legal Aid Agency","SEO/HEO","295","285","37050","37680"
"In post","2023","Maritime and Coastguard Agency","AA/AO","240","225","22580","22500"
"In post","2023","Maritime and Coastguard Agency","EO","235","230","27190","26960"
"In post","2023","Maritime and Coastguard Agency","G6/G7","170","165","56750","57000"
"In post","2023","Maritime and Coastguard Agency","SCS level","5","5","[c]","[c]"
"In post","2023","Maritime and Coastguard Agency","SEO/HEO","545","535","37340","37230"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","AA/AO","20","20","24050","24520"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","EO","170","165","28400","28220"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","G6/G7","415","400","60410","55260"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","SCS level","125","115","86940","83550"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","450","445","39130","41190"
"In post","2023","Met Office","AA/AO","140","140","20090","20660"
"In post","2023","Met Office","EO","215","205","25880","26100"
"In post","2023","Met Office","G6/G7","655","620","51540","48080"
"In post","2023","Met Office","SCS level","10","10","105630","96010"
"In post","2023","Met Office","SEO/HEO","1275","1205","37050","37420"
"In post","2023","Ministry of Defence (excl. agencies)","AA/AO","13885","13310","24640","22220"
"In post","2023","Ministry of Defence (excl. agencies)","EO","6930","6735","29550","27470"
"In post","2023","Ministry of Defence (excl. agencies)","G6/G7","3510","3385","63020","60220"
"In post","2023","Ministry of Defence (excl. agencies)","SCS level","395","380","92180","84720"
"In post","2023","Ministry of Defence (excl. agencies)","SEO/HEO","12540","12210","39710","38680"
"In post","2023","Ministry of Defence (excl. agencies)","Unknown","65","60","45290","40000"
"In post","2023","Ministry of Justice (excl. agencies)","AA/AO","315","300","23140","21780"
"In post","2023","Ministry of Justice (excl. agencies)","EO","830","805","28270","29660"
"In post","2023","Ministry of Justice (excl. agencies)","G6/G7","2050","2000","59880","58630"
"In post","2023","Ministry of Justice (excl. agencies)","SCS level","165","160","89160","82450"
"In post","2023","Ministry of Justice (excl. agencies)","SEO/HEO","3725","3640","38450","37680"
"In post","2023","Ministry of Justice (excl. agencies)","Unknown","50","45","37790","37680"
"In post","2023","National Crime Agency","AA/AO","215","200","26070","26550"
"In post","2023","National Crime Agency","EO","2410","2335","36190","36040"
"In post","2023","National Crime Agency","G6/G7","425","420","66390","66490"
"In post","2023","National Crime Agency","SCS level","35","35","106040","94730"
"In post","2023","National Crime Agency","SEO/HEO","2485","2425","45510","45610"
"In post","2023","National Infrastructure Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","National Infrastructure Commission","G6/G7","30","25","59380","55080"
"In post","2023","National Infrastructure Commission","SCS level","5","5","[c]","[c]"
"In post","2023","National Infrastructure Commission","SEO/HEO","10","10","36700","35500"
"In post","2023","National Records of Scotland","AA/AO","150","140","25100","24890"
"In post","2023","National Records of Scotland","EO","70","65","31860","31940"
"In post","2023","National Records of Scotland","G6/G7","55","55","66820","65280"
"In post","2023","National Records of Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","National Records of Scotland","SEO/HEO","180","170","41950","41640"
"In post","2023","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","National Savings and Investments","EO","20","20","28210","27350"
"In post","2023","National Savings and Investments","G6/G7","90","90","59860","58230"
"In post","2023","National Savings and Investments","SCS level","15","15","107460","109650"
"In post","2023","National Savings and Investments","SEO/HEO","80","80","42450","43070"
"In post","2023","Northern Ireland Office","AA/AO","10","10","[c]","[c]"
"In post","2023","Northern Ireland Office","EO","10","10","27970","28420"
"In post","2023","Northern Ireland Office","G6/G7","45","45","56980","56010"
"In post","2023","Northern Ireland Office","SCS level","20","20","89660","77680"
"In post","2023","Northern Ireland Office","SEO/HEO","85","85","38120","37680"
"In post","2023","Office for Budget Responsibility","EO","5","5","[c]","[c]"
"In post","2023","Office for Budget Responsibility","G6/G7","25","25","60830","56660"
"In post","2023","Office for Budget Responsibility","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Office for Budget Responsibility","SEO/HEO","15","15","38480","39000"
"In post","2023","Office for Standards in Education, Children's Services and Skills","AA/AO","205","185","22460","22490"
"In post","2023","Office for Standards in Education, Children's Services and Skills","EO","215","210","27530","27140"
"In post","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","720","710","74870","77470"
"In post","2023","Office for Standards in Education, Children's Services and Skills","SCS level","30","30","109210","99160"
"In post","2023","Office for Standards in Education, Children's Services and Skills","SEO/HEO","860","835","44630","44250"
"In post","2023","Office of Gas and Electricity Markets","AA/AO","40","40","21680","20970"
"In post","2023","Office of Gas and Electricity Markets","EO","385","380","26420","25750"
"In post","2023","Office of Gas and Electricity Markets","G6/G7","660","650","58860","57570"
"In post","2023","Office of Gas and Electricity Markets","SCS level","60","60","97940","90980"
"In post","2023","Office of Gas and Electricity Markets","SEO/HEO","410","405","36690","35530"
"In post","2023","Office of Qualifications and Examinations Regulation","AA/AO","5","5","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","EO","25","25","24750","24000"
"In post","2023","Office of Qualifications and Examinations Regulation","G6/G7","125","120","53990","50050"
"In post","2023","Office of Qualifications and Examinations Regulation","SCS level","20","20","93430","87430"
"In post","2023","Office of Qualifications and Examinations Regulation","SEO/HEO","170","160","36530","37590"
"In post","2023","Office of Rail and Road","AA/AO","15","15","23540","23720"
"In post","2023","Office of Rail and Road","EO","30","30","30260","30720"
"In post","2023","Office of Rail and Road","G6/G7","210","200","62590","61190"
"In post","2023","Office of Rail and Road","SCS level","20","20","108370","98760"
"In post","2023","Office of Rail and Road","SEO/HEO","95","95","40100","40000"
"In post","2023","Office of the Public Guardian","AA/AO","1015","925","21780","21780"
"In post","2023","Office of the Public Guardian","EO","430","410","25880","25830"
"In post","2023","Office of the Public Guardian","G6/G7","25","25","54750","51770"
"In post","2023","Office of the Public Guardian","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Public Guardian","SEO/HEO","180","170","33420","31270"
"In post","2023","Office of the Scottish Charity Regulator","AA/AO","10","5","[c]","[c]"
"In post","2023","Office of the Scottish Charity Regulator","EO","15","15","30490","29450"
"In post","2023","Office of the Scottish Charity Regulator","G6/G7","5","5","[c]","[c]"
"In post","2023","Office of the Scottish Charity Regulator","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Scottish Charity Regulator","SEO/HEO","15","15","41420","40590"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","10","10","24210","24890"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","EO","10","10","30450","29660"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","G6/G7","55","55","61700","60550"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","SCS level","10","10","85060","82710"
