"Status","Year","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","Female","225","215","39830","34730"
"In post","2023","Mixed","Unknown","Male","160","160","41430","34450"
"In post","2023","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Analysis","Female","45","40","48220","43320"
"In post","2023","Other ethnicity","Analysis","Male","40","40","47890","39840"
"In post","2023","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Commercial","Female","20","15","[c]","[c]"
"In post","2023","Other ethnicity","Commercial","Male","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Communications","Female","20","20","[c]","[c]"
"In post","2023","Other ethnicity","Communications","Male","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Counter Fraud","Female","45","40","31570","31770"
"In post","2023","Other ethnicity","Counter Fraud","Male","30","30","34610","32390"
"In post","2023","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Debt","Female","30","30","25470","22520"
"In post","2023","Other ethnicity","Debt","Male","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Digital, Data & Technology","Female","60","60","44700","41870"
"In post","2023","Other ethnicity","Digital, Data & Technology","Male","90","90","45400","39840"
"In post","2023","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Finance","Female","35","35","41290","38370"
"In post","2023","Other ethnicity","Finance","Male","30","30","48740","45560"
"In post","2023","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Grants Management","Male","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Human Resources","Female","55","50","35000","31820"
"In post","2023","Other ethnicity","Human Resources","Male","20","20","[c]","[c]"
"In post","2023","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Internal Audit","Female","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Internal Audit","Male","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Legal","Female","85","80","47750","52210"
"In post","2023","Other ethnicity","Legal","Male","50","50","49920","51550"
"In post","2023","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","No function","Female","975","910","35750","32160"
"In post","2023","Other ethnicity","No function","Male","850","825","37420","32920"
"In post","2023","Other ethnicity","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Project Delivery","Female","60","60","52340","44660"
"In post","2023","Other ethnicity","Project Delivery","Male","70","70","51740","48120"
"In post","2023","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Property","Female","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Property","Male","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Security","Female","10","5","[c]","[c]"
"In post","2023","Other ethnicity","Security","Male","20","20","[c]","[c]"
"In post","2023","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Female","55","50","35950","32740"
"In post","2023","Other ethnicity","Unknown","Male","40","40","39500","32960"
"In post","2023","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Analysis","Female","80","80","43990","39890"
"In post","2023","Undeclared","Analysis","Male","250","245","47900","49260"
"In post","2023","Undeclared","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Commercial","Female","105","100","46740","42070"
"In post","2023","Undeclared","Commercial","Male","160","160","53200","52870"
"In post","2023","Undeclared","Communications","Female","55","55","39730","38160"
"In post","2023","Undeclared","Communications","Male","60","60","43560","39150"
"In post","2023","Undeclared","Counter Fraud","Female","355","315","33120","29730"
"In post","2023","Undeclared","Counter Fraud","Male","545","510","36810","34370"
"In post","2023","Undeclared","Debt","Female","120","100","24470","22520"
"In post","2023","Undeclared","Debt","Male","115","105","25050","22520"
"In post","2023","Undeclared","Digital, Data & Technology","Female","270","260","42990","39790"
"In post","2023","Undeclared","Digital, Data & Technology","Male","930","910","45010","41980"
"In post","2023","Undeclared","Finance","Female","225","205","39440","35620"
"In post","2023","Undeclared","Finance","Male","325","315","43300","38470"
"In post","2023","Undeclared","Grants Management","Female","70","65","25350","22150"
"In post","2023","Undeclared","Grants Management","Male","90","90","26690","22150"
"In post","2023","Undeclared","Human Resources","Female","235","225","38870","34640"
"In post","2023","Undeclared","Human Resources","Male","245","240","36850","33990"
"In post","2023","Undeclared","Internal Audit","Female","10","10","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","Male","15","10","[c]","[c]"
"In post","2023","Undeclared","Legal","Female","205","185","50770","52360"
"In post","2023","Undeclared","Legal","Male","165","160","51720","54100"
"In post","2023","Undeclared","No function","Female","5325","4710","32500","28120"
"In post","2023","Undeclared","No function","Male","6850","6525","35850","32160"
"In post","2023","Undeclared","Project Delivery","Female","300","280","45080","41890"
"In post","2023","Undeclared","Project Delivery","Male","560","545","49590","45960"
"In post","2023","Undeclared","Property","Female","125","115","38330","34970"
"In post","2023","Undeclared","Property","Male","230","220","41160","38220"
"In post","2023","Undeclared","Security","Female","90","85","38310","34840"
"In post","2023","Undeclared","Security","Male","395","390","38260","40540"
"In post","2023","Undeclared","Unknown","Female","260","240","43740","39690"
"In post","2023","Undeclared","Unknown","Male","485","470","45700","43760"
"In post","2023","Unknown","Analysis","Female","480","465","40680","37870"
"In post","2023","Unknown","Analysis","Male","715","705","42490","39040"
"In post","2023","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Commercial","Female","345","335","40260","36000"
"In post","2023","Unknown","Commercial","Male","360","360","43400","38190"
"In post","2023","Unknown","Communications","Female","425","410","44520","41870"
"In post","2023","Unknown","Communications","Male","315","315","45150","40920"
"In post","2023","Unknown","Counter Fraud","Female","985","910","33140","31980"
"In post","2023","Unknown","Counter Fraud","Male","1085","1055","35460","34170"
"In post","2023","Unknown","Debt","Female","835","745","23920","22520"
"In post","2023","Unknown","Debt","Male","715","695","23950","22520"
"In post","2023","Unknown","Digital, Data & Technology","Female","1230","1185","42130","38470"
"In post","2023","Unknown","Digital, Data & Technology","Male","2755","2725","43430","39650"
"In post","2023","Unknown","Finance","Female","770","715","36970","32660"
"In post","2023","Unknown","Finance","Male","725","710","40810","37680"
"In post","2023","Unknown","Grants Management","Female","260","225","25940","22150"
"In post","2023","Unknown","Grants Management","Male","240","235","26650","22150"
"In post","2023","Unknown","Human Resources","Female","955","915","39950","35410"
"In post","2023","Unknown","Human Resources","Male","595","585","39000","34430"
"In post","2023","Unknown","Internal Audit","Female","15","15","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Male","10","10","[c]","[c]"
"In post","2023","Unknown","Legal","Female","940","860","47510","49050"
"In post","2023","Unknown","Legal","Male","515","500","49420","50150"
"In post","2023","Unknown","No function","Female","26160","24190","30990","27650"
"In post","2023","Unknown","No function","Male","22765","22010","32370","28400"
"In post","2023","Unknown","Project Delivery","Female","1145","1100","43330","41000"
"In post","2023","Unknown","Project Delivery","Male","1185","1170","45960","42140"
"In post","2023","Unknown","Property","Female","675","620","30770","27080"
"In post","2023","Unknown","Property","Male","940","915","34990","31540"
"In post","2023","Unknown","Security","Female","355","340","33570","28950"
"In post","2023","Unknown","Security","Male","1225","1215","33780","28560"
"In post","2023","Unknown","Unknown","Female","3240","3070","36540","31910"
"In post","2023","Unknown","Unknown","Male","4020","3975","39570","36260"
"In post","2023","White","Analysis","Female","3475","3255","44450","39890"
"In post","2023","White","Analysis","Male","3920","3840","46930","43000"
"In post","2023","White","Analysis","Unknown","5","5","[c]","[c]"
"In post","2023","White","Commercial","Female","2945","2805","45860","41200"
"In post","2023","White","Commercial","Male","2535","2500","52030","43980"
"In post","2023","White","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Communications","Female","1740","1640","44120","40990"
"In post","2023","White","Communications","Male","1120","1105","45020","41480"
"In post","2023","White","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Counter Fraud","Female","6325","5670","32840","28130"
"In post","2023","White","Counter Fraud","Male","5290","5065","35870","34170"
"In post","2023","White","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Debt","Female","2790","2380","24990","22520"
"In post","2023","White","Debt","Male","1650","1580","25230","22520"
"In post","2023","White","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Digital, Data & Technology","Female","6895","6540","42020","38640"
"In post","2023","White","Digital, Data & Technology","Male","10830","10630","44430","41200"
"In post","2023","White","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Finance","Female","5165","4740","39190","34970"
"In post","2023","White","Finance","Male","3700","3610","44260","39790"
"In post","2023","White","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Grants Management","Female","1105","990","26590","22150"
"In post","2023","White","Grants Management","Male","715","695","26790","22150"
"In post","2023","White","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Human Resources","Female","6760","6340","39810","35000"
"In post","2023","White","Human Resources","Male","4045","3950","39260","34450"
"In post","2023","White","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Internal Audit","Female","285","265","46820","43980"
"In post","2023","White","Internal Audit","Male","235","225","50510","48640"
"In post","2023","White","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Legal","Female","5810","5295","47160","50000"
"In post","2023","White","Legal","Male","3115","3020","51340","52790"
"In post","2023","White","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","No function","Female","131080","117545","32340","28120"
"In post","2023","White","No function","Male","95605","91875","35310","31510"
"In post","2023","White","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Project Delivery","Female","8355","7870","44740","41200"
"In post","2023","White","Project Delivery","Male","8000","7820","48310","43320"
"In post","2023","White","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Property","Female","2760","2585","36810","33990"
"In post","2023","White","Property","Male","3430","3345","39640","36030"
"In post","2023","White","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Security","Female","1890","1805","34910","32540"
"In post","2023","White","Security","Male","5370","5260","34630","30700"
"In post","2023","White","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Unknown","Female","11925","11180","42850","39690"
"In post","2023","White","Unknown","Male","9460","9250","44110","39690"
"In post","2023","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Analysis","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Analysis","Male","55","[c]","36230","32500"
"Leaver CS","2023","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Commercial","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Commercial","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Communications","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Communications","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Counter Fraud","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Counter Fraud","Male","35","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Debt","Female","55","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Debt","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Digital, Data & Technology","Female","80","[c]","43740","41610"
"Leaver CS","2023","Asian","Digital, Data & Technology","Male","115","[c]","45540","40720"
"Leaver CS","2023","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Finance","Female","35","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Finance","Male","40","[c]","38570","37280"
"Leaver CS","2023","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Grants Management","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Human Resources","Female","40","[c]","39070","34110"
"Leaver CS","2023","Asian","Human Resources","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Internal Audit","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Internal Audit","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Legal","Female","55","[c]","38130","32300"
"Leaver CS","2023","Asian","Legal","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","No function","Female","965","[c]","30330","28120"
"Leaver CS","2023","Asian","No function","Male","820","[c]","31310","28120"
"Leaver CS","2023","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Project Delivery","Female","40","[c]","42390","37590"
"Leaver CS","2023","Asian","Project Delivery","Male","50","[c]","39700","37640"
"Leaver CS","2023","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Property","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Property","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Security","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Security","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Female","75","[c]","35950","33090"
"Leaver CS","2023","Asian","Unknown","Male","50","[c]","39110","33130"
"Leaver CS","2023","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Analysis","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","Analysis","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Commercial","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","Commercial","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Communications","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","Communications","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Counter Fraud","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Black","Counter Fraud","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Debt","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","Debt","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Digital, Data & Technology","Female","45","[c]","39690","37230"
"Leaver CS","2023","Black","Digital, Data & Technology","Male","70","[c]","42220","38180"
"Leaver CS","2023","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Finance","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Black","Finance","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Human Resources","Female","40","[c]","35330","32760"
"Leaver CS","2023","Black","Human Resources","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Legal","Female","45","[c]","39910","29750"
"Leaver CS","2023","Black","Legal","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","No function","Female","875","[c]","31540","30100"
"Leaver CS","2023","Black","No function","Male","440","[c]","32690","31060"
"Leaver CS","2023","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Project Delivery","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Black","Project Delivery","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Property","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","Property","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Security","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","Security","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","Security","Unknown","[c]","[c]","[c]","[c]"
