"Status","Year","Age","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Departments","AA/AO","40","40","20840","20270"
"In post","2023","16-19","Declared non-disabled","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","AA/AO","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport","AA/AO","45","40","21000","22500"
"In post","2023","16-19","Declared non-disabled","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","AA/AO","50","50","21860","21690"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","EO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","AA/AO","95","90","22660","22520"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","EO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","AA/AO","35","35","18890","19430"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice","AA/AO","185","185","26290","28880"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Government","AA/AO","25","25","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Statistics Authority","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Statistics Authority","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Welsh Government","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Undeclared","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Attorney General's Departments","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Cabinet Office","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Business, Energy and Industrial Strategy","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Education","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Environment, Food and Rural Affairs","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Transport","AA/AO","35","30","20610","19000"
"In post","2023","16-19","Unknown","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department of Health and Social Care","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Foreign, Commonwealth and Development Office","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","HM Land Registry","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","HM Revenue and Customs","AA/AO","75","75","22820","22520"
"In post","2023","16-19","Unknown","HM Revenue and Customs","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Home Office","AA/AO","105","95","23090","22400"
"In post","2023","16-19","Unknown","Home Office","EO","30","30","27000","25750"
"In post","2023","16-19","Unknown","Ministry of Defence","AA/AO","135","135","20190","19460"
"In post","2023","16-19","Unknown","Ministry of Defence","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence","Unknown","45","45","19080","18280"
"In post","2023","16-19","Unknown","Ministry of Justice","AA/AO","115","110","25980","24070"
"In post","2023","16-19","Unknown","Ministry of Justice","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scottish Government","AA/AO","50","45","23060","22180"
"In post","2023","16-19","Unknown","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","UK Statistics Authority","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","UK Statistics Authority","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Attorney General's Departments","AA/AO","50","50","22830","22870"
"In post","2023","20-29","Declared disabled","Attorney General's Departments","EO","60","60","28410","27760"
"In post","2023","20-29","Declared disabled","Attorney General's Departments","G6/G7","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Attorney General's Departments","SEO/HEO","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Cabinet Office","AA/AO","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Cabinet Office","EO","35","35","26870","28050"
"In post","2023","20-29","Declared disabled","Cabinet Office","G6/G7","45","45","58800","56430"
"In post","2023","20-29","Declared disabled","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Cabinet Office","SEO/HEO","345","345","32130","30130"
"In post","2023","20-29","Declared disabled","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Chancellor's other departments","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Competition and Markets Authority","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","35","35","26990","26650"
"In post","2023","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","50","50","55620","55120"
"In post","2023","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","130","130","37410","37470"
"In post","2023","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","EO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","40","40","36190","35040"
"In post","2023","20-29","Declared disabled","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Education","EO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Education","G6/G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Education","SEO/HEO","65","65","36700","37590"
"In post","2023","20-29","Declared disabled","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","75","70","22400","22150"
"In post","2023","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","EO","60","60","26760","25920"
"In post","2023","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","140","140","34640","33830"
"In post","2023","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for International Trade","EO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for International Trade","G6/G7","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for International Trade","SEO/HEO","50","50","38190","36340"
"In post","2023","20-29","Declared disabled","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Levelling Up, Housing and Communities","EO","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Levelling Up, Housing and Communities","G6/G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Levelling Up, Housing and Communities","SEO/HEO","60","60","36820","34310"
"In post","2023","20-29","Declared disabled","Department for Transport","AA/AO","35","35","22410","22500"
"In post","2023","20-29","Declared disabled","Department for Transport","EO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Transport","G6/G7","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Transport","SEO/HEO","45","45","38520","36760"
"In post","2023","20-29","Declared disabled","Department for Work and Pensions","AA/AO","415","395","21950","21690"
"In post","2023","20-29","Declared disabled","Department for Work and Pensions","EO","565","550","28960","28120"
"In post","2023","20-29","Declared disabled","Department for Work and Pensions","G6/G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Work and Pensions","SEO/HEO","135","135","36150","34170"
"In post","2023","20-29","Declared disabled","Department of Health and Social Care","AA/AO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department of Health and Social Care","EO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department of Health and Social Care","G6/G7","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department of Health and Social Care","SEO/HEO","60","60","35130","34190"
"In post","2023","20-29","Declared disabled","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Food Standards Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Foreign, Commonwealth and Development Office","EO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Foreign, Commonwealth and Development Office","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Foreign, Commonwealth and Development Office","SEO/HEO","75","75","37150","36620"
"In post","2023","20-29","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","HM Land Registry","AA/AO","35","35","23350","23390"
"In post","2023","20-29","Declared disabled","HM Land Registry","EO","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","HM Land Registry","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","HM Revenue and Customs","AA/AO","215","205","22730","22520"
"In post","2023","20-29","Declared disabled","HM Revenue and Customs","EO","145","140","28480","27890"
"In post","2023","20-29","Declared disabled","HM Revenue and Customs","G6/G7","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","HM Revenue and Customs","SEO/HEO","185","185","36730","35000"
"In post","2023","20-29","Declared disabled","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","HM Treasury","EO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","HM Treasury","G6/G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","HM Treasury","SEO/HEO","55","55","34140","33820"
"In post","2023","20-29","Declared disabled","Home Office","AA/AO","50","50","22840","22400"
"In post","2023","20-29","Declared disabled","Home Office","EO","90","85","26900","25880"
"In post","2023","20-29","Declared disabled","Home Office","G6/G7","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Home Office","SEO/HEO","55","55","37610","36180"
"In post","2023","20-29","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Ministry of Defence","AA/AO","155","155","23840","22220"
"In post","2023","20-29","Declared disabled","Ministry of Defence","EO","110","110","27180","27140"
"In post","2023","20-29","Declared disabled","Ministry of Defence","G6/G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Ministry of Defence","SEO/HEO","305","300","34910","33830"
"In post","2023","20-29","Declared disabled","Ministry of Defence","Unknown","45","45","32240","31920"
"In post","2023","20-29","Declared disabled","Ministry of Justice","AA/AO","655","635","27030","28160"
"In post","2023","20-29","Declared disabled","Ministry of Justice","EO","135","135","29320","28480"
"In post","2023","20-29","Declared disabled","Ministry of Justice","G6/G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Ministry of Justice","SEO/HEO","165","160","36500","35410"
"In post","2023","20-29","Declared disabled","Ministry of Justice","Unknown","490","480","26120","24570"
"In post","2023","20-29","Declared disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","National Crime Agency","EO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","National Crime Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Office for Standards in Education, Children's Services and Skills","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Office of Gas and Electricity Markets","EO","20","20","[c]","[c]"
