"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Digital, Data & Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","EO","Female","215","200","28470","28120"
"In post","2023","Declared disabled","Digital, Data & Technology","EO","Male","290","280","28470","28120"
"In post","2023","Declared disabled","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","G6/G7","Female","285","275","57630","56060"
"In post","2023","Declared disabled","Digital, Data & Technology","G6/G7","Male","365","360","60020","58940"
"In post","2023","Declared disabled","Digital, Data & Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","SCS level","Male","25","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","SEO/HEO","Female","585","555","37490","37420"
"In post","2023","Declared disabled","Digital, Data & Technology","SEO/HEO","Male","700","680","38220","37760"
"In post","2023","Declared disabled","Digital, Data & Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA/AO","Female","160","130","22680","22520"
"In post","2023","Declared disabled","Finance","AA/AO","Male","70","60","22750","22520"
"In post","2023","Declared disabled","Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","EO","Female","135","130","28370","28120"
"In post","2023","Declared disabled","Finance","EO","Male","70","70","28500","28120"
"In post","2023","Declared disabled","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","G6/G7","Female","125","120","59290","57970"
"In post","2023","Declared disabled","Finance","G6/G7","Male","105","100","59470","58180"
"In post","2023","Declared disabled","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SEO/HEO","Female","315","295","38090","37680"
"In post","2023","Declared disabled","Finance","SEO/HEO","Male","250","245","38260","37680"
"In post","2023","Declared disabled","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","AA/AO","Female","155","135","22140","22150"
"In post","2023","Declared disabled","Grants Management","AA/AO","Male","95","90","22150","22150"
"In post","2023","Declared disabled","Grants Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","EO","Female","65","55","26170","25920"
"In post","2023","Declared disabled","Grants Management","EO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SEO/HEO","Female","35","35","33100","31040"
"In post","2023","Declared disabled","Grants Management","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA/AO","Female","110","95","22640","22220"
"In post","2023","Declared disabled","Human Resources","AA/AO","Male","55","50","22800","22220"
"In post","2023","Declared disabled","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","EO","Female","285","260","28190","28120"
"In post","2023","Declared disabled","Human Resources","EO","Male","210","205","29280","28120"
"In post","2023","Declared disabled","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G6/G7","Female","270","265","58180","56430"
"In post","2023","Declared disabled","Human Resources","G6/G7","Male","115","115","58570","56980"
"In post","2023","Declared disabled","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Female","40","35","87750","82060"
"In post","2023","Declared disabled","Human Resources","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","Female","630","595","37590","37300"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","Male","295","285","38260","37880"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Female","15","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","Female","30","30","39400","37640"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","Male","30","25","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","AA/AO","Female","160","145","23230","22870"
"In post","2023","Declared disabled","Legal","AA/AO","Male","75","70","23470","22870"
"In post","2023","Declared disabled","Legal","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","EO","Female","205","180","28610","28430"
"In post","2023","Declared disabled","Legal","EO","Male","70","65","29240","28850"
"In post","2023","Declared disabled","Legal","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","G6/G7","Female","385","350","60060","57620"
"In post","2023","Declared disabled","Legal","G6/G7","Male","235","220","61530","59200"
"In post","2023","Declared disabled","Legal","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","SCS level","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Legal","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Legal","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","SEO/HEO","Female","145","135","37760","37790"
"In post","2023","Declared disabled","Legal","SEO/HEO","Male","65","60","37660","36050"
"In post","2023","Declared disabled","Legal","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","AA/AO","Female","8185","6840","23030","21780"
"In post","2023","Declared disabled","No function","AA/AO","Male","5335","4950","24300","22400"
"In post","2023","Declared disabled","No function","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","EO","Female","8470","7410","28690","28120"
"In post","2023","Declared disabled","No function","EO","Male","4555","4285","29290","28120"
"In post","2023","Declared disabled","No function","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","G6/G7","Female","1410","1355","59510","57250"
"In post","2023","Declared disabled","No function","G6/G7","Male","1085","1060","60650","58180"
"In post","2023","Declared disabled","No function","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","SCS level","Female","135","125","88720","79470"
"In post","2023","Declared disabled","No function","SCS level","Male","135","135","94260","83920"
"In post","2023","Declared disabled","No function","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","SEO/HEO","Female","4450","4215","37660","36180"
"In post","2023","Declared disabled","No function","SEO/HEO","Male","3220","3105","38760","37560"
"In post","2023","Declared disabled","No function","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Unknown","Female","3115","2885","30950","29050"
"In post","2023","Declared disabled","No function","Unknown","Male","915","870","31760","29050"
"In post","2023","Declared disabled","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","AA/AO","Female","30","30","22910","22520"
"In post","2023","Declared disabled","Project Delivery","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","EO","Female","135","125","28510","28120"
"In post","2023","Declared disabled","Project Delivery","EO","Male","80","75","28350","28120"
"In post","2023","Declared disabled","Project Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","G6/G7","Female","365","350","58680","56870"
"In post","2023","Declared disabled","Project Delivery","G6/G7","Male","300","290","59720","57970"
"In post","2023","Declared disabled","Project Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","SCS level","Female","15","10","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","SCS level","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","SEO/HEO","Female","715","680","36990","36530"
"In post","2023","Declared disabled","Project Delivery","SEO/HEO","Male","495","480","38380","38470"
"In post","2023","Declared disabled","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Unknown","Female","85","80","38370","34330"
"In post","2023","Declared disabled","Project Delivery","Unknown","Male","110","110","43360","42620"
"In post","2023","Declared disabled","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","AA/AO","Female","70","65","22760","22520"
"In post","2023","Declared disabled","Property","AA/AO","Male","75","75","22830","22520"
"In post","2023","Declared disabled","Property","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","EO","Female","70","65","28280","27600"
"In post","2023","Declared disabled","Property","EO","Male","60","55","27850","27380"
"In post","2023","Declared disabled","Property","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","G6/G7","Female","65","65","58230","56180"
"In post","2023","Declared disabled","Property","G6/G7","Male","80","75","58720","58080"
"In post","2023","Declared disabled","Property","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Property","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Property","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","SEO/HEO","Female","175","165","36940","34930"
"In post","2023","Declared disabled","Property","SEO/HEO","Male","180","170","38470","37520"
"In post","2023","Declared disabled","Property","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","AA/AO","Female","80","75","25420","21830"
"In post","2023","Declared disabled","Security","AA/AO","Male","300","290","28320","24380"
"In post","2023","Declared disabled","Security","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","EO","Female","65","65","28340","27470"
"In post","2023","Declared disabled","Security","EO","Male","85","85","34730","29400"
"In post","2023","Declared disabled","Security","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","G6/G7","Female","30","25","[c]","[c]"
"In post","2023","Declared disabled","Security","G6/G7","Male","45","45","60580","59890"
"In post","2023","Declared disabled","Security","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Security","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","SEO/HEO","Female","100","100","37670","36400"
"In post","2023","Declared disabled","Security","SEO/HEO","Male","130","130","39570","38070"
"In post","2023","Declared disabled","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","Female","230","210","24790","24890"
"In post","2023","Declared disabled","Unknown","AA/AO","Male","180","180","24510","24890"
"In post","2023","Declared disabled","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Female","300","275","30000","29450"
"In post","2023","Declared disabled","Unknown","EO","Male","185","180","30100","29450"
"In post","2023","Declared disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","Female","285","265","62600","61200"
"In post","2023","Declared disabled","Unknown","G6/G7","Male","250","240","59910","59890"
"In post","2023","Declared disabled","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Female","705","670","38270","38330"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Male","520","510","38990","38530"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","AA/AO","Female","55","50","22560","22150"
"In post","2023","Declared non-disabled","Analysis","AA/AO","Male","50","50","22720","22220"
"In post","2023","Declared non-disabled","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","EO","Female","275","255","27480","26950"
"In post","2023","Declared non-disabled","Analysis","EO","Male","260","260","27850","27650"
"In post","2023","Declared non-disabled","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","G6/G7","Female","1025","950","60140","58370"
"In post","2023","Declared non-disabled","Analysis","G6/G7","Male","1390","1355","60980","58970"
"In post","2023","Declared non-disabled","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","SCS level","Female","75","70","84630","80790"
"In post","2023","Declared non-disabled","Analysis","SCS level","Male","95","95","92200","83740"
"In post","2023","Declared non-disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","SEO/HEO","Female","1485","1410","37830","37760"
"In post","2023","Declared non-disabled","Analysis","SEO/HEO","Male","1585","1565","38080","38210"
"In post","2023","Declared non-disabled","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","AA/AO","Female","105","95","23020","22500"
"In post","2023","Declared non-disabled","Commercial","AA/AO","Male","70","65","22800","22360"
"In post","2023","Declared non-disabled","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","EO","Female","255","230","27720","27250"
"In post","2023","Declared non-disabled","Commercial","EO","Male","165","165","27710","27250"
"In post","2023","Declared non-disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","G6/G7","Female","770","745","62280","59800"
"In post","2023","Declared non-disabled","Commercial","G6/G7","Male","850","840","64120","64510"
"In post","2023","Declared non-disabled","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","SCS level","Female","85","80","109100","101370"
"In post","2023","Declared non-disabled","Commercial","SCS level","Male","130","130","118840","117800"
"In post","2023","Declared non-disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","SEO/HEO","Female","1190","1140","38180","38030"
"In post","2023","Declared non-disabled","Commercial","SEO/HEO","Male","880","870","39010","39090"
"In post","2023","Declared non-disabled","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Unknown","Female","55","55","40890","42620"
"In post","2023","Declared non-disabled","Commercial","Unknown","Male","55","55","47250","43400"
"In post","2023","Declared non-disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","AA/AO","Female","65","60","22880","22220"
"In post","2023","Declared non-disabled","Communications","AA/AO","Male","40","40","23600","22500"
"In post","2023","Declared non-disabled","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","EO","Female","180","165","28600","28090"
"In post","2023","Declared non-disabled","Communications","EO","Male","115","110","28950","28700"
"In post","2023","Declared non-disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","G6/G7","Female","435","410","59630","57970"
"In post","2023","Declared non-disabled","Communications","G6/G7","Male","265","260","60550","58630"
"In post","2023","Declared non-disabled","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","SCS level","Female","45","45","86880","82040"
"In post","2023","Declared non-disabled","Communications","SCS level","Male","40","40","96690","86700"
"In post","2023","Declared non-disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","SEO/HEO","Female","785","740","38980","39450"
