"Status","Year","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","30","30","38310","34460"
"In post","2023","Declared disabled","Commercial","Other","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Policy","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","295","285","41610","38940"
"In post","2023","Declared disabled","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Operational Delivery","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Counter Fraud","1380","1245","30290","28120"
"In post","2023","Declared disabled","Counter Fraud","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Intelligence Analysis","25","25","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Legal","165","150","35250","34700"
"In post","2023","Declared disabled","Counter Fraud","Operational Delivery","410","375","32980","29730"
"In post","2023","Declared disabled","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Other","40","35","41460","42060"
"In post","2023","Declared disabled","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Tax","145","135","44090","36990"
"In post","2023","Declared disabled","Counter Fraud","Unknown","30","30","[c]","[c]"
"In post","2023","Declared disabled","Debt","Operational Delivery","395","350","25880","22520"
"In post","2023","Declared disabled","Debt","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Other","480","410","23310","21690"
"In post","2023","Declared disabled","Debt","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Tax","40","40","23610","22520"
"In post","2023","Declared disabled","Debt","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","2100","2025","42140","38470"
"In post","2023","Declared disabled","Digital, Data & Technology","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Finance","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Human Resources","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","150","145","32850","28060"
"In post","2023","Declared disabled","Digital, Data & Technology","Operational Delivery","105","100","37080","35000"
"In post","2023","Declared disabled","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Other","30","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Policy","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Project Delivery","30","30","42540","36690"
"In post","2023","Declared disabled","Digital, Data & Technology","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Science and Engineering","55","50","37230","39650"
"In post","2023","Declared disabled","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Tax","10","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","75","75","47100","43090"
"In post","2023","Declared disabled","Finance","Commercial","130","115","36130","34330"
"In post","2023","Declared disabled","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Counter Fraud","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Finance","865","820","41100","37490"
"In post","2023","Declared disabled","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Operational Delivery","155","135","27020","22520"
"In post","2023","Declared disabled","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Policy","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Security","55","55","39130","38470"
"In post","2023","Declared disabled","Finance","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Tax","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Operational Delivery","400","365","25650","22150"
"In post","2023","Declared disabled","Grants Management","Policy","5","5","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Human Resources","1645","1565","40220","36540"
"In post","2023","Declared disabled","Human Resources","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Operational Delivery","250","235","32270","28120"
"In post","2023","Declared disabled","Human Resources","Other","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Policy","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Tax","35","35","36230","35000"
"In post","2023","Declared disabled","Human Resources","Unknown","55","50","43350","40480"
"In post","2023","Declared disabled","Internal Audit","Internal Audit","85","80","45770","42930"
"In post","2023","Declared disabled","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Finance","20","20","[c]","[c]"
"In post","2023","Declared disabled","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Knowledge and Information Management","15","15","[c]","[c]"
"In post","2023","Declared disabled","Legal","Legal","760","705","56670","56450"
"In post","2023","Declared disabled","Legal","Operational Delivery","490","450","28860","26920"
"In post","2023","Declared disabled","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Policy","15","15","[c]","[c]"
"In post","2023","Declared disabled","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Tax","40","35","41680","35000"
"In post","2023","Declared disabled","Legal","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Commercial","70","70","46150","45620"
"In post","2023","Declared disabled","No function","Communications","25","25","[c]","[c]"
"In post","2023","Declared disabled","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Counter Fraud","25","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Digital, Data and Technology","80","75","52380","54220"
"In post","2023","Declared disabled","No function","Economics","20","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Finance","25","25","[c]","[c]"
"In post","2023","Declared disabled","No function","Geography","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Human Resources","35","35","43070","37680"
"In post","2023","Declared disabled","No function","Inspector of Education and Training","70","70","65640","66170"
"In post","2023","Declared disabled","No function","Intelligence Analysis","245","230","33730","31290"
"In post","2023","Declared disabled","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","International Trade","145","145","46670","41550"
"In post","2023","Declared disabled","No function","Knowledge and Information Management","105","100","35150","33250"
"In post","2023","Declared disabled","No function","Legal","150","140","44780","43650"
"In post","2023","Declared disabled","No function","Medicine","110","100","61010","48270"
"In post","2023","Declared disabled","No function","Operational Delivery","33395","29945","29000","28120"
"In post","2023","Declared disabled","No function","Operational Research","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Other","1105","1030","31130","28120"
"In post","2023","Declared disabled","No function","Planning","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Planning Inspectors","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Policy","2645","2585","47030","42930"
"In post","2023","Declared disabled","No function","Project Delivery","165","160","46640","43210"
"In post","2023","Declared disabled","No function","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Psychology","145","145","34890","30940"
"In post","2023","Declared disabled","No function","Science and Engineering","665","640","38930","37040"
"In post","2023","Declared disabled","No function","Security","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Social Research","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Statistics","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Tax","1175","1095","38680","35000"
"In post","2023","Declared disabled","No function","Unknown","485","470","41840","35240"
"In post","2023","Declared disabled","No function","Veterinarian","25","25","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Inspector of Education and Training","10","5","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Operational Delivery","200","190","38920","34810"
"In post","2023","Declared disabled","Project Delivery","Operational Research","30","30","41580","39890"
"In post","2023","Declared disabled","Project Delivery","Other","35","35","37230","36110"
"In post","2023","Declared disabled","Project Delivery","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Policy","165","155","53710","54710"
"In post","2023","Declared disabled","Project Delivery","Project Delivery","1650","1585","43160","40300"
"In post","2023","Declared disabled","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Science and Engineering","150","150","42360","42620"
"In post","2023","Declared disabled","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Tax","70","65","37340","35000"
"In post","2023","Declared disabled","Project Delivery","Unknown","35","35","43460","37900"
"In post","2023","Declared disabled","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Declared disabled","Property","Finance","5","5","[c]","[c]"
"In post","2023","Declared disabled","Property","Human Resources","10","10","[c]","[c]"
"In post","2023","Declared disabled","Property","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Operational Delivery","110","105","31510","24770"
"In post","2023","Declared disabled","Property","Other","25","25","[c]","[c]"
"In post","2023","Declared disabled","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Property","Property","610","580","38670","34440"
"In post","2023","Declared disabled","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Intelligence Analysis","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","Knowledge and Information Management","15","15","[c]","[c]"
"In post","2023","Declared disabled","Security","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Policy","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Security","705","685","34460","31920"
"In post","2023","Declared disabled","Security","Unknown","85","80","33400","27430"
"In post","2023","Declared disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Finance","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Human Resources","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Inspector of Education and Training","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Legal","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Medicine","20","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Operational Delivery","100","95","41470","36590"
"In post","2023","Declared disabled","Unknown","Other","110","100","45430","39890"
"In post","2023","Declared disabled","Unknown","Planning","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Policy","270","255","45930","39710"
"In post","2023","Declared disabled","Unknown","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Property","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Science and Engineering","340","330","40040","39890"
"In post","2023","Declared disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Social Research","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Statistics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","1730","1650","38940","33520"
"In post","2023","Declared disabled","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Digital, Data and Technology","105","100","45520","41870"
"In post","2023","Declared non-disabled","Analysis","Economics","1090","1065","50540","52500"
"In post","2023","Declared non-disabled","Analysis","Finance","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Human Resources","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Intelligence Analysis","80","80","42620","41640"
"In post","2023","Declared non-disabled","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Knowledge and Information Management","45","40","45060","40070"
"In post","2023","Declared non-disabled","Analysis","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Operational Delivery","415","390","35320","32550"
"In post","2023","Declared non-disabled","Analysis","Operational Research","455","435","48540","49260"
"In post","2023","Declared non-disabled","Analysis","Other","410","390","54080","43750"
"In post","2023","Declared non-disabled","Analysis","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Policy","195","190","49220","43760"
"In post","2023","Declared non-disabled","Analysis","Project Delivery","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Science and Engineering","750","720","42860","39890"
"In post","2023","Declared non-disabled","Analysis","Social Research","865","825","46730","43320"
"In post","2023","Declared non-disabled","Analysis","Statistics","1710","1640","46900","43650"
"In post","2023","Declared non-disabled","Analysis","Tax","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Unknown","130","130","48650","43690"
"In post","2023","Declared non-disabled","Commercial","Commercial","3840","3725","49670","42700"
"In post","2023","Declared non-disabled","Commercial","Communications","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Economics","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Finance","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Human Resources","35","35","50770","56430"
"In post","2023","Declared non-disabled","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Operational Delivery","295","285","48230","44860"
"In post","2023","Declared non-disabled","Commercial","Other","150","140","41090","38300"
"In post","2023","Declared non-disabled","Commercial","Policy","40","40","52630","52790"
"In post","2023","Declared non-disabled","Commercial","Project Delivery","50","50","39900","34170"
"In post","2023","Declared non-disabled","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Science and Engineering","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Tax","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Unknown","110","110","57110","56000"
"In post","2023","Declared non-disabled","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Communications","2195","2105","44370","41340"
"In post","2023","Declared non-disabled","Communications","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Finance","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Human Resources","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Knowledge and Information Management","65","65","42530","40670"
"In post","2023","Declared non-disabled","Communications","Operational Delivery","65","65","50990","42130"
"In post","2023","Declared non-disabled","Communications","Other","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Policy","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Unknown","70","65","55000","51220"
"In post","2023","Declared non-disabled","Counter Fraud","Commercial","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Counter Fraud","6535","6015","31610","28120"
"In post","2023","Declared non-disabled","Counter Fraud","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Finance","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Intelligence Analysis","155","150","42090","39450"
"In post","2023","Declared non-disabled","Counter Fraud","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Knowledge and Information Management","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Legal","1185","1140","35300","34700"
"In post","2023","Declared non-disabled","Counter Fraud","Operational Delivery","2030","1875","34250","34170"
"In post","2023","Declared non-disabled","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Other","180","165","46650","42510"
