"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Counter Fraud","AA/AO","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","AA","Unknown","5","5","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","AO","Heterosexual / straight","1075","945","23170","21690"
"In post","2023","Counter Fraud","AA/AO","AO","LGBO","70","65","23150","21690"
"In post","2023","Counter Fraud","AA/AO","AO","Undeclared","185","155","22920","21690"
"In post","2023","Counter Fraud","AA/AO","AO","Unknown","270","225","23220","22520"
"In post","2023","Counter Fraud","EO","EO","Heterosexual / straight","3380","3115","28960","28120"
"In post","2023","Counter Fraud","EO","EO","LGBO","205","195","28940","28120"
"In post","2023","Counter Fraud","EO","EO","Undeclared","380","345","28880","28120"
"In post","2023","Counter Fraud","EO","EO","Unknown","945","850","29150","28120"
"In post","2023","Counter Fraud","G6/G7","G6","Heterosexual / straight","75","70","72040","71300"
"In post","2023","Counter Fraud","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","G6/G7","G6","Undeclared","10","10","[c]","[c]"
"In post","2023","Counter Fraud","G6/G7","G6","Unknown","20","15","[c]","[c]"
"In post","2023","Counter Fraud","G6/G7","G7","Heterosexual / straight","160","155","58010","57970"
"In post","2023","Counter Fraud","G6/G7","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Counter Fraud","G6/G7","G7","Undeclared","25","25","[c]","[c]"
"In post","2023","Counter Fraud","G6/G7","G7","Unknown","45","40","59050","57970"
"In post","2023","Counter Fraud","SCS level","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Counter Fraud","SEO/HEO","HEO","Heterosexual / straight","1385","1320","35600","34700"
"In post","2023","Counter Fraud","SEO/HEO","HEO","LGBO","95","95","35720","34790"
"In post","2023","Counter Fraud","SEO/HEO","HEO","Undeclared","165","155","36010","35000"
"In post","2023","Counter Fraud","SEO/HEO","HEO","Unknown","410","395","36500","35000"
"In post","2023","Counter Fraud","SEO/HEO","SEO","Heterosexual / straight","435","415","42290","42140"
"In post","2023","Counter Fraud","SEO/HEO","SEO","LGBO","25","25","[c]","[c]"
"In post","2023","Counter Fraud","SEO/HEO","SEO","Undeclared","50","50","43720","42510"
"In post","2023","Counter Fraud","SEO/HEO","SEO","Unknown","135","130","43010","42510"
"In post","2023","Digital, Data and Technology","AA/AO","AA","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","AA/AO","AA","Unknown","15","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","AA/AO","AO","Heterosexual / straight","375","360","23280","22330"
"In post","2023","Digital, Data and Technology","AA/AO","AO","LGBO","25","25","[c]","[c]"
"In post","2023","Digital, Data and Technology","AA/AO","AO","Undeclared","50","50","23050","22350"
"In post","2023","Digital, Data and Technology","AA/AO","AO","Unknown","100","95","23360","23310"
"In post","2023","Digital, Data and Technology","EO","EO","Heterosexual / straight","2185","2080","28650","28120"
"In post","2023","Digital, Data and Technology","EO","EO","LGBO","145","140","28050","28080"
"In post","2023","Digital, Data and Technology","EO","EO","Undeclared","310","300","28960","28120"
"In post","2023","Digital, Data and Technology","EO","EO","Unknown","720","685","28740","28120"
"In post","2023","Digital, Data and Technology","G6/G7","G6","Heterosexual / straight","1215","1200","69830","68550"
"In post","2023","Digital, Data and Technology","G6/G7","G6","LGBO","60","60","69900","68770"
"In post","2023","Digital, Data and Technology","G6/G7","G6","Undeclared","160","155","70950","71300"
"In post","2023","Digital, Data and Technology","G6/G7","G6","Unknown","340","330","70110","68610"
"In post","2023","Digital, Data and Technology","G6/G7","G7","Heterosexual / straight","3765","3685","56380","55850"
"In post","2023","Digital, Data and Technology","G6/G7","G7","LGBO","280","275","56230","56340"
"In post","2023","Digital, Data and Technology","G6/G7","G7","Undeclared","490","480","56600","56180"
"In post","2023","Digital, Data and Technology","G6/G7","G7","Unknown","970","955","56780","56430"
"In post","2023","Digital, Data and Technology","SCS level","SCS level","Heterosexual / straight","285","280","95510","90000"
"In post","2023","Digital, Data and Technology","SCS level","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Digital, Data and Technology","SCS level","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","SCS level","SCS level","Unknown","65","65","99300","95340"
"In post","2023","Digital, Data and Technology","SEO/HEO","HEO","Heterosexual / straight","3475","3370","34940","34300"
"In post","2023","Digital, Data and Technology","SEO/HEO","HEO","LGBO","295","290","34250","34170"
"In post","2023","Digital, Data and Technology","SEO/HEO","HEO","Undeclared","490","470","35270","34700"
"In post","2023","Digital, Data and Technology","SEO/HEO","HEO","Unknown","1215","1195","34640","34400"
"In post","2023","Digital, Data and Technology","SEO/HEO","SEO","Heterosexual / straight","4045","3960","42410","41870"
"In post","2023","Digital, Data and Technology","SEO/HEO","SEO","LGBO","250","250","41420","41390"
"In post","2023","Digital, Data and Technology","SEO/HEO","SEO","Undeclared","585","570","42930","42140"
"In post","2023","Digital, Data and Technology","SEO/HEO","SEO","Unknown","1120","1100","42710","42140"
"In post","2023","Digital, Data and Technology","Unknown","Unknown","Heterosexual / straight","55","55","38290","38290"
"In post","2023","Digital, Data and Technology","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Economics","AA/AO","AO","Heterosexual / straight","45","45","22620","21200"
"In post","2023","Economics","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Economics","AA/AO","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Economics","AA/AO","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Economics","EO","EO","Heterosexual / straight","125","125","27650","28510"
"In post","2023","Economics","EO","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Economics","EO","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Economics","EO","EO","Unknown","30","30","29030","29280"
"In post","2023","Economics","G6/G7","G6","Heterosexual / straight","185","175","71920","70740"
"In post","2023","Economics","G6/G7","G6","LGBO","15","10","[c]","[c]"
"In post","2023","Economics","G6/G7","G6","Undeclared","20","20","[c]","[c]"
"In post","2023","Economics","G6/G7","G6","Unknown","30","30","[c]","[c]"
"In post","2023","Economics","G6/G7","G7","Heterosexual / straight","475","465","57570","56240"
"In post","2023","Economics","G6/G7","G7","LGBO","45","45","57270","55740"
"In post","2023","Economics","G6/G7","G7","Undeclared","60","55","58790","58160"
"In post","2023","Economics","G6/G7","G7","Unknown","95","90","58560","56830"
"In post","2023","Economics","SCS level","SCS level","Heterosexual / straight","80","75","89540","82150"
"In post","2023","Economics","SCS level","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Economics","SCS level","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Economics","SCS level","SCS level","Unknown","15","15","[c]","[c]"
"In post","2023","Economics","SEO/HEO","HEO","Heterosexual / straight","390","390","35360","34700"
"In post","2023","Economics","SEO/HEO","HEO","LGBO","55","55","35060","35010"
"In post","2023","Economics","SEO/HEO","HEO","Undeclared","45","45","35800","35000"
"In post","2023","Economics","SEO/HEO","HEO","Unknown","145","140","35190","35280"
"In post","2023","Economics","SEO/HEO","SEO","Heterosexual / straight","165","165","43200","43280"
"In post","2023","Economics","SEO/HEO","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Economics","SEO/HEO","SEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Economics","SEO/HEO","SEO","Unknown","55","55","43200","43650"
"In post","2023","Economics","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","AA/AO","AA","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Finance","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Finance","AA/AO","AA","Unknown","10","10","[c]","[c]"
"In post","2023","Finance","AA/AO","AO","Heterosexual / straight","695","635","23170","22520"
"In post","2023","Finance","AA/AO","AO","LGBO","25","25","[c]","[c]"
"In post","2023","Finance","AA/AO","AO","Undeclared","75","65","22870","22400"
"In post","2023","Finance","AA/AO","AO","Unknown","240","215","23560","22520"
"In post","2023","Finance","EO","EO","Heterosexual / straight","1180","1120","28330","27740"
"In post","2023","Finance","EO","EO","LGBO","65","60","27990","28120"
"In post","2023","Finance","EO","EO","Undeclared","135","125","28500","28120"
"In post","2023","Finance","EO","EO","Unknown","235","230","28190","27650"
"In post","2023","Finance","G6/G7","G6","Heterosexual / straight","580","565","69720","70250"
"In post","2023","Finance","G6/G7","G6","LGBO","25","25","[c]","[c]"
"In post","2023","Finance","G6/G7","G6","Undeclared","65","60","69830","70410"
"In post","2023","Finance","G6/G7","G6","Unknown","110","110","70400","70840"
"In post","2023","Finance","G6/G7","G7","Heterosexual / straight","1410","1370","56270","56080"
"In post","2023","Finance","G6/G7","G7","LGBO","65","65","56160","55730"
"In post","2023","Finance","G6/G7","G7","Undeclared","140","135","56960","56920"
"In post","2023","Finance","G6/G7","G7","Unknown","215","210","56520","55720"
"In post","2023","Finance","SCS level","SCS level","Heterosexual / straight","255","245","93420","83810"
"In post","2023","Finance","SCS level","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Finance","SCS level","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2023","Finance","SCS level","SCS level","Unknown","40","40","90290","84210"
"In post","2023","Finance","SEO/HEO","HEO","Heterosexual / straight","1620","1550","34850","34300"
"In post","2023","Finance","SEO/HEO","HEO","LGBO","75","75","34360","34170"
"In post","2023","Finance","SEO/HEO","HEO","Undeclared","185","175","35280","34300"
"In post","2023","Finance","SEO/HEO","HEO","Unknown","325","320","34720","34300"
"In post","2023","Finance","SEO/HEO","SEO","Heterosexual / straight","1760","1695","42940","42210"
"In post","2023","Finance","SEO/HEO","SEO","LGBO","60","60","42620","42140"
"In post","2023","Finance","SEO/HEO","SEO","Undeclared","210","200","44170","43230"
"In post","2023","Finance","SEO/HEO","SEO","Unknown","310","300","42720","42510"
"In post","2023","Finance","Unknown","Unknown","Heterosexual / straight","50","50","56050","54510"
"In post","2023","Finance","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Geography","AA/AO","AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Geography","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Geography","AA/AO","AO","Unknown","20","20","[c]","[c]"
"In post","2023","Geography","EO","EO","Heterosexual / straight","100","95","28460","27610"
"In post","2023","Geography","EO","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Geography","EO","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Geography","EO","EO","Unknown","60","55","28160","27610"
"In post","2023","Geography","G6/G7","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Geography","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Geography","G6/G7","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Geography","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Geography","G6/G7","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Geography","SEO/HEO","HEO","Heterosexual / straight","135","130","34820","34370"
"In post","2023","Geography","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Geography","SEO/HEO","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Geography","SEO/HEO","HEO","Unknown","35","30","34510","34370"
"In post","2023","Geography","SEO/HEO","SEO","Heterosexual / straight","45","45","43440","43890"
"In post","2023","Geography","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Geography","SEO/HEO","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Geography","SEO/HEO","SEO","Unknown","15","10","[c]","[c]"
"In post","2023","Human Resources","AA/AO","AA","Heterosexual / straight","55","50","21210","21380"
"In post","2023","Human Resources","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","AA/AO","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","Human Resources","AA/AO","AA","Unknown","15","15","[c]","[c]"
"In post","2023","Human Resources","AA/AO","AO","Heterosexual / straight","870","805","22830","22220"
"In post","2023","Human Resources","AA/AO","AO","LGBO","45","40","22980","22500"
"In post","2023","Human Resources","AA/AO","AO","Undeclared","95","90","22650","22220"
"In post","2023","Human Resources","AA/AO","AO","Unknown","185","170","23040","22220"
"In post","2023","Human Resources","EO","EO","Heterosexual / straight","2095","1995","28630","27740"
"In post","2023","Human Resources","EO","EO","LGBO","105","100","27400","27140"
"In post","2023","Human Resources","EO","EO","Undeclared","265","255","29200","28120"
"In post","2023","Human Resources","EO","EO","Unknown","395","385","28780","27890"
"In post","2023","Human Resources","G6/G7","G6","Heterosexual / straight","580","565","68450","67890"
"In post","2023","Human Resources","G6/G7","G6","LGBO","45","45","68190","67900"
"In post","2023","Human Resources","G6/G7","G6","Undeclared","30","30","70920","70840"
"In post","2023","Human Resources","G6/G7","G6","Unknown","55","55","69900","68640"
"In post","2023","Human Resources","G6/G7","G7","Heterosexual / straight","1455","1405","55540","55380"
"In post","2023","Human Resources","G6/G7","G7","LGBO","110","110","55030","55150"
"In post","2023","Human Resources","G6/G7","G7","Undeclared","115","115","56670","56130"
"In post","2023","Human Resources","G6/G7","G7","Unknown","190","190","57060","55770"
"In post","2023","Human Resources","SCS level","SCS level","Heterosexual / straight","205","200","91260","82920"
"In post","2023","Human Resources","SCS level","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Human Resources","SCS level","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Human Resources","SCS level","SCS level","Unknown","20","20","[c]","[c]"
"In post","2023","Human Resources","SEO/HEO","HEO","Heterosexual / straight","2565","2460","34800","34300"
"In post","2023","Human Resources","SEO/HEO","HEO","LGBO","160","160","34010","34170"
"In post","2023","Human Resources","SEO/HEO","HEO","Undeclared","250","240","35110","34300"
"In post","2023","Human Resources","SEO/HEO","HEO","Unknown","570","555","40890","35650"
"In post","2023","Human Resources","SEO/HEO","SEO","Heterosexual / straight","1880","1805","42410","41780"
"In post","2023","Human Resources","SEO/HEO","SEO","LGBO","100","100","41690","41000"
"In post","2023","Human Resources","SEO/HEO","SEO","Undeclared","155","150","43140","41800"
"In post","2023","Human Resources","SEO/HEO","SEO","Unknown","240","235","42340","41640"
"In post","2023","Human Resources","Unknown","Unknown","Heterosexual / straight","75","70","39810","38290"
"In post","2023","Human Resources","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Inspector of Education and Training","AA/AO","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","EO","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","G6/G7","G6","Heterosexual / straight","160","160","83360","85090"
"In post","2023","Inspector of Education and Training","G6/G7","G6","LGBO","15","15","[c]","[c]"
"In post","2023","Inspector of Education and Training","G6/G7","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Inspector of Education and Training","G6/G7","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Inspector of Education and Training","G6/G7","G7","Heterosexual / straight","375","370","74940","77470"
"In post","2023","Inspector of Education and Training","G6/G7","G7","LGBO","35","35","75000","77470"
"In post","2023","Inspector of Education and Training","G6/G7","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Inspector of Education and Training","G6/G7","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Inspector of Education and Training","SCS level","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Inspector of Education and Training","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","SEO","Heterosexual / straight","385","370","51720","52750"
"In post","2023","Inspector of Education and Training","SEO/HEO","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","SEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","SEO","Unknown","15","15","[c]","[c]"
"In post","2023","Intelligence Analysis","AA/AO","AO","Heterosexual / straight","70","65","24500","25060"
"In post","2023","Intelligence Analysis","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","AA/AO","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Intelligence Analysis","AA/AO","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Intelligence Analysis","EO","EO","Heterosexual / straight","1165","1100","28560","28480"
"In post","2023","Intelligence Analysis","EO","EO","LGBO","60","55","28260","28180"
"In post","2023","Intelligence Analysis","EO","EO","Undeclared","165","150","28930","28480"
"In post","2023","Intelligence Analysis","EO","EO","Unknown","220","215","28120","27320"
"In post","2023","Intelligence Analysis","G6/G7","G6","Heterosexual / straight","40","40","71210","71170"
"In post","2023","Intelligence Analysis","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","G6/G7","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Intelligence Analysis","G6/G7","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Intelligence Analysis","G6/G7","G7","Heterosexual / straight","140","140","59490","59510"
"In post","2023","Intelligence Analysis","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","G6/G7","G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Intelligence Analysis","G6/G7","G7","Unknown","20","20","[c]","[c]"
