"Status","Year","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Charity Commission","EO","Male","45","40","25840","25300"
"In post","2023","Charity Commission","G6/G7","Female","55","50","55960","52240"
"In post","2023","Charity Commission","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","Female","155","145","33930","30410"
"In post","2023","Charity Commission","SEO/HEO","Male","115","115","33880","30170"
"In post","2023","Competition and Markets Authority","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","EO","Female","35","35","28560","28000"
"In post","2023","Competition and Markets Authority","EO","Male","25","25","[c]","[c]"
"In post","2023","Competition and Markets Authority","G6/G7","Female","230","220","67240","66140"
"In post","2023","Competition and Markets Authority","G6/G7","Male","240","235","67590","66600"
"In post","2023","Competition and Markets Authority","SCS level","Female","55","50","109130","102320"
"In post","2023","Competition and Markets Authority","SCS level","Male","70","70","110250","102320"
"In post","2023","Competition and Markets Authority","SEO/HEO","Female","120","115","37830","35920"
"In post","2023","Competition and Markets Authority","SEO/HEO","Male","110","110","38700","35920"
"In post","2023","Department for Business, Energy and Industrial Strategy","AA/AO","Female","850","750","22520","22180"
"In post","2023","Department for Business, Energy and Industrial Strategy","AA/AO","Male","520","510","22390","22180"
"In post","2023","Department for Business, Energy and Industrial Strategy","EO","Female","1045","970","26910","25700"
"In post","2023","Department for Business, Energy and Industrial Strategy","EO","Male","785","770","27360","26650"
"In post","2023","Department for Business, Energy and Industrial Strategy","G6/G7","Female","2000","1910","58180","55940"
"In post","2023","Department for Business, Energy and Industrial Strategy","G6/G7","Male","2435","2385","58800","57860"
"In post","2023","Department for Business, Energy and Industrial Strategy","SCS level","Female","190","175","84220","77650"
"In post","2023","Department for Business, Energy and Industrial Strategy","SCS level","Male","220","220","87510","78410"
"In post","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","3155","3000","38120","37750"
"In post","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","3215","3145","39100","39650"
"In post","2023","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","EO","Female","105","100","28100","27780"
"In post","2023","Department for Digital, Culture, Media and Sport","EO","Male","65","65","27480","27510"
"In post","2023","Department for Digital, Culture, Media and Sport","G6/G7","Female","500","480","57210","54390"
"In post","2023","Department for Digital, Culture, Media and Sport","G6/G7","Male","440","435","57450","55600"
"In post","2023","Department for Digital, Culture, Media and Sport","SCS level","Female","60","55","86400","77160"
"In post","2023","Department for Digital, Culture, Media and Sport","SCS level","Male","55","55","87780","81500"
"In post","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","390","385","36700","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","315","310","36950","35620"
"In post","2023","Department for Education","AA/AO","Female","65","60","22800","22020"
"In post","2023","Department for Education","AA/AO","Male","30","30","[c]","[c]"
"In post","2023","Department for Education","EO","Female","515","485","27430","26940"
"In post","2023","Department for Education","EO","Male","270","270","27600","26940"
"In post","2023","Department for Education","G6/G7","Female","1870","1770","56920","55020"
"In post","2023","Department for Education","G6/G7","Male","1425","1405","57970","55030"
"In post","2023","Department for Education","SCS level","Female","175","165","84820","76510"
"In post","2023","Department for Education","SCS level","Male","120","120","85300","77460"
"In post","2023","Department for Education","SEO/HEO","Female","2485","2360","36700","37590"
"In post","2023","Department for Education","SEO/HEO","Male","1520","1510","36940","37590"
"In post","2023","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","AA/AO","Female","1530","1350","22540","22150"
"In post","2023","Department for Environment, Food and Rural Affairs","AA/AO","Male","1010","985","22520","22150"
"In post","2023","Department for Environment, Food and Rural Affairs","EO","Female","1350","1250","26790","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","EO","Male","895","870","26850","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","G6/G7","Female","1535","1465","54470","54330"
"In post","2023","Department for Environment, Food and Rural Affairs","G6/G7","Male","1455","1430","54950","54330"
"In post","2023","Department for Environment, Food and Rural Affairs","SCS level","Female","115","110","83280","76560"
"In post","2023","Department for Environment, Food and Rural Affairs","SCS level","Male","120","120","84130","78560"
"In post","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","Female","2845","2695","35360","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","Male","2185","2150","35710","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Female","20","15","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Male","15","15","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Department for International Trade","EO","Female","175","170","29020","29280"
"In post","2023","Department for International Trade","EO","Male","125","125","29040","29280"
"In post","2023","Department for International Trade","G6/G7","Female","635","625","58740","55500"
"In post","2023","Department for International Trade","G6/G7","Male","720","715","59640","56370"
"In post","2023","Department for International Trade","SCS level","Female","85","80","83960","77110"
"In post","2023","Department for International Trade","SCS level","Male","105","100","91750","80010"
"In post","2023","Department for International Trade","SEO/HEO","Female","810","795","38870","39700"
"In post","2023","Department for International Trade","SEO/HEO","Male","850","845","39300","41310"
"In post","2023","Department for Levelling Up, Housing and Communities","AA/AO","Female","120","105","23060","23250"
"In post","2023","Department for Levelling Up, Housing and Communities","AA/AO","Male","75","75","23670","23250"
"In post","2023","Department for Levelling Up, Housing and Communities","EO","Female","180","170","28620","28850"
"In post","2023","Department for Levelling Up, Housing and Communities","EO","Male","170","165","28570","28490"
"In post","2023","Department for Levelling Up, Housing and Communities","G6/G7","Female","945","895","57750","54860"
"In post","2023","Department for Levelling Up, Housing and Communities","G6/G7","Male","985","945","58560","56200"
"In post","2023","Department for Levelling Up, Housing and Communities","SCS level","Female","95","90","84980","78840"
"In post","2023","Department for Levelling Up, Housing and Communities","SCS level","Male","90","90","90430","80650"
"In post","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","Female","810","780","36620","35790"
"In post","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","Male","710","700","37570","37540"
"In post","2023","Department for Transport","AA/AO","Female","3190","2600","21790","22500"
"In post","2023","Department for Transport","AA/AO","Male","2380","2265","23910","22500"
"In post","2023","Department for Transport","EO","Female","1535","1405","27950","27400"
"In post","2023","Department for Transport","EO","Male","2600","2470","28750","27450"
"In post","2023","Department for Transport","G6/G7","Female","875","840","59960","56340"
"In post","2023","Department for Transport","G6/G7","Male","1355","1340","62130","58580"
"In post","2023","Department for Transport","SCS level","Female","135","125","86600","79860"
"In post","2023","Department for Transport","SCS level","Male","145","140","92740","85940"
"In post","2023","Department for Transport","SEO/HEO","Female","1740","1675","37330","36070"
"In post","2023","Department for Transport","SEO/HEO","Male","2435","2400","38720","38520"
"In post","2023","Department for Work and Pensions","AA/AO","Female","17100","13885","22040","21690"
"In post","2023","Department for Work and Pensions","AA/AO","Male","8765","8305","21990","21690"
"In post","2023","Department for Work and Pensions","EO","Female","28690","24785","28800","28120"
"In post","2023","Department for Work and Pensions","EO","Male","14650","14000","28810","28120"
"In post","2023","Department for Work and Pensions","G6/G7","Female","2100","1990","57280","55150"
"In post","2023","Department for Work and Pensions","G6/G7","Male","2320","2265","60020","57340"
"In post","2023","Department for Work and Pensions","SCS level","Female","165","155","89050","80720"
"In post","2023","Department for Work and Pensions","SCS level","Male","155","155","92480","84370"
"In post","2023","Department for Work and Pensions","SEO/HEO","Female","7970","7390","36860","34970"
"In post","2023","Department for Work and Pensions","SEO/HEO","Male","5860","5685","38410","37160"
"In post","2023","Department of Health and Social Care","AA/AO","Female","415","365","22780","22820"
"In post","2023","Department of Health and Social Care","AA/AO","Male","205","195","22560","22480"
"In post","2023","Department of Health and Social Care","EO","Female","875","835","27620","27960"
"In post","2023","Department of Health and Social Care","EO","Male","340","330","27500","27960"
"In post","2023","Department of Health and Social Care","G6/G7","Female","2250","2135","59040","54990"
"In post","2023","Department of Health and Social Care","G6/G7","Male","1435","1400","60090","55640"
"In post","2023","Department of Health and Social Care","SCS level","Female","400","370","97900","95000"
"In post","2023","Department of Health and Social Care","SCS level","Male","330","310","100830","95750"
"In post","2023","Department of Health and Social Care","SEO/HEO","Female","2645","2525","37670","38120"
"In post","2023","Department of Health and Social Care","SEO/HEO","Male","1370","1355","37910","38120"
"In post","2023","Estyn","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Estyn","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","EO","Female","15","15","[c]","[c]"
"In post","2023","Estyn","EO","Male","10","5","[c]","[c]"
"In post","2023","Estyn","G6/G7","Female","35","30","76330","78500"
"In post","2023","Estyn","G6/G7","Male","40","35","77940","78500"
"In post","2023","Estyn","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Estyn","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Food Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","EO","Female","110","105","27940","28090"
"In post","2023","Food Standards Agency","EO","Male","325","305","28460","28090"
"In post","2023","Food Standards Agency","G6/G7","Female","155","155","56730","55850"
"In post","2023","Food Standards Agency","G6/G7","Male","145","140","56880","56240"
"In post","2023","Food Standards Agency","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Food Standards Agency","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Food Standards Agency","SEO/HEO","Female","445","435","36270","37720"
"In post","2023","Food Standards Agency","SEO/HEO","Male","360","355","36530","37720"
"In post","2023","Foreign, Commonwealth and Development Office","AA/AO","Female","255","245","26490","25980"
"In post","2023","Foreign, Commonwealth and Development Office","AA/AO","Male","245","245","27530","26100"
"In post","2023","Foreign, Commonwealth and Development Office","EO","Female","475","450","30480","30030"
"In post","2023","Foreign, Commonwealth and Development Office","EO","Male","410","410","30770","30030"
"In post","2023","Foreign, Commonwealth and Development Office","G6/G7","Female","1700","1635","60430","58970"
"In post","2023","Foreign, Commonwealth and Development Office","G6/G7","Male","1785","1750","61400","60050"
"In post","2023","Foreign, Commonwealth and Development Office","SCS level","Female","255","250","85970","79000"
"In post","2023","Foreign, Commonwealth and Development Office","SCS level","Male","335","335","88600","79650"
"In post","2023","Foreign, Commonwealth and Development Office","SEO/HEO","Female","1570","1540","38920","38600"
"In post","2023","Foreign, Commonwealth and Development Office","SEO/HEO","Male","1705","1690","39820","38760"
"In post","2023","Foreign, Commonwealth and Development Office","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","Unknown","Male","50","50","24660","23800"
"In post","2023","HM Land Registry","AA/AO","Female","995","905","23470","23390"
"In post","2023","HM Land Registry","AA/AO","Male","600","585","23460","23390"
"In post","2023","HM Land Registry","EO","Female","1625","1400","28340","28080"
"In post","2023","HM Land Registry","EO","Male","835","795","28610","28080"
"In post","2023","HM Land Registry","G6/G7","Female","180","170","62240","61730"
"In post","2023","HM Land Registry","G6/G7","Male","145","140","62740","61730"
"In post","2023","HM Land Registry","SCS level","Female","15","15","[c]","[c]"
"In post","2023","HM Land Registry","SCS level","Male","15","15","[c]","[c]"
"In post","2023","HM Land Registry","SEO/HEO","Female","1265","1125","37730","34850"
"In post","2023","HM Land Registry","SEO/HEO","Male","1040","955","39030","39460"
"In post","2023","HM Revenue and Customs","AA/AO","Female","11860","9880","22770","22520"
"In post","2023","HM Revenue and Customs","AA/AO","Male","8405","7990","22730","22520"
"In post","2023","HM Revenue and Customs","EO","Female","8705","7860","28850","28130"
"In post","2023","HM Revenue and Customs","EO","Male","7585","7355","28720","28130"
"In post","2023","HM Revenue and Customs","G6/G7","Female","4185","3975","62480","57970"
"In post","2023","HM Revenue and Customs","G6/G7","Male","5095","4960","62750","58600"
"In post","2023","HM Revenue and Customs","SCS level","Female","245","240","87210","80730"
"In post","2023","HM Revenue and Customs","SCS level","Male","285","280","89050","81750"
"In post","2023","HM Revenue and Customs","SEO/HEO","Female","12730","11995","38390","35330"
"In post","2023","HM Revenue and Customs","SEO/HEO","Male","13295","12950","38440","35410"
"In post","2023","HM Treasury","AA/AO","Female","30","30","23370","23210"
"In post","2023","HM Treasury","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","HM Treasury","EO","Female","175","170","27630","27820"
"In post","2023","HM Treasury","EO","Male","95","95","27220","27820"
"In post","2023","HM Treasury","G6/G7","Female","535","515","58170","54720"
"In post","2023","HM Treasury","G6/G7","Male","665","655","59850","55670"
"In post","2023","HM Treasury","SCS level","Female","90","80","87860","79270"
"In post","2023","HM Treasury","SCS level","Male","90","85","88580","80660"
"In post","2023","HM Treasury","SEO/HEO","Female","500","480","36870","35500"
"In post","2023","HM Treasury","SEO/HEO","Male","505","500","36850","34170"
"In post","2023","Home Office","AA/AO","Female","5615","4880","23120","22400"
"In post","2023","Home Office","AA/AO","Male","3865","3680","22960","22400"
"In post","2023","Home Office","EO","Female","8590","7840","27450","26180"
"In post","2023","Home Office","EO","Male","8850","8420","27660","26180"
"In post","2023","Home Office","G6/G7","Female","2080","2015","61570","59290"
"In post","2023","Home Office","G6/G7","Male","2310","2285","62220","59510"
"In post","2023","Home Office","SCS level","Female","165","165","88320","81560"
"In post","2023","Home Office","SCS level","Male","180","180","93510","84730"
"In post","2023","Home Office","SEO/HEO","Female","5905","5640","37250","36180"
"In post","2023","Home Office","SEO/HEO","Male","5380","5295","37350","36250"
"In post","2023","Home Office","Unknown","Female","75","75","[c]","[c]"
"In post","2023","Home Office","Unknown","Male","115","110","[c]","[c]"
"In post","2023","Ministry of Defence","AA/AO","Female","6645","6170","22890","22220"
"In post","2023","Ministry of Defence","AA/AO","Male","9220","9040","25410","22220"
"In post","2023","Ministry of Defence","EO","Female","3805","3625","28280","27470"
"In post","2023","Ministry of Defence","EO","Male","4645","4565","29860","27740"
"In post","2023","Ministry of Defence","G6/G7","Female","2875","2720","59330","56180"
"In post","2023","Ministry of Defence","G6/G7","Male","4940","4810","59180","56930"
"In post","2023","Ministry of Defence","SCS level","Female","190","185","89860","82780"
"In post","2023","Ministry of Defence","SCS level","Male","330","320","97460","91630"
"In post","2023","Ministry of Defence","SEO/HEO","Female","9205","8770","38030","36920"
"In post","2023","Ministry of Defence","SEO/HEO","Male","12470","12250","39220","39460"
"In post","2023","Ministry of Defence","Unknown","Female","850","810","38980","36440"
"In post","2023","Ministry of Defence","Unknown","Male","3000","2980","43820","41630"
"In post","2023","Ministry of Justice","AA/AO","Female","20375","18280","25640","24270"
"In post","2023","Ministry of Justice","AA/AO","Male","19695","18820","28690","29890"
"In post","2023","Ministry of Justice","EO","Female","5875","5555","29450","28480"
"In post","2023","Ministry of Justice","EO","Male","5620","5395","32510","34170"
"In post","2023","Ministry of Justice","G6/G7","Female","2110","2040","62290","59740"
"In post","2023","Ministry of Justice","G6/G7","Male","1745","1720","63750","61530"
"In post","2023","Ministry of Justice","SCS level","Female","175","170","89320","83010"
"In post","2023","Ministry of Justice","SCS level","Male","165","165","94430","93890"
"In post","2023","Ministry of Justice","SEO/HEO","Female","8310","7960","39160","37680"
"In post","2023","Ministry of Justice","SEO/HEO","Male","6240","6005","41350","40660"
"In post","2023","Ministry of Justice","Unknown","Female","16280","15055","30290","29050"
"In post","2023","Ministry of Justice","Unknown","Male","5285","5000","31180","29050"
"In post","2023","National Crime Agency","AA/AO","Female","140","120","25970","26550"
"In post","2023","National Crime Agency","AA/AO","Male","80","75","26250","26550"
"In post","2023","National Crime Agency","EO","Female","1230","1175","35590","36040"
"In post","2023","National Crime Agency","EO","Male","1180","1160","36810","37550"
"In post","2023","National Crime Agency","G6/G7","Female","145","145","64030","62890"
"In post","2023","National Crime Agency","G6/G7","Male","280","275","67630","67840"
"In post","2023","National Crime Agency","SCS level","Female","15","15","[c]","[c]"
"In post","2023","National Crime Agency","SCS level","Male","20","20","[c]","[c]"
"In post","2023","National Crime Agency","SEO/HEO","Female","1000","960","44580","45610"
"In post","2023","National Crime Agency","SEO/HEO","Male","1480","1465","46140","45700"
"In post","2023","Northern Ireland Office","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Northern Ireland Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","EO","Female","10","10","[c]","[c]"
"In post","2023","Northern Ireland Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Northern Ireland Office","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Northern Ireland Office","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Northern Ireland Office","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Northern Ireland Office","SEO/HEO","Female","40","40","37020","37680"
"In post","2023","Northern Ireland Office","SEO/HEO","Male","45","45","39140","37680"
"In post","2023","Office for Standards in Education, Children's Services and Skills","AA/AO","Female","150","130","22460","22490"
"In post","2023","Office for Standards in Education, Children's Services and Skills","AA/AO","Male","55","55","22450","22490"
"In post","2023","Office for Standards in Education, Children's Services and Skills","EO","Female","140","135","27500","27140"
"In post","2023","Office for Standards in Education, Children's Services and Skills","EO","Male","75","75","27580","27140"
"In post","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","Female","450","440","74340","77470"
"In post","2023","Office for Standards in Education, Children's Services and Skills","G6/G7","Male","270","270","75740","77470"
"In post","2023","Office for Standards in Education, Children's Services and Skills","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Office for Standards in Education, Children's Services and Skills","SCS level","Male","20","20","[c]","[c]"
"In post","2023","Office for Standards in Education, Children's Services and Skills","SEO/HEO","Female","640","615","45940","47750"
"In post","2023","Office for Standards in Education, Children's Services and Skills","SEO/HEO","Male","220","220","40830","41050"
"In post","2023","Office of Gas and Electricity Markets","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Office of Gas and Electricity Markets","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","Office of Gas and Electricity Markets","EO","Female","190","185","26860","26000"
"In post","2023","Office of Gas and Electricity Markets","EO","Male","195","195","25990","25750"
"In post","2023","Office of Gas and Electricity Markets","G6/G7","Female","300","290","57790","57120"
"In post","2023","Office of Gas and Electricity Markets","G6/G7","Male","365","360","59740","59590"
"In post","2023","Office of Gas and Electricity Markets","SCS level","Female","30","30","[c]","[c]"
"In post","2023","Office of Gas and Electricity Markets","SCS level","Male","35","35","100730","93960"
"In post","2023","Office of Gas and Electricity Markets","SEO/HEO","Female","190","185","36920","35610"
"In post","2023","Office of Gas and Electricity Markets","SEO/HEO","Male","225","220","36490","35000"
"In post","2023","Office of Qualifications and Examinations Regulation","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","EO","Female","20","20","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","EO","Male","5","5","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","G6/G7","Female","70","70","54110","49810"
"In post","2023","Office of Qualifications and Examinations Regulation","G6/G7","Male","55","55","53840","50910"
"In post","2023","Office of Qualifications and Examinations Regulation","SCS level","Female","10","5","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","SEO/HEO","Female","115","110","36270","36800"
"In post","2023","Office of Qualifications and Examinations Regulation","SEO/HEO","Male","55","50","37080","38660"
"In post","2023","Office of Rail and Road","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Office of Rail and Road","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Office of Rail and Road","EO","Female","15","15","[c]","[c]"
"In post","2023","Office of Rail and Road","EO","Male","15","15","[c]","[c]"
"In post","2023","Office of Rail and Road","G6/G7","Female","85","80","62090","60430"
"In post","2023","Office of Rail and Road","G6/G7","Male","120","115","62940","62140"
"In post","2023","Office of Rail and Road","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Office of Rail and Road","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Office of Rail and Road","SEO/HEO","Female","45","45","39250","39710"
"In post","2023","Office of Rail and Road","SEO/HEO","Male","50","50","40920","41330"
"In post","2023","Office of the Secretary of State for Scotland","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","EO","Female","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","EO","Male","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","G6/G7","Female","30","30","62980","63190"
"In post","2023","Office of the Secretary of State for Scotland","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Scottish Government","AA/AO","Female","4075","3710","24750","24710"
"In post","2023","Scottish Government","AA/AO","Male","3285","3170","25780","24890"
"In post","2023","Scottish Government","EO","Female","3660","3470","31440","31180"
"In post","2023","Scottish Government","EO","Male","3380","3250","33450","32220"
"In post","2023","Scottish Government","G6/G7","Female","2575","2435","65270","65280"
"In post","2023","Scottish Government","G6/G7","Male","1860","1825","66310","65280"
"In post","2023","Scottish Government","SCS level","Female","145","140","90130","85200"
"In post","2023","Scottish Government","SCS level","Male","165","165","91870","85200"
"In post","2023","Scottish Government","SEO/HEO","Female","4660","4410","40910","39590"
"In post","2023","Scottish Government","SEO/HEO","Male","3825","3700","42410","42300"
"In post","2023","The National Archives","AA/AO","Female","35","35","23630","23460"
"In post","2023","The National Archives","AA/AO","Male","50","45","23390","23460"
"In post","2023","The National Archives","EO","Female","40","35","26180","25510"
"In post","2023","The National Archives","EO","Male","35","35","26680","25810"
"In post","2023","The National Archives","G6/G7","Female","55","55","52840","52050"
"In post","2023","The National Archives","G6/G7","Male","50","50","55130","53510"
"In post","2023","The National Archives","SCS level","Female","5","5","[c]","[c]"
"In post","2023","The National Archives","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","The National Archives","SEO/HEO","Female","180","170","35820","35000"
"In post","2023","The National Archives","SEO/HEO","Male","135","130","38100","36000"
"In post","2023","UK Export Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","UK Export Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","UK Export Finance","EO","Female","35","35","32390","32300"
"In post","2023","UK Export Finance","EO","Male","30","30","[c]","[c]"
"In post","2023","UK Export Finance","G6/G7","Female","80","75","65450","64200"
"In post","2023","UK Export Finance","G6/G7","Male","130","130","65340","63080"
"In post","2023","UK Export Finance","SCS level","Female","10","10","[c]","[c]"
"In post","2023","UK Export Finance","SCS level","Male","20","20","[c]","[c]"
"In post","2023","UK Export Finance","SEO/HEO","Female","110","105","41750","42000"
"In post","2023","UK Export Finance","SEO/HEO","Male","105","105","43650","43270"
"In post","2023","UK Statistics Authority","AA/AO","Female","870","605","21350","21200"
"In post","2023","UK Statistics Authority","AA/AO","Male","645","470","21610","21200"
"In post","2023","UK Statistics Authority","EO","Female","450","410","25420","24840"
"In post","2023","UK Statistics Authority","EO","Male","265","250","25420","24840"
"In post","2023","UK Statistics Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","UK Statistics Authority","G6/G7","Female","635","600","54380","51460"
"In post","2023","UK Statistics Authority","G6/G7","Male","580","570","55870","53960"
