"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA/AO","Heterosexual / straight","105","95","23050","22520"
"In post","2023","Declared disabled","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA/AO","Undeclared","15","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","EO","Heterosexual / straight","130","125","28340","27740"
"In post","2023","Declared disabled","Finance","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","EO","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Finance","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","G6/G7","Heterosexual / straight","170","165","59470","58110"
"In post","2023","Declared disabled","Finance","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SEO/HEO","Heterosexual / straight","345","325","38730","37820"
"In post","2023","Declared disabled","Finance","SEO/HEO","LGBO","30","30","36520","34640"
"In post","2023","Declared disabled","Finance","SEO/HEO","Undeclared","35","30","38660","35730"
"In post","2023","Declared disabled","Finance","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Geography","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA/AO","Heterosexual / straight","135","125","22650","22220"
"In post","2023","Declared disabled","Human Resources","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA/AO","Undeclared","15","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","EO","Heterosexual / straight","250","235","28750","27890"
"In post","2023","Declared disabled","Human Resources","EO","LGBO","30","30","27070","27160"
"In post","2023","Declared disabled","Human Resources","EO","Undeclared","40","35","29430","28930"
"In post","2023","Declared disabled","Human Resources","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G6/G7","Heterosexual / straight","295","285","58740","57260"
"In post","2023","Declared disabled","Human Resources","G6/G7","LGBO","40","40","57680","56430"
"In post","2023","Declared disabled","Human Resources","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G6/G7","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Heterosexual / straight","35","35","88690","82400"
"In post","2023","Declared disabled","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","Heterosexual / straight","670","635","37910","37680"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","LGBO","90","85","37240","36200"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","Undeclared","55","55","37920","37680"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","G6/G7","Heterosexual / straight","40","35","75260","77470"
"In post","2023","Declared disabled","Inspector of Education and Training","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SEO/HEO","Heterosexual / straight","35","35","49990","52750"
"In post","2023","Declared disabled","Inspector of Education and Training","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","EO","Heterosexual / straight","125","120","29000","28480"
"In post","2023","Declared disabled","Intelligence Analysis","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SEO/HEO","Heterosexual / straight","85","80","37970","37180"
"In post","2023","Declared disabled","Intelligence Analysis","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","Heterosexual / straight","45","40","40660","38460"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","G6/G7","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Declared disabled","International Trade","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","International Trade","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","International Trade","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","SEO/HEO","Heterosexual / straight","50","50","37900","38050"
"In post","2023","Declared disabled","International Trade","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","International Trade","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","International Trade","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","AA/AO","Heterosexual / straight","50","50","23210","22220"
"In post","2023","Declared disabled","Knowledge and Information Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","EO","Heterosexual / straight","75","70","28290","27940"
"In post","2023","Declared disabled","Knowledge and Information Management","EO","LGBO","10","5","[c]","[c]"
