"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Knowledge and Information Management","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","EO","Heterosexual / straight","130","115","26790","26090"
"In post","2023","Analysis","Operational Delivery","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","EO","Unknown","60","50","26960","25920"
"In post","2023","Analysis","Operational Delivery","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","G7","Heterosexual / straight","50","45","53310","51460"
"In post","2023","Analysis","Operational Delivery","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","G7","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","HEO","Heterosexual / straight","160","150","32700","31660"
"In post","2023","Analysis","Operational Delivery","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","HEO","Unknown","65","65","32050","31060"
"In post","2023","Analysis","Operational Delivery","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SEO","Heterosexual / straight","125","120","39260","38070"
"In post","2023","Analysis","Operational Delivery","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SEO","Unknown","45","45","38180","37760"
"In post","2023","Analysis","Operational Research","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Research","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Research","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Research","G6","Heterosexual / straight","40","35","69720","70400"
"In post","2023","Analysis","Operational Research","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Research","G7","Heterosexual / straight","200","190","55530","55740"
"In post","2023","Analysis","Operational Research","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Research","G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Operational Research","G7","Unknown","35","35","55450","55720"
"In post","2023","Analysis","Operational Research","HEO","Heterosexual / straight","135","135","34150","34190"
"In post","2023","Analysis","Operational Research","HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Operational Research","HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Research","HEO","Unknown","40","40","33860","35410"
"In post","2023","Analysis","Operational Research","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Research","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","SEO","Heterosexual / straight","130","125","42800","42510"
"In post","2023","Analysis","Operational Research","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Research","SEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Research","SEO","Unknown","35","35","42630","42940"
"In post","2023","Analysis","Other","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Other","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","EO","Heterosexual / straight","55","55","29140","29660"
"In post","2023","Analysis","Other","EO","LGBO","10","5","[c]","[c]"
"In post","2023","Analysis","Other","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Other","EO","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Other","G6","Heterosexual / straight","95","90","90260","81560"
"In post","2023","Analysis","Other","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","G6","Undeclared","15","10","[c]","[c]"
"In post","2023","Analysis","Other","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Other","G7","Heterosexual / straight","70","70","55950","55740"
"In post","2023","Analysis","Other","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Other","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Other","HEO","Heterosexual / straight","90","85","35210","35410"
"In post","2023","Analysis","Other","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Other","HEO","Undeclared","20","15","[c]","[c]"
"In post","2023","Analysis","Other","HEO","Unknown","30","30","34790","35410"
"In post","2023","Analysis","Other","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Other","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","SEO","Heterosexual / straight","80","75","43320","43320"
"In post","2023","Analysis","Other","SEO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Other","SEO","Undeclared","15","10","[c]","[c]"
"In post","2023","Analysis","Other","SEO","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Planning","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Policy","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","G7","Heterosexual / straight","55","50","57200","58370"
"In post","2023","Analysis","Policy","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","HEO","Heterosexual / straight","60","60","37170","37380"
"In post","2023","Analysis","Policy","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","SEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Policy","SEO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","SEO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Project Delivery","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Project Delivery","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AO","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","EO","Heterosexual / straight","40","35","26000","25970"
"In post","2023","Analysis","Science and Engineering","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","EO","Unknown","65","60","26030","25970"
"In post","2023","Analysis","Science and Engineering","G6","Heterosexual / straight","40","40","70920","70550"
"In post","2023","Analysis","Science and Engineering","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","G6","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","G7","Heterosexual / straight","300","285","53110","49260"
"In post","2023","Analysis","Science and Engineering","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","G7","Unknown","150","145","52430","49400"
"In post","2023","Analysis","Science and Engineering","HEO","Heterosexual / straight","145","140","30250","30650"
"In post","2023","Analysis","Science and Engineering","HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","HEO","Unknown","110","110","30020","30350"
"In post","2023","Analysis","Science and Engineering","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SEO","Heterosexual / straight","205","200","39470","39890"
"In post","2023","Analysis","Science and Engineering","SEO","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SEO","Unknown","110","105","38710","38720"
"In post","2023","Analysis","Social Research","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Social Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Social Research","G6","Heterosexual / straight","60","55","69770","69940"
"In post","2023","Analysis","Social Research","G6","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Social Research","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Social Research","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Social Research","G7","Heterosexual / straight","285","270","56700","55780"
"In post","2023","Analysis","Social Research","G7","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Social Research","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Social Research","G7","Unknown","40","40","56100","55190"
"In post","2023","Analysis","Social Research","HEO","Heterosexual / straight","280","270","33490","31560"
"In post","2023","Analysis","Social Research","HEO","LGBO","60","60","33130","31560"
"In post","2023","Analysis","Social Research","HEO","Undeclared","30","25","[c]","[c]"
"In post","2023","Analysis","Social Research","HEO","Unknown","65","60","34940","34850"
"In post","2023","Analysis","Social Research","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Social Research","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","SEO","Heterosexual / straight","365","350","41470","41030"
"In post","2023","Analysis","Social Research","SEO","LGBO","40","35","41940","42770"
"In post","2023","Analysis","Social Research","SEO","Undeclared","40","35","42060","41470"
"In post","2023","Analysis","Social Research","SEO","Unknown","70","65","41480","40360"
"In post","2023","Analysis","Statistics","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Statistics","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","AA","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Statistics","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Statistics","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Statistics","EO","Heterosexual / straight","145","140","29040","28850"
"In post","2023","Analysis","Statistics","EO","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Statistics","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Statistics","EO","Unknown","35","35","28980","29260"
"In post","2023","Analysis","Statistics","G6","Heterosexual / straight","145","140","68950","68260"
