"Status","Year","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Project Delivery","Outside London","55","55","39850","38940"
"In post","2023","Attorney General's Departments","Property","London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","Outside London","25","25","36130","33200"
"In post","2023","Attorney General's Departments","Security","London","20","20","41070","32700"
"In post","2023","Attorney General's Departments","Security","Outside London","15","15","32540","32520"
"In post","2023","Attorney General's Departments","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","London","775","765","72740","66270"
"In post","2023","Cabinet Office","Commercial","Outside London","1210","1185","59640","56000"
"In post","2023","Cabinet Office","Commercial","Unknown","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Communications","London","150","150","50710","44770"
"In post","2023","Cabinet Office","Communications","Outside London","35","35","41790","38460"
"In post","2023","Cabinet Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","London","15","15","60470","56430"
"In post","2023","Cabinet Office","Counter Fraud","Outside London","10","10","55560","51290"
"In post","2023","Cabinet Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","London","825","815","52470","56430"
"In post","2023","Cabinet Office","Digital, Data and Technology","Outside London","510","505","44520","39330"
"In post","2023","Cabinet Office","Digital, Data and Technology","Unknown","10","10","45040","39730"
"In post","2023","Cabinet Office","Economics","London","25","25","58730","56430"
"In post","2023","Cabinet Office","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Finance","London","150","150","48030","35650"
"In post","2023","Cabinet Office","Finance","Outside London","155","150","43390","38420"
"In post","2023","Cabinet Office","Human Resources","London","355","345","51080","50690"
"In post","2023","Cabinet Office","Human Resources","Outside London","565","530","36120","33020"
"In post","2023","Cabinet Office","Human Resources","Unknown","15","15","48980","45870"
"In post","2023","Cabinet Office","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","London","45","45","41370","36170"
"In post","2023","Cabinet Office","Knowledge and Information Management","Outside London","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Legal","London","60","60","83460","81600"
"In post","2023","Cabinet Office","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","London","20","20","58240","57590"
"In post","2023","Cabinet Office","Operational Delivery","Outside London","155","155","40410","40450"
"In post","2023","Cabinet Office","Other","London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Other","Outside London","10","10","57440","44680"
"In post","2023","Cabinet Office","Policy","London","290","285","52240","56430"
"In post","2023","Cabinet Office","Policy","Outside London","100","95","46770","43340"
"In post","2023","Cabinet Office","Policy","Unknown","10","10","45740","49700"
"In post","2023","Cabinet Office","Project Delivery","London","240","240","40770","32960"
"In post","2023","Cabinet Office","Project Delivery","Outside London","155","155","37580","32960"
"In post","2023","Cabinet Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Property","London","95","95","49760","51020"
"In post","2023","Cabinet Office","Property","Outside London","185","185","48280","50200"
"In post","2023","Cabinet Office","Psychology","London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","London","85","85","30260","30130"
"In post","2023","Cabinet Office","Science and Engineering","Outside London","15","15","30330","30130"
"In post","2023","Cabinet Office","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Security","London","145","140","54340","56430"
"In post","2023","Cabinet Office","Security","Outside London","240","225","35140","34320"
"In post","2023","Cabinet Office","Security","Unknown","15","15","35920","35740"
"In post","2023","Cabinet Office","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","London","85","85","32270","30130"
"In post","2023","Cabinet Office","Statistics","Outside London","35","35","32160","32960"
"In post","2023","Cabinet Office","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","London","2205","2175","46470","37830"
"In post","2023","Cabinet Office","Unknown","Outside London","1060","1025","36240","32640"
"In post","2023","Cabinet Office","Unknown","Unknown","105","105","40870","32640"
"In post","2023","Chancellor's other departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Commercial","Outside London","10","10","45710","50000"
"In post","2023","Chancellor's other departments","Communications","London","25","25","48740","47840"
"In post","2023","Chancellor's other departments","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Digital, Data and Technology","London","10","10","58090","55920"
"In post","2023","Chancellor's other departments","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Finance","London","30","30","51830","46780"
"In post","2023","Chancellor's other departments","Human Resources","London","15","15","46650","45730"
"In post","2023","Chancellor's other departments","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Delivery","London","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Research","London","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Other","London","225","215","68950","65510"
"In post","2023","Chancellor's other departments","Other","Outside London","30","30","57630","46270"
"In post","2023","Chancellor's other departments","Project Delivery","London","20","20","55950","55180"
"In post","2023","Chancellor's other departments","Project Delivery","Outside London","15","15","46020","46000"
"In post","2023","Chancellor's other departments","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Communications","London","10","10","51790","52240"
"In post","2023","Charity Commission","Communications","Outside London","15","15","33020","30230"
"In post","2023","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Digital, Data and Technology","Outside London","55","55","37310","32990"
"In post","2023","Charity Commission","Finance","Outside London","10","10","[c]","[c]"
"In post","2023","Charity Commission","Human Resources","Outside London","20","20","37160","30170"
"In post","2023","Charity Commission","Intelligence Analysis","Outside London","5","5","[c]","[c]"
"In post","2023","Charity Commission","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Legal","London","15","15","60000","55870"
"In post","2023","Charity Commission","Legal","Outside London","10","10","56460","55030"
"In post","2023","Charity Commission","Operational Delivery","London","45","45","40760","32700"
"In post","2023","Charity Commission","Operational Delivery","Outside London","280","265","31880","30170"
"In post","2023","Charity Commission","Policy","London","5","5","[c]","[c]"
"In post","2023","Charity Commission","Policy","Outside London","5","5","[c]","[c]"
"In post","2023","Charity Commission","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Charity Commission","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Statistics","Outside London","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Commercial","London","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Communications","London","25","25","49360","43000"
"In post","2023","Competition and Markets Authority","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Corporate Finance","London","15","15","50470","44000"
"In post","2023","Competition and Markets Authority","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Digital, Data and Technology","London","60","60","57010","56590"
"In post","2023","Competition and Markets Authority","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Economics","London","95","85","65980","60600"
"In post","2023","Competition and Markets Authority","Economics","Outside London","15","15","56460","55130"
"In post","2023","Competition and Markets Authority","Human Resources","London","30","30","50080","43960"
"In post","2023","Competition and Markets Authority","Human Resources","Outside London","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Intelligence Analysis","London","30","30","57490","55950"
"In post","2023","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Legal","London","125","125","72490","73510"
"In post","2023","Competition and Markets Authority","Legal","Outside London","15","15","72890","75300"
"In post","2023","Competition and Markets Authority","Policy","London","20","20","65980","60950"
"In post","2023","Competition and Markets Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Project Delivery","London","370","360","62690","58070"
"In post","2023","Competition and Markets Authority","Project Delivery","Outside London","65","60","58780","56190"
"In post","2023","Competition and Markets Authority","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Commercial","London","10","10","54000","50550"
"In post","2023","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","60","60","42540","42620"
"In post","2023","Department for Business, Energy and Industrial Strategy","Communications","London","125","125","49070","46110"
"In post","2023","Department for Business, Energy and Industrial Strategy","Communications","Outside London","125","120","39200","37980"
"In post","2023","Department for Business, Energy and Industrial Strategy","Corporate Finance","London","5","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Corporate Finance","Outside London","5","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Counter Fraud","London","55","55","43600","42460"
"In post","2023","Department for Business, Energy and Industrial Strategy","Counter Fraud","Outside London","370","345","32890","31620"
"In post","2023","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","150","145","49260","48090"
"In post","2023","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","935","915","42640","40500"
"In post","2023","Department for Business, Energy and Industrial Strategy","Economics","London","235","230","49300","47060"
"In post","2023","Department for Business, Energy and Industrial Strategy","Economics","Outside London","35","35","40600","36460"
"In post","2023","Department for Business, Energy and Industrial Strategy","Finance","London","150","145","53240","55160"
"In post","2023","Department for Business, Energy and Industrial Strategy","Finance","Outside London","200","190","39240","37200"
"In post","2023","Department for Business, Energy and Industrial Strategy","Human Resources","London","125","120","51310","54710"
"In post","2023","Department for Business, Energy and Industrial Strategy","Human Resources","Outside London","290","275","39480","37420"
"In post","2023","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Outside London","40","40","37100","34870"
"In post","2023","Department for Business, Energy and Industrial Strategy","Internal Audit","Outside London","10","10","41050","40440"
"In post","2023","Department for Business, Energy and Industrial Strategy","International Trade","London","5","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","London","20","20","45360","42200"
"In post","2023","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Outside London","40","40","37690","35110"
"In post","2023","Department for Business, Energy and Industrial Strategy","Legal","London","30","30","54670","54670"
"In post","2023","Department for Business, Energy and Industrial Strategy","Legal","Outside London","110","100","50120","45150"
"In post","2023","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","655","635","44810","40320"
"In post","2023","Department for Business, Energy and Industrial Strategy","Operational Delivery","Outside London","3420","3180","31180","26940"
"In post","2023","Department for Business, Energy and Industrial Strategy","Operational Delivery","Overseas","30","30","34770","37420"
"In post","2023","Department for Business, Energy and Industrial Strategy","Operational Research","London","15","15","51160","50240"
"In post","2023","Department for Business, Energy and Industrial Strategy","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Other","London","5","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Other","Outside London","325","310","36660","37420"
"In post","2023","Department for Business, Energy and Industrial Strategy","Policy","London","3925","3835","52500","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy","Policy","Outside London","1140","1120","45230","41070"
"In post","2023","Department for Business, Energy and Industrial Strategy","Project Delivery","London","135","135","51780","54700"
"In post","2023","Department for Business, Energy and Industrial Strategy","Project Delivery","Outside London","295","285","43520","45150"
"In post","2023","Department for Business, Energy and Industrial Strategy","Property","Outside London","30","30","35710","33240"
"In post","2023","Department for Business, Energy and Industrial Strategy","Science and Engineering","London","25","25","51490","47960"
"In post","2023","Department for Business, Energy and Industrial Strategy","Science and Engineering","Outside London","1125","1055","44010","42650"
"In post","2023","Department for Business, Energy and Industrial Strategy","Security","London","15","15","44010","41060"
"In post","2023","Department for Business, Energy and Industrial Strategy","Security","Outside London","50","50","44200","43650"
"In post","2023","Department for Business, Energy and Industrial Strategy","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Statistics","London","40","40","50740","49470"
"In post","2023","Department for Business, Energy and Industrial Strategy","Statistics","Outside London","25","25","42450","41770"
"In post","2023","Department for Digital, Culture, Media and Sport","Commercial","London","20","20","53450","54150"
"In post","2023","Department for Digital, Culture, Media and Sport","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Communications","London","50","50","54890","58470"
"In post","2023","Department for Digital, Culture, Media and Sport","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Counter Fraud","London","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","London","25","25","57300","56260"
"In post","2023","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Economics","London","60","60","52850","56760"
"In post","2023","Department for Digital, Culture, Media and Sport","Economics","Outside London","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Finance","London","75","70","55710","56300"
"In post","2023","Department for Digital, Culture, Media and Sport","Finance","Outside London","25","25","49530","48260"
"In post","2023","Department for Digital, Culture, Media and Sport","Human Resources","London","55","50","47270","37190"
"In post","2023","Department for Digital, Culture, Media and Sport","Human Resources","Outside London","20","20","39260","36100"
"In post","2023","Department for Digital, Culture, Media and Sport","International Trade","London","10","10","51560","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Operational Research","London","15","15","47840","39040"
"In post","2023","Department for Digital, Culture, Media and Sport","Operational Research","Outside London","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Other","London","80","75","36150","32640"
"In post","2023","Department for Digital, Culture, Media and Sport","Other","Outside London","35","35","35750","31880"
"In post","2023","Department for Digital, Culture, Media and Sport","Policy","London","1015","995","50080","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","Policy","Outside London","115","115","40550","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","Project Delivery","London","175","175","51710","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","Project Delivery","Outside London","60","60","44310","48190"
"In post","2023","Department for Digital, Culture, Media and Sport","Science and Engineering","London","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Security","London","10","10","50630","52760"
"In post","2023","Department for Digital, Culture, Media and Sport","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Social Research","London","20","20","52070","56900"
"In post","2023","Department for Digital, Culture, Media and Sport","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Statistics","London","15","15","47790","42850"
"In post","2023","Department for Digital, Culture, Media and Sport","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Commercial","London","20","20","52330","55380"
"In post","2023","Department for Education","Commercial","Outside London","235","230","42280","39090"
"In post","2023","Department for Education","Communications","London","125","120","46750","46600"
"In post","2023","Department for Education","Communications","Outside London","170","160","37950","36170"
"In post","2023","Department for Education","Counter Fraud","Outside London","20","20","43440","38210"
"In post","2023","Department for Education","Digital, Data and Technology","London","150","150","50290","55020"
"In post","2023","Department for Education","Digital, Data and Technology","Outside London","865","845","42690","37880"
"In post","2023","Department for Education","Economics","London","55","55","54930","55020"
"In post","2023","Department for Education","Economics","Outside London","35","30","40960","43250"
"In post","2023","Department for Education","Finance","London","85","85","55210","48580"
"In post","2023","Department for Education","Finance","Outside London","495","480","42900","38210"
"In post","2023","Department for Education","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Human Resources","London","25","25","56090","56000"
"In post","2023","Department for Education","Human Resources","Outside London","160","150","36800","31320"
"In post","2023","Department for Education","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","Outside London","25","20","37580","34440"
"In post","2023","Department for Education","Legal","London","15","15","50870","56040"
"In post","2023","Department for Education","Legal","Outside London","55","50","56230","60940"
"In post","2023","Department for Education","Operational Delivery","London","420","410","49420","42170"
"In post","2023","Department for Education","Operational Delivery","Outside London","1515","1460","41430","37590"
"In post","2023","Department for Education","Operational Research","London","40","40","52210","47410"
"In post","2023","Department for Education","Operational Research","Outside London","65","60","45100","43590"
"In post","2023","Department for Education","Policy","London","1000","955","53830","55020"
"In post","2023","Department for Education","Policy","Outside London","1250","1195","42380","37590"
"In post","2023","Department for Education","Project Delivery","London","310","300","53130","55020"
"In post","2023","Department for Education","Project Delivery","Outside London","815","795","46810","51360"
"In post","2023","Department for Education","Property","London","5","5","[c]","[c]"
"In post","2023","Department for Education","Property","Outside London","15","15","53400","55000"
"In post","2023","Department for Education","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Security","Outside London","15","10","45330","51360"
"In post","2023","Department for Education","Social Research","London","50","50","49290","47410"
"In post","2023","Department for Education","Social Research","Outside London","90","85","45740","43250"
"In post","2023","Department for Education","Statistics","London","80","75","48370","46600"
"In post","2023","Department for Education","Statistics","Outside London","240","230","43530","43250"
"In post","2023","Department for Education","Unknown","London","5","5","[c]","[c]"
"In post","2023","Department for Education","Unknown","Outside London","20","20","43850","37920"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","London","20","20","37240","40140"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","Outside London","160","155","37680","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","London","100","100","45670","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","Outside London","130","120","38700","37710"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","London","125","125","47190","42360"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Outside London","815","795","43470","49400"
"In post","2023","Department for Environment, Food and Rural Affairs","Economics","London","45","45","48440","44720"
"In post","2023","Department for Environment, Food and Rural Affairs","Economics","Outside London","15","15","42800","37710"
"In post","2023","Department for Environment, Food and Rural Affairs","Finance","London","65","65","50280","54330"
"In post","2023","Department for Environment, Food and Rural Affairs","Finance","Outside London","380","365","41970","37710"
"In post","2023","Department for Environment, Food and Rural Affairs","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Human Resources","London","60","55","47360","43360"
"In post","2023","Department for Environment, Food and Rural Affairs","Human Resources","Outside London","250","240","43600","39190"
"In post","2023","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","London","10","10","40460","38280"
"In post","2023","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","Outside London","45","40","34500","30320"
"In post","2023","Department for Environment, Food and Rural Affairs","Operational Delivery","London","145","140","40310","38150"
"In post","2023","Department for Environment, Food and Rural Affairs","Operational Delivery","Outside London","4785","4475","27560","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","Other","London","35","35","33990","29230"
"In post","2023","Department for Environment, Food and Rural Affairs","Other","Outside London","80","75","36820","32220"
"In post","2023","Department for Environment, Food and Rural Affairs","Policy","London","1990","1935","46680","40710"
"In post","2023","Department for Environment, Food and Rural Affairs","Policy","Outside London","1700","1630","41390","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Policy","Unknown","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Project Delivery","Outside London","255","235","37560","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Property","London","30","30","42560","38220"
"In post","2023","Department for Environment, Food and Rural Affairs","Property","Outside London","390","375","40300","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Science and Engineering","Outside London","1045","1000","34470","30350"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Outside London","50","50","42650","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","Veterinarian","London","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Veterinarian","Outside London","320","300","43840","38960"
"In post","2023","Department for International Trade","Commercial","London","35","35","39930","39860"
"In post","2023","Department for International Trade","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Communications","London","110","105","48900","42530"
"In post","2023","Department for International Trade","Communications","Outside London","10","10","[c]","[c]"
"In post","2023","Department for International Trade","Digital, Data and Technology","London","155","155","52910","52220"
"In post","2023","Department for International Trade","Digital, Data and Technology","Outside London","45","45","49160","49840"
"In post","2023","Department for International Trade","Economics","London","160","160","48770","55370"
"In post","2023","Department for International Trade","Economics","Outside London","5","5","[c]","[c]"
"In post","2023","Department for International Trade","Finance","London","80","80","50950","54070"
"In post","2023","Department for International Trade","Finance","Outside London","5","5","[c]","[c]"
"In post","2023","Department for International Trade","Human Resources","London","105","105","44930","41550"
"In post","2023","Department for International Trade","Human Resources","Outside London","30","30","41720","32960"
"In post","2023","Department for International Trade","International Trade","London","1300","1285","50150","45350"
"In post","2023","Department for International Trade","International Trade","Outside London","485","470","43200","42080"
"In post","2023","Department for International Trade","International Trade","Overseas","175","175","57480","55370"
"In post","2023","Department for International Trade","Knowledge and Information Management","London","20","20","41680","36360"
"In post","2023","Department for International Trade","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2023","Department for International Trade","Operational Delivery","London","140","140","44400","36620"
"In post","2023","Department for International Trade","Operational Delivery","Outside London","20","20","36190","33080"
"In post","2023","Department for International Trade","Operational Research","London","5","5","[c]","[c]"
"In post","2023","Department for International Trade","Other","London","125","125","48180","41550"
"In post","2023","Department for International Trade","Other","Outside London","15","15","42750","33100"
"In post","2023","Department for International Trade","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Policy","London","225","225","48810","41990"
"In post","2023","Department for International Trade","Policy","Outside London","5","5","[c]","[c]"
"In post","2023","Department for International Trade","Project Delivery","London","90","85","51100","55370"
"In post","2023","Department for International Trade","Project Delivery","Outside London","20","20","38910","38050"
"In post","2023","Department for International Trade","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Security","London","20","20","48810","49910"
"In post","2023","Department for International Trade","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Social Research","London","30","25","48800","49000"
