"Status","Year","Disability","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Counter Fraud","Male","2895","2760","33080","29710"
"In post","2023","Declared non-disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data and Technology","Female","5205","4950","43880","40570"
"In post","2023","Declared non-disabled","Digital, Data and Technology","Male","9325","9185","45670","42140"
"In post","2023","Declared non-disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Economics","Female","500","475","51360","52840"
"In post","2023","Declared non-disabled","Economics","Male","840","835","51080","53850"
"In post","2023","Declared non-disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Female","3815","3580","41860","38470"
"In post","2023","Declared non-disabled","Finance","Male","3100","3040","46190","42320"
"In post","2023","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Geography","Female","105","95","33360","34370"
"In post","2023","Declared non-disabled","Geography","Male","185","180","34050","34370"
"In post","2023","Declared non-disabled","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Female","5200","4905","40530","36920"
"In post","2023","Declared non-disabled","Human Resources","Male","2970","2910","40140","35270"
"In post","2023","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Inspector of Education and Training","Female","675","660","64580","66170"
"In post","2023","Declared non-disabled","Inspector of Education and Training","Male","270","265","74170","77470"
"In post","2023","Declared non-disabled","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Intelligence Analysis","Female","1015","950","33140","30040"
"In post","2023","Declared non-disabled","Intelligence Analysis","Male","1175","1145","36690","33530"
"In post","2023","Declared non-disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Female","280","260","47190","44210"
"In post","2023","Declared non-disabled","Internal Audit","Male","245","240","50490","48780"
"In post","2023","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","International Trade","Female","485","470","48190","42680"
"In post","2023","Declared non-disabled","International Trade","Male","570","565","49360","43410"
"In post","2023","Declared non-disabled","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Knowledge and Information Management","Female","945","885","35450","32520"
"In post","2023","Declared non-disabled","Knowledge and Information Management","Male","720","695","38110","34300"
"In post","2023","Declared non-disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Female","4845","4415","53880","53750"
"In post","2023","Declared non-disabled","Legal","Male","2990","2905","54040","54020"
"In post","2023","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Medicine","Female","975","855","52690","41190"
"In post","2023","Declared non-disabled","Medicine","Male","375","340","68020","68280"
"In post","2023","Declared non-disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Operational Delivery","Female","102275","90775","29410","28120"
"In post","2023","Declared non-disabled","Operational Delivery","Male","68685","65970","31540","28480"
"In post","2023","Declared non-disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Operational Research","Female","265","245","46260","43650"
"In post","2023","Declared non-disabled","Operational Research","Male","335","330","49800","49260"
"In post","2023","Declared non-disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other","Female","5345","4815","33450","28120"
"In post","2023","Declared non-disabled","Other","Male","4125","4020","34810","28120"
"In post","2023","Declared non-disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Planning","Female","80","75","45230","40300"
"In post","2023","Declared non-disabled","Planning","Male","90","85","48990","46740"
"In post","2023","Declared non-disabled","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Planning Inspectors","Female","150","135","56020","60050"
"In post","2023","Declared non-disabled","Planning Inspectors","Male","225","205","59730","60050"
"In post","2023","Declared non-disabled","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Policy","Female","11450","10955","49140","45970"
"In post","2023","Declared non-disabled","Policy","Male","9820","9690","51370","51000"
"In post","2023","Declared non-disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Female","6215","5890","44930","41460"
"In post","2023","Declared non-disabled","Project Delivery","Male","5600","5495","48800","43530"
"In post","2023","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Property","Female","1900","1760","37320","34300"
"In post","2023","Declared non-disabled","Property","Male","2620","2545","40440","37300"
"In post","2023","Declared non-disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Psychology","Female","995","955","38350","32420"
"In post","2023","Declared non-disabled","Psychology","Male","145","145","38640","32420"
"In post","2023","Declared non-disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Science and Engineering","Female","2455","2315","41050","39650"
"In post","2023","Declared non-disabled","Science and Engineering","Male","5845","5690","42640","41420"
"In post","2023","Declared non-disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Security","Female","1415","1350","35990","34170"
"In post","2023","Declared non-disabled","Security","Male","4160","4085","34850","31110"
"In post","2023","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Social Research","Female","675","635","46120","43550"
"In post","2023","Declared non-disabled","Social Research","Male","285","285","48390","43850"
"In post","2023","Declared non-disabled","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Statistics","Female","860","800","47170","43760"
"In post","2023","Declared non-disabled","Statistics","Male","995","975","46520","43250"
"In post","2023","Declared non-disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Tax","Female","5110","4730","38020","35000"
"In post","2023","Declared non-disabled","Tax","Male","5505","5335","40220","35000"
"In post","2023","Declared non-disabled","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Female","8320","7895","43270","38330"
"In post","2023","Declared non-disabled","Unknown","Male","7020","6905","44640","38470"
"In post","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Veterinarian","Female","165","155","44100","40260"
"In post","2023","Declared non-disabled","Veterinarian","Male","135","130","45260","40710"
"In post","2023","Declared non-disabled","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Commercial","Female","240","230","45890","42510"
"In post","2023","Undeclared","Commercial","Male","235","230","53210","49300"
"In post","2023","Undeclared","Communications","Female","115","110","43360","40120"
"In post","2023","Undeclared","Communications","Male","85","85","42220","38840"
"In post","2023","Undeclared","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","Female","230","210","31310","28120"
"In post","2023","Undeclared","Counter Fraud","Male","245","240","32610","29730"
"In post","2023","Undeclared","Digital, Data and Technology","Female","350","340","44470","41800"
"In post","2023","Undeclared","Digital, Data and Technology","Male","900","885","44440","41480"
"In post","2023","Undeclared","Economics","Female","45","45","44070","39830"
"In post","2023","Undeclared","Economics","Male","90","90","50470","52870"
"In post","2023","Undeclared","Finance","Female","255","235","42140","37640"
"In post","2023","Undeclared","Finance","Male","260","255","45250","41490"
"In post","2023","Undeclared","Geography","Female","15","15","[c]","[c]"
"In post","2023","Undeclared","Geography","Male","15","15","[c]","[c]"
"In post","2023","Undeclared","Human Resources","Female","420","400","40070","36840"
"In post","2023","Undeclared","Human Resources","Male","285","280","37560","34300"
"In post","2023","Undeclared","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Intelligence Analysis","Female","105","95","32980","31230"
"In post","2023","Undeclared","Intelligence Analysis","Male","150","145","37420","34300"
"In post","2023","Undeclared","Internal Audit","Female","20","20","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","Male","25","25","[c]","[c]"
"In post","2023","Undeclared","International Trade","Female","20","20","[c]","[c]"
"In post","2023","Undeclared","International Trade","Male","40","40","53290","55500"
"In post","2023","Undeclared","Knowledge and Information Management","Female","75","70","34470","33990"
"In post","2023","Undeclared","Knowledge and Information Management","Male","75","75","35770","31580"
"In post","2023","Undeclared","Legal","Female","250","225","51670","52020"
"In post","2023","Undeclared","Legal","Male","235","225","48880","42140"
"In post","2023","Undeclared","Medicine","Female","115","100","80150","68710"
"In post","2023","Undeclared","Medicine","Male","65","60","89030","88440"
"In post","2023","Undeclared","Operational Delivery","Female","7770","6920","30270","28120"
"In post","2023","Undeclared","Operational Delivery","Male","7890","7405","32760","31780"
"In post","2023","Undeclared","Operational Research","Female","20","20","[c]","[c]"
"In post","2023","Undeclared","Operational Research","Male","20","20","[c]","[c]"
"In post","2023","Undeclared","Other","Female","320","290","32030","28120"
"In post","2023","Undeclared","Other","Male","360","345","30070","25610"
"In post","2023","Undeclared","Planning","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Planning","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","Female","10","5","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","Male","20","15","[c]","[c]"
"In post","2023","Undeclared","Policy","Female","800","770","47340","43470"
"In post","2023","Undeclared","Policy","Male","875","865","50620","49370"
"In post","2023","Undeclared","Project Delivery","Female","360","345","44590","41800"
"In post","2023","Undeclared","Project Delivery","Male","425","415","48110","43650"
"In post","2023","Undeclared","Property","Female","180","165","36430","34300"
"In post","2023","Undeclared","Property","Male","290","280","40700","38470"
"In post","2023","Undeclared","Psychology","Female","95","90","40600","36690"
"In post","2023","Undeclared","Psychology","Male","20","20","[c]","[c]"
"In post","2023","Undeclared","Science and Engineering","Female","435","405","44460","41780"
"In post","2023","Undeclared","Science and Engineering","Male","705","685","44280","42620"
"In post","2023","Undeclared","Security","Female","120","115","36510","34300"
"In post","2023","Undeclared","Security","Male","515","500","36230","36950"
"In post","2023","Undeclared","Social Research","Female","40","40","44390","43250"
"In post","2023","Undeclared","Social Research","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Statistics","Female","35","35","45360","43920"
"In post","2023","Undeclared","Statistics","Male","80","80","46320","44000"
"In post","2023","Undeclared","Tax","Female","320","290","39360","35000"
"In post","2023","Undeclared","Tax","Male","515","495","43280","36990"
"In post","2023","Undeclared","Unknown","Female","350","335","41220","35010"
"In post","2023","Undeclared","Unknown","Male","305","300","43630","38460"
"In post","2023","Undeclared","Veterinarian","Female","25","20","[c]","[c]"
"In post","2023","Undeclared","Veterinarian","Male","20","15","[c]","[c]"
"In post","2023","Unknown","Commercial","Female","720","695","41190","36180"
"In post","2023","Unknown","Commercial","Male","720","710","45030","39040"
"In post","2023","Unknown","Communications","Female","625","610","42920","40570"
"In post","2023","Unknown","Communications","Male","425","420","44500","41020"
"In post","2023","Unknown","Corporate Finance","Female","10","10","[c]","[c]"
"In post","2023","Unknown","Corporate Finance","Male","20","20","[c]","[c]"
"In post","2023","Unknown","Counter Fraud","Female","445","420","33470","31280"
"In post","2023","Unknown","Counter Fraud","Male","535","520","35530","32580"
"In post","2023","Unknown","Digital, Data and Technology","Female","1640","1590","43460","39650"
"In post","2023","Unknown","Digital, Data and Technology","Male","3475","3440","44060","40570"
"In post","2023","Unknown","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Economics","Female","200","195","43690","37680"
"In post","2023","Unknown","Economics","Male","355","350","45580","39110"
"In post","2023","Unknown","Finance","Female","960","910","39430","34940"
"In post","2023","Unknown","Finance","Male","865","855","41700","38030"
"In post","2023","Unknown","Geography","Female","40","35","30300","27610"
"In post","2023","Unknown","Geography","Male","95","95","31290","29880"
"In post","2023","Unknown","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","Female","1460","1395","38470","34300"
"In post","2023","Unknown","Human Resources","Male","920","910","37930","33830"
"In post","2023","Unknown","Inspector of Education and Training","Female","55","55","59190","52750"
"In post","2023","Unknown","Inspector of Education and Training","Male","10","10","[c]","[c]"
"In post","2023","Unknown","Intelligence Analysis","Female","200","195","34220","30170"
"In post","2023","Unknown","Intelligence Analysis","Male","295","295","35840","32250"
"In post","2023","Unknown","Internal Audit","Female","55","50","41620","39620"
"In post","2023","Unknown","Internal Audit","Male","50","50","48040","42830"
"In post","2023","Unknown","International Trade","Female","430","420","47610","43090"
"In post","2023","Unknown","International Trade","Male","460","460","50400","45350"
"In post","2023","Unknown","Knowledge and Information Management","Female","180","170","34850","31680"
"In post","2023","Unknown","Knowledge and Information Management","Male","180","175","38120","34450"
"In post","2023","Unknown","Legal","Female","1310","1215","49760","50000"
"In post","2023","Unknown","Legal","Male","840","820","48130","48680"
"In post","2023","Unknown","Medicine","Female","585","510","49690","40750"
"In post","2023","Unknown","Medicine","Male","220","190","63410","53180"
"In post","2023","Unknown","Operational Delivery","Female","26715","24565","28100","25880"
"In post","2023","Unknown","Operational Delivery","Male","22950","22140","29990","27650"
"In post","2023","Unknown","Operational Research","Female","150","145","36570","35050"
"In post","2023","Unknown","Operational Research","Male","220","215","37740","35410"
"In post","2023","Unknown","Other","Female","1285","1220","34160","29890"
"In post","2023","Unknown","Other","Male","2885","2845","38400","36440"
"In post","2023","Unknown","Planning","Female","15","15","[c]","[c]"
"In post","2023","Unknown","Planning","Male","15","15","[c]","[c]"
"In post","2023","Unknown","Planning Inspectors","Female","20","15","[c]","[c]"
"In post","2023","Unknown","Planning Inspectors","Male","35","30","55760","48660"
"In post","2023","Unknown","Policy","Female","3830","3735","47610","43450"
"In post","2023","Unknown","Policy","Male","3065","3040","49260","45960"
"In post","2023","Unknown","Project Delivery","Female","1895","1830","42810","39830"
"In post","2023","Unknown","Project Delivery","Male","1730","1710","45930","42110"
"In post","2023","Unknown","Property","Female","500","475","32340","28940"
"In post","2023","Unknown","Property","Male","840","825","35020","32260"
"In post","2023","Unknown","Psychology","Female","160","145","35890","31310"
"In post","2023","Unknown","Psychology","Male","20","20","[c]","[c]"
"In post","2023","Unknown","Science and Engineering","Female","710","680","38360","33830"
"In post","2023","Unknown","Science and Engineering","Male","1765","1735","39040","36120"
"In post","2023","Unknown","Security","Female","505","495","35620","32000"
"In post","2023","Unknown","Security","Male","1990","1960","34340","30560"
"In post","2023","Unknown","Social Research","Female","295","285","41280","39300"
"In post","2023","Unknown","Social Research","Male","115","110","41780","39300"
"In post","2023","Unknown","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Statistics","Female","315","305","39970","39070"
"In post","2023","Unknown","Statistics","Male","355","350","39820","37760"
"In post","2023","Unknown","Statistics","Unknown","5","5","[c]","[c]"
"In post","2023","Unknown","Tax","Female","1985","1840","32700","29730"
"In post","2023","Unknown","Tax","Male","2425","2360","35020","34700"
"In post","2023","Unknown","Unknown","Female","6585","6255","40610","34700"
"In post","2023","Unknown","Unknown","Male","5100","5015","41500","35000"
"In post","2023","Unknown","Veterinarian","Female","20","20","[c]","[c]"
"In post","2023","Unknown","Veterinarian","Male","5","5","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Female","35","[c]","27710","28120"
"Leaver CS","2023","Declared disabled","Counter Fraud","Male","35","[c]","28330","28120"
"Leaver CS","2023","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data and Technology","Female","60","[c]","43150","37810"
"Leaver CS","2023","Declared disabled","Digital, Data and Technology","Male","100","[c]","39060","34330"
"Leaver CS","2023","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Economics","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Economics","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Female","35","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Male","40","[c]","43970","38810"
"Leaver CS","2023","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Geography","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Geography","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Geography","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","Female","110","[c]","37380","33050"
"Leaver CS","2023","Declared disabled","Human Resources","Male","65","[c]","36830","32960"
"Leaver CS","2023","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Inspector of Education and Training","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Intelligence Analysis","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Intelligence Analysis","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","International Trade","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","International Trade","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Knowledge and Information Management","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Knowledge and Information Management","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","Female","50","[c]","53070","52020"
"Leaver CS","2023","Declared disabled","Legal","Male","35","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Medicine","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Medicine","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
