"Status","Year","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","UK Statistics Authority","Unknown","15","15","[c]","[c]"
"In post","2023","UK Supreme Court","Female","30","30","39180","31620"
"In post","2023","UK Supreme Court","Male","25","25","[c]","[c]"
"In post","2023","Water Services Regulation Authority","Female","130","125","54700","46370"
"In post","2023","Water Services Regulation Authority","Male","135","130","58270","54000"
"In post","2023","Welsh Government","Female","3615","3355","42640","39690"
"In post","2023","Welsh Government","Male","2440","2370","45430","39690"
"Leaver CS","2023","Attorney General's Departments","Female","490","[c]","41350","36780"
"Leaver CS","2023","Attorney General's Departments","Male","310","[c]","47830","50500"
"Leaver CS","2023","Cabinet Office","Female","605","[c]","45440","37300"
"Leaver CS","2023","Cabinet Office","Male","530","[c]","51440","49580"
"Leaver CS","2023","Chancellor's other departments","Female","30","[c]","49890","45870"
"Leaver CS","2023","Chancellor's other departments","Male","35","[c]","56910","42140"
"Leaver CS","2023","Charity Commission","Female","30","[c]","33530","30170"
"Leaver CS","2023","Charity Commission","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","Female","60","[c]","48080","45190"
"Leaver CS","2023","Competition and Markets Authority","Male","60","[c]","61090","54730"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","Female","540","[c]","40060","35230"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","Male","600","[c]","42890","40050"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","Female","135","[c]","43970","38020"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","Male","105","[c]","46650","51730"
"Leaver CS","2023","Department for Education","Female","295","[c]","41450","37710"
"Leaver CS","2023","Department for Education","Male","250","[c]","45040","40590"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Female","620","[c]","27650","25340"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Male","505","[c]","29860","25920"
"Leaver CS","2023","Department for International Trade","Female","115","[c]","43220","41300"
"Leaver CS","2023","Department for International Trade","Male","145","[c]","40140","38160"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","Female","180","[c]","44080","39600"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","Male","210","[c]","41040","35600"
"Leaver CS","2023","Department for Transport","Female","705","[c]","29010","22500"
"Leaver CS","2023","Department for Transport","Male","945","[c]","32490","27450"
"Leaver CS","2023","Department for Work and Pensions","Female","5330","[c]","27300","27570"
"Leaver CS","2023","Department for Work and Pensions","Male","3090","[c]","29550","27570"
"Leaver CS","2023","Department of Health and Social Care","Female","1720","[c]","39730","34280"
"Leaver CS","2023","Department of Health and Social Care","Male","910","[c]","45530","38400"
"Leaver CS","2023","Estyn","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Estyn","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","Female","45","[c]","37130","32830"
"Leaver CS","2023","Food Standards Agency","Male","50","[c]","37270","29430"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","Female","215","[c]","33860","32750"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","Male","220","[c]","38320","32750"
"Leaver CS","2023","HM Land Registry","Female","270","[c]","32980","28080"
"Leaver CS","2023","HM Land Registry","Male","225","[c]","35840","34850"
"Leaver CS","2023","HM Revenue and Customs","Female","2410","[c]","33410","27000"
"Leaver CS","2023","HM Revenue and Customs","Male","2175","[c]","36490","32970"
"Leaver CS","2023","HM Treasury","Female","165","[c]","43490","38330"
"Leaver CS","2023","HM Treasury","Male","200","[c]","44920","40070"
"Leaver CS","2023","Home Office","Female","1235","[c]","32320","26750"
"Leaver CS","2023","Home Office","Male","1285","[c]","33010","27270"
"Leaver CS","2023","Ministry of Defence","Female","1825","[c]","33440","29670"
"Leaver CS","2023","Ministry of Defence","Male","3365","[c]","36060","33070"
"Leaver CS","2023","Ministry of Justice","Female","5555","[c]","27730","21780"
"Leaver CS","2023","Ministry of Justice","Male","4470","[c]","32580","25480"
"Leaver CS","2023","National Crime Agency","Female","160","[c]","39900","36580"
"Leaver CS","2023","National Crime Agency","Male","210","[c]","44070","41910"
"Leaver CS","2023","Northern Ireland Office","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Female","160","[c]","53510","52750"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Male","75","[c]","56770","65690"
"Leaver CS","2023","Office of Gas and Electricity Markets","Female","115","[c]","41880","38460"
"Leaver CS","2023","Office of Gas and Electricity Markets","Male","145","[c]","47140","39820"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Office of Rail and Road","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Scotland","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Government","Female","850","[c]","35340","29560"
"Leaver CS","2023","Scottish Government","Male","865","[c]","37090","34730"
"Leaver CS","2023","The National Archives","Female","50","[c]","31720","29840"
"Leaver CS","2023","The National Archives","Male","35","[c]","34880","30600"
"Leaver CS","2023","UK Export Finance","Female","30","[c]","48080","42000"
"Leaver CS","2023","UK Export Finance","Male","45","[c]","57090","42000"
"Leaver CS","2023","UK Statistics Authority","Female","340","[c]","28360","22860"
"Leaver CS","2023","UK Statistics Authority","Male","350","[c]","31300","23880"
"Leaver CS","2023","UK Supreme Court","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","UK Supreme Court","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Water Services Regulation Authority","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Water Services Regulation Authority","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Welsh Government","Female","120","[c]","38570","31210"
"Leaver CS","2023","Welsh Government","Male","90","[c]","46070","41980"
"Leaver Dept.","2023","Attorney General's Departments","Female","180","[c]","41800","32660"
"Leaver Dept.","2023","Attorney General's Departments","Male","105","[c]","47040","49050"
"Leaver Dept.","2023","Cabinet Office","Female","950","[c]","40430","34250"
"Leaver Dept.","2023","Cabinet Office","Male","755","[c]","42170","34550"
"Leaver Dept.","2023","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","Female","375","[c]","40750","40050"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","Male","330","[c]","42750","40050"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","Female","125","[c]","44610","38020"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","Male","120","[c]","46440","39620"
"Leaver Dept.","2023","Department for Education","Female","340","[c]","42570","38200"
"Leaver Dept.","2023","Department for Education","Male","200","[c]","45200","39090"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","Female","345","[c]","26930","24920"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","Male","240","[c]","27770","25180"
"Leaver Dept.","2023","Department for International Trade","Female","115","[c]","41810","38160"
"Leaver Dept.","2023","Department for International Trade","Male","105","[c]","43910","38410"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","Female","265","[c]","41450","36340"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","Male","195","[c]","43300","37540"
"Leaver Dept.","2023","Department for Transport","Female","295","[c]","33900","31660"
"Leaver Dept.","2023","Department for Transport","Male","300","[c]","37550","33150"
"Leaver Dept.","2023","Department for Work and Pensions","Female","1665","[c]","29970","28120"
"Leaver Dept.","2023","Department for Work and Pensions","Male","1075","[c]","30660","28120"
"Leaver Dept.","2023","Department of Health and Social Care","Female","400","[c]","41100","36820"
"Leaver Dept.","2023","Department of Health and Social Care","Male","235","[c]","46720","40650"
"Leaver Dept.","2023","Estyn","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Estyn","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","Female","30","[c]","40200","37350"
"Leaver Dept.","2023","Food Standards Agency","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","Female","115","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","Male","120","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","Female","765","[c]","30780","26020"
"Leaver Dept.","2023","HM Revenue and Customs","Male","655","[c]","28870","26020"
"Leaver Dept.","2023","HM Treasury","Female","140","[c]","45020","39050"
"Leaver Dept.","2023","HM Treasury","Male","140","[c]","49830","42610"
"Leaver Dept.","2023","Home Office","Female","675","[c]","38620","33600"
"Leaver Dept.","2023","Home Office","Male","530","[c]","38260","32160"
"Leaver Dept.","2023","Ministry of Defence","Female","365","[c]","36780","34300"
"Leaver Dept.","2023","Ministry of Defence","Male","355","[c]","38360","38020"
"Leaver Dept.","2023","Ministry of Justice","Female","1060","[c]","33070","29660"
"Leaver Dept.","2023","Ministry of Justice","Male","745","[c]","36140","31800"
"Leaver Dept.","2023","National Crime Agency","Female","55","[c]","44340","40340"
"Leaver Dept.","2023","National Crime Agency","Male","50","[c]","39510","38640"
"Leaver Dept.","2023","Northern Ireland Office","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Northern Ireland Office","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Office for Standards in Education, Children's Services and Skills","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Office for Standards in Education, Children's Services and Skills","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Office of Gas and Electricity Markets","Female","40","[c]","38600","33400"
"Leaver Dept.","2023","Office of Gas and Electricity Markets","Male","40","[c]","34780","30950"
"Leaver Dept.","2023","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Office of Qualifications and Examinations Regulation","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Office of Rail and Road","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Office of Rail and Road","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Office of the Secretary of State for Scotland","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Office of the Secretary of State for Wales","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Scottish Government","Female","100","[c]","40360","34730"
"Leaver Dept.","2023","Scottish Government","Male","75","[c]","40400","36330"
"Leaver Dept.","2023","The National Archives","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","The National Archives","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","UK Export Finance","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","UK Statistics Authority","Female","155","[c]","33660","31560"
"Leaver Dept.","2023","UK Statistics Authority","Male","90","[c]","36380","31560"
"Leaver Dept.","2023","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Water Services Regulation Authority","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Welsh Government","Female","35","[c]","45450","40100"
"Leaver Dept.","2023","Welsh Government","Male","40","[c]","41920","38160"
"New entrant CS","2023","Attorney General's Departments","Female","865","[c]","32310","27760"
"New entrant CS","2023","Attorney General's Departments","Male","405","[c]","34300","28200"
"New entrant CS","2023","Cabinet Office","Female","675","[c]","36190","28840"
"New entrant CS","2023","Cabinet Office","Male","595","[c]","39580","28840"
"New entrant CS","2023","Chancellor's other departments","Female","30","[c]","[c]","[c]"
"New entrant CS","2023","Chancellor's other departments","Male","35","[c]","44290","40300"
"New entrant CS","2023","Charity Commission","Female","50","[c]","32590","30170"
"New entrant CS","2023","Charity Commission","Male","30","[c]","31130","30170"
"New entrant CS","2023","Competition and Markets Authority","Female","85","[c]","43550","34110"
"New entrant CS","2023","Competition and Markets Authority","Male","75","[c]","45870","34110"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy","Female","640","[c]","33270","31120"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy","Male","600","[c]","33710","31370"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","Female","110","[c]","34480","35040"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport","Male","90","[c]","36720","35040"
"New entrant CS","2023","Department for Education","Female","330","[c]","34000","30700"
"New entrant CS","2023","Department for Education","Male","175","[c]","38710","34030"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","Female","1130","[c]","31650","27160"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs","Male","855","[c]","32490","29080"
"New entrant CS","2023","Department for International Trade","Female","375","[c]","38580","35010"
"New entrant CS","2023","Department for International Trade","Male","405","[c]","40120","38050"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","Female","200","[c]","36850","33880"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities","Male","185","[c]","38370","34310"
"New entrant CS","2023","Department for Transport","Female","760","[c]","26390","22500"
"New entrant CS","2023","Department for Transport","Male","1055","[c]","29370","26780"
"New entrant CS","2023","Department for Work and Pensions","Female","1970","[c]","27850","25610"
"New entrant CS","2023","Department for Work and Pensions","Male","1725","[c]","29450","28120"
"New entrant CS","2023","Department of Health and Social Care","Female","915","[c]","39300","33800"
"New entrant CS","2023","Department of Health and Social Care","Male","550","[c]","42580","37060"
"New entrant CS","2023","Estyn","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Estyn","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Food Standards Agency","Female","90","[c]","32720","30960"
"New entrant CS","2023","Food Standards Agency","Male","70","[c]","32500","31260"
"New entrant CS","2023","Foreign, Commonwealth and Development Office","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","HM Land Registry","Female","205","[c]","28060","23390"
"New entrant CS","2023","HM Land Registry","Male","155","[c]","29080","23390"
"New entrant CS","2023","HM Revenue and Customs","Female","2615","[c]","26780","22520"
"New entrant CS","2023","HM Revenue and Customs","Male","2555","[c]","28990","22520"
"New entrant CS","2023","HM Treasury","Female","165","[c]","32630","28500"
"New entrant CS","2023","HM Treasury","Male","175","[c]","36100","29970"
"New entrant CS","2023","Home Office","Female","4100","[c]","25940","25750"
"New entrant CS","2023","Home Office","Male","3690","[c]","26840","25750"
"New entrant CS","2023","Ministry of Defence","Female","2570","[c]","30470","27080"
"New entrant CS","2023","Ministry of Defence","Male","3475","[c]","32290","28360"
"New entrant CS","2023","Ministry of Justice","Female","8670","[c]","25640","23640"
"New entrant CS","2023","Ministry of Justice","Male","5935","[c]","27710","28880"
"New entrant CS","2023","National Crime Agency","Female","250","[c]","36760","34670"
"New entrant CS","2023","National Crime Agency","Male","265","[c]","39480","36040"
"New entrant CS","2023","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Northern Ireland Office","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","Female","330","[c]","48700","47750"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","Male","130","[c]","53570","47750"
"New entrant CS","2023","Office of Gas and Electricity Markets","Female","205","[c]","38680","33400"
"New entrant CS","2023","Office of Gas and Electricity Markets","Male","265","[c]","40320","35000"
"New entrant CS","2023","Office of Qualifications and Examinations Regulation","Female","55","[c]","34990","32000"
"New entrant CS","2023","Office of Qualifications and Examinations Regulation","Male","30","[c]","[c]","[c]"
"New entrant CS","2023","Office of Rail and Road","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Office of Rail and Road","Male","30","[c]","[c]","[c]"
"New entrant CS","2023","Office of the Secretary of State for Scotland","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Office of the Secretary of State for Scotland","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Office of the Secretary of State for Wales","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","Scottish Government","Female","2415","[c]","30790","29100"
"New entrant CS","2023","Scottish Government","Male","1620","[c]","31590","29100"
"New entrant CS","2023","The National Archives","Female","60","[c]","30380","29840"
"New entrant CS","2023","The National Archives","Male","45","[c]","33670","28000"
"New entrant CS","2023","UK Export Finance","Female","40","[c]","46670","37570"
"New entrant CS","2023","UK Export Finance","Male","55","[c]","49670","42000"
"New entrant CS","2023","UK Statistics Authority","Female","535","[c]","29030","24840"
"New entrant CS","2023","UK Statistics Authority","Male","560","[c]","30300","24840"
"New entrant CS","2023","UK Supreme Court","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","UK Supreme Court","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Water Services Regulation Authority","Female","30","[c]","[c]","[c]"
"New entrant CS","2023","Water Services Regulation Authority","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","Welsh Government","Female","185","[c]","33630","32460"
"New entrant CS","2023","Welsh Government","Male","125","[c]","34580","28370"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Parent_department","Government Department, total figures for both Ministerial and Non-Ministerial Departments include all of their Executive Agencies.","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
