"Status","Year","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","No function","G6/G7","30570","29610","60710","58180"
"In post","2023","No function","SCS level","3690","3545","91270","81750"
"In post","2023","No function","SEO/HEO","73305","70455","38380","37300"
"In post","2023","No function","Unknown","21750","20240","30530","29050"
"In post","2023","Project Delivery","AA/AO","445","425","22800","22520"
"In post","2023","Project Delivery","EO","1825","1715","28230","28120"
"In post","2023","Project Delivery","G6/G7","7115","6895","59930","57970"
"In post","2023","Project Delivery","SCS level","695","670","92540","85000"
"In post","2023","Project Delivery","SEO/HEO","10505","10100","38350","38540"
"In post","2023","Project Delivery","Unknown","1715","1670","43260","41200"
"In post","2023","Property","AA/AO","1875","1765","22400","22520"
"In post","2023","Property","EO","1605","1505","28280","27740"
"In post","2023","Property","G6/G7","1525","1490","58800","57970"
"In post","2023","Property","SCS level","110","110","93070","86540"
"In post","2023","Property","SEO/HEO","3755","3615","38650","37710"
"In post","2023","Property","Unknown","35","35","24640","23800"
"In post","2023","Security","AA/AO","5495","5350","28690","25350"
"In post","2023","Security","EO","1470","1425","32500","28190"
"In post","2023","Security","G6/G7","810","795","60920","58970"
"In post","2023","Security","SCS level","80","80","91760","86590"
"In post","2023","Security","SEO/HEO","2135","2090","39880","38540"
"In post","2023","Security","Unknown","50","45","38170","35250"
"In post","2023","Unknown","AA/AO","4830","4550","24980","24890"
"In post","2023","Unknown","EO","5110","4890","30280","29450"
"In post","2023","Unknown","G6/G7","6355","6080","63410","63900"
"In post","2023","Unknown","SCS level","585","565","90490","85090"
"In post","2023","Unknown","SEO/HEO","12245","11800","40230","39690"
"In post","2023","Unknown","Unknown","1700","1700","41910","39940"
"Leaver CS","2023","Analysis","AA/AO","210","[c]","21600","21230"
"Leaver CS","2023","Analysis","EO","100","[c]","27560","27030"
"Leaver CS","2023","Analysis","G6/G7","175","[c]","58450","54630"
"Leaver CS","2023","Analysis","SCS level","10","[c]","99740","79710"
"Leaver CS","2023","Analysis","SEO/HEO","385","[c]","36040","36340"
"Leaver CS","2023","Commercial","AA/AO","40","[c]","24200","23320"
"Leaver CS","2023","Commercial","EO","70","[c]","27220","27110"
"Leaver CS","2023","Commercial","G6/G7","215","[c]","65070","65330"
"Leaver CS","2023","Commercial","SCS level","35","[c]","128680","117310"
"Leaver CS","2023","Commercial","SEO/HEO","255","[c]","38230","38600"
"Leaver CS","2023","Commercial","Unknown","25","[c]","42290","39880"
"Leaver CS","2023","Communications","AA/AO","35","[c]","22550","22220"
"Leaver CS","2023","Communications","EO","60","[c]","28540","28310"
"Leaver CS","2023","Communications","G6/G7","85","[c]","59960","57380"
"Leaver CS","2023","Communications","SCS level","20","[c]","103100","85100"
"Leaver CS","2023","Communications","SEO/HEO","245","[c]","38940","39660"
"Leaver CS","2023","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","AA/AO","195","[c]","22830","21690"
"Leaver CS","2023","Counter Fraud","EO","395","[c]","28720","28120"
"Leaver CS","2023","Counter Fraud","G6/G7","65","[c]","59760","60310"
"Leaver CS","2023","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","SEO/HEO","250","[c]","37750","36650"
"Leaver CS","2023","Debt","AA/AO","750","[c]","21730","21690"
"Leaver CS","2023","Debt","EO","70","[c]","28270","28120"
"Leaver CS","2023","Debt","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Debt","SEO/HEO","25","[c]","34490","34230"
"Leaver CS","2023","Digital, Data & Technology","AA/AO","140","[c]","21720","21690"
"Leaver CS","2023","Digital, Data & Technology","EO","335","[c]","28100","27740"
"Leaver CS","2023","Digital, Data & Technology","G6/G7","705","[c]","59830","57430"
"Leaver CS","2023","Digital, Data & Technology","SCS level","45","[c]","98800","92080"
"Leaver CS","2023","Digital, Data & Technology","SEO/HEO","965","[c]","38440","38470"
"Leaver CS","2023","Digital, Data & Technology","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","Finance","AA/AO","155","[c]","22500","21730"
"Leaver CS","2023","Finance","EO","150","[c]","27180","27250"
"Leaver CS","2023","Finance","G6/G7","175","[c]","60450","59180"
"Leaver CS","2023","Finance","SCS level","25","[c]","99880","99930"
"Leaver CS","2023","Finance","SEO/HEO","355","[c]","39060","38470"
"Leaver CS","2023","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Grants Management","AA/AO","130","[c]","21680","21300"
"Leaver CS","2023","Grants Management","EO","50","[c]","25250","25920"
"Leaver CS","2023","Grants Management","SEO/HEO","20","[c]","33870","32140"
"Leaver CS","2023","Human Resources","AA/AO","395","[c]","21970","21830"
"Leaver CS","2023","Human Resources","EO","365","[c]","28040","27570"
"Leaver CS","2023","Human Resources","G6/G7","205","[c]","60140","57460"
"Leaver CS","2023","Human Resources","SCS level","40","[c]","94900","88380"
"Leaver CS","2023","Human Resources","SEO/HEO","480","[c]","38330","36960"
"Leaver CS","2023","Human Resources","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","G6/G7","15","[c]","59000","57470"
"Leaver CS","2023","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","SEO/HEO","45","[c]","40340","39980"
"Leaver CS","2023","Legal","AA/AO","180","[c]","22740","22870"
"Leaver CS","2023","Legal","EO","150","[c]","28350","28080"
"Leaver CS","2023","Legal","G6/G7","410","[c]","60450","57380"
"Leaver CS","2023","Legal","SCS level","30","[c]","92120","86050"
"Leaver CS","2023","Legal","SEO/HEO","120","[c]","39460","38760"
"Leaver CS","2023","No function","AA/AO","13645","[c]","22110","21690"
"Leaver CS","2023","No function","EO","7850","[c]","28590","28120"
"Leaver CS","2023","No function","G6/G7","2020","[c]","60400","57680"
"Leaver CS","2023","No function","SCS level","345","[c]","97390","91290"
"Leaver CS","2023","No function","SEO/HEO","4905","[c]","37880","37150"
"Leaver CS","2023","No function","Unknown","1980","[c]","34550","26840"
"Leaver CS","2023","Project Delivery","AA/AO","60","[c]","22000","21760"
"Leaver CS","2023","Project Delivery","EO","125","[c]","26720","26900"
"Leaver CS","2023","Project Delivery","G6/G7","355","[c]","59480","57150"
"Leaver CS","2023","Project Delivery","SCS level","35","[c]","99050","91170"
"Leaver CS","2023","Project Delivery","SEO/HEO","655","[c]","37640","37710"
"Leaver CS","2023","Project Delivery","Unknown","140","[c]","41270","35790"
"Leaver CS","2023","Property","AA/AO","205","[c]","21890","22040"
"Leaver CS","2023","Property","EO","115","[c]","27500","27000"
"Leaver CS","2023","Property","G6/G7","80","[c]","59980","58250"
"Leaver CS","2023","Property","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Property","SEO/HEO","275","[c]","39930","40190"
"Leaver CS","2023","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Security","AA/AO","615","[c]","28600","26410"
"Leaver CS","2023","Security","EO","110","[c]","34530","29200"
"Leaver CS","2023","Security","G6/G7","35","[c]","59490","58910"
"Leaver CS","2023","Security","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Security","SEO/HEO","165","[c]","40920","37410"
"Leaver CS","2023","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","505","[c]","24100","23340"
"Leaver CS","2023","Unknown","EO","495","[c]","28440","29100"
"Leaver CS","2023","Unknown","G6/G7","645","[c]","64310","65280"
"Leaver CS","2023","Unknown","SCS level","125","[c]","94110","89260"
"Leaver CS","2023","Unknown","SEO/HEO","935","[c]","39470","38330"
"Leaver CS","2023","Unknown","Unknown","200","[c]","36780","33730"
"Leaver Dept.","2023","Analysis","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Analysis","EO","35","[c]","28280","27850"
"Leaver Dept.","2023","Analysis","G6/G7","110","[c]","57530","56490"
"Leaver Dept.","2023","Analysis","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Analysis","SEO/HEO","400","[c]","36260","34560"
"Leaver Dept.","2023","Commercial","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Commercial","EO","35","[c]","27380","27200"
"Leaver Dept.","2023","Commercial","G6/G7","65","[c]","54930","55590"
"Leaver Dept.","2023","Commercial","SEO/HEO","180","[c]","37690","38460"
"Leaver Dept.","2023","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Communications","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Communications","EO","35","[c]","27880","27950"
"Leaver Dept.","2023","Communications","G6/G7","60","[c]","59740","57430"
"Leaver Dept.","2023","Communications","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Communications","SEO/HEO","190","[c]","37200","35650"
"Leaver Dept.","2023","Counter Fraud","AA/AO","50","[c]","22860","21690"
"Leaver Dept.","2023","Counter Fraud","EO","185","[c]","29030","28120"
"Leaver Dept.","2023","Counter Fraud","G6/G7","15","[c]","59320","58120"
"Leaver Dept.","2023","Counter Fraud","SEO/HEO","80","[c]","36430","35650"
"Leaver Dept.","2023","Debt","AA/AO","170","[c]","21620","21690"
"Leaver Dept.","2023","Debt","EO","20","[c]","27860","28120"
"Leaver Dept.","2023","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Digital, Data & Technology","AA/AO","25","[c]","21900","21720"
"Leaver Dept.","2023","Digital, Data & Technology","EO","105","[c]","27610","27170"
"Leaver Dept.","2023","Digital, Data & Technology","G6/G7","190","[c]","57940","56140"
"Leaver Dept.","2023","Digital, Data & Technology","SCS level","20","[c]","86900","85300"
"Leaver Dept.","2023","Digital, Data & Technology","SEO/HEO","405","[c]","37040","36840"
"Leaver Dept.","2023","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Finance","AA/AO","25","[c]","21820","22220"
"Leaver Dept.","2023","Finance","EO","70","[c]","28030","27500"
"Leaver Dept.","2023","Finance","G6/G7","105","[c]","60250","59150"
"Leaver Dept.","2023","Finance","SCS level","25","[c]","95940","87120"
"Leaver Dept.","2023","Finance","SEO/HEO","240","[c]","36590","35310"
"Leaver Dept.","2023","Grants Management","AA/AO","35","[c]","21810","22150"
"Leaver Dept.","2023","Grants Management","EO","15","[c]","25480","25760"
"Leaver Dept.","2023","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Grants Management","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Human Resources","AA/AO","100","[c]","22060","21720"
"Leaver Dept.","2023","Human Resources","EO","140","[c]","27380","27500"
"Leaver Dept.","2023","Human Resources","G6/G7","135","[c]","58010","56430"
"Leaver Dept.","2023","Human Resources","SCS level","20","[c]","84110","79630"
"Leaver Dept.","2023","Human Resources","SEO/HEO","365","[c]","35950","34550"
"Leaver Dept.","2023","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","SEO/HEO","15","[c]","39310","40000"
"Leaver Dept.","2023","Legal","AA/AO","40","[c]","23920","24480"
"Leaver Dept.","2023","Legal","EO","65","[c]","27710","27760"
"Leaver Dept.","2023","Legal","G6/G7","110","[c]","59350","56360"
"Leaver Dept.","2023","Legal","SCS level","15","[c]","89530","88220"
"Leaver Dept.","2023","Legal","SEO/HEO","55","[c]","36100","32660"
"Leaver Dept.","2023","No function","AA/AO","2085","[c]","22130","21690"
"Leaver Dept.","2023","No function","EO","2550","[c]","28260","28120"
"Leaver Dept.","2023","No function","G6/G7","1310","[c]","58260","56390"
"Leaver Dept.","2023","No function","SCS level","215","[c]","88030","78930"
"Leaver Dept.","2023","No function","SEO/HEO","2725","[c]","36920","35760"
"Leaver Dept.","2023","No function","Unknown","150","[c]","[c]","[c]"
"Leaver Dept.","2023","Project Delivery","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Project Delivery","EO","70","[c]","27450","27260"
"Leaver Dept.","2023","Project Delivery","G6/G7","120","[c]","56400","54540"
"Leaver Dept.","2023","Project Delivery","SCS level","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Project Delivery","SEO/HEO","325","[c]","36320","35030"
"Leaver Dept.","2023","Project Delivery","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Property","AA/AO","50","[c]","22100","22520"
"Leaver Dept.","2023","Property","EO","35","[c]","26500","26030"
"Leaver Dept.","2023","Property","G6/G7","35","[c]","56960","56010"
"Leaver Dept.","2023","Property","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Property","SEO/HEO","85","[c]","37510","36900"
"Leaver Dept.","2023","Security","AA/AO","50","[c]","24780","24430"
"Leaver Dept.","2023","Security","EO","50","[c]","26290","25370"
"Leaver Dept.","2023","Security","G6/G7","25","[c]","56370","54700"
"Leaver Dept.","2023","Security","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Security","SEO/HEO","95","[c]","36890","35650"
"Leaver Dept.","2023","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","AA/AO","45","[c]","25410","25120"
"Leaver Dept.","2023","Unknown","EO","155","[c]","28590","28410"
"Leaver Dept.","2023","Unknown","G6/G7","315","[c]","60010","57580"
"Leaver Dept.","2023","Unknown","SCS level","55","[c]","93540","81600"
"Leaver Dept.","2023","Unknown","SEO/HEO","755","[c]","34480","32000"
"Leaver Dept.","2023","Unknown","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2023","Analysis","AA/AO","215","[c]","22390","22520"
"New entrant CS","2023","Analysis","EO","220","[c]","27610","27840"
"New entrant CS","2023","Analysis","G6/G7","95","[c]","60510","55720"
"New entrant CS","2023","Analysis","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2023","Analysis","SEO/HEO","945","[c]","34430","34170"
"New entrant CS","2023","Commercial","AA/AO","95","[c]","22470","22120"
"New entrant CS","2023","Commercial","EO","130","[c]","27230","27080"
"New entrant CS","2023","Commercial","G6/G7","135","[c]","66680","67000"
"New entrant CS","2023","Commercial","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2023","Commercial","SEO/HEO","350","[c]","35380","34000"
"New entrant CS","2023","Commercial","Unknown","25","[c]","33360","32500"
"New entrant CS","2023","Communications","AA/AO","40","[c]","22850","22520"
"New entrant CS","2023","Communications","EO","100","[c]","27550","27550"
"New entrant CS","2023","Communications","G6/G7","65","[c]","59200","55760"
"New entrant CS","2023","Communications","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2023","Communications","SEO/HEO","355","[c]","37480","37300"
"New entrant CS","2023","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Counter Fraud","AA/AO","250","[c]","23290","22520"
"New entrant CS","2023","Counter Fraud","EO","265","[c]","28570","27890"
"New entrant CS","2023","Counter Fraud","G6/G7","20","[c]","53610","54680"
"New entrant CS","2023","Counter Fraud","SEO/HEO","125","[c]","35740","34400"
"New entrant CS","2023","Debt","AA/AO","1655","[c]","22660","22520"
"New entrant CS","2023","Debt","EO","20","[c]","27690","27650"
"New entrant CS","2023","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Digital, Data & Technology","AA/AO","205","[c]","21400","21690"
"New entrant CS","2023","Digital, Data & Technology","EO","715","[c]","27710","27650"
"New entrant CS","2023","Digital, Data & Technology","G6/G7","665","[c]","57950","56080"
"New entrant CS","2023","Digital, Data & Technology","SCS level","45","[c]","107310","108000"
"New entrant CS","2023","Digital, Data & Technology","SEO/HEO","1555","[c]","37450","37420"
"New entrant CS","2023","Digital, Data & Technology","Unknown","10","[c]","30280","30080"
"New entrant CS","2023","Finance","AA/AO","240","[c]","22430","22520"
"New entrant CS","2023","Finance","EO","185","[c]","27360","27080"
"New entrant CS","2023","Finance","G6/G7","85","[c]","57010","55000"
"New entrant CS","2023","Finance","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2023","Finance","SEO/HEO","320","[c]","37550","37590"
"New entrant CS","2023","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Grants Management","AA/AO","345","[c]","22010","22150"
"New entrant CS","2023","Grants Management","EO","45","[c]","25340","25920"
"New entrant CS","2023","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Grants Management","SEO/HEO","15","[c]","33280","30320"
"New entrant CS","2023","Human Resources","AA/AO","240","[c]","22090","22220"
"New entrant CS","2023","Human Resources","EO","360","[c]","27310","27140"
"New entrant CS","2023","Human Resources","G6/G7","115","[c]","56920","54810"
"New entrant CS","2023","Human Resources","SCS level","10","[c]","91310","85000"
"New entrant CS","2023","Human Resources","SEO/HEO","430","[c]","36510","34540"
"New entrant CS","2023","Human Resources","Unknown","15","[c]","29920","32920"
"New entrant CS","2023","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Internal Audit","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Internal Audit","G6/G7","10","[c]","55620","54750"
"New entrant CS","2023","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Internal Audit","SEO/HEO","40","[c]","39170","39200"
"New entrant CS","2023","Legal","AA/AO","515","[c]","21830","21120"
"New entrant CS","2023","Legal","EO","340","[c]","27930","27760"
"New entrant CS","2023","Legal","G6/G7","400","[c]","54880","52600"
"New entrant CS","2023","Legal","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2023","Legal","SEO/HEO","290","[c]","38740","38760"
"New entrant CS","2023","No function","AA/AO","19480","[c]","24270","22520"
"New entrant CS","2023","No function","EO","6760","[c]","27650","26830"
"New entrant CS","2023","No function","G6/G7","1205","[c]","60430","56440"
"New entrant CS","2023","No function","SCS level","130","[c]","105740","95170"
"New entrant CS","2023","No function","SEO/HEO","4365","[c]","37060","35400"
"New entrant CS","2023","No function","Unknown","4070","[c]","23120","23640"
"New entrant CS","2023","Project Delivery","AA/AO","175","[c]","21830","22150"
"New entrant CS","2023","Project Delivery","EO","280","[c]","26590","26700"
"New entrant CS","2023","Project Delivery","G6/G7","295","[c]","56480","54090"
"New entrant CS","2023","Project Delivery","SCS level","35","[c]","93620","90000"
"New entrant CS","2023","Project Delivery","SEO/HEO","795","[c]","35710","34400"
"New entrant CS","2023","Project Delivery","Unknown","215","[c]","33150","32500"
"New entrant CS","2023","Property","AA/AO","370","[c]","22520","22520"
"New entrant CS","2023","Property","EO","140","[c]","27160","27080"
"New entrant CS","2023","Property","G6/G7","90","[c]","57410","55790"
"New entrant CS","2023","Property","SCS level","10","[c]","94860","94000"
"New entrant CS","2023","Property","SEO/HEO","300","[c]","36960","35780"
"New entrant CS","2023","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Security","AA/AO","660","[c]","27120","26560"
"New entrant CS","2023","Security","EO","140","[c]","26710","26930"
"New entrant CS","2023","Security","G6/G7","40","[c]","59750","57430"
"New entrant CS","2023","Security","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Security","SEO/HEO","130","[c]","37210","34850"
"New entrant CS","2023","Security","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","AA/AO","1460","[c]","22690","22180"
"New entrant CS","2023","Unknown","EO","1135","[c]","28820","29100"
"New entrant CS","2023","Unknown","G6/G7","385","[c]","58050","53440"
"New entrant CS","2023","Unknown","SCS level","30","[c]","90960","81890"
"New entrant CS","2023","Unknown","SEO/HEO","1550","[c]","35540","33520"
"New entrant CS","2023","Unknown","Unknown","150","[c]","22470","17530"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
