"Status","Year","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Cabinet Office (excl. agencies)","London","Unknown","680","670","55180","56430"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","Heterosexual / straight","1625","1550","39110","34320"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","LGBO","160","155","37390","33020"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","Undeclared","135","130","40550","34650"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","Unknown","265","250","35340","33020"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","75","75","43090","38050"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Unknown","60","60","39970","28210"
"In post","2023","Central Civil Service Fast Stream","London","Heterosexual / straight","285","285","32590","32960"
"In post","2023","Central Civil Service Fast Stream","London","LGBO","45","45","32030","32960"
"In post","2023","Central Civil Service Fast Stream","London","Undeclared","35","35","32480","32960"
"In post","2023","Central Civil Service Fast Stream","London","Unknown","825","825","30000","30130"
"In post","2023","Central Civil Service Fast Stream","Outside London","Heterosexual / straight","95","90","32330","32960"
"In post","2023","Central Civil Service Fast Stream","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Outside London","Unknown","335","335","29930","28840"
"In post","2023","Central Civil Service Fast Stream","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Heterosexual / straight","270","255","36420","30820"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","LGBO","30","30","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Undeclared","35","30","37040","37300"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","325","310","35770","30820"
"In post","2023","Charity Commission","London","Heterosexual / straight","45","45","45590","38800"
"In post","2023","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","Unknown","30","30","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Heterosexual / straight","230","220","34840","30170"
"In post","2023","Charity Commission","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Unknown","150","145","32900","30170"
"In post","2023","Companies House","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Outside London","Heterosexual / straight","865","810","32970","28070"
"In post","2023","Companies House","Outside London","LGBO","45","40","30440","25610"
"In post","2023","Companies House","Outside London","Undeclared","100","95","33490","28070"
"In post","2023","Companies House","Outside London","Unknown","195","175","30090","25610"
"In post","2023","Competition and Markets Authority","London","Heterosexual / straight","635","615","62760","58060"
"In post","2023","Competition and Markets Authority","London","LGBO","60","60","61550","58970"
"In post","2023","Competition and Markets Authority","London","Undeclared","75","70","65940","60600"
"In post","2023","Competition and Markets Authority","London","Unknown","20","20","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","Heterosexual / straight","100","95","57690","55950"
"In post","2023","Competition and Markets Authority","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","Heterosexual / straight","205","190","29110","25830"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","LGBO","25","25","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","Unknown","80","75","26110","21780"
"In post","2023","Criminal Injuries Compensation Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","London","Heterosexual / straight","45","45","58030","57000"
"In post","2023","Crown Commercial Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","London","Unknown","15","15","[c]","[c]"
"In post","2023","Crown Commercial Service","Outside London","Heterosexual / straight","535","520","40620","40450"
"In post","2023","Crown Commercial Service","Outside London","LGBO","30","30","38670","39860"
"In post","2023","Crown Commercial Service","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2023","Crown Commercial Service","Outside London","Unknown","105","100","38310","39860"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","Heterosexual / straight","2090","1970","39520","33120"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","LGBO","125","125","36890","30440"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","Undeclared","130","120","43760","37940"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","Unknown","110","100","47560","46400"
"In post","2023","Crown Prosecution Service","London","Heterosexual / straight","1400","1340","45170","40540"
"In post","2023","Crown Prosecution Service","London","LGBO","95","90","44380","34460"
"In post","2023","Crown Prosecution Service","London","Undeclared","80","80","45240","42650"
"In post","2023","Crown Prosecution Service","London","Unknown","295","265","46400","40540"
"In post","2023","Crown Prosecution Service","Outside London","Heterosexual / straight","4225","3970","40270","35000"
"In post","2023","Crown Prosecution Service","Outside London","LGBO","255","250","36780","28200"
"In post","2023","Crown Prosecution Service","Outside London","Undeclared","175","170","37980","32660"
"In post","2023","Crown Prosecution Service","Outside London","Unknown","985","875","44370","49050"
"In post","2023","Crown Prosecution Service","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Crown Prosecution Service","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Crown Prosecution Service","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Outside London","Heterosexual / straight","175","170","30260","27250"
"In post","2023","Defence Electronics and Components Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Outside London","Undeclared","260","245","30110","30060"
"In post","2023","Defence Electronics and Components Agency","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Defence Equipment and Support","London","Heterosexual / straight","145","140","30430","27150"
"In post","2023","Defence Equipment and Support","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Equipment and Support","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Defence Equipment and Support","London","Unknown","20","20","[c]","[c]"
"In post","2023","Defence Equipment and Support","Outside London","Heterosexual / straight","8330","8015","39880","38790"
"In post","2023","Defence Equipment and Support","Outside London","LGBO","265","260","36630","34000"
"In post","2023","Defence Equipment and Support","Outside London","Undeclared","1035","990","41060","40680"
"In post","2023","Defence Equipment and Support","Outside London","Unknown","865","840","34020","32080"
"In post","2023","Defence Equipment and Support","Overseas","Heterosexual / straight","30","30","57190","58060"
"In post","2023","Defence Equipment and Support","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Equipment and Support","Overseas","Undeclared","10","10","[c]","[c]"
"In post","2023","Defence Equipment and Support","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Outside London","Heterosexual / straight","3415","3275","43040","39890"
"In post","2023","Defence Science and Technology Laboratory","Outside London","LGBO","220","220","36300","30650"
"In post","2023","Defence Science and Technology Laboratory","Outside London","Undeclared","90","90","40880","39890"
"In post","2023","Defence Science and Technology Laboratory","Outside London","Unknown","1230","1190","42430","39890"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Heterosexual / straight","3575","3490","52700","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","LGBO","405","405","50630","54710"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Undeclared","470","455","52070","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Unknown","520","515","49610","45610"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Heterosexual / straight","935","915","43610","37750"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","LGBO","110","110","40800","37750"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Undeclared","90","90","49500","50680"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Unknown","175","175","41230","37470"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Heterosexual / straight","1065","1040","51320","53030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","LGBO","175","175","48860","52760"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Undeclared","115","115","46610","42120"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Unknown","145","140","47630","44600"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Heterosexual / straight","150","145","43100","37370"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","LGBO","30","30","42580","36100"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","London","Heterosexual / straight","1515","1450","52490","55020"
"In post","2023","Department for Education (excl. agencies)","London","LGBO","165","160","52360","55020"
"In post","2023","Department for Education (excl. agencies)","London","Undeclared","175","170","50770","55020"
"In post","2023","Department for Education (excl. agencies)","London","Unknown","275","265","52170","55020"
"In post","2023","Department for Education (excl. agencies)","Outside London","Heterosexual / straight","3910","3770","43260","38070"
"In post","2023","Department for Education (excl. agencies)","Outside London","LGBO","305","300","40770","37590"
"In post","2023","Department for Education (excl. agencies)","Outside London","Undeclared","380","370","43600","38210"
"In post","2023","Department for Education (excl. agencies)","Outside London","Unknown","435","420","42780","37880"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Heterosexual / straight","1770","1720","46780","40830"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","LGBO","210","205","47310","40300"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Undeclared","180","175","44790","40260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Unknown","395","385","45230","40260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Heterosexual / straight","2900","2790","42050","37710"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","LGBO","215","210","40970","37300"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Undeclared","280","270","41460","37610"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Unknown","380","360","41040","37480"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","London","Heterosexual / straight","1640","1615","49760","44180"
"In post","2023","Department for International Trade","London","LGBO","215","215","47000","41550"
"In post","2023","Department for International Trade","London","Undeclared","135","135","50640","55370"
"In post","2023","Department for International Trade","London","Unknown","700","690","48530","42040"
"In post","2023","Department for International Trade","Outside London","Heterosexual / straight","450","435","43420","41380"
"In post","2023","Department for International Trade","Outside London","LGBO","30","30","[c]","[c]"
"In post","2023","Department for International Trade","Outside London","Undeclared","40","35","40330","40800"
"In post","2023","Department for International Trade","Outside London","Unknown","150","145","43570","42220"
"In post","2023","Department for International Trade","Overseas","Heterosexual / straight","100","100","57440","55370"
"In post","2023","Department for International Trade","Overseas","LGBO","10","10","[c]","[c]"
"In post","2023","Department for International Trade","Overseas","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for International Trade","Overseas","Unknown","55","55","54280","54040"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Heterosexual / straight","1555","1515","51630","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","London","LGBO","205","200","49200","47320"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Undeclared","155","155","49080","44180"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Unknown","200","195","50790","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Heterosexual / straight","895","860","42470","37540"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","LGBO","100","95","42760","40300"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Undeclared","85","80","43810","39360"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Unknown","65","65","38900","31420"
"In post","2023","Department for Transport (excl. agencies)","London","Heterosexual / straight","1940","1890","53700","55740"
"In post","2023","Department for Transport (excl. agencies)","London","LGBO","220","220","51930","55190"
"In post","2023","Department for Transport (excl. agencies)","London","Undeclared","225","220","52700","55190"
"In post","2023","Department for Transport (excl. agencies)","London","Unknown","630","615","47340","43750"
"In post","2023","Department for Transport (excl. agencies)","Outside London","Heterosexual / straight","525","505","45380","39820"
"In post","2023","Department for Transport (excl. agencies)","Outside London","LGBO","65","60","43250","39820"
"In post","2023","Department for Transport (excl. agencies)","Outside London","Undeclared","50","50","54990","44180"
"In post","2023","Department for Transport (excl. agencies)","Outside London","Unknown","130","125","44150","39430"
"In post","2023","Department for Transport (excl. agencies)","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","London","Heterosexual / straight","6130","5725","36430","32520"
"In post","2023","Department for Work and Pensions (excl. agencies)","London","LGBO","380","365","39230","32520"
"In post","2023","Department for Work and Pensions (excl. agencies)","London","Undeclared","745","665","34270","32520"
"In post","2023","Department for Work and Pensions (excl. agencies)","London","Unknown","1795","1615","35380","32520"
"In post","2023","Department for Work and Pensions (excl. agencies)","Outside London","Heterosexual / straight","53575","47910","28880","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Outside London","LGBO","3355","3190","28570","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Outside London","Undeclared","6330","5580","28070","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Outside London","Unknown","12295","10550","27840","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","Heterosexual / straight","250","240","34730","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","Undeclared","30","30","30940","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","45","45","32530","28120"
"In post","2023","Department of Health and Social Care (excl. agencies)","London","Heterosexual / straight","1330","1280","52090","54660"
"In post","2023","Department of Health and Social Care (excl. agencies)","London","LGBO","185","180","51570","41950"
"In post","2023","Department of Health and Social Care (excl. agencies)","London","Undeclared","870","845","48970","46000"
"In post","2023","Department of Health and Social Care (excl. agencies)","Outside London","Heterosexual / straight","830","790","47800","50830"
"In post","2023","Department of Health and Social Care (excl. agencies)","Outside London","LGBO","75","75","44490","38120"
"In post","2023","Department of Health and Social Care (excl. agencies)","Outside London","Undeclared","380","365","45550","41950"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","Outside London","Heterosexual / straight","210","200","33620","27740"
"In post","2023","Disclosure Scotland","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Disclosure Scotland","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2023","Disclosure Scotland","Outside London","Unknown","120","115","27310","24890"
"In post","2023","Driver and Vehicle Licensing Agency","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Outside London","Heterosexual / straight","4080","3675","28020","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Outside London","LGBO","220","210","24950","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Outside London","Undeclared","1250","1040","26380","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Outside London","Unknown","675","605","26040","22500"
"In post","2023","Driver and Vehicle Standards Agency","London","Heterosexual / straight","215","210","33250","31450"
"In post","2023","Driver and Vehicle Standards Agency","London","LGBO","15","15","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","London","Undeclared","65","55","33510","31450"
"In post","2023","Driver and Vehicle Standards Agency","London","Unknown","60","55","31420","31260"
"In post","2023","Driver and Vehicle Standards Agency","Outside London","Heterosexual / straight","2630","2480","30940","27490"
"In post","2023","Driver and Vehicle Standards Agency","Outside London","LGBO","145","140","29950","27450"
"In post","2023","Driver and Vehicle Standards Agency","Outside London","Undeclared","700","625","30030","27450"
"In post","2023","Driver and Vehicle Standards Agency","Outside London","Unknown","1075","1030","27920","27190"
"In post","2023","Education Scotland","Outside London","Heterosexual / straight","205","200","62870","69410"
"In post","2023","Education Scotland","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Education Scotland","Outside London","Undeclared","10","5","[c]","[c]"
"In post","2023","Education Scotland","Outside London","Unknown","140","135","55490","54870"
"In post","2023","Education and Skills Funding Agency","London","Heterosexual / straight","85","80","48050","42170"
"In post","2023","Education and Skills Funding Agency","London","LGBO","5","5","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","London","Unknown","20","20","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","Outside London","Heterosexual / straight","475","460","41950","37880"
"In post","2023","Education and Skills Funding Agency","Outside London","LGBO","40","40","37380","37590"
"In post","2023","Education and Skills Funding Agency","Outside London","Undeclared","45","40","42630","38210"
"In post","2023","Education and Skills Funding Agency","Outside London","Unknown","90","85","40200","38210"
"In post","2023","Estyn","Outside London","Heterosexual / straight","105","100","60660","78500"
"In post","2023","Estyn","Outside London","LGBO","10","5","[c]","[c]"
"In post","2023","Estyn","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","FCDO Services","London","Heterosexual / straight","130","125","49610","46560"
"In post","2023","FCDO Services","London","LGBO","5","5","[c]","[c]"
"In post","2023","FCDO Services","London","Undeclared","15","15","[c]","[c]"
"In post","2023","FCDO Services","London","Unknown","25","25","[c]","[c]"
"In post","2023","FCDO Services","Outside London","Heterosexual / straight","640","610","41060","35340"
"In post","2023","FCDO Services","Outside London","LGBO","30","30","31810","29400"
"In post","2023","FCDO Services","Outside London","Undeclared","55","55","45330","43750"
"In post","2023","FCDO Services","Outside London","Unknown","85","85","37830","35300"
"In post","2023","FCDO Services","Overseas","Heterosexual / straight","85","85","41610","41010"
"In post","2023","FCDO Services","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","FCDO Services","Overseas","Undeclared","15","15","[c]","[c]"
"In post","2023","FCDO Services","Overseas","Unknown","25","25","[c]","[c]"
"In post","2023","Food Standards Agency","London","Heterosexual / straight","150","145","45400","41160"
"In post","2023","Food Standards Agency","London","LGBO","15","15","[c]","[c]"
"In post","2023","Food Standards Agency","London","Undeclared","30","30","[c]","[c]"
"In post","2023","Food Standards Agency","London","Unknown","30","30","43640","40750"
"In post","2023","Food Standards Agency","Outside London","Heterosexual / straight","925","900","39010","37720"
"In post","2023","Food Standards Agency","Outside London","LGBO","60","55","39010","37720"
"In post","2023","Food Standards Agency","Outside London","Undeclared","100","95","39030","37910"
"In post","2023","Food Standards Agency","Outside London","Unknown","270","255","33060","29430"
"In post","2023","Food Standards Agency","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Scotland","Outside London","Heterosexual / straight","160","155","39120","34730"
"In post","2023","Food Standards Scotland","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Food Standards Scotland","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Food Standards Scotland","Outside London","Unknown","105","100","38340","34730"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","London","Heterosexual / straight","2600","2535","52700","53500"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","London","LGBO","225","225","51360","47100"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","London","Undeclared","20","20","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","London","Unknown","1545","1515","50610","48820"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Heterosexual / straight","655","625","41010","37560"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","LGBO","40","35","36570","31310"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Unknown","395","385","39990","37950"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Heterosexual / straight","1385","1380","52940","53970"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","LGBO","130","130","52290","54000"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Undeclared","15","15","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Unknown","575","575","54170","55060"
"In post","2023","Forestry and Land Scotland","Outside London","Heterosexual / straight","500","480","34890","32220"
"In post","2023","Forestry and Land Scotland","Outside London","LGBO","25","25","[c]","[c]"
"In post","2023","Forestry and Land Scotland","Outside London","Undeclared","35","35","33620","32220"
"In post","2023","Forestry and Land Scotland","Outside London","Unknown","540","520","34150","32220"
"In post","2023","Government Actuary's Department","London","Heterosexual / straight","160","150","69950","67430"
"In post","2023","Government Actuary's Department","London","LGBO","5","5","[c]","[c]"
"In post","2023","Government Actuary's Department","London","Undeclared","25","20","[c]","[c]"
"In post","2023","Government Actuary's Department","London","Unknown","15","15","[c]","[c]"
"In post","2023","Government Actuary's Department","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Government Actuary's Department","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Government Actuary's Department","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Government Actuary's Department","Outside London","Unknown","[c]","[c]","[c]","[c]"
