"Status","Year","Ethnicity","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SCS level","Female","Heterosexual / straight","150","140","91740","83280"
"In post","2023","Asian","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SCS level","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","SCS level","Female","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","SCS level","Male","Heterosexual / straight","140","140","93000","86580"
"In post","2023","Asian","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","SCS level","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SEO/HEO","Female","Heterosexual / straight","4640","4470","38320","37680"
"In post","2023","Asian","SEO/HEO","Female","LGBO","85","85","38540","39150"
"In post","2023","Asian","SEO/HEO","Female","Undeclared","265","255","38870","39040"
"In post","2023","Asian","SEO/HEO","Female","Unknown","450","435","37680","37910"
"In post","2023","Asian","SEO/HEO","Male","Heterosexual / straight","4115","4050","38740","37930"
"In post","2023","Asian","SEO/HEO","Male","LGBO","135","135","38980","38720"
"In post","2023","Asian","SEO/HEO","Male","Undeclared","210","205","38840","38510"
"In post","2023","Asian","SEO/HEO","Male","Unknown","390","385","38060","36990"
"In post","2023","Asian","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Female","Heterosexual / straight","640","590","29740","27640"
"In post","2023","Asian","Unknown","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Unknown","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Unknown","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Unknown","Male","Heterosexual / straight","325","305","31040","28150"
"In post","2023","Asian","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Unknown","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","AA/AO","Female","Heterosexual / straight","2055","1860","24970","25480"
"In post","2023","Black","AA/AO","Female","LGBO","60","55","25150","23670"
"In post","2023","Black","AA/AO","Female","Undeclared","160","140","24860","25480"
"In post","2023","Black","AA/AO","Female","Unknown","225","190","25180","23930"
"In post","2023","Black","AA/AO","Male","Heterosexual / straight","1530","1495","27150","25610"
"In post","2023","Black","AA/AO","Male","LGBO","30","30","26000","25230"
"In post","2023","Black","AA/AO","Male","Undeclared","65","65","26900","25610"
"In post","2023","Black","AA/AO","Male","Unknown","160","150","27530","25910"
"In post","2023","Black","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","EO","Female","Heterosexual / straight","2875","2710","30320","30280"
"In post","2023","Black","EO","Female","LGBO","60","60","29970","29900"
"In post","2023","Black","EO","Female","Undeclared","165","150","30810","30880"
"In post","2023","Black","EO","Female","Unknown","330","295","30960","32420"
"In post","2023","Black","EO","Male","Heterosexual / straight","1455","1430","30290","29890"
"In post","2023","Black","EO","Male","LGBO","45","45","29940","29660"
"In post","2023","Black","EO","Male","Undeclared","75","70","30290","30000"
"In post","2023","Black","EO","Male","Unknown","135","130","31670","32520"
"In post","2023","Black","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","G6/G7","Female","Heterosexual / straight","885","870","59230","56800"
"In post","2023","Black","G6/G7","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Black","G6/G7","Female","Undeclared","50","45","59890","58910"
"In post","2023","Black","G6/G7","Female","Unknown","80","75","59630","57680"
"In post","2023","Black","G6/G7","Male","Heterosexual / straight","540","535","60110","58600"
"In post","2023","Black","G6/G7","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Black","G6/G7","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Black","G6/G7","Male","Unknown","40","35","61970","61000"
"In post","2023","Black","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","SCS level","Female","Heterosexual / straight","55","55","90060","83000"
"In post","2023","Black","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","SCS level","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Black","SCS level","Male","Heterosexual / straight","40","35","99900","95950"
"In post","2023","Black","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","SCS level","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Black","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","SEO/HEO","Female","Heterosexual / straight","2580","2535","38880","38680"
"In post","2023","Black","SEO/HEO","Female","LGBO","45","45","40820","41440"
"In post","2023","Black","SEO/HEO","Female","Undeclared","140","135","39060","39040"
"In post","2023","Black","SEO/HEO","Female","Unknown","185","180","38240","39150"
"In post","2023","Black","SEO/HEO","Male","Heterosexual / straight","1600","1590","39390","39150"
"In post","2023","Black","SEO/HEO","Male","LGBO","45","45","37360","35760"
"In post","2023","Black","SEO/HEO","Male","Undeclared","60","60","40440","41330"
"In post","2023","Black","SEO/HEO","Male","Unknown","120","120","39510","39790"
"In post","2023","Black","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Female","Heterosexual / straight","860","820","31840","29300"
"In post","2023","Black","Unknown","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Unknown","Female","Undeclared","40","40","33980","33050"
"In post","2023","Black","Unknown","Female","Unknown","15","10","[c]","[c]"
"In post","2023","Black","Unknown","Male","Heterosexual / straight","375","365","32230","29300"
"In post","2023","Black","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Unknown","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Unknown","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","AA/AO","Female","Heterosexual / straight","920","815","24220","22520"
"In post","2023","Mixed","AA/AO","Female","LGBO","110","105","25460","23470"
"In post","2023","Mixed","AA/AO","Female","Undeclared","85","80","24020","22520"
"In post","2023","Mixed","AA/AO","Female","Unknown","75","60","23190","22520"
"In post","2023","Mixed","AA/AO","Male","Heterosexual / straight","685","660","26170","24070"
"In post","2023","Mixed","AA/AO","Male","LGBO","80","75","25110","22520"
"In post","2023","Mixed","AA/AO","Male","Undeclared","65","60","25500","22520"
"In post","2023","Mixed","AA/AO","Male","Unknown","55","55","25100","22520"
"In post","2023","Mixed","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","EO","Female","Heterosexual / straight","1075","995","29260","28120"
"In post","2023","Mixed","EO","Female","LGBO","120","115","28840","28120"
"In post","2023","Mixed","EO","Female","Undeclared","120","105","29180","28120"
"In post","2023","Mixed","EO","Female","Unknown","85","75","29360","28120"
"In post","2023","Mixed","EO","Male","Heterosexual / straight","640","625","29620","28120"
"In post","2023","Mixed","EO","Male","LGBO","100","100","29370","28120"
"In post","2023","Mixed","EO","Male","Undeclared","80","75","29240","28120"
"In post","2023","Mixed","EO","Male","Unknown","40","35","29750","28240"
"In post","2023","Mixed","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","G6/G7","Female","Heterosexual / straight","715","680","59870","57970"
"In post","2023","Mixed","G6/G7","Female","LGBO","65","60","58660","56430"
"In post","2023","Mixed","G6/G7","Female","Undeclared","60","60","59820","56320"
"In post","2023","Mixed","G6/G7","Female","Unknown","55","55","61550","62460"
"In post","2023","Mixed","G6/G7","Male","Heterosexual / straight","565","555","60400","58330"
"In post","2023","Mixed","G6/G7","Male","LGBO","95","95","59870","58050"
"In post","2023","Mixed","G6/G7","Male","Undeclared","40","40","60590","57610"
"In post","2023","Mixed","G6/G7","Male","Unknown","35","35","63360","59590"
"In post","2023","Mixed","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SCS level","Female","Heterosexual / straight","65","60","85960","81160"
"In post","2023","Mixed","SCS level","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Mixed","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SCS level","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Mixed","SCS level","Male","Heterosexual / straight","60","60","87470","80270"
"In post","2023","Mixed","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Mixed","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Mixed","SCS level","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Mixed","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SEO/HEO","Female","Heterosexual / straight","1260","1225","38150","37610"
"In post","2023","Mixed","SEO/HEO","Female","LGBO","150","145","37870","36510"
"In post","2023","Mixed","SEO/HEO","Female","Undeclared","105","100","38500","37390"
"In post","2023","Mixed","SEO/HEO","Female","Unknown","130","130","34960","34300"
"In post","2023","Mixed","SEO/HEO","Male","Heterosexual / straight","955","945","38980","38790"
"In post","2023","Mixed","SEO/HEO","Male","LGBO","130","130","38040","37570"
"In post","2023","Mixed","SEO/HEO","Male","Undeclared","75","70","39130","39490"
"In post","2023","Mixed","SEO/HEO","Male","Unknown","100","100","35880","34970"
"In post","2023","Mixed","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","Female","Heterosexual / straight","440","415","31130","29050"
"In post","2023","Mixed","Unknown","Female","LGBO","45","40","27190","24570"
"In post","2023","Mixed","Unknown","Female","Undeclared","30","25","[c]","[c]"
"In post","2023","Mixed","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Mixed","Unknown","Male","Heterosexual / straight","135","135","32070","29050"
"In post","2023","Mixed","Unknown","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Mixed","Unknown","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Mixed","Unknown","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Mixed","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","Female","Heterosexual / straight","215","195","24200","23460"
"In post","2023","Other ethnicity","AA/AO","Female","LGBO","20","15","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","Female","Undeclared","20","15","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","Female","Unknown","25","20","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","Male","Heterosexual / straight","200","195","26630","25340"
"In post","2023","Other ethnicity","AA/AO","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","Male","Unknown","35","35","24770","22870"
"In post","2023","Other ethnicity","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","EO","Female","Heterosexual / straight","300","280","29830","29450"
"In post","2023","Other ethnicity","EO","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Other ethnicity","EO","Female","Undeclared","40","35","30010","30560"
"In post","2023","Other ethnicity","EO","Female","Unknown","35","30","29950","29730"
"In post","2023","Other ethnicity","EO","Male","Heterosexual / straight","205","205","29520","28130"
"In post","2023","Other ethnicity","EO","Male","LGBO","25","20","[c]","[c]"
"In post","2023","Other ethnicity","EO","Male","Undeclared","35","35","29640","28910"
"In post","2023","Other ethnicity","EO","Male","Unknown","25","25","[c]","[c]"
"In post","2023","Other ethnicity","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","G6/G7","Female","Heterosexual / straight","185","180","60460","57940"
"In post","2023","Other ethnicity","G6/G7","Female","LGBO","25","25","[c]","[c]"
"In post","2023","Other ethnicity","G6/G7","Female","Undeclared","30","30","58480","54690"
"In post","2023","Other ethnicity","G6/G7","Female","Unknown","20","20","[c]","[c]"
"In post","2023","Other ethnicity","G6/G7","Male","Heterosexual / straight","150","150","60780","57110"
"In post","2023","Other ethnicity","G6/G7","Male","LGBO","35","35","59770","59290"
"In post","2023","Other ethnicity","G6/G7","Male","Undeclared","70","70","60370","56440"
"In post","2023","Other ethnicity","G6/G7","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Other ethnicity","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Male","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SEO/HEO","Female","Heterosexual / straight","345","335","38750","38330"
"In post","2023","Other ethnicity","SEO/HEO","Female","LGBO","35","35","38300","37300"
"In post","2023","Other ethnicity","SEO/HEO","Female","Undeclared","50","50","38520","36700"
"In post","2023","Other ethnicity","SEO/HEO","Female","Unknown","35","35","39030","39470"
"In post","2023","Other ethnicity","SEO/HEO","Male","Heterosexual / straight","280","270","39650","38670"
"In post","2023","Other ethnicity","SEO/HEO","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Other ethnicity","SEO/HEO","Male","Undeclared","70","70","38640","38760"
"In post","2023","Other ethnicity","SEO/HEO","Male","Unknown","25","20","[c]","[c]"
"In post","2023","Other ethnicity","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Female","Heterosexual / straight","70","65","31830","29100"
"In post","2023","Other ethnicity","Unknown","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Male","Heterosexual / straight","35","35","30410","29050"
"In post","2023","Other ethnicity","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","AA/AO","Female","Heterosexual / straight","390","340","23250","22400"
"In post","2023","Undeclared","AA/AO","Female","LGBO","25","20","[c]","[c]"
"In post","2023","Undeclared","AA/AO","Female","Undeclared","1125","970","23280","22330"
"In post","2023","Undeclared","AA/AO","Female","Unknown","440","340","22740","21690"
"In post","2023","Undeclared","AA/AO","Male","Heterosexual / straight","380","365","25260","23230"
"In post","2023","Undeclared","AA/AO","Male","LGBO","65","60","26160","22520"
"In post","2023","Undeclared","AA/AO","Male","Undeclared","1475","1400","24980","22500"
"In post","2023","Undeclared","AA/AO","Male","Unknown","360","330","23670","22520"
"In post","2023","Undeclared","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","EO","Female","Heterosexual / straight","440","395","29490","28130"
"In post","2023","Undeclared","EO","Female","LGBO","30","25","[c]","[c]"
"In post","2023","Undeclared","EO","Female","Undeclared","1295","1150","28840","28120"
"In post","2023","Undeclared","EO","Female","Unknown","565","475","29760","28120"
"In post","2023","Undeclared","EO","Male","Heterosexual / straight","495","470","30250","28480"
"In post","2023","Undeclared","EO","Male","LGBO","50","50","29840","28120"
"In post","2023","Undeclared","EO","Male","Undeclared","1825","1730","29510","28120"
"In post","2023","Undeclared","EO","Male","Unknown","450","410","30700","28130"
"In post","2023","Undeclared","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","G6/G7","Female","Heterosexual / straight","165","160","60500","59180"
"In post","2023","Undeclared","G6/G7","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Undeclared","G6/G7","Female","Undeclared","615","585","61320","59290"
"In post","2023","Undeclared","G6/G7","Female","Unknown","210","200","60750","59030"
"In post","2023","Undeclared","G6/G7","Male","Heterosexual / straight","210","210","61190","59510"
"In post","2023","Undeclared","G6/G7","Male","LGBO","30","30","63930","63140"
"In post","2023","Undeclared","G6/G7","Male","Undeclared","1415","1385","61740","59340"
"In post","2023","Undeclared","G6/G7","Male","Unknown","450","435","60430","58710"
"In post","2023","Undeclared","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","SCS level","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Undeclared","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","SCS level","Female","Undeclared","50","45","88170","82400"
"In post","2023","Undeclared","SCS level","Female","Unknown","15","10","[c]","[c]"
"In post","2023","Undeclared","SCS level","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Undeclared","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Undeclared","SCS level","Male","Undeclared","75","75","94070","84970"
"In post","2023","Undeclared","SCS level","Male","Unknown","30","30","98240","94500"
"In post","2023","Undeclared","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","SEO/HEO","Female","Heterosexual / straight","315","305","37910","37590"
"In post","2023","Undeclared","SEO/HEO","Female","LGBO","25","25","[c]","[c]"
"In post","2023","Undeclared","SEO/HEO","Female","Undeclared","1455","1360","38620","37910"
"In post","2023","Undeclared","SEO/HEO","Female","Unknown","345","320","38680","38970"
"In post","2023","Undeclared","SEO/HEO","Male","Heterosexual / straight","450","440","39380","38540"
"In post","2023","Undeclared","SEO/HEO","Male","LGBO","50","50","37740","37470"
"In post","2023","Undeclared","SEO/HEO","Male","Undeclared","2765","2680","39630","38910"
