"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Unknown","EO","395","365","30660","28910"
"In post","2023","Declared disabled","Unknown","G6/G7","155","150","59940","57970"
"In post","2023","Declared disabled","Unknown","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","370","350","38960","38330"
"In post","2023","Declared disabled","Unknown","Unknown","65","60","34330","30810"
"In post","2023","Declared disabled","White","AA/AO","13830","12130","23430","22220"
"In post","2023","Declared disabled","White","EO","13420","12095","28670","28120"
"In post","2023","Declared disabled","White","G6/G7","5365","5150","59910","57970"
"In post","2023","Declared disabled","White","SCS level","490","475","92010","83420"
"In post","2023","Declared disabled","White","SEO/HEO","12640","12055","37920","36990"
"In post","2023","Declared disabled","White","Unknown","3420","3180","31420","29050"
"In post","2023","Declared non-disabled","Asian","AA/AO","6965","6190","23700","22520"
"In post","2023","Declared non-disabled","Asian","EO","7880","7345","29300","28130"
"In post","2023","Declared non-disabled","Asian","G6/G7","3200","3115","60470","58980"
"In post","2023","Declared non-disabled","Asian","SCS level","240","230","91770","85270"
"In post","2023","Declared non-disabled","Asian","SEO/HEO","7545","7335","38630","37880"
"In post","2023","Declared non-disabled","Asian","Unknown","780","730","29740","27190"
"In post","2023","Declared non-disabled","Black","AA/AO","3245","3035","25940","25480"
"In post","2023","Declared non-disabled","Black","EO","3845","3670","30340","30200"
"In post","2023","Declared non-disabled","Black","G6/G7","1200","1185","59940","58370"
"In post","2023","Declared non-disabled","Black","SCS level","70","70","91690","82840"
"In post","2023","Declared non-disabled","Black","SEO/HEO","3525","3475","39140","39100"
"In post","2023","Declared non-disabled","Black","Unknown","940","905","31630","29300"
"In post","2023","Declared non-disabled","Mixed","AA/AO","1455","1345","25260","23000"
"In post","2023","Declared non-disabled","Mixed","EO","1490","1400","29260","28120"
"In post","2023","Declared non-disabled","Mixed","G6/G7","1160","1120","60040","57970"
"In post","2023","Declared non-disabled","Mixed","SCS level","110","105","88200","81350"
"In post","2023","Declared non-disabled","Mixed","SEO/HEO","1905","1865","38600","38300"
"In post","2023","Declared non-disabled","Mixed","Unknown","485","460","30720","28580"
"In post","2023","Declared non-disabled","Other ethnicity","AA/AO","415","385","25360","24070"
"In post","2023","Declared non-disabled","Other ethnicity","EO","460","430","29740","29160"
"In post","2023","Declared non-disabled","Other ethnicity","G6/G7","325","315","60570","58610"
"In post","2023","Declared non-disabled","Other ethnicity","SCS level","35","35","88850","83550"
"In post","2023","Declared non-disabled","Other ethnicity","SEO/HEO","545","530","39500","38850"
"In post","2023","Declared non-disabled","Other ethnicity","Unknown","85","80","30670","28580"
"In post","2023","Declared non-disabled","Undeclared","AA/AO","1950","1720","23660","22180"
"In post","2023","Declared non-disabled","Undeclared","EO","2360","2130","29240","28120"
"In post","2023","Declared non-disabled","Undeclared","G6/G7","1085","1050","61510","59510"
"In post","2023","Declared non-disabled","Undeclared","SCS level","60","60","91640","81780"
"In post","2023","Declared non-disabled","Undeclared","SEO/HEO","2120","2025","39170","38470"
"In post","2023","Declared non-disabled","Undeclared","Unknown","250","235","34810","33520"
"In post","2023","Declared non-disabled","Unknown","AA/AO","2100","1820","23740","22220"
"In post","2023","Declared non-disabled","Unknown","EO","1890","1725","29180","28120"
"In post","2023","Declared non-disabled","Unknown","G6/G7","930","890","60390","58900"
"In post","2023","Declared non-disabled","Unknown","SCS level","70","70","91590","85190"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","1795","1705","39160","38470"
"In post","2023","Declared non-disabled","Unknown","Unknown","295","265","35070","38290"
"In post","2023","Declared non-disabled","White","AA/AO","64855","58460","24280","22520"
"In post","2023","Declared non-disabled","White","EO","60825","55935","28720","28120"
"In post","2023","Declared non-disabled","White","G6/G7","42305","40740","60830","58850"
"In post","2023","Declared non-disabled","White","SCS level","4520","4365","91310","83530"
"In post","2023","Declared non-disabled","White","SEO/HEO","76620","73475","38550","37880"
"In post","2023","Declared non-disabled","White","Unknown","12250","11505","32400","29050"
"In post","2023","Undeclared","Asian","AA/AO","370","320","23870","22520"
"In post","2023","Undeclared","Asian","EO","425","395","29580","28120"
"In post","2023","Undeclared","Asian","G6/G7","230","225","60790","58960"
"In post","2023","Undeclared","Asian","SCS level","30","30","112670","118400"
"In post","2023","Undeclared","Asian","SEO/HEO","445","435","38720","38020"
"In post","2023","Undeclared","Asian","Unknown","50","50","31480","28010"
"In post","2023","Undeclared","Black","AA/AO","260","235","27410","25810"
"In post","2023","Undeclared","Black","EO","210","200","31570","31280"
"In post","2023","Undeclared","Black","G6/G7","70","70","59890","57740"
"In post","2023","Undeclared","Black","SCS level","15","15","[c]","[c]"
"In post","2023","Undeclared","Black","SEO/HEO","210","205","39650","39440"
"In post","2023","Undeclared","Black","Unknown","50","45","33630","33200"
"In post","2023","Undeclared","Mixed","AA/AO","115","105","25430","23230"
"In post","2023","Undeclared","Mixed","EO","105","100","29900","28720"
"In post","2023","Undeclared","Mixed","G6/G7","75","75","62400","61000"
"In post","2023","Undeclared","Mixed","SCS level","10","10","[c]","[c]"
"In post","2023","Undeclared","Mixed","SEO/HEO","140","140","38750","38490"
"In post","2023","Undeclared","Mixed","Unknown","25","20","[c]","[c]"
"In post","2023","Undeclared","Other ethnicity","AA/AO","40","35","26370","24260"
"In post","2023","Undeclared","Other ethnicity","EO","45","45","28810","28120"
"In post","2023","Undeclared","Other ethnicity","G6/G7","60","55","59900","56410"
"In post","2023","Undeclared","Other ethnicity","SCS level","10","10","[c]","[c]"
"In post","2023","Undeclared","Other ethnicity","SEO/HEO","70","70","37870","36410"
"In post","2023","Undeclared","Other ethnicity","Unknown","5","5","[c]","[c]"
"In post","2023","Undeclared","Undeclared","AA/AO","1395","1285","24540","22520"
"In post","2023","Undeclared","Undeclared","EO","1590","1470","29270","28120"
"In post","2023","Undeclared","Undeclared","G6/G7","1270","1235","61590","59290"
"In post","2023","Undeclared","Undeclared","SCS level","80","80","89990","82410"
"In post","2023","Undeclared","Undeclared","SEO/HEO","2540","2440","39090","38470"
"In post","2023","Undeclared","Undeclared","Unknown","220","205","36340","33820"
"In post","2023","Undeclared","Unknown","AA/AO","390","340","26590","24270"
"In post","2023","Undeclared","Unknown","EO","270","250","30460","28480"
"In post","2023","Undeclared","Unknown","G6/G7","245","245","60420","58010"
"In post","2023","Undeclared","Unknown","SCS level","25","20","[c]","[c]"
"In post","2023","Undeclared","Unknown","SEO/HEO","420","400","39340","38910"
"In post","2023","Undeclared","Unknown","Unknown","25","25","[c]","[c]"
"In post","2023","Undeclared","White","AA/AO","5400","4780","25610","23230"
"In post","2023","Undeclared","White","EO","3820","3540","29910","28120"
"In post","2023","Undeclared","White","G6/G7","2005","1935","61030","58470"
"In post","2023","Undeclared","White","SCS level","210","200","98020","87650"
"In post","2023","Undeclared","White","SEO/HEO","4330","4150","39160","38470"
"In post","2023","Undeclared","White","Unknown","625","580","32410","29050"
"In post","2023","Unknown","Asian","AA/AO","670","615","23860","22520"
"In post","2023","Unknown","Asian","EO","895","870","29510","28220"
"In post","2023","Unknown","Asian","G6/G7","575","560","59330","56870"
"In post","2023","Unknown","Asian","SCS level","55","50","92880","87130"
"In post","2023","Unknown","Asian","SEO/HEO","1340","1320","37660","37590"
"In post","2023","Unknown","Asian","Unknown","30","30","31890","27540"
"In post","2023","Unknown","Black","AA/AO","285","265","25190","24480"
"In post","2023","Unknown","Black","EO","335","325","29740","29280"
"In post","2023","Unknown","Black","G6/G7","195","195","58430","55720"
"In post","2023","Unknown","Black","SCS level","10","10","[c]","[c]"
"In post","2023","Unknown","Black","SEO/HEO","545","545","38340","39110"
"In post","2023","Unknown","Black","Unknown","35","30","30680","28580"
"In post","2023","Unknown","Mixed","AA/AO","155","145","24100","22520"
"In post","2023","Unknown","Mixed","EO","230","225","29720","28670"
"In post","2023","Unknown","Mixed","G6/G7","190","185","60030","57980"
"In post","2023","Unknown","Mixed","SCS level","25","25","[c]","[c]"
"In post","2023","Unknown","Mixed","SEO/HEO","420","410","37010","36180"
"In post","2023","Unknown","Mixed","Unknown","15","15","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","AA/AO","35","30","24590","24010"
"In post","2023","Unknown","Other ethnicity","EO","70","70","30330","29700"
"In post","2023","Unknown","Other ethnicity","G6/G7","90","90","59600","56460"
"In post","2023","Unknown","Other ethnicity","SCS level","10","10","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","SEO/HEO","115","115","38970","39500"
"In post","2023","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","AA/AO","330","305","25220","22870"
"In post","2023","Unknown","Undeclared","EO","495","465","32460","32030"
"In post","2023","Unknown","Undeclared","G6/G7","465","450","61600","59890"
"In post","2023","Unknown","Undeclared","SCS level","35","35","103970","93380"
"In post","2023","Unknown","Undeclared","SEO/HEO","690","660","39920","39890"
"In post","2023","Unknown","Undeclared","Unknown","15","10","[c]","[c]"
"In post","2023","Unknown","Unknown","AA/AO","22750","21370","24360","22520"
"In post","2023","Unknown","Unknown","EO","15865","15260","28920","28120"
"In post","2023","Unknown","Unknown","G6/G7","7335","7130","60580","58000"
"In post","2023","Unknown","Unknown","SCS level","695","675","95710","86450"
"In post","2023","Unknown","Unknown","SEO/HEO","15595","15210","38360","37360"
"In post","2023","Unknown","Unknown","Unknown","4865","4580","32800","29050"
"In post","2023","Unknown","White","AA/AO","6740","6130","24080","22520"
"In post","2023","Unknown","White","EO","7210","6905","30380","28200"
"In post","2023","Unknown","White","G6/G7","5605","5405","60250","57970"
"In post","2023","Unknown","White","SCS level","505","485","94620","85200"
"In post","2023","Unknown","White","SEO/HEO","10980","10650","38430","38120"
"In post","2023","Unknown","White","Unknown","370","355","35180","30450"
"Leaver CS","2023","Declared disabled","Asian","AA/AO","80","[c]","22590","21960"
"Leaver CS","2023","Declared disabled","Asian","EO","80","[c]","28970","28230"
"Leaver CS","2023","Declared disabled","Asian","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","SEO/HEO","50","[c]","38090","34850"
"Leaver CS","2023","Declared disabled","Asian","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Black","AA/AO","40","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Black","EO","75","[c]","29830","29910"
"Leaver CS","2023","Declared disabled","Black","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Black","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Black","SEO/HEO","35","[c]","38030","39150"
"Leaver CS","2023","Declared disabled","Black","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Mixed","AA/AO","50","[c]","22140","21690"
"Leaver CS","2023","Declared disabled","Mixed","EO","35","[c]","29290","29290"
"Leaver CS","2023","Declared disabled","Mixed","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Mixed","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Mixed","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Mixed","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Other ethnicity","AA/AO","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Other ethnicity","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Other ethnicity","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Undeclared","AA/AO","60","[c]","22130","21690"
"Leaver CS","2023","Declared disabled","Undeclared","EO","45","[c]","29840","28120"
"Leaver CS","2023","Declared disabled","Undeclared","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Undeclared","SEO/HEO","35","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Undeclared","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","AA/AO","45","[c]","24120","22310"
"Leaver CS","2023","Declared disabled","Unknown","EO","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","SEO/HEO","35","[c]","37710","37370"
"Leaver CS","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","White","AA/AO","1625","[c]","22250","21690"
"Leaver CS","2023","Declared disabled","White","EO","1120","[c]","28300","28120"
"Leaver CS","2023","Declared disabled","White","G6/G7","325","[c]","61180","59140"
"Leaver CS","2023","Declared disabled","White","SCS level","40","[c]","98060","95990"
"Leaver CS","2023","Declared disabled","White","SEO/HEO","755","[c]","37690","36460"
"Leaver CS","2023","Declared disabled","White","Unknown","275","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Asian","AA/AO","715","[c]","22600","21780"
"Leaver CS","2023","Declared non-disabled","Asian","EO","605","[c]","28900","28370"
"Leaver CS","2023","Declared non-disabled","Asian","G6/G7","200","[c]","59610","56450"
"Leaver CS","2023","Declared non-disabled","Asian","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Asian","SEO/HEO","470","[c]","38560","38460"
"Leaver CS","2023","Declared non-disabled","Asian","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Black","AA/AO","370","[c]","23140","23000"
"Leaver CS","2023","Declared non-disabled","Black","EO","470","[c]","29520","29660"
"Leaver CS","2023","Declared non-disabled","Black","G6/G7","90","[c]","58030","56340"
"Leaver CS","2023","Declared non-disabled","Black","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Black","SEO/HEO","360","[c]","38260","37860"
"Leaver CS","2023","Declared non-disabled","Black","Unknown","115","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Mixed","AA/AO","220","[c]","22310","21780"
"Leaver CS","2023","Declared non-disabled","Mixed","EO","170","[c]","28470","28120"
"Leaver CS","2023","Declared non-disabled","Mixed","G6/G7","85","[c]","57300","55000"
"Leaver CS","2023","Declared non-disabled","Mixed","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Mixed","SEO/HEO","175","[c]","38370","37620"
"Leaver CS","2023","Declared non-disabled","Mixed","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Other ethnicity","AA/AO","60","[c]","22310","21700"
"Leaver CS","2023","Declared non-disabled","Other ethnicity","EO","55","[c]","28500","28090"
"Leaver CS","2023","Declared non-disabled","Other ethnicity","G6/G7","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Other ethnicity","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Other ethnicity","SEO/HEO","45","[c]","38510","38760"
"Leaver CS","2023","Declared non-disabled","Other ethnicity","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Undeclared","AA/AO","220","[c]","22260","21690"
"Leaver CS","2023","Declared non-disabled","Undeclared","EO","170","[c]","28740","28120"
"Leaver CS","2023","Declared non-disabled","Undeclared","G6/G7","70","[c]","59820","59460"
"Leaver CS","2023","Declared non-disabled","Undeclared","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Undeclared","SEO/HEO","150","[c]","39710","39820"
"Leaver CS","2023","Declared non-disabled","Undeclared","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","AA/AO","330","[c]","22160","21690"
"Leaver CS","2023","Declared non-disabled","Unknown","EO","140","[c]","27910","27570"
"Leaver CS","2023","Declared non-disabled","Unknown","G6/G7","75","[c]","60470","59630"
"Leaver CS","2023","Declared non-disabled","Unknown","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","SEO/HEO","145","[c]","38810","38720"
"Leaver CS","2023","Declared non-disabled","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","White","AA/AO","7570","[c]","22350","21690"
"Leaver CS","2023","Declared non-disabled","White","EO","4660","[c]","28200","27650"
"Leaver CS","2023","Declared non-disabled","White","G6/G7","2450","[c]","61080","58990"
"Leaver CS","2023","Declared non-disabled","White","SCS level","375","[c]","99100","91770"
"Leaver CS","2023","Declared non-disabled","White","SEO/HEO","4585","[c]","38350","37690"
"Leaver CS","2023","Declared non-disabled","White","Unknown","900","[c]","41430","35020"
"Leaver CS","2023","Undeclared","Asian","AA/AO","50","[c]","22310","21690"
"Leaver CS","2023","Undeclared","Asian","EO","35","[c]","29160","28380"
"Leaver CS","2023","Undeclared","Asian","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Asian","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Asian","SEO/HEO","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Black","AA/AO","25","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Black","EO","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Black","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Black","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Black","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Black","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Mixed","AA/AO","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Mixed","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Mixed","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Mixed","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Mixed","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Mixed","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Other ethnicity","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Other ethnicity","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Other ethnicity","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Other ethnicity","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Undeclared","AA/AO","170","[c]","23240","21780"
"Leaver CS","2023","Undeclared","Undeclared","EO","120","[c]","28870","27650"
"Leaver CS","2023","Undeclared","Undeclared","G6/G7","90","[c]","59840","57810"
"Leaver CS","2023","Undeclared","Undeclared","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Undeclared","SEO/HEO","155","[c]","39570","38780"
"Leaver CS","2023","Undeclared","Undeclared","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","AA/AO","50","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","EO","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","White","AA/AO","655","[c]","22680","21690"
"Leaver CS","2023","Undeclared","White","EO","280","[c]","28050","27570"
"Leaver CS","2023","Undeclared","White","G6/G7","115","[c]","61660","58700"
"Leaver CS","2023","Undeclared","White","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","White","SEO/HEO","305","[c]","38490","37640"
"Leaver CS","2023","Undeclared","White","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Asian","AA/AO","100","[c]","22680","22400"
"Leaver CS","2023","Unknown","Asian","EO","70","[c]","27570","27400"
"Leaver CS","2023","Unknown","Asian","G6/G7","55","[c]","59710","57750"
"Leaver CS","2023","Unknown","Asian","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Asian","SEO/HEO","110","[c]","37590","37590"
"Leaver CS","2023","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Black","AA/AO","40","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Black","EO","50","[c]","28600","28650"
"Leaver CS","2023","Unknown","Black","G6/G7","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Black","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Black","SEO/HEO","55","[c]","38280","38230"
"Leaver CS","2023","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Mixed","AA/AO","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Mixed","EO","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Mixed","G6/G7","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Mixed","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Mixed","SEO/HEO","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Other ethnicity","AA/AO","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Other ethnicity","EO","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Other ethnicity","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Other ethnicity","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Undeclared","AA/AO","40","[c]","24300","22710"
"Leaver CS","2023","Unknown","Undeclared","EO","45","[c]","30700","30120"
"Leaver CS","2023","Unknown","Undeclared","G6/G7","45","[c]","59260","56000"
"Leaver CS","2023","Unknown","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Undeclared","SEO/HEO","70","[c]","39300","39890"
"Leaver CS","2023","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","AA/AO","3895","[c]","22750","22180"
"Leaver CS","2023","Unknown","Unknown","EO","1570","[c]","28300","27830"
"Leaver CS","2023","Unknown","Unknown","G6/G7","900","[c]","61210","59290"
"Leaver CS","2023","Unknown","Unknown","SCS level","120","[c]","103460","92580"
"Leaver CS","2023","Unknown","Unknown","SEO/HEO","1585","[c]","37200","36470"
"Leaver CS","2023","Unknown","Unknown","Unknown","715","[c]","35910","33690"
"Leaver CS","2023","Unknown","White","AA/AO","775","[c]","23700","22400"
"Leaver CS","2023","Unknown","White","EO","515","[c]","30330","28650"
"Leaver CS","2023","Unknown","White","G6/G7","490","[c]","59480","55740"
"Leaver CS","2023","Unknown","White","SCS level","60","[c]","100060","97540"
"Leaver CS","2023","Unknown","White","SEO/HEO","810","[c]","38690","38760"
"Leaver CS","2023","Unknown","White","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Asian","AA/AO","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Asian","EO","40","[c]","28510","28120"
"Leaver Dept.","2023","Declared disabled","Asian","G6/G7","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Asian","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Asian","SEO/HEO","55","[c]","37670","36180"
"Leaver Dept.","2023","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Black","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Black","EO","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Black","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Black","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Black","SEO/HEO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Mixed","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Mixed","EO","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Mixed","G6/G7","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Mixed","SCS level","[c]","[c]","[c]","[c]"
