"Status","Year","Function_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AO","Heterosexual / straight","115","110","23300","22500"
"In post","2023","Communications","AO","LGBO","10","10","[c]","[c]"
"In post","2023","Communications","AO","Undeclared","20","20","[c]","[c]"
"In post","2023","Communications","AO","Unknown","25","25","[c]","[c]"
"In post","2023","Communications","EO","Heterosexual / straight","350","330","28670","28220"
"In post","2023","Communications","EO","LGBO","30","25","[c]","[c]"
"In post","2023","Communications","EO","Undeclared","55","50","28840","28100"
"In post","2023","Communications","EO","Unknown","90","85","29280","28620"
"In post","2023","Communications","G6","Heterosexual / straight","190","180","69400","68610"
"In post","2023","Communications","G6","LGBO","20","20","[c]","[c]"
"In post","2023","Communications","G6","Undeclared","20","20","[c]","[c]"
"In post","2023","Communications","G6","Unknown","55","55","69370","68960"
"In post","2023","Communications","G7","Heterosexual / straight","530","515","56520","56080"
"In post","2023","Communications","G7","LGBO","45","45","56650","55790"
"In post","2023","Communications","G7","Undeclared","55","50","56530","55690"
"In post","2023","Communications","G7","Unknown","155","150","55930","55900"
"In post","2023","Communications","HEO","Heterosexual / straight","675","645","35160","34410"
"In post","2023","Communications","HEO","LGBO","60","60","35030","34410"
"In post","2023","Communications","HEO","Undeclared","85","80","34510","34190"
"In post","2023","Communications","HEO","Unknown","265","260","35780","35410"
"In post","2023","Communications","SCS level","Heterosexual / straight","90","90","91100","84210"
"In post","2023","Communications","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Communications","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Communications","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Communications","SEO","Heterosexual / straight","755","730","42640","42050"
"In post","2023","Communications","SEO","LGBO","85","85","43110","42730"
"In post","2023","Communications","SEO","Undeclared","85","80","43130","41950"
"In post","2023","Communications","SEO","Unknown","225","220","43220","43300"
"In post","2023","Communications","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","AA","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Counter Fraud","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","AA","Unknown","10","5","[c]","[c]"
"In post","2023","Counter Fraud","AO","Heterosexual / straight","1445","1275","23180","22520"
"In post","2023","Counter Fraud","AO","LGBO","95","85","23200","22520"
"In post","2023","Counter Fraud","AO","Undeclared","250","210","23120","22520"
"In post","2023","Counter Fraud","AO","Unknown","470","395","23240","22520"
"In post","2023","Counter Fraud","EO","Heterosexual / straight","4875","4510","29110","28120"
"In post","2023","Counter Fraud","EO","LGBO","300","295","29070","28120"
"In post","2023","Counter Fraud","EO","Undeclared","580","520","29150","28130"
"In post","2023","Counter Fraud","EO","Unknown","1680","1540","29320","28130"
"In post","2023","Counter Fraud","G6","Heterosexual / straight","230","220","72330","71300"
"In post","2023","Counter Fraud","G6","LGBO","15","15","[c]","[c]"
"In post","2023","Counter Fraud","G6","Undeclared","45","40","72470","71400"
"In post","2023","Counter Fraud","G6","Unknown","30","30","70340","71300"
"In post","2023","Counter Fraud","G7","Heterosexual / straight","680","650","58890","57970"
"In post","2023","Counter Fraud","G7","LGBO","40","40","57000","57970"
"In post","2023","Counter Fraud","G7","Undeclared","110","105","59030","57970"
"In post","2023","Counter Fraud","G7","Unknown","145","135","58870","57970"
"In post","2023","Counter Fraud","HEO","Heterosexual / straight","2910","2770","35800","35000"
"In post","2023","Counter Fraud","HEO","LGBO","190","185","35660","34790"
"In post","2023","Counter Fraud","HEO","Undeclared","375","350","36180","35000"
"In post","2023","Counter Fraud","HEO","Unknown","935","895","36300","35000"
"In post","2023","Counter Fraud","SCS level","Heterosexual / straight","35","35","84310","81120"
"In post","2023","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Counter Fraud","SEO","Heterosexual / straight","1155","1105","42840","42510"
"In post","2023","Counter Fraud","SEO","LGBO","55","55","42660","42160"
"In post","2023","Counter Fraud","SEO","Undeclared","150","140","43520","42510"
"In post","2023","Counter Fraud","SEO","Unknown","325","310","43380","42510"
"In post","2023","Debt","AA","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Debt","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","AA","Undeclared","10","10","[c]","[c]"
"In post","2023","Debt","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Debt","AO","Heterosexual / straight","3425","3030","22500","22520"
"In post","2023","Debt","AO","LGBO","265","255","22420","22520"
"In post","2023","Debt","AO","Undeclared","365","320","22550","22520"
"In post","2023","Debt","AO","Unknown","1845","1665","22850","22520"
"In post","2023","Debt","EO","Heterosexual / straight","865","785","28710","28120"
"In post","2023","Debt","EO","LGBO","80","80","28580","28120"
"In post","2023","Debt","EO","Undeclared","95","85","29320","28130"
"In post","2023","Debt","EO","Unknown","330","305","29060","28130"
"In post","2023","Debt","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Debt","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Debt","G7","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Debt","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Debt","HEO","Heterosexual / straight","225","205","35210","34700"
"In post","2023","Debt","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Debt","HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Debt","HEO","Unknown","55","55","35620","34700"
"In post","2023","Debt","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Debt","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","SEO","Heterosexual / straight","70","70","42470","42510"
"In post","2023","Debt","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Debt","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Debt","SEO","Unknown","10","10","[c]","[c]"
"In post","2023","Digital, Data & Technology","AA","Heterosexual / straight","40","40","20590","20670"
"In post","2023","Digital, Data & Technology","AA","LGBO","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","AA","Unknown","15","15","[c]","[c]"
"In post","2023","Digital, Data & Technology","AO","Heterosexual / straight","575","550","23010","22220"
"In post","2023","Digital, Data & Technology","AO","LGBO","40","40","22120","21690"
"In post","2023","Digital, Data & Technology","AO","Undeclared","80","75","22540","22220"
"In post","2023","Digital, Data & Technology","AO","Unknown","130","125","23160","22520"
"In post","2023","Digital, Data & Technology","EO","Heterosexual / straight","2555","2435","28470","28120"
"In post","2023","Digital, Data & Technology","EO","LGBO","185","180","27910","27650"
"In post","2023","Digital, Data & Technology","EO","Undeclared","375","365","28720","28120"
"In post","2023","Digital, Data & Technology","EO","Unknown","870","835","28650","28120"
"In post","2023","Digital, Data & Technology","G6","Heterosexual / straight","1295","1275","69070","67890"
"In post","2023","Digital, Data & Technology","G6","LGBO","70","70","69660","68610"
"In post","2023","Digital, Data & Technology","G6","Undeclared","190","185","69630","70710"
"In post","2023","Digital, Data & Technology","G6","Unknown","320","315","69780","68600"
"In post","2023","Digital, Data & Technology","G7","Heterosexual / straight","3985","3895","55810","55720"
"In post","2023","Digital, Data & Technology","G7","LGBO","300","295","55870","55920"
"In post","2023","Digital, Data & Technology","G7","Undeclared","525","515","55990","55890"
"In post","2023","Digital, Data & Technology","G7","Unknown","1010","990","56600","56230"
"In post","2023","Digital, Data & Technology","HEO","Heterosexual / straight","4050","3930","34750","34300"
"In post","2023","Digital, Data & Technology","HEO","LGBO","320","315","34180","34170"
"In post","2023","Digital, Data & Technology","HEO","Undeclared","580","560","35000","34400"
"In post","2023","Digital, Data & Technology","HEO","Unknown","1370","1340","34680","34400"
"In post","2023","Digital, Data & Technology","SCS level","Heterosexual / straight","280","280","95700","89600"
"In post","2023","Digital, Data & Technology","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Digital, Data & Technology","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2023","Digital, Data & Technology","SCS level","Unknown","75","75","103830","99320"
"In post","2023","Digital, Data & Technology","SEO","Heterosexual / straight","4735","4620","42100","41780"
"In post","2023","Digital, Data & Technology","SEO","LGBO","285","280","41140","41060"
"In post","2023","Digital, Data & Technology","SEO","Undeclared","715","690","42400","41870"
"In post","2023","Digital, Data & Technology","SEO","Unknown","1220","1200","42670","42140"
"In post","2023","Digital, Data & Technology","Unknown","Heterosexual / straight","80","75","37510","33990"
"In post","2023","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Digital, Data & Technology","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Finance","AA","Heterosexual / straight","30","25","21470","22520"
"In post","2023","Finance","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","AA","Undeclared","10","5","[c]","[c]"
"In post","2023","Finance","AA","Unknown","35","30","22630","22520"
"In post","2023","Finance","AO","Heterosexual / straight","1110","965","22830","22520"
"In post","2023","Finance","AO","LGBO","45","45","23060","22520"
"In post","2023","Finance","AO","Undeclared","160","135","22640","22520"
"In post","2023","Finance","AO","Unknown","565","480","23120","22520"
"In post","2023","Finance","EO","Heterosexual / straight","1405","1330","28340","28070"
"In post","2023","Finance","EO","LGBO","80","75","27970","28120"
"In post","2023","Finance","EO","Undeclared","180","165","28490","28120"
"In post","2023","Finance","EO","Unknown","360","345","28520","28120"
"In post","2023","Finance","G6","Heterosexual / straight","630","615","69670","70070"
"In post","2023","Finance","G6","LGBO","30","30","[c]","[c]"
"In post","2023","Finance","G6","Undeclared","75","70","70040","70520"
"In post","2023","Finance","G6","Unknown","135","130","71690","70710"
"In post","2023","Finance","G7","Heterosexual / straight","1555","1515","56040","55780"
"In post","2023","Finance","G7","LGBO","75","75","56230","56350"
"In post","2023","Finance","G7","Undeclared","170","165","56410","56000"
"In post","2023","Finance","G7","Unknown","265","260","57070","56090"
"In post","2023","Finance","HEO","Heterosexual / straight","1980","1900","34840","34300"
"In post","2023","Finance","HEO","LGBO","120","115","34470","34170"
"In post","2023","Finance","HEO","Undeclared","220","210","35070","34300"
"In post","2023","Finance","HEO","Unknown","435","425","35020","34700"
"In post","2023","Finance","SCS level","Heterosexual / straight","255","250","91210","82390"
"In post","2023","Finance","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Finance","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2023","Finance","SCS level","Unknown","45","45","91760","86480"
"In post","2023","Finance","SEO","Heterosexual / straight","2095","2015","42400","41880"
"In post","2023","Finance","SEO","LGBO","75","75","41850","41790"
"In post","2023","Finance","SEO","Undeclared","260","250","43300","42490"
"In post","2023","Finance","SEO","Unknown","375","365","42760","42510"
"In post","2023","Finance","Unknown","Heterosexual / straight","50","50","56050","54510"
"In post","2023","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Grants Management","AO","Heterosexual / straight","910","820","22130","22150"
"In post","2023","Grants Management","AO","LGBO","90","90","22130","22150"
"In post","2023","Grants Management","AO","Undeclared","130","125","22130","22150"
"In post","2023","Grants Management","AO","Unknown","290","265","22110","22150"
"In post","2023","Grants Management","EO","Heterosexual / straight","445","415","26070","25920"
"In post","2023","Grants Management","EO","LGBO","30","30","[c]","[c]"
"In post","2023","Grants Management","EO","Undeclared","70","65","26170","25920"
"In post","2023","Grants Management","EO","Unknown","110","100","26240","25920"
"In post","2023","Grants Management","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Grants Management","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","G7","Heterosexual / straight","55","50","52150","49970"
"In post","2023","Grants Management","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Grants Management","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Grants Management","G7","Unknown","15","10","[c]","[c]"
"In post","2023","Grants Management","HEO","Heterosexual / straight","190","180","30990","30320"
"In post","2023","Grants Management","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Grants Management","HEO","Undeclared","25","20","[c]","[c]"
"In post","2023","Grants Management","HEO","Unknown","50","50","31340","30870"
"In post","2023","Grants Management","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Grants Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","SEO","Heterosexual / straight","95","95","38730","37310"
"In post","2023","Grants Management","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Grants Management","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Grants Management","SEO","Unknown","35","30","38610","37980"
"In post","2023","Human Resources","AA","Heterosexual / straight","60","50","21180","21380"
"In post","2023","Human Resources","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","Human Resources","AA","Unknown","15","15","[c]","[c]"
"In post","2023","Human Resources","AO","Heterosexual / straight","845","780","22690","22220"
"In post","2023","Human Resources","AO","LGBO","45","45","22790","22500"
"In post","2023","Human Resources","AO","Undeclared","90","80","22550","22220"
"In post","2023","Human Resources","AO","Unknown","185","175","23050","22310"
"In post","2023","Human Resources","EO","Heterosexual / straight","2630","2490","28570","28120"
"In post","2023","Human Resources","EO","LGBO","135","130","27700","27890"
"In post","2023","Human Resources","EO","Undeclared","335","320","29010","28120"
"In post","2023","Human Resources","EO","Unknown","495","475","28820","28120"
"In post","2023","Human Resources","G6","Heterosexual / straight","600","585","68600","67890"
"In post","2023","Human Resources","G6","LGBO","45","45","68060","67900"
"In post","2023","Human Resources","G6","Undeclared","30","30","70820","70360"
"In post","2023","Human Resources","G6","Unknown","65","65","69960","69490"
"In post","2023","Human Resources","G7","Heterosexual / straight","1565","1515","55460","55350"
"In post","2023","Human Resources","G7","LGBO","120","120","54860","55150"
"In post","2023","Human Resources","G7","Undeclared","125","120","56460","56020"
"In post","2023","Human Resources","G7","Unknown","215","215","57220","55850"
"In post","2023","Human Resources","HEO","Heterosexual / straight","2810","2685","34770","34300"
"In post","2023","Human Resources","HEO","LGBO","200","195","34190","34300"
"In post","2023","Human Resources","HEO","Undeclared","270","260","35060","34300"
"In post","2023","Human Resources","HEO","Unknown","655","630","40260","35000"
"In post","2023","Human Resources","SCS level","Heterosexual / straight","215","205","90270","82400"
"In post","2023","Human Resources","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Human Resources","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Human Resources","SCS level","Unknown","20","20","[c]","[c]"
"In post","2023","Human Resources","SEO","Heterosexual / straight","1960","1880","42250","41640"
"In post","2023","Human Resources","SEO","LGBO","115","110","41600","41050"
"In post","2023","Human Resources","SEO","Undeclared","165","160","43000","41800"
"In post","2023","Human Resources","SEO","Unknown","265","255","42300","41780"
"In post","2023","Human Resources","Unknown","Heterosexual / straight","85","80","39600","38290"
"In post","2023","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Human Resources","Unknown","Unknown","15","10","[c]","[c]"
"In post","2023","Internal Audit","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Internal Audit","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Internal Audit","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","G6","Heterosexual / straight","70","65","66180","64280"
"In post","2023","Internal Audit","G6","LGBO","5","5","[c]","[c]"
"In post","2023","Internal Audit","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Internal Audit","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","G7","Heterosexual / straight","115","110","54680","54770"
"In post","2023","Internal Audit","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Internal Audit","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Internal Audit","HEO","Heterosexual / straight","115","110","34870","34300"
"In post","2023","Internal Audit","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Internal Audit","HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Internal Audit","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Internal Audit","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","SEO","Heterosexual / straight","215","200","45240","44220"
"In post","2023","Internal Audit","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Internal Audit","SEO","Undeclared","25","20","[c]","[c]"
"In post","2023","Internal Audit","SEO","Unknown","25","25","[c]","[c]"
"In post","2023","Legal","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Legal","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Legal","AA","Unknown","10","10","[c]","[c]"
"In post","2023","Legal","AO","Heterosexual / straight","1310","1225","23220","22870"
"In post","2023","Legal","AO","LGBO","100","95","22930","22870"
"In post","2023","Legal","AO","Undeclared","75","70","23330","22870"
"In post","2023","Legal","AO","Unknown","335","290","23700","22870"
"In post","2023","Legal","EO","Heterosexual / straight","1570","1480","28660","28200"
"In post","2023","Legal","EO","LGBO","130","130","28330","28120"
"In post","2023","Legal","EO","Undeclared","115","110","29240","28410"
"In post","2023","Legal","EO","Unknown","460","425","29050","28850"
"In post","2023","Legal","G6","Heterosexual / straight","1160","1085","71500","71300"
"In post","2023","Legal","G6","LGBO","85","80","72120","71290"
"In post","2023","Legal","G6","Undeclared","145","135","72850","73480"
"In post","2023","Legal","G6","Unknown","395","365","72000","69990"
"In post","2023","Legal","G7","Heterosexual / straight","3640","3395","56290","54800"
"In post","2023","Legal","G7","LGBO","205","200","56000","54530"
"In post","2023","Legal","G7","Undeclared","250","235","57240","55490"
"In post","2023","Legal","G7","Unknown","955","855","58450","56450"
"In post","2023","Legal","HEO","Heterosexual / straight","805","770","35420","35000"
"In post","2023","Legal","HEO","LGBO","65","65","36320","34970"
"In post","2023","Legal","HEO","Undeclared","60","60","36010","34850"
"In post","2023","Legal","HEO","Unknown","240","230","35510","35000"
"In post","2023","Legal","SCS level","Heterosexual / straight","335","325","90820","85000"
"In post","2023","Legal","SCS level","LGBO","35","35","90600","85000"
"In post","2023","Legal","SCS level","Undeclared","30","30","[c]","[c]"
"In post","2023","Legal","SCS level","Unknown","85","85","88340","83230"
"In post","2023","Legal","SEO","Heterosexual / straight","560","535","41040","40800"
"In post","2023","Legal","SEO","LGBO","30","30","[c]","[c]"
"In post","2023","Legal","SEO","Undeclared","40","40","41340","41190"
"In post","2023","Legal","SEO","Unknown","145","135","42780","42430"
"In post","2023","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","No function","AA","Heterosexual / straight","8240","7330","21970","22520"
"In post","2023","No function","AA","LGBO","550","515","22450","23230"
"In post","2023","No function","AA","Undeclared","1120","940","21200","19930"
"In post","2023","No function","AA","Unknown","3055","2675","22460","22920"
"In post","2023","No function","AO","Heterosexual / straight","59755","53810","24640","22500"
"In post","2023","No function","AO","LGBO","3925","3750","25300","22520"
"In post","2023","No function","AO","Undeclared","7200","6335","24100","22500"
"In post","2023","No function","AO","Unknown","23755","21400","24430","22520"
"In post","2023","No function","EO","Heterosexual / straight","62235","57350","29050","28120"
"In post","2023","No function","EO","LGBO","3835","3700","28960","28120"
"In post","2023","No function","EO","Undeclared","8020","7250","29070","28120"
"In post","2023","No function","EO","Unknown","19680","18175","29140","28120"
"In post","2023","No function","G6","Heterosexual / straight","6180","5925","70400","68150"
"In post","2023","No function","G6","LGBO","435","430","68740","66950"
"In post","2023","No function","G6","Undeclared","815","775","71190","68610"
"In post","2023","No function","G6","Unknown","1255","1190","70220","67890"
"In post","2023","No function","G7","Heterosexual / straight","15245","14805","56920","55720"
"In post","2023","No function","G7","LGBO","1300","1285","56460","55350"
"In post","2023","No function","G7","Undeclared","2055","1990","56800","55390"
"In post","2023","No function","G7","Unknown","3295","3215","56880","56200"
"In post","2023","No function","HEO","Heterosexual / straight","31630","30280","35160","34700"
"In post","2023","No function","HEO","LGBO","2275","2230","34890","34670"
"In post","2023","No function","HEO","Undeclared","3890","3700","35240","34700"
"In post","2023","No function","HEO","Unknown","7260","6980","35620","35000"
"In post","2023","No function","SCS level","Heterosexual / straight","2665","2560","90340","81060"
"In post","2023","No function","SCS level","LGBO","220","215","88450","79470"
"In post","2023","No function","SCS level","Undeclared","245","230","92060","84130"
"In post","2023","No function","SCS level","Unknown","565","540","96420","86570"
"In post","2023","No function","SEO","Heterosexual / straight","20275","19570","43460","42140"
"In post","2023","No function","SEO","LGBO","1385","1360","42680","41780"
"In post","2023","No function","SEO","Undeclared","2810","2690","43640","42510"
"In post","2023","No function","SEO","Unknown","3780","3640","43210","42510"
"In post","2023","No function","Unknown","Heterosexual / straight","15975","14905","30910","29050"
"In post","2023","No function","Unknown","LGBO","1260","1225","29710","26840"
