"Status","Year","Disability","Ethnicity","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Mixed","Legal","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","LGBO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","No function","Heterosexual / straight","770","715","33290","30080"
"In post","2023","Declared disabled","Mixed","No function","LGBO","165","160","32660","28880"
"In post","2023","Declared disabled","Mixed","No function","Undeclared","120","110","32360","28580"
"In post","2023","Declared disabled","Mixed","No function","Unknown","45","40","31660","28120"
"In post","2023","Declared disabled","Mixed","Project Delivery","Heterosexual / straight","30","30","41380","38470"
"In post","2023","Declared disabled","Mixed","Project Delivery","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Heterosexual / straight","40","40","38400","34600"
"In post","2023","Declared disabled","Mixed","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Human Resources","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Legal","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","No function","Heterosexual / straight","185","175","35730","32520"
"In post","2023","Declared disabled","Other ethnicity","No function","LGBO","45","45","35120","32520"
"In post","2023","Declared disabled","Other ethnicity","No function","Undeclared","30","25","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","No function","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Project Delivery","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Analysis","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Analysis","Undeclared","20","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Analysis","Unknown","35","35","49130","49260"
"In post","2023","Declared disabled","Undeclared","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Commercial","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Commercial","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Communications","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Counter Fraud","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Counter Fraud","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Counter Fraud","Undeclared","60","55","32830","28120"
"In post","2023","Declared disabled","Undeclared","Counter Fraud","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Debt","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Debt","Undeclared","20","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Debt","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Digital, Data & Technology","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Digital, Data & Technology","Undeclared","90","90","41160","37880"
"In post","2023","Declared disabled","Undeclared","Digital, Data & Technology","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Finance","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Finance","Undeclared","30","30","38820","35690"
"In post","2023","Declared disabled","Undeclared","Finance","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Grants Management","Undeclared","15","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Human Resources","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Human Resources","Undeclared","45","40","35870","33470"
"In post","2023","Declared disabled","Undeclared","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Legal","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Legal","Undeclared","25","20","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Legal","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","No function","Heterosexual / straight","300","275","30570","28120"
"In post","2023","Declared disabled","Undeclared","No function","LGBO","70","65","32930","29050"
