"Status","Year","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","HM Revenue and Customs","EO","16285","15210","28790","28130"
"In post","2023","HM Revenue and Customs","G6","2345","2245","73230","71300"
"In post","2023","HM Revenue and Customs","G7","6935","6685","59040","57970"
"In post","2023","HM Revenue and Customs","HEO","16720","16005","35680","35000"
"In post","2023","HM Revenue and Customs","SCS level","530","520","88190","81750"
"In post","2023","HM Revenue and Customs","SEO","9300","8940","43330","42510"
"In post","2023","HM Treasury","AO","50","50","23300","23210"
"In post","2023","HM Treasury","EO","270","265","27480","27820"
"In post","2023","HM Treasury","G6","380","370","67160","64950"
"In post","2023","HM Treasury","G7","820","800","55350","54090"
"In post","2023","HM Treasury","HEO","695","685","34170","33630"
"In post","2023","HM Treasury","SCS level","175","170","88220","79270"
"In post","2023","HM Treasury","SEO","310","295","42830","42700"
"In post","2023","Home Office","AA","715","620","21120","19500"
"In post","2023","Home Office","AO","8765","7945","23210","22400"
"In post","2023","Home Office","EO","17440","16260","27560","26180"
"In post","2023","Home Office","G6","1115","1090","71320","70840"
"In post","2023","Home Office","G7","3275","3210","58710","59290"
"In post","2023","Home Office","HEO","6780","6540","34120","32610"
"In post","2023","Home Office","SCS level","345","340","91010","83460"
"In post","2023","Home Office","SEO","4505","4400","42060","43000"
"In post","2023","Home Office","Unknown","190","185","[c]","[c]"
"In post","2023","Ministry of Defence","AA","4695","4530","21450","21380"
"In post","2023","Ministry of Defence","AO","11175","10680","25580","22220"
"In post","2023","Ministry of Defence","EO","8450","8190","29150","27470"
"In post","2023","Ministry of Defence","G6","1840","1740","72520","70550"
"In post","2023","Ministry of Defence","G7","5975","5785","55150","55110"
"In post","2023","Ministry of Defence","HEO","11620","11265","35000","34300"
"In post","2023","Ministry of Defence","SCS level","520","500","94680","88370"
"In post","2023","Ministry of Defence","SEO","10060","9755","43000","41800"
"In post","2023","Ministry of Defence","Unknown","3850","3790","42750","40690"
"In post","2023","Ministry of Justice","AA","7940","7225","22880","23230"
"In post","2023","Ministry of Justice","AO","32130","29880","28190","28880"
"In post","2023","Ministry of Justice","EO","11490","10955","30950","29660"
"In post","2023","Ministry of Justice","G6","1040","1020","73950","70250"
"In post","2023","Ministry of Justice","G7","2815","2740","58880","56980"
"In post","2023","Ministry of Justice","HEO","8120","7785","35590","35410"
"In post","2023","Ministry of Justice","SCS level","340","335","91780","85800"
"In post","2023","Ministry of Justice","SEO","6430","6180","45780","43650"
"In post","2023","Ministry of Justice","Unknown","21570","20060","30510","29050"
"In post","2023","National Crime Agency","AO","215","200","26070","26550"
"In post","2023","National Crime Agency","EO","2410","2335","36190","36040"
"In post","2023","National Crime Agency","G6","110","110","75420","73770"
"In post","2023","National Crime Agency","G7","315","310","63160","62890"
"In post","2023","National Crime Agency","HEO","1670","1630","43520","43350"
"In post","2023","National Crime Agency","SCS level","35","35","106040","94730"
"In post","2023","National Crime Agency","SEO","810","800","49620","49180"
"In post","2023","Northern Ireland Office","AO","10","10","[c]","[c]"
"In post","2023","Northern Ireland Office","EO","10","10","27970","28420"
"In post","2023","Northern Ireland Office","G6","5","5","[c]","[c]"
"In post","2023","Northern Ireland Office","G7","40","40","55460","55720"
"In post","2023","Northern Ireland Office","HEO","25","25","33030","31270"
"In post","2023","Northern Ireland Office","SCS level","20","20","89660","77680"
"In post","2023","Northern Ireland Office","SEO","55","55","40440","37680"
"In post","2023","Office for Standards in Education, Children's Services and Skills","AO","205","185","22460","22490"
"In post","2023","Office for Standards in Education, Children's Services and Skills","EO","215","210","27530","27140"
"In post","2023","Office for Standards in Education, Children's Services and Skills","G6","170","170","83420","87570"
"In post","2023","Office for Standards in Education, Children's Services and Skills","G7","550","540","72250","77470"
"In post","2023","Office for Standards in Education, Children's Services and Skills","HEO","225","215","33730","33130"
"In post","2023","Office for Standards in Education, Children's Services and Skills","SCS level","30","30","109210","99160"
"In post","2023","Office for Standards in Education, Children's Services and Skills","SEO","640","620","48440","52750"
"In post","2023","Office of Gas and Electricity Markets","AO","40","40","21680","20970"
"In post","2023","Office of Gas and Electricity Markets","EO","385","380","26420","25750"
"In post","2023","Office of Gas and Electricity Markets","G6","295","290","67870","66300"
"In post","2023","Office of Gas and Electricity Markets","G7","370","360","51660","49400"
"In post","2023","Office of Gas and Electricity Markets","HEO","260","255","34260","33400"
"In post","2023","Office of Gas and Electricity Markets","SCS level","60","60","97940","90980"
"In post","2023","Office of Gas and Electricity Markets","SEO","155","150","40780","41500"
"In post","2023","Office of Qualifications and Examinations Regulation","AO","5","5","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","EO","25","25","24750","24000"
"In post","2023","Office of Qualifications and Examinations Regulation","G6","30","30","65750","64580"
"In post","2023","Office of Qualifications and Examinations Regulation","G7","95","95","50440","49310"
"In post","2023","Office of Qualifications and Examinations Regulation","HEO","85","80","32890","32020"
"In post","2023","Office of Qualifications and Examinations Regulation","SCS level","20","20","93430","87430"
"In post","2023","Office of Qualifications and Examinations Regulation","SEO","85","80","40160","39140"
"In post","2023","Office of Rail and Road","AO","15","15","23540","23720"
"In post","2023","Office of Rail and Road","EO","30","30","30260","30720"
"In post","2023","Office of Rail and Road","G6","45","40","73790","74850"
"In post","2023","Office of Rail and Road","G7","165","155","59670","58270"
"In post","2023","Office of Rail and Road","HEO","40","40","34900","35630"
"In post","2023","Office of Rail and Road","SCS level","20","20","108370","98760"
"In post","2023","Office of Rail and Road","SEO","55","55","43720","43970"
"In post","2023","Office of the Secretary of State for Scotland","AA","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","EO","10","10","30450","29660"
"In post","2023","Office of the Secretary of State for Scotland","G6","15","15","70680","68540"
"In post","2023","Office of the Secretary of State for Scotland","G7","40","40","57780","55720"
"In post","2023","Office of the Secretary of State for Scotland","HEO","20","20","36180","35410"
"In post","2023","Office of the Secretary of State for Scotland","SCS level","10","10","85060","82710"
"In post","2023","Office of the Secretary of State for Scotland","SEO","20","20","46600","44140"
"In post","2023","Office of the Secretary of State for Wales","EO","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","G7","10","10","56070","55790"
"In post","2023","Office of the Secretary of State for Wales","HEO","10","10","33350","33390"
"In post","2023","Office of the Secretary of State for Wales","SCS level","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","SEO","10","10","[c]","[c]"
"In post","2023","Scottish Government","AA","2770","2555","23290","22920"
"In post","2023","Scottish Government","AO","4585","4320","26370","25710"
"In post","2023","Scottish Government","EO","7040","6715","32400","31940"
"In post","2023","Scottish Government","G6","1540","1485","76400","79110"
"In post","2023","Scottish Government","G7","2900","2775","60030","58850"
"In post","2023","Scottish Government","HEO","4755","4555","37280","37940"
"In post","2023","Scottish Government","SCS level","310","300","91060","85200"
"In post","2023","Scottish Government","SEO","3730","3555","47080","48140"
"In post","2023","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2023","The National Archives","AO","85","75","23520","23460"
"In post","2023","The National Archives","EO","75","70","26410","25680"
"In post","2023","The National Archives","G6","30","30","62690","60680"
"In post","2023","The National Archives","G7","75","75","50520","48960"
"In post","2023","The National Archives","HEO","155","150","32020","30600"
"In post","2023","The National Archives","SCS level","10","10","[c]","[c]"
"In post","2023","The National Archives","SEO","155","150","41530","40000"
"In post","2023","UK Export Finance","AA","[c]","[c]","[c]","[c]"
"In post","2023","UK Export Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","UK Export Finance","EO","65","60","32380","32300"
"In post","2023","UK Export Finance","G6","70","70","77610","77510"
"In post","2023","UK Export Finance","G7","140","135","59320","58040"
"In post","2023","UK Export Finance","HEO","80","80","36260","35200"
"In post","2023","UK Export Finance","SCS level","35","35","112620","103480"
"In post","2023","UK Export Finance","SEO","135","130","46600","45130"
"In post","2023","UK Statistics Authority","AA","295","175","20850","20150"
"In post","2023","UK Statistics Authority","AO","1215","900","21610","21200"
"In post","2023","UK Statistics Authority","EO","715","665","25420","24840"
"In post","2023","UK Statistics Authority","G6","240","235","63440","61560"
"In post","2023","UK Statistics Authority","G7","975","945","53030","51460"
"In post","2023","UK Statistics Authority","HEO","1310","1260","31810","31560"
"In post","2023","UK Statistics Authority","SCS level","95","90","86210","78240"
"In post","2023","UK Statistics Authority","SEO","1285","1240","38990","38610"
"In post","2023","UK Supreme Court","AO","[c]","[c]","[c]","[c]"
"In post","2023","UK Supreme Court","EO","20","20","27900","27880"
"In post","2023","UK Supreme Court","G6","[c]","[c]","[c]","[c]"
"In post","2023","UK Supreme Court","G7","5","5","[c]","[c]"
"In post","2023","UK Supreme Court","HEO","10","10","[c]","[c]"
"In post","2023","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","UK Supreme Court","SEO","15","15","37280","37230"
"In post","2023","Water Services Regulation Authority","AO","5","5","[c]","[c]"
"In post","2023","Water Services Regulation Authority","EO","40","40","30410","29000"
"In post","2023","Water Services Regulation Authority","G6","25","25","97200","95000"
"In post","2023","Water Services Regulation Authority","G7","45","45","73790","74000"
"In post","2023","Water Services Regulation Authority","HEO","95","90","42700","42340"
"In post","2023","Water Services Regulation Authority","SCS level","10","5","[c]","[c]"
"In post","2023","Water Services Regulation Authority","SEO","45","40","58840","59240"
"In post","2023","Welsh Government","AO","845","775","25130","25620"
"In post","2023","Welsh Government","EO","1080","1015","29860","30610"
"In post","2023","Welsh Government","G6","230","220","75000","76990"
"In post","2023","Welsh Government","G7","950","905","61970","63900"
"In post","2023","Welsh Government","HEO","1470","1385","38440","39690"
"In post","2023","Welsh Government","SCS level","195","185","90070","81600"
"In post","2023","Welsh Government","SEO","1285","1230","47750","49370"
"Leaver CS","2023","Attorney General's Departments","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Attorney General's Departments","AO","170","[c]","22910","22870"
"Leaver CS","2023","Attorney General's Departments","EO","130","[c]","28300","28060"
"Leaver CS","2023","Attorney General's Departments","G6","95","[c]","69790","68280"
"Leaver CS","2023","Attorney General's Departments","G7","250","[c]","55900","55000"
"Leaver CS","2023","Attorney General's Departments","HEO","60","[c]","35370","33810"
"Leaver CS","2023","Attorney General's Departments","SCS level","20","[c]","91140","86010"
"Leaver CS","2023","Attorney General's Departments","SEO","65","[c]","40610","40540"
"Leaver CS","2023","Cabinet Office","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Cabinet Office","AO","110","[c]","20430","21050"
"Leaver CS","2023","Cabinet Office","EO","115","[c]","26780","27500"
"Leaver CS","2023","Cabinet Office","G6","120","[c]","70120","66530"
"Leaver CS","2023","Cabinet Office","G7","300","[c]","58210","56430"
"Leaver CS","2023","Cabinet Office","HEO","280","[c]","32880","33020"
"Leaver CS","2023","Cabinet Office","SCS level","85","[c]","112110","103000"
"Leaver CS","2023","Cabinet Office","SEO","130","[c]","40570","40600"
"Leaver CS","2023","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","G6","10","[c]","89320","83000"
"Leaver CS","2023","Chancellor's other departments","G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","HEO","20","[c]","37410","37690"
"Leaver CS","2023","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","SEO","10","[c]","43690","44880"
"Leaver CS","2023","Charity Commission","AO","5","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","HEO","15","[c]","29550","30170"
"Leaver CS","2023","Charity Commission","SEO","10","[c]","38840","38800"
"Leaver CS","2023","Competition and Markets Authority","AO","15","[c]","23180","22770"
"Leaver CS","2023","Competition and Markets Authority","EO","10","[c]","28010","27550"
"Leaver CS","2023","Competition and Markets Authority","G6","25","[c]","75450","74960"
"Leaver CS","2023","Competition and Markets Authority","G7","30","[c]","56760","55860"
"Leaver CS","2023","Competition and Markets Authority","HEO","20","[c]","35480","34620"
"Leaver CS","2023","Competition and Markets Authority","SCS level","10","[c]","119760","102080"
"Leaver CS","2023","Competition and Markets Authority","SEO","15","[c]","44020","43560"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","AA","20","[c]","18990","19080"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","AO","130","[c]","22380","22180"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","EO","150","[c]","26780","26290"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","G6","95","[c]","66740","65180"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","G7","235","[c]","53560","53380"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","HEO","235","[c]","33640","33570"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","SCS level","45","[c]","84940","77020"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","SEO","230","[c]","41360","40050"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","AO","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","EO","20","[c]","27230","26180"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","G6","25","[c]","65560","64790"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","G7","80","[c]","54560","53030"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","HEO","100","[c]","35620","35040"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Education","AO","20","[c]","22270","22020"
"Leaver CS","2023","Department for Education","EO","80","[c]","25140","25900"
"Leaver CS","2023","Department for Education","G6","55","[c]","67370","65910"
"Leaver CS","2023","Department for Education","G7","120","[c]","54320","52150"
"Leaver CS","2023","Department for Education","HEO","105","[c]","31430","30710"
"Leaver CS","2023","Department for Education","SCS level","15","[c]","96990","97680"
"Leaver CS","2023","Department for Education","SEO","150","[c]","40330","39130"
"Leaver CS","2023","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","AO","280","[c]","22210","22150"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","EO","275","[c]","26180","25920"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","G6","40","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","G7","130","[c]","52910","52790"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","HEO","195","[c]","31330","30450"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","SEO","175","[c]","39380","38610"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","AO","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","EO","65","[c]","23390","26250"
"Leaver CS","2023","Department for International Trade","G6","20","[c]","65900","65220"
"Leaver CS","2023","Department for International Trade","G7","75","[c]","54440","54200"
"Leaver CS","2023","Department for International Trade","HEO","45","[c]","32510","31800"
"Leaver CS","2023","Department for International Trade","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","SEO","45","[c]","39930","38880"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","AA","20","[c]","18300","18300"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","AO","35","[c]","23600","23320"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","EO","45","[c]","27830","27850"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","G6","40","[c]","65280","64970"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","G7","80","[c]","52430","53130"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","HEO","85","[c]","33080","33210"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","SCS level","20","[c]","91460","79380"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","SEO","65","[c]","39970","40300"
"Leaver CS","2023","Department for Transport","AA","150","[c]","18910","19000"
"Leaver CS","2023","Department for Transport","AO","575","[c]","23100","22500"
"Leaver CS","2023","Department for Transport","EO","460","[c]","27900","26960"
"Leaver CS","2023","Department for Transport","G6","40","[c]","75060","69890"
"Leaver CS","2023","Department for Transport","G7","115","[c]","56280","55740"
"Leaver CS","2023","Department for Transport","HEO","160","[c]","33140","32810"
"Leaver CS","2023","Department for Transport","SCS level","20","[c]","90720","85530"
"Leaver CS","2023","Department for Transport","SEO","130","[c]","43000","42850"
"Leaver CS","2023","Department for Work and Pensions","AA","30","[c]","21140","21250"
"Leaver CS","2023","Department for Work and Pensions","AO","3185","[c]","21860","21690"
"Leaver CS","2023","Department for Work and Pensions","EO","4190","[c]","28630","28120"
"Leaver CS","2023","Department for Work and Pensions","G6","80","[c]","70350","70360"
"Leaver CS","2023","Department for Work and Pensions","G7","210","[c]","55700","55150"
"Leaver CS","2023","Department for Work and Pensions","HEO","385","[c]","35120","34290"
"Leaver CS","2023","Department for Work and Pensions","SCS level","25","[c]","94450","90180"
"Leaver CS","2023","Department for Work and Pensions","SEO","325","[c]","42600","40380"
"Leaver CS","2023","Department of Health and Social Care","AA","55","[c]","20810","20100"
"Leaver CS","2023","Department of Health and Social Care","AO","205","[c]","21630","20880"
"Leaver CS","2023","Department of Health and Social Care","EO","420","[c]","26310","26880"
"Leaver CS","2023","Department of Health and Social Care","G6","215","[c]","67000","66230"
"Leaver CS","2023","Department of Health and Social Care","G7","405","[c]","52990","53360"
"Leaver CS","2023","Department of Health and Social Care","HEO","595","[c]","32270","32370"
"Leaver CS","2023","Department of Health and Social Care","SCS level","175","[c]","97910","93000"
"Leaver CS","2023","Department of Health and Social Care","SEO","565","[c]","40180","40650"
"Leaver CS","2023","Estyn","AO","[c]","[c]","[c]","[c]"
