"Status","Year","Organisation","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Cabinet Office (excl. agencies)","Psychology","London","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Psychology","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Psychology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Psychology","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Security","London","Female","55","55","57090","56430"
"In post","2023","Cabinet Office (excl. agencies)","Security","London","Male","85","85","52080","41870"
"In post","2023","Cabinet Office (excl. agencies)","Security","Outside London","Female","105","100","33790","34320"
"In post","2023","Cabinet Office (excl. agencies)","Security","Outside London","Male","130","125","34560","34320"
"In post","2023","Cabinet Office (excl. agencies)","Security","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Security","Unknown","Male","10","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Social Research","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Social Research","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Social Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Social Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","London","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","London","Female","860","835","50260","54700"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","London","Male","690","685","54650","56430"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Outside London","Female","480","450","35000","32640"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Outside London","Male","360","350","36820","32640"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Unknown","Female","50","50","49170","41230"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Unknown","Male","55","55","33170","24610"
"In post","2023","Central Civil Service Fast Stream","Commercial","London","Female","35","35","30360","30130"
"In post","2023","Central Civil Service Fast Stream","Commercial","London","Male","35","35","30540","30130"
"In post","2023","Central Civil Service Fast Stream","Commercial","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Commercial","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Communications","London","Female","5","5","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Digital, Data and Technology","London","Female","45","45","31140","30130"
"In post","2023","Central Civil Service Fast Stream","Digital, Data and Technology","London","Male","40","40","31120","30130"
"In post","2023","Central Civil Service Fast Stream","Digital, Data and Technology","Outside London","Female","30","30","29900","28840"
"In post","2023","Central Civil Service Fast Stream","Digital, Data and Technology","Outside London","Male","35","35","30690","30130"
"In post","2023","Central Civil Service Fast Stream","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Finance","London","Female","30","30","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Finance","London","Male","35","35","31040","30130"
"In post","2023","Central Civil Service Fast Stream","Finance","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Finance","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Project Delivery","London","Female","110","110","30800","30130"
"In post","2023","Central Civil Service Fast Stream","Project Delivery","London","Male","55","55","30930","30130"
"In post","2023","Central Civil Service Fast Stream","Project Delivery","Outside London","Female","50","50","30470","30130"
"In post","2023","Central Civil Service Fast Stream","Project Delivery","Outside London","Male","45","45","30670","30130"
"In post","2023","Central Civil Service Fast Stream","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Property","London","Female","5","5","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Property","London","Male","5","5","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Property","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Property","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Science and Engineering","London","Female","45","45","30140","30130"
"In post","2023","Central Civil Service Fast Stream","Science and Engineering","London","Male","40","40","30390","30130"
"In post","2023","Central Civil Service Fast Stream","Science and Engineering","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Science and Engineering","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Science and Engineering","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Science and Engineering","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Statistics","London","Female","35","35","30910","30130"
"In post","2023","Central Civil Service Fast Stream","Statistics","London","Male","45","45","31150","30130"
"In post","2023","Central Civil Service Fast Stream","Statistics","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Statistics","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Statistics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Statistics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Unknown","London","Female","425","420","30710","30130"
"In post","2023","Central Civil Service Fast Stream","Unknown","London","Male","195","195","30630","30130"
"In post","2023","Central Civil Service Fast Stream","Unknown","Outside London","Female","105","105","30640","30130"
"In post","2023","Central Civil Service Fast Stream","Unknown","Outside London","Male","75","75","30680","30130"
"In post","2023","Central Civil Service Fast Stream","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","Male","40","40","35510","30820"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Outside London","Female","10","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Other","Outside London","Female","25","20","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Other","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Outside London","Female","35","35","35610","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Outside London","Male","20","15","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","Female","220","210","33410","30350"
