"Status","Year","Parent_department","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Operational Delivery","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","London","Female","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","London","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","London","Female","55","55","58140","56950"
"In post","2023","Attorney General's Departments","Policy","London","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","Outside London","Female","45","45","43800","38940"
"In post","2023","Attorney General's Departments","Policy","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","London","Female","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","London","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","Outside London","Female","30","30","38670","38940"
"In post","2023","Attorney General's Departments","Project Delivery","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","London","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","London","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","London","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","London","Female","355","345","68280","66270"
"In post","2023","Cabinet Office","Commercial","London","Male","425","420","76470","67320"
"In post","2023","Cabinet Office","Commercial","Outside London","Female","620","600","56720","56000"
"In post","2023","Cabinet Office","Commercial","Outside London","Male","590","585","62710","65500"
"In post","2023","Cabinet Office","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","London","Female","90","90","49500","50280"
"In post","2023","Cabinet Office","Communications","London","Male","60","60","52610","43900"
"In post","2023","Cabinet Office","Communications","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Cabinet Office","Communications","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","London","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","London","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","London","Female","330","325","51730","56430"
"In post","2023","Cabinet Office","Digital, Data and Technology","London","Male","495","490","52960","56430"
"In post","2023","Cabinet Office","Digital, Data and Technology","Outside London","Female","195","190","42670","38460"
"In post","2023","Cabinet Office","Digital, Data and Technology","Outside London","Male","315","315","45650","40620"
"In post","2023","Cabinet Office","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Economics","London","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Economics","London","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Economics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Finance","London","Female","65","65","47630","35650"
"In post","2023","Cabinet Office","Finance","London","Male","85","85","48350","35650"
"In post","2023","Cabinet Office","Finance","Outside London","Female","75","75","40080","38050"
"In post","2023","Cabinet Office","Finance","Outside London","Male","80","75","46650","39660"
"In post","2023","Cabinet Office","Human Resources","London","Female","255","245","50390","43770"
"In post","2023","Cabinet Office","Human Resources","London","Male","100","100","52800","56430"
"In post","2023","Cabinet Office","Human Resources","Outside London","Female","395","365","36490","33020"
"In post","2023","Cabinet Office","Human Resources","Outside London","Male","170","165","35240","33020"
"In post","2023","Cabinet Office","Human Resources","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Human Resources","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Intelligence Analysis","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Intelligence Analysis","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Internal Audit","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Internal Audit","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","London","Female","25","20","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","London","Male","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Legal","London","Female","30","25","81140","81600"
"In post","2023","Cabinet Office","Legal","London","Male","30","30","85630","81600"
"In post","2023","Cabinet Office","Legal","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Legal","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","London","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","London","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","Outside London","Female","90","90","39570","40450"
"In post","2023","Cabinet Office","Operational Delivery","Outside London","Male","65","65","41590","40330"
"In post","2023","Cabinet Office","Other","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Other","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Other","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Other","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Policy","London","Female","155","145","52030","56430"
"In post","2023","Cabinet Office","Policy","London","Male","135","135","52480","55790"
"In post","2023","Cabinet Office","Policy","Outside London","Female","60","55","44890","42320"
"In post","2023","Cabinet Office","Policy","Outside London","Male","40","40","49440","51290"
"In post","2023","Cabinet Office","Policy","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Policy","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","London","Female","150","150","38460","32580"
"In post","2023","Cabinet Office","Project Delivery","London","Male","90","90","44650","32960"
"In post","2023","Cabinet Office","Project Delivery","Outside London","Female","80","80","37110","31170"
"In post","2023","Cabinet Office","Project Delivery","Outside London","Male","75","75","38110","32960"
"In post","2023","Cabinet Office","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Property","London","Female","35","30","48990","41010"
"In post","2023","Cabinet Office","Property","London","Male","65","60","50160","52720"
"In post","2023","Cabinet Office","Property","Outside London","Female","85","85","44680","40540"
"In post","2023","Cabinet Office","Property","Outside London","Male","100","100","51480","51020"
"In post","2023","Cabinet Office","Psychology","London","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Psychology","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Psychology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Psychology","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","London","Female","45","45","30140","30130"
"In post","2023","Cabinet Office","Science and Engineering","London","Male","40","40","30390","30130"
"In post","2023","Cabinet Office","Science and Engineering","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Security","London","Female","55","55","57370","56430"
"In post","2023","Cabinet Office","Security","London","Male","90","90","52420","45400"
"In post","2023","Cabinet Office","Security","Outside London","Female","110","100","34240","34320"
"In post","2023","Cabinet Office","Security","Outside London","Male","130","125","35880","34320"
"In post","2023","Cabinet Office","Security","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Security","Unknown","Male","10","5","[c]","[c]"
"In post","2023","Cabinet Office","Social Research","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Social Research","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Social Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Social Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","London","Female","35","35","31050","30130"
"In post","2023","Cabinet Office","Statistics","London","Male","50","50","33170","30130"
"In post","2023","Cabinet Office","Statistics","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","London","Female","1300","1275","44120","35650"
"In post","2023","Cabinet Office","Unknown","London","Male","905","900","49850","41870"
"In post","2023","Cabinet Office","Unknown","Outside London","Female","610","580","35370","32000"
"In post","2023","Cabinet Office","Unknown","Outside London","Male","450","445","37410","32640"
"In post","2023","Cabinet Office","Unknown","Unknown","Female","55","50","48420","41050"
"In post","2023","Cabinet Office","Unknown","Unknown","Male","55","55","33170","24610"
"In post","2023","Chancellor's other departments","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Commercial","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","Communications","London","Female","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Communications","London","Male","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Counter Fraud","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Counter Fraud","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Digital, Data and Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Digital, Data and Technology","London","Male","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Digital, Data and Technology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Digital, Data and Technology","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Finance","London","Female","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Finance","London","Male","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Human Resources","London","Female","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Knowledge and Information Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Knowledge and Information Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Delivery","London","Male","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Delivery","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Research","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Research","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Other","London","Female","90","85","63430","59800"
"In post","2023","Chancellor's other departments","Other","London","Male","130","130","72800","66690"
"In post","2023","Chancellor's other departments","Other","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Other","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Project Delivery","London","Male","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Project Delivery","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","Project Delivery","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Property","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Security","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Security","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Security","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Security","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Communications","London","Female","5","5","[c]","[c]"
"In post","2023","Charity Commission","Communications","London","Male","5","5","[c]","[c]"
"In post","2023","Charity Commission","Communications","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Charity Commission","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Digital, Data and Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Digital, Data and Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Digital, Data and Technology","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Charity Commission","Digital, Data and Technology","Outside London","Male","35","35","37960","35480"
"In post","2023","Charity Commission","Finance","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Charity Commission","Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Human Resources","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Charity Commission","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Intelligence Analysis","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Charity Commission","Intelligence Analysis","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Knowledge and Information Management","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Legal","London","Female","10","10","[c]","[c]"
"In post","2023","Charity Commission","Legal","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Legal","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Charity Commission","Legal","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Operational Delivery","London","Female","25","25","[c]","[c]"
"In post","2023","Charity Commission","Operational Delivery","London","Male","20","20","[c]","[c]"
"In post","2023","Charity Commission","Operational Delivery","Outside London","Female","175","165","31770","30170"
"In post","2023","Charity Commission","Operational Delivery","Outside London","Male","105","105","32050","30170"
"In post","2023","Charity Commission","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Project Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Project Delivery","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Property","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Property","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Security","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Security","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Security","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Security","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Statistics","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Statistics","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Statistics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Statistics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Communications","London","Female","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","Communications","London","Male","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Corporate Finance","London","Female","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Corporate Finance","London","Male","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Corporate Finance","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Corporate Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Digital, Data and Technology","London","Female","20","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","Digital, Data and Technology","London","Male","45","45","56870","58380"
"In post","2023","Competition and Markets Authority","Digital, Data and Technology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Digital, Data and Technology","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Economics","London","Female","35","30","69670","64780"
"In post","2023","Competition and Markets Authority","Economics","London","Male","60","55","63850","57660"
"In post","2023","Competition and Markets Authority","Economics","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Economics","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Human Resources","London","Female","20","20","[c]","[c]"
"In post","2023","Competition and Markets Authority","Human Resources","London","Male","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Intelligence Analysis","London","Female","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Intelligence Analysis","London","Male","25","25","[c]","[c]"
"In post","2023","Competition and Markets Authority","Intelligence Analysis","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Intelligence Analysis","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Knowledge and Information Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Knowledge and Information Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Knowledge and Information Management","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Legal","London","Female","70","70","66060","73510"
"In post","2023","Competition and Markets Authority","Legal","London","Male","55","55","80660","74800"
"In post","2023","Competition and Markets Authority","Legal","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Legal","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Policy","London","Female","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Policy","London","Male","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Project Delivery","London","Female","205","195","61390","57540"
"In post","2023","Competition and Markets Authority","Project Delivery","London","Male","170","165","64270","61350"
"In post","2023","Competition and Markets Authority","Project Delivery","Outside London","Female","35","30","55710","55130"
"In post","2023","Competition and Markets Authority","Project Delivery","Outside London","Male","30","30","62150","60600"
"In post","2023","Competition and Markets Authority","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Property","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Security","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Security","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Statistics","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Statistics","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Commercial","London","Male","10","10","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","Female","35","35","42980","42960"
"In post","2023","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Communications","London","Female","70","65","50730","46410"
"In post","2023","Department for Business, Energy and Industrial Strategy","Communications","London","Male","60","55","47100","44960"
"In post","2023","Department for Business, Energy and Industrial Strategy","Communications","Outside London","Female","75","70","40160","39990"
"In post","2023","Department for Business, Energy and Industrial Strategy","Communications","Outside London","Male","50","50","37740","36170"
"In post","2023","Department for Business, Energy and Industrial Strategy","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
