"Status","Year","Disability","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","EO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","EO","35","35","29440","28200"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","G6","75","70","72240","69710"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","G7","395","360","57630","56450"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","HEO","30","30","39220","36780"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","AO","190","175","23300","22870"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","EO","180","160","28710","28850"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","G7","10","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","HEO","30","30","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Other","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Other","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Other","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Commercial","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Commercial","G6","40","40","79700","76660"
"In post","2023","Declared disabled","Cabinet Office","Commercial","G7","95","95","62820","65500"
"In post","2023","Declared disabled","Cabinet Office","Commercial","HEO","30","30","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Commercial","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Commercial","SEO","35","35","40140","40600"
"In post","2023","Declared disabled","Cabinet Office","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Counter Fraud","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","G7","65","65","55730","56430"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","HEO","65","65","32300","32960"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","AO","35","30","22050","21720"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","EO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","G7","35","35","54780","55540"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","HEO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","SEO","35","35","40950","41050"
"In post","2023","Declared disabled","Cabinet Office","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Other","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Other","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Policy","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Policy","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Policy","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Project Delivery","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Project Delivery","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Project Delivery","HEO","65","65","30840","30130"
"In post","2023","Declared disabled","Cabinet Office","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Property","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Property","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Property","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Property","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Property","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Property","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Psychology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Psychology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Science and Engineering","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Security","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Security","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Security","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Security","HEO","40","40","34750","34320"
"In post","2023","Declared disabled","Cabinet Office","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Security","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Statistics","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","AO","40","35","22930","21830"
"In post","2023","Declared disabled","Cabinet Office","Unknown","EO","60","60","27590","28110"
"In post","2023","Declared disabled","Cabinet Office","Unknown","G6","30","30","67820","66530"
"In post","2023","Declared disabled","Cabinet Office","Unknown","G7","60","55","56560","56430"
"In post","2023","Declared disabled","Cabinet Office","Unknown","HEO","190","190","31550","30130"
"In post","2023","Declared disabled","Cabinet Office","Unknown","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","SEO","45","45","40970","41410"
"In post","2023","Declared disabled","Chancellor's other departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Property","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Security","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
