"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Department for Education","Counter Fraud","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Education","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Counter Fraud","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Education","Counter Fraud","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Counter Fraud","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","EO","Heterosexual / straight","85","85","27270","26940"
"In post","2023","Department for Education","Digital, Data and Technology","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","G6/G7","Heterosexual / straight","265","260","56040","52150"
"In post","2023","Department for Education","Digital, Data and Technology","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","G6/G7","Undeclared","45","45","55690","52150"
"In post","2023","Department for Education","Digital, Data and Technology","G6/G7","Unknown","60","55","56340","54150"
"In post","2023","Department for Education","Digital, Data and Technology","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","305","295","35920","37590"
"In post","2023","Department for Education","Digital, Data and Technology","SEO/HEO","LGBO","45","45","35260","37590"
"In post","2023","Department for Education","Digital, Data and Technology","SEO/HEO","Undeclared","45","40","36650","37590"
"In post","2023","Department for Education","Digital, Data and Technology","SEO/HEO","Unknown","65","60","37610","37590"
"In post","2023","Department for Education","Digital, Data and Technology","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Education","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Economics","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Education","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Economics","G6/G7","Heterosexual / straight","30","30","59070","55200"
"In post","2023","Department for Education","Economics","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Economics","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Economics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Economics","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Economics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Economics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Economics","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Department for Education","Economics","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Economics","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Economics","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Department for Education","Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Finance","EO","Heterosexual / straight","45","45","26970","26940"
"In post","2023","Department for Education","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Finance","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Department for Education","Finance","G6/G7","Heterosexual / straight","160","160","56820","52260"
"In post","2023","Department for Education","Finance","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Education","Finance","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Education","Finance","G6/G7","Unknown","15","10","[c]","[c]"
"In post","2023","Department for Education","Finance","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Department for Education","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Finance","SEO/HEO","Heterosexual / straight","230","225","36630","37590"
"In post","2023","Department for Education","Finance","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Department for Education","Finance","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Education","Finance","SEO/HEO","Unknown","35","35","38990","38050"
"In post","2023","Department for Education","Geography","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Geography","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Human Resources","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Education","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Human Resources","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Human Resources","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Department for Education","Human Resources","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Education","Human Resources","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Human Resources","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Department for Education","Human Resources","G6/G7","Heterosexual / straight","40","35","57500","54280"
"In post","2023","Department for Education","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Human Resources","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Human Resources","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Education","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Human Resources","SEO/HEO","Heterosexual / straight","60","60","35250","37590"
"In post","2023","Department for Education","Human Resources","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Education","Human Resources","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Education","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Internal Audit","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Legal","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Legal","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Legal","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Legal","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Legal","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Legal","G6/G7","Heterosexual / straight","45","45","61100","62540"
"In post","2023","Department for Education","Legal","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Legal","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for Education","Legal","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Legal","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Education","Legal","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Legal","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Operational Delivery","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Department for Education","Operational Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Operational Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Operational Delivery","EO","Heterosexual / straight","155","150","27230","26940"
"In post","2023","Department for Education","Operational Delivery","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Education","Operational Delivery","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Education","Operational Delivery","EO","Unknown","20","20","[c]","[c]"
"In post","2023","Department for Education","Operational Delivery","G6/G7","Heterosexual / straight","485","470","55850","52150"
"In post","2023","Department for Education","Operational Delivery","G6/G7","LGBO","30","30","58030","55780"
"In post","2023","Department for Education","Operational Delivery","G6/G7","Undeclared","35","35","56850","53970"
"In post","2023","Department for Education","Operational Delivery","G6/G7","Unknown","75","75","56540","55020"
"In post","2023","Department for Education","Operational Delivery","SCS level","Heterosexual / straight","50","45","92390","83610"
"In post","2023","Department for Education","Operational Delivery","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Education","Operational Delivery","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Operational Delivery","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Department for Education","Operational Delivery","SEO/HEO","Heterosexual / straight","790","760","35630","37590"
"In post","2023","Department for Education","Operational Delivery","SEO/HEO","LGBO","45","45","35990","37590"
"In post","2023","Department for Education","Operational Delivery","SEO/HEO","Undeclared","70","70","36570","37590"
"In post","2023","Department for Education","Operational Delivery","SEO/HEO","Unknown","115","115","35830","35550"
"In post","2023","Department for Education","Operational Research","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Operational Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Operational Research","G6/G7","Heterosexual / straight","35","30","57240","55380"
"In post","2023","Department for Education","Operational Research","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Operational Research","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for Education","Operational Research","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Operational Research","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Operational Research","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Operational Research","SEO/HEO","Heterosexual / straight","40","40","41810","43250"
"In post","2023","Department for Education","Operational Research","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Education","Operational Research","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for Education","Operational Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Policy","AA/AO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Department for Education","Policy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Policy","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Policy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Policy","EO","Heterosexual / straight","110","105","27630","26940"
"In post","2023","Department for Education","Policy","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Education","Policy","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Education","Policy","EO","Unknown","25","20","[c]","[c]"
"In post","2023","Department for Education","Policy","G6/G7","Heterosexual / straight","695","660","57560","55330"
"In post","2023","Department for Education","Policy","G6/G7","LGBO","75","70","57740","55020"
"In post","2023","Department for Education","Policy","G6/G7","Undeclared","80","75","56680","55020"
"In post","2023","Department for Education","Policy","G6/G7","Unknown","105","100","58970","56040"
"In post","2023","Department for Education","Policy","SCS level","Heterosexual / straight","105","100","81070","76510"
"In post","2023","Department for Education","Policy","SCS level","LGBO","10","5","[c]","[c]"
"In post","2023","Department for Education","Policy","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for Education","Policy","SCS level","Unknown","15","15","[c]","[c]"
"In post","2023","Department for Education","Policy","SEO/HEO","Heterosexual / straight","740","710","36580","37590"
"In post","2023","Department for Education","Policy","SEO/HEO","LGBO","75","75","36910","37590"
"In post","2023","Department for Education","Policy","SEO/HEO","Undeclared","65","65","36870","37590"
"In post","2023","Department for Education","Policy","SEO/HEO","Unknown","110","105","36910","37590"
"In post","2023","Department for Education","Project Delivery","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Project Delivery","EO","Heterosexual / straight","70","65","27520","26940"
"In post","2023","Department for Education","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Project Delivery","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for Education","Project Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Project Delivery","G6/G7","Heterosexual / straight","465","455","58720","55560"
"In post","2023","Department for Education","Project Delivery","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2023","Department for Education","Project Delivery","G6/G7","Undeclared","55","55","61640","62540"
"In post","2023","Department for Education","Project Delivery","G6/G7","Unknown","60","60","59000","55160"
"In post","2023","Department for Education","Project Delivery","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Department for Education","Project Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Project Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Project Delivery","SEO/HEO","Heterosexual / straight","320","310","36220","37590"
"In post","2023","Department for Education","Project Delivery","SEO/HEO","LGBO","35","35","36440","37590"
"In post","2023","Department for Education","Project Delivery","SEO/HEO","Undeclared","35","35","35260","37590"
"In post","2023","Department for Education","Project Delivery","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2023","Department for Education","Property","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Property","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Department for Education","Property","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Property","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Property","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Property","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Property","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Property","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Science and Engineering","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Science and Engineering","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Science and Engineering","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Science and Engineering","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Science and Engineering","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Security","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Security","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Security","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Education","Security","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Security","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Security","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Security","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Security","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Social Research","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Social Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Social Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Social Research","G6/G7","Heterosexual / straight","35","30","56870","55020"
"In post","2023","Department for Education","Social Research","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Social Research","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Social Research","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Social Research","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Social Research","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Social Research","SEO/HEO","Heterosexual / straight","65","60","41890","43250"
"In post","2023","Department for Education","Social Research","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Department for Education","Social Research","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Education","Social Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Statistics","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Education","Statistics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Statistics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Statistics","G6/G7","Heterosexual / straight","65","60","55640","52150"
"In post","2023","Department for Education","Statistics","G6/G7","LGBO","10","5","[c]","[c]"
"In post","2023","Department for Education","Statistics","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Education","Statistics","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Education","Statistics","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Statistics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Statistics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Statistics","SEO/HEO","Heterosexual / straight","170","165","39900","41690"
"In post","2023","Department for Education","Statistics","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Department for Education","Statistics","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Education","Statistics","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Education","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Education","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Education","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","SEO/HEO","Heterosexual / straight","110","110","35800","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","G6/G7","Heterosexual / straight","45","45","54210","54330"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","SEO/HEO","Heterosexual / straight","100","95","36150","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","SEO/HEO","Undeclared","10","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","EO","Heterosexual / straight","70","70","26630","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","EO","Unknown","20","20","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","G6/G7","Heterosexual / straight","335","330","53120","50030"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","G6/G7","Undeclared","40","40","51930","49600"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","G6/G7","Unknown","50","50","51760","49400"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
